y,gender,age,majority_first,culture,weight,religiousness,ind,calworks,school,yellowCards,birthday,speed,playerShort,minority
3,1,6,1,2,77.0,5,42,33.90800095,Fairfax Elementary,0,24.02.1983,294.6256223,javier-pinola,no
2,2,9,1,2,73.0,2,43,21.49860001,Delano Union Elementary,0,13.06.1980,230.8062189,florent-malouda,no
2,2,6,0,2,84.0,5,44,24.65950012,Perris Elementary,0,03.10.1978,379.9931327,claudio-pizarro,no
2,2,8,1,2,74.0,3,45,8.218299866,Valle Lindo Elementary,0,26.06.1991,204.7082907,vegar-hedenstad,no
3,2,9,0,2,70.0,4,46,17.4531002,Alum Rock Union Elementary,3,06.06.1985,307.9520785,sebastian-larsson,no
2,2,7,0,2,69.0,2,47,19.77890015,Edison Elementary,0,10.06.1986,338.1529851,hajime-hosogai,no
2,1,5,1,1,77.0,4,48,39.21839905,Bakersfield City Elementary,0,13.12.1983,228.6077155,david-fox,no
2,2,8,0,1,83.0,2,49,22.15780067,Franklin-McKinley Elementary,0,16.08.1981,183.6032131,roque-santa-cruz,no
2,1,6,1,1,76.0,5,50,36.94509888,Hawthorne Elementary,1,19.01.1990,422.4229543,isma-lopez,no
1,2,5,0,1,71.0,2,51,27.26140022,Chowchilla Elementary,0,11.04.1991,1153.311718,thiago_17,no
1,1,9,1,1,,5,52,13.98849964,Salinas City Elementary,0,25.09.1992,362.0179147,massimo-luongo,no
3,1,5,1,1,83.0,4,53,7.497499943,Santa Maria-Bonita Elementary,0,16.08.1989,110.0110011,moussa-sissoko,no
3,1,7,0,1,54.0,1,54,18.54809952,Whittier City Elementary,0,31.10.1991,1109.662466,alex-smith_6,no
3,1,8,0,1,78.0,4,55,20.92740059,Eastside Union Elementary,0,31.01.1991,291.4182354,korey-smith,no
2,1,5,0,1,77.0,5,56,28.34250069,Lawndale Elementary,1,05.07.1979,671.7137763,stilian-petrov,no
3,2,8,1,1,84.0,4,57,43.49760056,Robla Elementary,0,19.08.1985,468.4251294,leyti-ndiaye,no
2,1,5,1,1,80.0,4,58,15.45950031,Santa Rita Union Elementary,0,14.05.1979,214.2764941,mickael-landreau,no
2,2,11,0,1,87.0,4,59,11.28979969,Rio Elementary,1,05.12.1982,435.6316659,jan-mucha,no
1,1,9,0,1,84.0,5,60,25.92110062,Strathmore Union Elementary,0,23.08.1981,184.3978897,cuellar,no
2,1,11,1,1,83.0,3,61,58.75220108,North Sacramento Elementary,0,13.03.1989,409.3879732,holger-badstuber,no
2,1,6,1,1,71.0,2,62,10.91139984,Anaheim Elementary,0,23.08.1985,348.3979292,marc-tierney,no
2,1,4,0,1,64.0,2,63,14.97679996,Lemoore Union Elementary,1,24.03.1987,142.5337845,ramires,no
1,2,8,0,1,84.0,4,64,27.16819954,Armona Union Elementary,0,17.03.1986,321.1872854,edin-dzeko,no
2,2,8,1,1,73.0,2,65,46.88819885,Beardsley Elementary,0,20.11.1993,169.6113074,sanjin-prcic,no
2,1,5,0,1,72.0,4,66,17.70260048,South Whittier Elementary,1,28.09.1985,662.4186459,james-perch,no
3,1,11,0,1,90.0,3,67,25.55929947,Hanford Elementary,0,30.11.1981,251.3790936,edu_4,no
2,2,11,1,1,78.0,5,68,26.84140015,National Elementary,0,09.06.1989,188.8673207,matthew-lowton,no
3,2,6,0,1,74.0,2,69,22.92770004,Roseland Elementary,0,29.03.1989,210.5886333,james-tomkins,no
3,2,7,0,1,82.0,3,70,19.83119965,Di Giorgio Elementary,0,27.09.1992,171.6656335,granit-xhaka,yes
3,2,10,0,1,83.0,5,71,21.25880051,Keppel Union Elementary,1,05.02.1987,197.2382585,chinedu-ede,no
1,2,5,1,1,81.0,2,72,40.36700058,Lakeside Union Elementary,0,28.06.1988,397.007757,leon-balogun,no
2,2,8,0,1,77.0,4,73,40.55260086,Merced City Elementary,0,24.02.1983,282.8459188,javier-pinola,no
3,1,4,1,1,81.0,1,74,14.15439987,Guadalupe Union Elementary,0,06.07.1976,257.5367029,rory-delap,no
3,1,8,0,1,,4,75,15.76010036,Cucamonga Elementary,0,17.01.1993,211.1623892,derrick-williams,yes
1,2,5,1,1,81.0,3,76,8.672100067,Knightsen Elementary,0,17.03.1985,333.537801,alexis-thebaux,no
3,2,5,0,1,78.0,3,77,28.91570091,Rio Dell Elementary,0,28.01.1989,179.1061278,ronny-philp,no
2,2,7,1,1,74.0,3,78,23.45680046,Montague Elementary,0,10.04.1986,244.4555483,fernando-gago,no
3,2,7,0,1,80.0,2,79,21.76469994,McCloud Union Elementary,0,17.03.1986,595.938902,felipe-santana,no
2,2,4,1,1,91.0,3,80,13.99110031,Santa Paula Elementary,0,18.03.1981,334.6487766,tom-starke,no
2,1,9,1,1,80.0,4,81,29.93630028,West Park Elementary,0,28.08.1983,862.2398414,christian-pander,no
3,1,7,1,1,72.0,2,82,22.22220039,Atwater Elementary,0,25.07.1985,198.5452502,hugo-rodallega,no
1,1,5,0,1,77.0,4,83,32.08679962,Weaver Union Elementary,1,30.05.1989,308.5788642,san-jose_2,yes
2,2,8,1,1,86.0,4,84,21.5189991,Pacific Union Elementary,0,22.09.1988,283.5985505,jens-grahl,no
3,1,8,0,1,89.0,1,85,29.44680023,Lucerne Valley Unified,0,12.06.1976,467.1318399,thomas-soerensen,no
2,1,9,1,1,88.0,4,86,14.79030037,Romoland Elementary,0,12.08.1990,1022.378431,mario-balotelli,no
2,1,5,1,1,64.0,3,87,25.37940025,El Monte City Elementary,2,08.03.1984,292.3515343,rio-mavuba,no
2,2,12,1,1,77.0,3,88,21.04330063,Greenfield Union Elementary,0,20.06.1978,614.3538855,frank-lampard,yes
3,2,5,0,1,85.0,3,89,23.69939995,Palo Verde Union Elementary,3,22.11.1987,1279.082712,marouane-fellaini,no
2,2,6,0,1,84.0,4,90,19.90410042,Elverta Joint Elementary,1,16.06.1988,484.1240194,matthieu-sans,no
3,2,7,0,1,78.0,2,91,48.3443985,Lucerne Elementary,1,04.10.1988,709.8214286,junior-fernandes,no
3,1,5,0,1,62.0,4,92,16.81609917,Luther Burbank Elementary,0,10.07.1976,222.6000928,ludovic-giuly,no
3,1,7,0,1,78.0,5,93,25.34250069,Bangor Union Elementary,1,12.08.1983,901.3178538,klaas-jan-huntelaar,yes
3,1,5,1,1,76.0,1,0,10.59319973,Bayshore Elementary,0,27.01.1980,227.7963972,andre-luiz_3,yes
3,1,4,0,1,64.0,5,1,10.27779961,Oak Valley Union Elementary,1,28.07.1987,144.1089265,pedro_7,yes
1,1,5,0,1,64.0,3,2,25.25799942,Wilsona Elementary,1,21.07.1986,238.6886856,anthony-annan,yes
3,1,9,0,1,71.0,1,3,26.90159988,Brawley Elementary,0,29.08.1985,226.3327728,gonzalo-jara,no
2,2,10,1,1,82.0,3,4,18.79999924,Meadows Union Elementary,0,11.04.1991,627.7244987,stefan-thesker,no
3,2,5,1,1,81.0,4,5,10.69120026,Little Lake City Elementary,1,21.07.1979,279.5112947,andriy-voronin,no
1,1,5,0,1,78.0,5,6,13.69859982,Pond Union Elementary,0,29.09.1984,278.8860053,renaud-cohade,no
1,1,5,1,1,82.0,2,7,26.49650002,Taft City Elementary,0,12.01.1994,145.1458305,emre-can,no
1,1,4,0,1,73.0,4,8,8.524600029,Brittan Elementary,0,13.05.1991,716.7586788,francis-coquelin,no
2,2,5,0,1,72.0,5,9,21.26250076,Arena Union Elementary,0,09.03.1988,353.041259,diego_15,no
2,1,5,1,1,80.0,4,10,19.12969971,Adelanto Elementary,1,20.12.1980,663.8137981,martin-demichelis,no
3,1,5,0,1,62.0,4,11,6.84070015,Hollister School District,0,11.02.1985,201.9264245,roy-contout,no
2,2,5,1,1,78.0,4,12,20.52370071,Palmdale Elementary,0,03.07.1987,256.319604,benoit-costil,no
3,2,5,0,1,62.0,4,13,52.21989822,Oroville City Elementary,0,05.05.1986,297.0070127,yannick-djalo,no
3,2,11,0,1,78.0,3,14,25.82979965,Standard Elementary,0,23.04.1985,231.9214044,sebastian-freis,no
2,2,4,1,1,77.0,2,15,3.990600109,Briggs Elementary,1,06.09.1983,294.2419237,stephen-kelly,no
2,1,8,1,1,77.0,4,16,18.53660011,Monroe Elementary,0,26.07.1981,305.1667894,maicon,no
1,1,6,1,1,71.0,4,17,28.1753006,Lancaster Elementary,0,13.06.1991,257.0986471,ryan-mason,no
2,1,9,1,1,80.0,5,18,11.39599991,Alview-Dairyland Union Elementary,1,06.02.1986,307.6630899,carlos-sanchez_2,no
3,2,5,0,1,74.0,5,19,12.27910042,Magnolia Elementary,0,14.12.1984,169.3991199,chris-brunt,no
2,2,5,1,1,78.0,3,20,15.61180019,Liberty Elementary,0,26.04.1991,1103.234382,benjamin-lecomte,no
2,1,9,0,1,68.0,4,21,11.92850018,Mt. Pleasant Elementary,0,25.01.1980,265.1657286,xavi,no
2,2,5,1,1,71.0,4,22,28.71999931,El Centro Elementary,0,07.01.1985,165.5732584,bnel-nicoli,no
3,2,8,0,1,87.0,5,23,17.42020035,South Bay Union Elementary,0,05.11.1979,159.6530994,patrick-owomoyela,no
1,2,4,0,1,81.0,4,24,47.2621994,Cascade Union Elementary,0,08.10.1984,363.364486,sejad-salihovic,no
3,2,10,0,1,76.0,4,25,20.67510033,Kings River Union Elementary,0,07.03.1993,137.7070477,shawn-parker,no
2,2,5,1,1,67.0,2,26,20.55050087,Gerber Union Elementary,0,01.04.1990,218.3765966,ashley-westwood_2,no
2,2,5,1,1,72.0,5,27,15.28120041,Exeter Union Elementary,3,19.07.1988,281.7121841,kevin-grosskreutz,no
2,2,6,0,1,75.0,4,28,10.69649982,American Union Elementary,0,25.04.1988,360.197089,mamadou-bah,no
1,1,5,1,1,90.0,2,29,19.68910027,San Antonio Union Elementary,0,22.11.1989,3182.825485,chris-smalling,no
3,2,5,0,1,73.0,3,30,14.41399956,Burton Elementary,5,07.05.1987,476.9658079,jeremy-menez,no
2,2,8,1,1,74.0,5,31,11.32219982,Nuview Union Elementary,1,13.09.1981,359.4370263,antonio-lopez_2,no
3,2,9,1,1,63.0,2,32,20.96660042,Bellevue Union Elementary,0,04.04.1989,1389.275135,vurnon-anita,no
2,2,7,1,1,76.0,4,33,34.59420013,Garvey Elementary,0,26.12.1990,259.9097101,aaron-ramsey,no
2,2,7,1,1,70.0,2,34,24.4151001,Corning Union Elementary,0,04.08.1985,325.0702786,antonio-valencia_2,no
2,2,6,1,1,74.0,2,35,6.49119997,Jefferson Elementary,1,12.11.1983,203.8134914,dawda-bah,no
2,2,5,0,1,81.0,4,36,9.416999817,Big Springs Union Elementary,0,01.03.1984,455.6992147,patrick-helmes,no
3,2,5,0,1,75.0,4,37,7.14289999,General Shafter Elementary,0,24.04.1987,374.0704574,serdar-tasci,no
1,2,8,0,1,78.0,2,38,16.40239906,Turlock Joint Elementary,1,25.08.1990,167.4139358,salif-sane,no
3,2,8,0,1,70.0,2,39,11.71049976,Twain Harte-Long Barn Union Elementary,0,23.08.1984,1554.068638,glen-johnson,no
3,1,6,0,1,79.0,3,40,7.487500191,Redwood City Elementary,1,03.02.1978,163.0770961,capdevila,no
3,2,8,0,1,81.0,3,41,7.664199829,Camino Union Elementary,1,07.12.1980,215.4828412,clemens-fritz,no
1,1,6,0,1,73.0,2,42,32.38100052,Plainsburg Union Elementary,0,18.07.1987,700.8447955,claudio-yacob,no
1,1,8,0,1,75.0,2,43,12.72729969,Banta Elementary,0,06.05.1990,226.5919131,peter-gulacsi,no
2,2,8,1,1,77.0,4,44,14.22119999,Washington Colony Elementary,0,08.12.1978,163.6014893,frederic-piquionne,no
2,2,7,1,1,72.0,1,45,37.22689819,Rio Linda Union Elementary,0,26.06.1980,268.7399645,remy-vercoutre,no
1,1,5,1,1,78.0,2,46,7.178800106,Chatom Union Elementary,0,18.06.1982,336.2746389,casto,no
2,1,10,1,1,77.0,5,47,18.06170082,Merced River Union Elementary,1,22.05.1992,217.192202,robin-knoche,no
3,1,6,0,3,76.0,5,48,12.39900017,Hueneme Elementary,0,12.09.1990,284.0568698,jonathan-obika,no
3,2,6,0,3,72.0,2,49,19.46310043,Cuddeback Union Elementary,1,24.11.1986,418.5316515,pedro-leon,yes
2,1,7,1,3,70.0,3,50,19.1303997,Blue Lake Union Elementary,0,12.02.1977,370.4350865,omar-daf,yes
3,1,5,0,3,76.0,1,51,17.47610092,Lemon Grove Elementary,0,01.09.1989,334.650244,daniel-sturridge,no
3,2,6,0,3,85.0,4,52,37.4367981,Upper Lake Union Elementary,0,02.06.1993,288.2862022,patrick-rakovsky,no
2,1,6,1,3,75.0,5,53,25.0,Peninsula Union Elementary,0,26.06.1987,199.5288901,samuel-bouhours,no
2,1,8,0,3,90.0,4,54,7.275899887,Ocean View Elementary,0,16.10.1991,3205.69902,kevin-pannewitz,no
2,1,8,0,3,78.0,1,55,11.19400024,Reeds Creek Elementary,0,24.02.1985,438.5496183,william-kvist,no
2,2,8,1,3,82.0,4,56,16.76300049,Arcohe Union Elementary,1,04.09.1985,91.6531945,raul-albiol,no
3,2,4,0,3,87.0,2,57,7.589300156,New Jerusalem Elementary,0,17.10.1977,177.0354906,dudu-aouate,no
3,1,6,0,3,85.0,2,58,26.64229965,Dunsmuir Elementary,3,15.07.1986,288.6625303,david-abraham,no
2,1,4,1,3,70.0,4,59,26.16760063,Stanislaus Union Elementary,1,12.03.1992,224.5939131,jordan-ferri,no
2,1,9,0,3,75.0,2,60,10.25259972,Kingsburg Joint Union Elementary,0,21.11.1986,199.5857654,johannes-van-den-bergh,no
3,1,4,0,3,82.0,4,61,10.30949974,Buena Park Elementary,1,29.01.1980,171.0137134,ivan-klasnic,no
2,1,6,1,3,80.0,5,62,13.04300022,Westminster Elementary,0,17.03.1986,648.8775942,felipe-santana,no
2,1,8,1,3,86.0,4,63,9.756099701,Island Union Elementary,0,20.01.1984,442.4932124,karim-haggui,no
2,1,9,1,3,74.0,4,64,26.62680054,Tulare City Elementary,0,16.07.1989,120.0249108,gareth-bale,no
3,1,7,0,3,75.0,2,65,13.22719955,Chula Vista Elementary,1,07.10.1980,175.1680071,matthieu-chalme,no
3,2,5,0,3,85.0,2,66,25.36689949,Black Butte Union Elementary,0,20.06.1981,272.3692846,brede-hangeland,no
3,2,7,0,3,80.0,2,67,10.17879963,McSwain Union Elementary,0,16.05.1981,153.131245,ricardo-costa,no
2,1,4,0,3,67.0,5,68,6.684500217,Franklin Elementary,0,12.08.1989,147.9720695,tom-cleverley,no
2,2,5,0,3,85.0,5,69,11.22169971,Escondido Union Elementary,0,04.04.1987,161.4471893,sami-khedira,no
2,1,8,1,3,84.0,3,70,10.02270031,East Whittier City Elementary,0,26.11.1989,345.9244533,cala,no
2,1,4,1,3,93.0,4,71,7.026299953,Rio Bravo-Greeley Union Elementary,1,17.05.1990,721.333787,fabian-giefer,no
2,2,4,1,3,70.0,2,72,3.571399927,Marcum-Illinois Union Elementary,0,22.05.1986,352.2378909,matthew-jarvis,no
2,2,4,0,3,80.0,4,73,6.808499813,Vallecitos Elementary,0,14.05.1979,284.4332753,mickael-landreau,no
3,2,5,0,3,65.0,3,74,23.19750023,Victor Elementary,1,28.07.1993,882.7856793,harry-kane,no
2,2,9,1,3,66.0,4,75,8.151499748,Savanna Elementary,1,02.06.1983,284.8888762,maxime-baca,no
3,2,9,0,3,81.0,4,76,3.225800037,West Side Union Elementary,0,13.10.1984,245.6586192,nicolas-fauvergue,no
2,2,5,1,3,76.0,4,77,41.77339935,Enterprise Elementary,0,25.10.1977,570.6101404,bodipo,no
1,2,5,0,3,66.0,4,78,17.97509956,Red Bluff Union Elementary,0,11.11.1983,609.5457159,philipp-lahm,no
2,1,5,1,3,80.0,3,79,20.63489914,Jamestown Elementary,0,10.10.1986,561.4278288,vadim-demidov,no
1,2,8,0,3,79.0,2,80,31.33049965,Weed Union Elementary,0,20.03.1985,195.0565307,sascha-moelders,no
3,2,8,0,3,70.0,2,81,26.43479919,South Bay Union Elementary,0,17.06.1982,183.7247595,alexandre-alphonse,no
1,1,5,0,3,84.0,3,82,5.54129982,Brentwood Union Elementary,0,21.05.1986,278.6637569,mario-mandzukic,no
2,1,5,1,3,66.0,2,83,21.9958992,Summerville Elementary,0,02.12.1990,196.3877277,gaston-ramirez,no
2,1,8,0,3,78.0,4,84,1.754400015,Ophir Elementary,0,16.06.1980,342.9988291,brandao,no
2,1,7,0,3,64.0,4,85,13.54170036,Montgomery Elementary,0,03.06.1992,3775.563713,mario-goetze,no
2,2,9,1,3,,5,86,14.70940018,Santa Rosa Elementary,0,22.10.1993,136.4907088,gael-bigirimana,no
3,2,6,0,3,80.0,4,87,8.368200302,Salida Union Elementary,0,06.12.1988,201.0991319,nils-petersen,no
2,2,8,0,3,74.0,3,88,28.0991993,Shasta Union Elementary,0,24.12.1978,219.6759102,souleymane-diawara,no
2,2,7,1,3,79.0,4,89,16.5394001,Fortuna Union Elementary,0,11.07.1984,239.0552995,martin-lanig,no
1,2,9,1,3,71.0,3,90,13.0031004,Rockford  Elementary,1,03.05.1985,264.7809443,ezequiel-lavezzi,no
2,2,5,1,3,84.0,4,91,7.85710001,Plaza Elementary,0,27.03.1988,231.613534,fran-miranda,no
2,2,8,1,3,77.0,3,92,25.4144001,Monte Rio Union Elementary,0,22.04.1980,293.3038185,nicolas-douchez,no
3,2,7,0,3,72.0,2,93,9.259300232,Janesville Union Elementary,0,13.03.1979,233.8393437,cata-diaz,no
2,2,8,0,3,,4,0,3.669699907,Magnolia Union Elementary,1,23.10.1992,210.9102968,michael-harriman,no
1,1,7,0,3,87.0,1,1,13.95349979,Shaffer Union Elementary,0,15.01.1985,126.6578346,rene-adler,no
1,1,8,1,3,73.0,3,2,7.623099804,Fullerton Elementary,0,13.06.1980,183.4437615,florent-malouda,no
3,1,7,0,3,72.0,4,3,3.793100119,Cinnabar Elementary,1,02.03.1983,335.478426,lisandro-lopez,no
2,2,6,1,3,73.0,4,4,7.179599762,Santa Barbara Elementary,0,03.06.1985,562.3242737,papiss-demba-cisse,no
1,2,6,1,3,73.0,4,5,20.33609962,Rohnerville Elementary,2,16.07.1988,245.1982019,busquets_2,no
2,2,8,1,3,78.0,2,6,10.58819962,Pleasant Grove Joint Union Elementary,0,29.03.1977,227.6469325,jens-langeneke,no
3,1,5,0,3,60.0,1,7,33.53659821,Mountain Union Elementary,0,19.12.1993,392.0684993,leonardo-bittencourt,no
2,1,5,1,3,69.0,4,8,29.23830032,South Fork Union Elementary,0,21.03.1992,215.7572082,julian-korb,no
1,1,8,0,3,76.0,2,9,4.34070015,Jamul-Dulzura Union Elementary,0,15.10.1988,287.1144422,mesut-oezil,no
2,2,9,0,3,73.0,4,10,12.8725996,Live Oak Elementary,0,14.11.1985,311.0847962,thomas-vermaelen,no
2,2,5,1,3,75.0,4,11,5.751900196,Menifee Union Elementary,0,16.01.1981,558.9472916,bobby-zamora,no
3,1,8,0,3,78.0,5,12,4.413599968,Lakeside Union Elementary,0,26.08.1988,349.8542274,lars-stindl,no
3,1,6,0,3,84.0,2,13,5.482699871,Whisman Elementary,1,21.05.1986,167.9763167,mario-mandzukic,no
2,1,4,1,3,,3,14,5.597000122,McCabe Union Elementary,0,06.09.1989,296.2686915,florian-raspentino,no
2,1,6,1,3,75.0,2,15,5.537499905,Lammersville Elementary,0,27.03.1984,264.1566722,brett-holman,no
2,1,5,1,3,64.0,2,16,18.44379997,Lassen View Union Elementary,0,25.10.1981,301.4503744,shaun-wright-phillips,no
2,2,7,1,3,79.0,2,17,29.16670036,Loleta Union Elementary,1,30.01.1981,208.5143354,dimitar-berbatov,no
2,2,9,1,3,68.0,4,18,10.50660038,Junction Elementary,1,06.06.1990,344.8959366,pape-souare,no
2,2,6,0,3,63.0,1,19,24.02199936,Rosemead Elementary,0,07.10.1987,341.7661848,james-mcarthur,no
3,1,6,0,3,87.0,2,20,12.12709999,Grass Valley Elementary,0,17.10.1977,588.3944272,dudu-aouate,no
2,2,7,1,3,77.0,4,21,10.42940044,Buena Vista Elementary,0,16.02.1982,379.2454698,rickie-lambert,no
2,1,6,1,3,66.0,3,22,34.1894989,Kernville Union Elementary,0,01.11.1994,274.9937878,james-ward-prowse,no
3,1,6,0,3,72.0,2,23,11.35890007,Galt Joint Union Elementary,0,27.04.1989,162.8468034,sven-bender,no
1,1,7,0,3,73.0,2,24,1.898699999,Southside Elementary,0,23.11.1986,199.4791378,alfaro_2,no
3,2,5,0,3,77.0,2,25,8.541999817,Lakeside Union Elementary,0,02.03.1986,141.3510807,petr-jiracek,no
2,1,8,1,3,77.0,2,26,5.825200081,Nuestro Elementary,0,14.03.1981,429.8701785,jan-polak,yes
1,1,8,1,3,83.0,5,27,14.85709953,Alvina Elementary,1,12.06.1987,6297.376093,barragan_3,yes
2,2,5,1,3,86.0,4,28,7.526899815,Oakley Union Elementary,0,24.08.1991,385.9590191,stefan-bell,yes
3,1,7,1,3,,4,29,8.695699692,Etna Union Elementary,0,25.09.1992,358.4467308,massimo-luongo,yes
2,1,8,1,3,79.0,1,30,3.084199905,Jefferson Elementary,0,01.08.1984,507.9041305,bastian-schweinsteiger,yes
3,1,5,0,3,69.0,5,31,7.496600151,Berryessa Union Elementary,0,24.03.1984,491.1646813,benoit-assou-ekotto,yes
2,1,5,1,3,72.0,3,32,8.73789978,Kit Carson Union Elementary,0,20.09.1983,285.005581,landry-bonnefoi,no
2,2,5,1,3,66.0,4,33,12.67850018,Sylvan Union Elementary,0,20.06.1986,423.8835704,mathieu-coutadeur,no
1,1,5,0,3,85.0,4,34,9.036100388,Oak View Union Elementary,0,25.03.1990,224.2940143,alexander-esswein,no
2,2,5,1,3,84.0,4,35,11.12639999,Auburn Union Elementary,1,12.10.1981,200.5233786,shola-ameobi,no
3,1,7,1,3,85.0,3,36,6.725699902,North County Joint Union Elementary,0,21.06.1987,315.3171696,sebastian-proedl,no
1,1,5,0,3,63.0,1,37,7.508500099,Pioneer Union Elementary,0,20.09.1991,128.9171768,pozuelo,no
2,2,5,1,3,76.0,4,38,7.063899994,Central Elementary,1,17.05.1983,729.7762478,axel-bellinghausen,no
3,1,6,0,3,80.0,2,39,16.4144001,Pacheco Union Elementary,0,19.04.1987,526.7501031,joe-hart,no
2,1,9,1,3,69.0,4,40,8.275899887,Chicago Park Elementary,0,29.05.1981,254.1010792,andrey-arshavin,no
3,2,6,0,3,90.0,3,41,3.852099895,Brisbane Elementary,1,11.01.1980,189.5085807,christian-wetklo,no
3,2,8,0,3,71.0,5,42,2.962500095,Central Union Elementary,1,28.05.1983,1025.641026,marco-estrada,no
1,1,6,1,3,71.0,4,43,24.90320015,Happy Valley Union Elementary,0,21.07.1989,737.5076222,chris-gunter,no
2,1,5,1,3,68.0,4,44,12.98869991,Mark Twain Union Elementary,1,22.04.1986,321.7158177,sisi,no
