ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15,player,religiousness,expenditure,school,persons,games,f_other,n_other,students,occupation
41,1979,Frederic,2.5,946,0,3,5,12770.0,34.0,MWR,2.0625,120,14350,Liam Ridgewell,3,5238.39209,Knightsen Elementary,4,3,7,10,11,5
42,1980,Allen,2.666667,945,0,3,2,2130.0,33.0,MWR,2.03125,115,2450,Javier Pinola,4,7290.338867,Las Lomitas Elementary,4,1,7,10,33,1
43,1983,Alicia,9.833333,962,1,3,21,10400.0,30.0,MWR,9.34375,115,12000,Florent Malouda,2,5117.141602,King City Union Elementary,4,3,4,6,95,3
44,1984,Diana,9.944444,949,1,2,3,410.0,29.0,MWR,9.21875,110,490,Claudio Pizarro,2,5172.019531,Magnolia Elementary,2,1,3,5,10,6
45,1985,Bob,1.666667,1002,0,1,0,130.0,28.0,MWR,1.71875,75,150,Vegar Hedenstad,3,5281.708984,Encinitas Union Elementary,4,1,3,5,348,5
46,1985,Danny,2.222222,987,0,1,1,160.0,28.0,MWR,2.90625,90,170,Sebastian Larsson,3,5467.673828,Ocean View Elementary,4,21,7,10,25,5
47,1985,Elena,9.722222,959,1,3,4,4180.0,28.0,MWR,8.71875,115,4600,Hajime Hosogai,4,5133.009766,Mother Lode Union Elementary,2,1,7,10,7,6
48,1985,Gloria,9.5,942,1,3,8,3020.0,28.0,MWR,9.1875,120,3340,David Fox,2,4993.634766,Pleasant Ridge Union Elementary,2,1,7,10,23,4
49,1985,Juan,1.944444,971,0,1,12,4730.0,28.0,MWR,1.875,85,5230,Roque Santa Cruz,2,6026.359863,Pixley Union Elementary,3,2,3,5,42,6
50,1985,Kate,9.666667,967,1,2,5,1310.0,28.0,MWR,9.1875,100,1480, Isma López,3,6313.373535,Montague Elementary,4,1,3,5,9,2
51,1986,Bonnie,9.388889,990,1,1,3,6.0,27.0,MWR,9.25,85,6, Thiago,3,5182.365723,Alpine Union Elementary,2,2,7,10,47,5
52,1986,Charley,2.888889,990,0,1,5,58.0,27.0,MWR,4.0,75,66,Massimo Luongo,2,6384.911133,Sunol Glen Unified,3,2,4,6,81,6
53,1987,Floyd,1.833333,993,0,1,0,1.0,26.0,MWR,2.40625,75,1,Moussa Sissoko,5,5433.593262,Lamont Elementary,3,4,7,10,20,5
54,1988,Florence,8.333333,984,1,1,1,4.0,25.0,MWR,7.875,80,4,Alex Smith,2,7614.379395,Pacific Elementary,4,1,7,10,25,3
55,1989,Chantal,9.055556,986,1,1,13,290.0,24.0,MWR,8.3125,80,320,Korey Smith,3,4965.808105,Columbia Elementary,1,3,7,10,10,5
56,1989,Hugo,2.888889,934,0,4,21,20020.0,24.0,MWR,2.0,140,22690,Stilian Petrov,4,5784.625,Mt. Shasta Union Elementary,3,10,7,10,11,5
57,1989,Jerry,2.333333,983,0,1,3,230.0,24.0,MWR,2.78125,85,260,Leyti N'Diaye,4,4522.375488,Rosedale Union Elementary,3,1,7,10,21,1
58,1991,Bob,1.666667,962,0,2,15,3620.0,22.0,MWR,1.71875,105,4020,Mickaël Landreau,2,5462.899414,Rio Dell Elementary,3,3,9,13,23,1
59,1992,Andrew,2.222222,922,0,5,62,66730.0,21.0,MWR,1.78125,170,75260,Ján Mucha,1,5098.626953,Atwater Elementary,2,1,9,13,102,5
60,1993,Emily,9.833333,960,1,3,3,96.0,20.0,MWR,10.03125,115,110, Cuéllar,3,4920.777344,Waugh Elementary,2,5,4,6,19,5
61,1995,Erin,7.222222,973,1,2,6,1650.0,18.0,MWR,7.125,100,1850,Holger Badstuber,3,5356.833496,Adelanto Elementary,2,1,7,10,15,5
62,1995,Opal,8.5,942,1,3,9,7550.0,18.0,MWR,7.65625,115,8600,Marc Tierney,4,5415.152832,Woodlake Union Elementary,4,1,3,5,30,5
63,1996,Bertha,8.5,974,1,2,8,700.0,17.0,MWR,7.375,105,810, Ramires,2,5235.774902,Rincon Valley Union Elementary,1,4,3,5,17,6
64,1996,Fran,7.166667,954,1,3,26,8260.0,17.0,MWR,7.0625,115,9610,Edin Džeko,3,5149.186523,Red Bluff Union Elementary,4,5,3,5,23,5
65,1997,Danny,2.222222,984,0,1,10,200.0,16.0,MWR,2.90625,80,220,Sanjin Prcić,3,5771.383789,Douglas City Elementary,3,1,7,10,10,5
66,1998,Bonnie,9.388889,964,1,2,3,1650.0,15.0,MWR,9.25,110,1910,James Perch,2,4941.787598,Laguna Salada Union Elementary,2,2,4,6,5,5
67,1998,Earl,1.888889,987,0,1,3,160.0,15.0,MWR,1.875,80,180, Edu,4,5485.496094,Fairfax Elementary,4,1,3,5,17,1
68,1998,Georges,2.277778,964,0,2,1,3870.0,15.0,MWR,3.375,105,4230,Matthew Lowton,4,5373.206543,Jamestown Elementary,4,1,3,5,74,6
69,1999,Bret,2.333333,951,0,3,0,94.0,14.0,MWR,2.90625,115,100,James Tomkins,2,5884.432129,Weaverville Elementary,2,1,7,10,15,1
70,1999,Floyd,1.833333,956,0,2,56,8130.0,14.0,MWR,2.40625,105,9200,Granit Xhaka,4,4960.515625,Burton Elementary,3,1,9,13,44,3
71,1999,Irene,9.277778,987,1,1,8,1430.0,14.0,MWR,8.5625,80,1610,Chinedu Ede,2,5346.15625,Latrobe Elementary,1,4,4,6,31,1
72,2002,Lili,10.333333,963,1,1,2,1260.0,11.0,MWR,9.59375,90,1380,Leon Balogun,5,4016.41626,Lake Elementary,2,1,7,10,18,1
73,2003,Claudette,9.166667,979,1,1,3,250.0,10.0,MWR,8.71875,90,280,Javier Pinola,4,4138.305664,Columbine Elementary,2,1,3,5,27,5
74,2003,Isabel,9.388889,957,1,2,51,4980.0,10.0,MWR,9.625,105,5610,Rory Delap,4,5107.086426,Wasco Union Elementary,1,1,3,5,79,5
75,2004,Alex,4.166666,972,0,1,1,5.0,9.0,MWR,4.0625,80,6,Derrick Williams,1,5645.495605,Alum Rock Union Elementary,3,2,4,6,31,3
76,2004,Charley,2.888889,941,0,4,10,20510.0,9.0,MWR,4.0,150,24590,Alexis Thébaux,5,5211.485352,Placerville Union Elementary,4,6,3,5,36,6
77,2004,Frances,6.0,960,1,2,7,12620.0,9.0,MWR,6.03125,105,14820,Ronny Philp,3,6231.601563,Bangor Union Elementary,1,2,7,10,84,5
78,2004,Gaston,2.666667,985,0,1,8,170.0,9.0,MWR,2.40625,75,200,Fernando Gago,3,5230.876953,Lafayette Elementary,4,1,3,5,18,6
79,2004,Ivan,1.055556,946,0,3,25,18590.0,9.0,MWR,2.09375,120,21340, Felipe Santana,4,7711.506836,Woodside Elementary,4,1,9,13,9,4
80,2004,Jeanne,8.5,950,1,3,5,10210.0,9.0,MWR,7.90625,120,12180,Tom Starke,3,5526.236816,Robla Elementary,4,1,3,5,9,3
81,2005,Cindy,9.944444,991,1,1,1,350.0,8.0,MWR,8.9375,75,370,Christian Pander,1,7593.405762,Hillsborough City Elementary,1,1,7,10,22,3
82,2005,Dennis,2.444444,946,0,3,15,2650.0,8.0,MWR,2.0,120,2930,Hugo Rodallega,3,4555.464355,Livingston Union Elementary,3,1,7,10,22,6
83,2005,Katrina,9.46875,920,1,3,1833,,8.0,uri,9.46875,125,88420, San José,5,5589.885254,Buttonwillow Union Elementary,4,1,4,6,24,4
84,2005,Ophelia,9.166667,982,1,1,1,91.0,8.0,MWR,9.125,75,100,Jens Grahl,4,5181.57959,South Whittier Elementary,3,1,9,13,11,4
85,2005,Rita,9.5,937,1,3,62,10690.0,8.0,MWR,8.4375,115,11280,Thomas Sørensen,3,4741.957031,General Shafter Elementary,1,11,7,10,53,1
86,2005,Wilma,8.611111,950,1,3,5,25960.0,8.0,MWR,8.375,120,29330,Mario Balotelli,4,5347.458496,Soledad Unified,4,1,4,6,10,6
87,2007,Humberto,2.388889,985,0,1,1,51.0,6.0,MWR,2.21875,90,55,Rio Mavuba,1,5329.002441,Pacific Union Elementary,4,7,7,10,94,5
88,2008,Dolly,9.833333,963,1,1,1,1110.0,5.0,MWR,10.0625,85,1260,Frank Lampard,4,4700.432129,Ackerman Elementary,2,1,3,5,30,3
89,2008,Gustav,1.722222,951,0,2,52,4360.0,5.0,MWR,2.09375,105,4800,Marouane Fellaini,3,4273.993164,North Cow Creek Elementary,3,8,4,6,133,3
90,2008,Ike,1.888889,935,0,2,84,20370.0,5.0,MWR,2.21875,110,23070,Matthieu Sans,4,5205.941895,Cambrian Elementary,3,2,4,6,26,5
91,2011,Irene,9.277778,952,1,1,41,7110.0,2.0,MWR,8.5625,75,7580,Junior Fernandes,3,5125.433105,Stanislaus Union Elementary,3,1,3,5,34,5
92,2012,Isaac,1.944444,965,0,1,5,24000.0,1.0,MWR,2.0,80,2400,Ludovic Giuly,5,4777.512695,Mountain View Elementary,2,2,3,5,52,7
93,2012,Sandy,9.0,945,1,2,159,75000.0,1.0,MWR,7.9375,75,52270,Klaas-Jan Huntelaar,2,4751.299805,Lassen View Union Elementary,1,15,3,5,16,4
