rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,defeats,other,gender_mf,english,calworks,rater2,victories,nuts_opened,height,eval
1551,0,male,22.0,15.0,yes,3,17,1,1,1,2,1,5.405405521,9.837900162,0.25,0,0,180.0,3.8
381,12,male,27.0,1.5,yes,3,18,1,1,0,5,0,40.68181992,8.524600029,0.25,3,21,180.0,3.6
194,0,female,52.0,4.0,yes,3,18,1,5,3,2,1,0.0,13.98849964,0.5,1,14,188.0,4.3
747,0,female,37.0,4.0,yes,4,16,5,4,0,2,1,5.249204636,10.42940044,0.5,1,10,181.0,4.7
992,0,female,32.0,10.0,yes,2,17,5,5,0,6,0,4.984348774,22.19470024,0.5,0,49,180.0,3.4
1594,0,female,22.0,15.0,yes,1,14,6,3,1,3,1,28.86370468,9.756099701,0.25,1,5,172.0,3.6
949,0,male,27.0,15.0,yes,3,14,5,3,0,2,0,65.51210022,3.852099895,0.0,1,4,172.0,3.9
1068,0,female,27.0,7.0,yes,4,20,6,5,0,2,1,0.1474926174,2.598999977,0.25,0,0,181.0,4.2
1218,0,male,32.0,1.5,yes,4,16,4,5,0,4,0,15.85902977,5.373799801,,3,0,178.0,4.3
299,0,female,22.0,4.0,no,2,17,1,3,0,5,1,44.97186661,13.37580013,0.25,0,1,177.0,3.6
1305,12,male,27.0,15.0,no,1,17,3,2,0,2,1,3.765690327,29.23830032,0.0,0,0,186.0,4.4
1140,12,female,32.0,1.5,no,4,17,5,5,0,2,0,13.75921345,17.55319977,0.25,0,0,,2.9
1221,1,male,37.0,4.0,yes,2,20,1,3,1,6,1,1.447921515,2.752300024,1.0,1,8,164.0,4.0
1038,0,female,22.0,1.5,yes,4,20,1,4,0,4,1,31.20415497,3.990600109,0.0,1,3,180.0,3.0
55,0,female,27.0,7.0,yes,4,16,3,5,0,5,1,0.0,10.02270031,,3,0,186.0,3.9
1814,12,male,37.0,4.0,yes,3,20,1,5,1,3,1,9.722222328,33.90800095,0.25,2,41,184.0,3.2
418,0,male,22.0,4.0,no,5,12,5,4,1,2,1,15.48769474,19.68910027,0.0,1,4,188.0,2.5
449,12,male,27.0,7.0,yes,5,16,6,2,0,5,1,9.887005806,2.395900011,0.0,0,8,180.0,4.0
945,7,female,47.0,4.0,yes,2,18,4,4,2,2,0,52.80478668,10.41189957,,0,0,180.0,3.8
1125,0,female,22.0,15.0,yes,5,14,1,5,0,5,1,30.28339958,3.729799986,0.75,1,6,180.0,3.7
1424,0,male,37.0,15.0,no,1,14,5,5,1,2,1,22.69129372,20.52370071,0.75,5,13,178.0,4.0
409,7,male,27.0,10.0,no,4,16,6,4,0,2,1,2.47863245,5.45389986,0.0,1,0,178.0,4.2
1904,0,female,42.0,1.5,yes,2,16,5,5,2,2,1,3.846153975,6.005199909,0.25,0,0,183.0,3.5
705,12,female,32.0,10.0,no,3,18,5,4,0,6,1,40.49118423,8.218299866,0.25,1,5,181.0,4.6
1226,0,male,22.0,15.0,yes,5,16,1,2,0,2,0,4.278074741,2.593699932,0.0,0,5,194.0,3.5
1166,0,male,37.0,0.75,yes,5,16,6,4,2,5,0,44.08506012,6.20690012,0.25,1,25,188.0,4.3
1818,0,female,37.0,7.0,no,5,20,6,3,1,4,1,0.0,33.10860062,,2,8,170.0,3.6
914,0,female,37.0,1.5,yes,3,14,4,5,0,6,0,36.92946243,25.4144001,0.25,0,0,175.0,4.8
176,0,male,42.0,4.0,yes,3,16,5,5,0,5,1,0.0,10.30949974,,9,8,188.0,4.2
1730,0,female,47.0,10.0,no,3,16,5,4,0,2,0,11.06194687,4.413599968,0.0,1,2,182.0,3.4
1776,0,male,37.0,1.5,yes,5,14,5,2,3,3,1,5.995934963,5.982299805,0.0,0,36,180.0,4.0
1595,7,male,37.0,4.0,yes,5,20,4,4,1,5,0,5.485232353,12.67850018,0.5,2,0,171.0,3.3
1752,0,female,32.0,15.0,yes,3,16,5,5,0,2,0,27.66522789,11.92850018,0.0,0,5,168.0,3.6
1439,0,female,27.0,15.0,no,4,16,1,5,1,1,1,35.44303894,17.44260025,0.5,0,6,175.0,4.2
734,0,female,37.0,15.0,no,5,18,2,5,0,2,1,9.548611641,1.049299955,0.25,2,5,195.0,4.4
518,0,female,22.0,15.0,no,1,17,6,3,0,5,0,0.0,27.48539925,0.25,0,31,185.0,3.0
1920,0,female,32.0,15.0,yes,2,17,5,2,1,5,0,0.1329787225,7.526899815,0.0,0,1,170.0,3.1
723,0,female,22.0,7.0,yes,3,18,4,3,1,1,1,68.71794891,22.22220039,0.25,1,0,180.0,4.9
49,0,female,22.0,15.0,yes,3,14,1,2,0,1,1,13.85767746,13.75,0.0,0,1,178.0,3.1
1615,2,male,32.0,15.0,yes,4,16,6,5,0,5,0,0.1416430622,3.530499935,0.0,1,0,193.0,3.6
968,0,male,32.0,0.125,no,4,17,6,5,0,2,0,4.464285851,37.22689819,0.25,1,36,185.0,4.3
875,0,male,27.0,4.0,yes,3,17,1,4,2,4,0,30.14888382,32.38100052,,0,4,182.0,3.7
647,1,male,22.0,0.75,yes,4,18,3,3,0,2,1,0.2640612721,32.08679962,1.0,0,9,189.0,3.6
1685,1,male,32.0,15.0,no,5,18,7,4,2,2,1,50.39059067,20.92740059,0.25,0,1,195.0,4.6
1299,3,male,42.0,15.0,yes,2,14,5,5,1,5,0,50.39059067,4.467400074,1.0,0,36,192.0,3.1
1784,0,male,37.0,1.5,yes,3,12,3,5,0,2,1,30.07915688,5.35710001,0.25,1,0,175.0,3.9
1960,0,female,47.0,15.0,no,5,18,6,5,0,4,1,34.70020676,10.07190037,,1,0,189.0,4.5
422,0,female,27.0,15.0,no,3,20,7,4,4,1,0,16.61744499,11.71049976,0.5,4,0,190.0,3.7
1876,0,male,22.0,10.0,yes,2,14,5,3,0,5,1,8.173913002,0.0,0.25,1,0,190.0,4.9
848,0,male,27.0,0.75,yes,4,20,5,4,1,1,0,0.0,23.45680046,0.25,0,27,181.0,4.6
743,0,female,42.0,4.0,no,3,16,6,3,1,4,1,20.53388023,19.90410042,0.0,2,0,183.0,4.0
12,0,male,32.0,1.5,yes,1,18,6,5,1,2,1,2.02212882,10.4847002,0.0,0,2,195.0,3.9
909,0,female,27.0,0.75,yes,3,18,5,3,0,4,1,2.773155928,21.04330063,0.25,1,16,183.0,3.4
383,12,female,27.0,15.0,no,4,14,6,5,0,6,1,52.24312592,2.242199898,0.25,0,0,183.0,3.3
482,0,female,57.0,4.0,yes,2,18,5,4,7,2,1,31.82458305,9.302300453,,1,4,168.0,4.0
1295,0,male,57.0,15.0,yes,4,18,1,4,3,6,0,11.49635029,12.26889992,0.25,0,6,175.0,3.4
362,0,male,27.0,10.0,yes,1,14,5,3,1,2,1,15.45893669,32.18999863,1.0,0,41,185.0,4.0
93,0,male,27.0,15.0,yes,3,14,5,3,0,2,1,18.2857132,11.12639999,0.0,0,0,175.0,4.8
925,0,female,32.0,7.0,yes,2,18,4,4,1,3,1,39.39999771,11.39599991,,1,30,185.0,4.6
754,0,male,42.0,10.0,yes,4,14,4,5,1,3,1,22.84569168,33.53659821,0.25,0,27,183.0,4.0
447,0,female,52.0,15.0,no,2,14,6,4,0,2,0,13.06739998,12.27910042,0.25,0,0,176.0,3.4
528,12,male,32.0,7.0,yes,3,14,4,5,4,4,1,40.27592087,0.0,0.25,1,7,171.0,3.1
594,0,female,27.0,7.0,yes,5,16,1,4,1,2,0,35.25,18.06170082,0.25,7,15,173.0,3.9
1650,12,male,27.0,1.5,yes,4,20,5,5,0,2,1,54.60993195,34.77270126,1.0,1,0,179.0,3.5
1786,0,male,22.0,10.0,yes,4,18,5,2,1,6,0,2.970297098,5.613399982,,0,10,177.0,4.5
168,0,female,32.0,7.0,yes,4,16,6,5,0,6,0,14.4291935,20.67510033,0.0,4,0,180.0,3.8
4,0,male,27.0,4.0,yes,4,17,6,5,1,5,1,28.57143021,1.754400015,0.0,1,11,182.0,4.3
1929,0,male,32.0,15.0,yes,5,18,5,2,0,2,0,55.89254379,15.61180019,0.0,1,0,176.0,2.8
1011,1,male,22.0,7.0,yes,3,20,6,5,0,2,1,2.187120438,3.821099997,0.25,1,24,188.0,3.2
1497,0,male,32.0,10.0,yes,3,12,5,4,0,5,1,16.17171478,11.28979969,,2,13,180.0,4.4
1419,0,female,32.0,0.125,yes,2,17,4,2,1,4,1,49.64253235,8.695699692,0.0,2,1,189.0,4.7
1056,0,female,22.0,1.5,yes,4,17,6,4,0,2,1,2.050405741,3.084199905,0.25,4,0,183.0,4.4
1087,0,female,27.0,4.0,yes,2,17,1,4,5,1,1,9.62441349,28.91570091,0.25,1,4,189.0,3.3
129,2,female,32.0,1.5,no,2,20,5,5,3,2,1,45.10869598,13.53009987,1.0,2,11,180.0,4.3
1930,0,female,42.0,15.0,yes,2,20,5,3,5,4,0,7.627118587,18.53660011,0.0,1,5,177.0,3.9
586,0,male,27.0,0.75,no,4,14,6,4,0,3,1,13.05732441,8.672100067,0.5,5,2,178.0,4.8
448,0,female,22.0,15.0,no,3,14,5,5,1,5,1,34.65346527,78.99420166,0.25,1,2,175.0,4.1
1567,1,male,37.0,1.5,no,4,14,1,5,1,2,0,32.98949051,35.5625,0.0,1,22,186.0,3.9
950,0,male,37.0,15.0,no,2,20,1,4,1,2,0,43.75,6.329100132,,2,0,175.0,3.8
115,7,female,27.0,4.0,no,3,14,5,4,0,2,1,50.85763168,33.90800095,0.25,1,13,180.0,3.6
1799,0,female,17.5,7.0,yes,4,17,3,3,0,2,0,0.0,15.31989956,0.25,0,30,177.0,3.7
1384,0,male,22.0,10.0,yes,1,17,6,5,1,6,0,15.34977436,6.923500061,0.0,0,51,188.0,2.9
719,0,female,32.0,1.5,no,3,17,1,3,1,6,1,58.90736389,8.403400421,0.0,1,1,169.0,3.9
1266,3,female,42.0,1.5,yes,5,14,3,4,2,2,0,5.382436275,8.979599953,0.25,2,51,191.0,4.6
1195,12,male,37.0,15.0,no,5,14,3,2,1,4,1,4.285714626,26.90159988,,5,9,189.0,4.2
1150,1,male,27.0,15.0,no,4,20,5,5,3,2,1,31.19815636,13.69859982,,0,0,178.0,3.9
1540,3,male,22.0,15.0,yes,5,14,1,5,8,3,1,70.01153564,11.20160007,0.0,0,11,185.0,4.0
1109,0,female,57.0,15.0,no,2,14,6,2,0,1,0,68.71794891,21.64949989,1.0,5,0,176.0,4.6
1245,0,male,42.0,15.0,no,2,18,5,4,1,3,0,0.0,41.77339935,0.25,1,30,191.0,3.6
986,0,male,32.0,10.0,yes,3,18,1,5,2,2,1,1.37488544,5.537499905,0.75,6,0,171.0,4.8
1754,0,female,57.0,4.0,no,2,17,3,5,0,2,1,0.0,19.57169914,1.0,0,31,178.0,4.8
795,7,female,32.0,15.0,yes,3,16,3,5,0,1,0,5.943536282,2.032799959,0.25,1,17,182.0,2.8
271,0,female,22.0,10.0,no,4,14,3,4,0,2,0,0.0,55.03229904,,0,3,185.0,3.5
516,0,male,22.0,10.0,yes,5,14,5,3,0,2,0,10.12780285,34.77270126,0.25,0,0,190.0,3.8
239,0,female,57.0,7.0,yes,4,12,6,5,5,6,1,8.173913002,14.97679996,1.0,0,2,190.0,4.6
486,0,male,32.0,1.5,yes,3,16,1,5,0,6,0,21.44469452,9.336099625,0.0,0,3,182.0,4.7
1157,3,female,32.0,1.5,yes,2,18,5,5,1,2,1,45.03795242,17.00149918,0.0,1,11,185.0,4.7
538,0,male,37.0,0.125,no,3,16,2,4,0,5,1,0.0,22.92770004,0.25,2,51,168.0,3.4
1187,1,female,27.0,15.0,yes,2,18,5,4,2,5,1,30.63328552,12.50640011,0.0,0,0,190.0,4.5
9010,0,female,27.0,10.0,no,3,14,5,3,0,1,1,2.238806009,4.660999775,0.25,6,0,182.0,3.1
325,0,male,47.0,1.5,yes,1,14,3,3,1,2,0,30.28339958,16.81609917,0.25,1,1,183.0,3.4
1908,7,female,17.5,15.0,yes,1,14,6,2,0,2,0,14.98257828,7.623099804,,1,4,196.0,3.9
1654,0,male,47.0,15.0,yes,5,16,6,2,1,5,1,36.17437744,19.46310043,1.0,0,4,190.0,3.8
1637,0,male,37.0,0.75,yes,3,17,3,2,0,4,1,16.65221214,52.21989822,0.25,0,0,171.0,4.0
159,0,male,32.0,15.0,yes,5,18,5,5,0,2,1,6.260787487,8.368200302,1.0,2,0,189.0,4.5
1711,0,male,42.0,15.0,yes,3,17,1,4,1,5,1,17.72575188,26.16760063,0.0,1,0,188.0,4.6
1158,0,male,27.0,15.0,yes,4,9,5,4,1,5,1,0.0,17.70260048,0.0,0,30,186.0,4.8
328,0,male,42.0,15.0,yes,1,16,3,5,0,5,0,16.66666794,3.125,0.5,2,1,188.0,4.6
885,0,female,52.0,4.0,yes,2,14,3,2,5,3,1,0.9592326283,26.90159988,,0,14,173.0,4.3
366,0,male,27.0,15.0,yes,3,12,6,5,0,6,0,0.0,26.49650002,0.25,2,7,183.0,4.3
1046,12,female,32.0,15.0,no,3,17,4,3,0,6,1,17.97378349,31.33049965,0.5,1,8,184.0,3.3
1773,3,male,27.0,15.0,yes,2,17,6,2,1,6,1,12.35368061,21.26250076,,1,6,170.0,4.0
1211,0,male,42.0,15.0,yes,2,18,5,4,1,2,1,4.583333492,6.382999897,,2,9,181.0,3.9
233,0,female,22.0,4.0,yes,2,14,1,3,0,2,0,18.43624496,4.294499874,0.0,1,9,186.0,4.4
1481,0,female,22.0,15.0,no,3,20,4,5,1,5,0,35.25,48.3443985,0.25,1,3,176.0,3.5
755,0,male,32.0,15.0,yes,2,18,4,4,0,1,0,0.0,24.21419907,0.25,0,30,174.0,4.5
735,0,male,52.0,15.0,no,3,17,5,4,0,2,0,6.134020329,19.90410042,0.5,0,0,183.0,4.0
621,0,female,22.0,4.0,no,5,20,1,4,0,6,1,16.65221214,3.225800037,0.75,7,13,187.0,4.5
1885,0,female,22.0,15.0,yes,2,18,4,4,1,4,1,19.85645866,3.571399927,0.75,2,6,183.0,4.4
181,3,male,22.0,15.0,yes,3,18,5,3,0,2,1,0.5420054197,48.3443985,1.0,0,10,197.0,3.9
867,0,male,32.0,15.0,yes,2,20,6,5,0,2,1,13.46153927,37.4367981,0.0,0,0,194.0,4.1
1037,7,female,42.0,0.75,yes,4,14,4,4,0,2,0,7.289107323,18.60989952,0.5,1,31,190.0,3.8
1273,0,male,22.0,1.5,no,4,14,5,5,1,2,0,4.43262434,16.8010006,,0,11,168.0,4.3
1102,7,female,37.0,4.0,no,5,17,5,5,0,2,1,70.01153564,8.551099777,0.25,3,8,192.0,3.6
1271,0,male,22.0,1.5,yes,3,17,5,5,0,2,1,53.05544281,46.88819885,1.0,2,4,192.0,3.7
1107,0,female,32.0,4.0,yes,4,17,3,4,3,3,1,27.52179146,18.80629921,0.0,0,27,169.0,4.2
1949,3,female,42.0,10.0,yes,5,17,6,5,0,6,1,21.66837311,18.60989952,0.25,1,2,184.0,2.8
1294,12,female,22.0,10.0,yes,4,16,5,5,0,1,1,28.86370468,13.69859982,0.0,0,36,188.0,4.5
1353,0,male,42.0,1.5,yes,4,16,6,5,6,5,0,64.24632263,0.4544999897,0.25,2,0,180.0,4.0
1259,0,female,32.0,7.0,yes,4,17,5,5,1,5,1,0.1872659177,21.25880051,,1,0,176.0,4.3
578,0,male,27.0,4.0,yes,4,16,1,5,0,4,0,0.0,11.92850018,,1,49,180.0,4.4
921,0,male,37.0,4.0,yes,4,14,4,5,1,6,0,0.0,10.91139984,0.25,3,0,190.0,4.0
706,0,male,27.0,7.0,yes,3,16,6,5,0,4,1,55.89254379,10.53429985,0.25,1,4,175.0,4.1
1437,0,female,37.0,15.0,yes,3,18,5,5,0,2,1,0.0,40.55260086,0.25,1,0,181.0,4.5
45,7,male,22.0,4.0,no,3,9,6,5,5,4,1,3.352601051,28.71999931,0.25,3,49,184.0,4.6
933,0,male,47.0,10.0,no,5,20,6,5,1,5,1,22.70967865,8.151499748,,1,30,183.0,4.1
116,0,male,32.0,4.0,no,3,20,3,4,0,2,1,43.49897766,14.85709953,0.75,1,0,180.0,4.5
812,0,female,47.0,1.5,yes,5,14,5,5,0,2,0,28.69198227,10.8107996,0.25,2,1,172.0,3.2
6,0,female,57.0,1.5,yes,2,20,1,4,2,1,1,4.278074741,15.76010036,,0,10,174.0,4.2
290,0,female,22.0,7.0,yes,2,18,1,5,0,5,1,21.95535851,2.163500071,0.0,1,0,176.0,4.3
1311,0,female,32.0,7.0,yes,2,16,7,5,0,6,0,65.12185669,25.55929947,,1,2,177.0,3.1
1432,0,male,22.0,1.5,yes,4,14,5,4,0,5,1,13.51351261,7.46269989,0.0,0,30,181.0,4.6
9029,0,female,27.0,10.0,yes,3,18,2,2,0,5,0,17.02800369,2.450999975,0.0,1,0,176.0,4.6
1393,7,female,27.0,4.0,yes,1,18,5,5,0,2,1,36.80131531,0.3048999906,1.0,0,27,196.0,3.7
1333,0,male,37.0,4.0,yes,3,18,1,3,0,5,0,3.121039391,12.72729969,,2,13,183.0,3.6
249,0,female,22.0,10.0,yes,4,14,4,5,1,4,1,1.383285284,21.28240013,,2,15,181.0,4.9
1452,0,female,42.0,0.417,yes,4,20,4,4,1,2,1,6.067073345,32.18999863,0.0,3,0,187.0,4.1
139,0,female,42.0,7.0,yes,5,16,6,3,0,2,0,36.48936081,1.754400015,,2,1,190.0,4.3
1947,0,female,47.0,15.0,yes,4,14,4,5,1,2,1,0.854700923,25.25799942,0.25,1,0,186.0,4.6
1009,0,male,32.0,4.0,no,1,18,5,2,8,4,0,25.22556496,4.239900112,0.0,1,8,175.0,4.2
354,0,male,27.0,7.0,yes,2,16,1,4,0,2,0,30.07915688,8.647500038,0.75,1,0,173.0,3.5
1138,7,male,37.0,0.75,yes,4,18,6,2,2,2,0,17.65935326,18.93190002,0.25,0,58,185.0,3.7
220,0,male,47.0,1.5,yes,4,18,5,3,1,2,1,3.169135332,12.90320015,0.0,0,0,184.0,2.1
