tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,m_focal,num_words,district,refCountry,redCards,n_focal,gender,dyad,deny
Anterior,AMNH99.1/112,2,12,42.0,8.23260632,0.25,Homo sapiens,Alaska,2,106,68379,44,0,6,2,5,0
Posterior,AMNH99.1/112,2,11,22.0,8.23260632,0.25,Homo sapiens,Alaska,2,145,75440,8,0,5,1,5,0
Premolar,AMNH99.1/112,2,8,27.0,8.23260632,0.25,Homo sapiens,Alaska,3,145,64816,8,0,10,2,8,0
Anterior,AMNH99.1/160,1,4,42.0,15.0,0.25,Homo sapiens,Alaska,3,383,66050,44,0,10,1,4,0
Posterior,AMNH99.1/160,3,5,32.0,15.0,0.25,Homo sapiens,Alaska,2,120,67819,80,0,6,2,5,1
Premolar,AMNH99.1/160,1,4,22.0,15.0,0.25,Homo sapiens,Alaska,3,145,64758,3,0,10,1,4,1
Anterior,AMNH99.1/59,6,12,42.0,10.5,0.25,Homo sapiens,Alaska,2,324,65870,58,0,6,1,5,0
Posterior,AMNH99.1/59,6,6,22.0,10.5,0.25,Homo sapiens,Alaska,3,145,62380,44,0,10,1,8,0
Premolar,AMNH99.1/59,2,8,22.0,10.5,0.25,Homo sapiens,Alaska,2,166,68999,58,0,5,1,5,0
Anterior,AMNH99.1/59-B,0,6,22.0,10.0,0.25,Homo sapiens,Alaska,3,145,63578,7,0,10,2,7,0
Posterior,AMNH99.1/59-B,0,6,32.0,10.0,0.25,Homo sapiens,Alaska,2,145,72538,8,0,5,2,4,0
Premolar,AMNH99.1/59-B,0,4,52.0,10.0,0.25,Homo sapiens,Alaska,2,383,65680,44,0,5,1,4,0
Anterior,AMNH99.1/60,0,6,22.0,6.96111299,0.5,Homo sapiens,Alaska,4,145,63461,49,0,13,1,3,0
Posterior,AMNH99.1/60,2,6,27.0,6.96111299,0.5,Homo sapiens,Alaska,2,120,63404,45,0,5,2,5,0
Premolar,AMNH99.1/60,0,4,32.0,6.96111299,0.5,Homo sapiens,Alaska,4,166,67199,19,1,13,2,1,0
Anterior,AMNH99.1/61,0,12,22.0,6.19980411,0.75,Homo sapiens,Alaska,2,120,65078,57,0,6,2,5,0
Posterior,AMNH99.1/61,0,12,27.0,6.19980411,0.75,Homo sapiens,Alaska,2,383,69369,44,0,5,2,4,0
Premolar,AMNH99.1/61,0,8,42.0,6.19980411,0.75,Homo sapiens,Alaska,2,145,63438,24,0,5,2,4,0
Anterior,AMNH99.1/64,4,12,27.0,7.47240717,0.25,Homo sapiens,Alaska,4,120,63321,44,0,13,1,3,0
Posterior,AMNH99.1/64,2,10,42.0,7.47240717,0.25,Homo sapiens,Alaska,3,120,69450,32,0,10,2,4,0
Premolar,AMNH99.1/64,0,8,22.0,7.47240717,0.25,Homo sapiens,Alaska,2,106,64592,3,0,6,1,5,0
Anterior,AMNH99.1/72,0,12,32.0,8.74186019,0.75,Homo sapiens,Alaska,4,166,65193,45,0,13,2,3,0
Posterior,AMNH99.1/72,1,11,27.0,8.74186019,0.75,Homo sapiens,Alaska,2,324,66142,44,0,5,1,5,0
Premolar,AMNH99.1/72,0,8,27.0,8.74186019,0.75,Homo sapiens,Alaska,4,120,69120,7,0,13,1,3,0
Anterior,AMNH99.1/75-A,0,12,22.0,5.56672472,0.75,Homo sapiens,Alaska,3,383,65110,44,0,10,1,7,0
Posterior,AMNH99.1/75-A,0,12,37.0,5.56672472,0.75,Homo sapiens,Alaska,2,145,64477,44,0,5,1,4,0
Premolar,AMNH99.1/75-A,0,8,22.0,5.56672472,0.75,Homo sapiens,Alaska,3,383,64691,44,0,10,1,7,0
Anterior,AMNH99.1/77,0,12,37.0,12.6,0.75,Homo sapiens,Alaska,3,383,67421,7,0,10,2,7,1
Posterior,AMNH99.1/77,4,11,27.0,12.6,0.75,Homo sapiens,Alaska,2,166,66191,7,0,5,1,1,0
Premolar,AMNH99.1/77,0,8,32.0,12.6,0.75,Homo sapiens,Alaska,2,145,72561,44,0,5,2,1,0
Anterior,AMNH99.1/79,0,6,47.0,9.1,0.25,Homo sapiens,Alaska,2,120,72157,44,0,5,1,5,0
Posterior,AMNH99.1/79,2,6,37.0,9.1,0.25,Homo sapiens,Alaska,2,166,67397,8,0,5,1,6,0
Premolar,AMNH99.1/79,0,4,22.0,9.1,0.25,Homo sapiens,Alaska,3,166,66423,44,0,10,1,6,0
Anterior,AMNH99.1/80(a),0,6,27.0,8.74186019,0.75,Homo sapiens,Alaska,3,106,63974,3,0,10,1,6,0
Posterior,AMNH99.1/80(a),0,6,32.0,8.74186019,0.75,Homo sapiens,Alaska,3,145,63875,40,0,10,2,6,0
Premolar,AMNH99.1/80(a),1,4,42.0,8.74186019,0.75,Homo sapiens,Alaska,2,324,63339,70,0,5,2,6,0
Anterior,AMNH99.1/80(b),0,6,37.0,8.23260632,0.75,Homo sapiens,Alaska,2,324,65037,44,0,5,1,5,1
Posterior,AMNH99.1/80(b),0,5,47.0,8.23260632,0.75,Homo sapiens,Alaska,2,120,63917,71,0,6,1,5,0
Premolar,AMNH99.1/80(b),0,4,22.0,8.23260632,0.75,Homo sapiens,Alaska,3,120,68221,44,0,10,2,6,0
Anterior,AMNH99.1/83-A,3,12,27.0,3.7220627,0.25,Homo sapiens,Alaska,4,166,70904,34,0,13,2,3,0
Posterior,AMNH99.1/83-A,2,10,27.0,3.7220627,0.25,Homo sapiens,Alaska,3,120,63420,21,0,10,2,3,0
Premolar,AMNH99.1/83-A,2,8,32.0,3.7220627,0.25,Homo sapiens,Alaska,2,324,64642,8,0,5,2,5,0
Anterior,AMNH99.1/84-A,0,12,22.0,5.44029653,0.25,Homo sapiens,Alaska,4,383,63966,8,0,13,2,3,0
Posterior,AMNH99.1/84-A,0,12,47.0,5.44029653,0.25,Homo sapiens,Alaska,4,324,65771,22,0,13,2,1,0
Premolar,AMNH99.1/84-A,0,8,32.0,5.44029653,0.25,Homo sapiens,Alaska,4,383,69203,44,0,13,1,1,0
Anterior,AMNH99.1/84-B,4,12,27.0,10.5,0.25,Homo sapiens,Alaska,2,106,67694,44,0,5,1,5,0
Posterior,AMNH99.1/84-B,6,8,22.0,10.5,0.25,Homo sapiens,Alaska,4,145,61705,7,0,13,2,1,0
Premolar,AMNH99.1/84-B,2,8,27.0,10.5,0.25,Homo sapiens,Alaska,2,324,63008,8,0,5,2,6,0
Anterior,AMNH99.1/84-C,3,6,22.0,8.74186019,0.25,Homo sapiens,Alaska,3,106,70417,48,0,10,2,4,0
Posterior,AMNH99.1/84-C,0,6,57.0,8.74186019,0.25,Homo sapiens,Alaska,2,383,70409,52,0,5,2,1,0
Premolar,AMNH99.1/84-C,0,4,17.5,8.74186019,0.25,Homo sapiens,Alaska,3,106,72587,8,0,10,2,4,0
Anterior,AMNH99.1/84-D,0,6,57.0,5.94640065,0.25,Homo sapiens,Alaska,2,145,62539,8,0,5,1,4,0
Posterior,AMNH99.1/84-D,0,6,22.0,5.94640065,0.25,Homo sapiens,Alaska,2,106,65631,3,0,5,1,4,0
Premolar,AMNH99.1/84-D,0,4,42.0,5.94640065,0.25,Homo sapiens,Alaska,3,166,65862,8,0,10,1,8,0
Anterior,AMNH99.1/86-C,2,12,22.0,8.3605854,0.25,Homo sapiens,Alaska,3,120,62356,8,0,10,2,2,0
Posterior,AMNH99.1/86-C,1,11,22.0,8.3605854,0.25,Homo sapiens,Alaska,2,106,75051,44,0,5,1,4,0
Premolar,AMNH99.1/86-C,2,8,32.0,8.3605854,0.25,Homo sapiens,Alaska,2,383,67231,48,0,5,1,5,0
Anterior,AMNH99.1/86-D,4,12,27.0,9.7611705,0.25,Homo sapiens,Alaska,3,383,64501,7,0,10,1,7,1
Posterior,AMNH99.1/86-D,2,8,22.0,9.7611705,0.25,Homo sapiens,Alaska,2,324,63503,73,0,6,2,5,0
Premolar,AMNH99.1/86-D,3,8,37.0,9.7611705,0.25,Homo sapiens,Alaska,2,383,72033,44,0,5,2,5,0
Anterior,AMNH99.1/87,2,12,32.0,12.6,0.75,Homo sapiens,Alaska,3,324,67322,7,0,10,2,8,0
Posterior,AMNH99.1/87,4,9,37.0,12.6,0.75,Homo sapiens,Alaska,3,106,64048,60,0,10,2,4,0
Premolar,AMNH99.1/87,2,8,37.0,12.6,0.75,Homo sapiens,Alaska,2,120,69542,7,0,6,1,5,0
Anterior,AMNH99.1/89-A,0,12,57.0,8.23260632,0.75,Homo sapiens,Alaska,3,383,61382,64,0,10,1,4,0
Posterior,AMNH99.1/89-A,0,12,27.0,8.23260632,0.75,Homo sapiens,Alaska,2,145,68858,57,0,6,1,5,0
Premolar,AMNH99.1/89-A,0,8,42.0,8.23260632,0.75,Homo sapiens,Alaska,3,145,72017,3,0,10,1,8,0
Anterior,AMNH99.1/89-B,0,12,57.0,4.93536963,0.75,Homo sapiens,Alaska,2,324,65151,107,0,5,1,5,0
Posterior,AMNH99.1/89-B,0,12,37.0,4.93536963,0.75,Homo sapiens,Alaska,3,166,63073,44,0,10,1,7,0
Premolar,AMNH99.1/89-B,0,8,37.0,4.93536963,0.75,Homo sapiens,Alaska,2,324,63198,101,0,5,2,4,0
Anterior,AMNH99.1/90,3,12,37.0,15.0,0.75,Homo sapiens,Alaska,2,106,64717,69,0,5,2,4,1
Posterior,AMNH99.1/90,6,10,27.0,15.0,0.75,Homo sapiens,Alaska,4,120,63719,7,0,13,1,3,0
Premolar,AMNH99.1/90,3,8,37.0,15.0,0.75,Homo sapiens,Alaska,2,106,63800,101,0,5,1,5,1
Anterior,AMNH99.1/91-A,4,12,22.0,5.69322104,0.75,Homo sapiens,Alaska,4,383,71357,8,0,13,1,1,1
Posterior,AMNH99.1/91-A,6,12,57.0,5.69322104,0.75,Homo sapiens,Alaska,2,166,65557,7,0,6,2,5,0
Premolar,AMNH99.1/91-A,1,8,37.0,5.69322104,0.75,Homo sapiens,Alaska,2,106,67587,3,1,5,1,4,0
Anterior,AMNH99.1/91-B,1,12,22.0,9.7611705,0.5,Homo sapiens,Alaska,2,145,67470,7,0,5,1,4,0
Posterior,AMNH99.1/91-B,7,10,27.0,9.7611705,0.5,Homo sapiens,Alaska,4,145,64857,7,0,13,2,3,0
Premolar,AMNH99.1/91-B,1,8,57.0,9.7611705,0.5,Homo sapiens,Alaska,3,324,61507,72,0,10,2,4,0
Anterior,AMNH99.1/94,0,12,32.0,6.19980411,0.25,Homo sapiens,Alaska,2,120,63792,113,0,6,2,5,0
Posterior,AMNH99.1/94,0,12,22.0,6.19980411,0.25,Homo sapiens,Alaska,4,383,72447,44,0,13,2,3,0
Premolar,AMNH99.1/94,0,8,32.0,6.19980411,0.25,Homo sapiens,Alaska,2,145,62323,32,0,5,1,5,0
Anterior,AMNH99.1/96-A,0,12,37.0,6.96111299,0.75,Homo sapiens,Alaska,4,324,64667,44,0,13,1,3,0
Posterior,AMNH99.1/96-A,0,12,32.0,6.96111299,0.75,Homo sapiens,Alaska,3,324,65177,60,0,10,1,7,0
Premolar,AMNH99.1/96-A,0,8,42.0,6.96111299,0.75,Homo sapiens,Alaska,2,145,66589,44,0,5,2,4,1
Anterior,AMNH99.1/97,4,12,27.0,6.70718105,0.75,Homo sapiens,Alaska,3,166,71985,7,0,10,2,7,0
Posterior,AMNH99.1/97,3,10,37.0,6.70718105,0.75,Homo sapiens,Alaska,3,106,69617,52,0,10,1,7,0
Premolar,AMNH99.1/97,1,8,37.0,6.70718105,0.75,Homo sapiens,Alaska,2,106,63123,57,0,5,2,1,0
Anterior,AMNH99.1/98,0,12,32.0,5.44029653,0.75,Homo sapiens,Alaska,2,324,68395,8,0,5,2,1,0
Posterior,AMNH99.1/98,1,12,22.0,5.44029653,0.75,Homo sapiens,Alaska,2,324,69914,8,0,5,2,5,0
Premolar,AMNH99.1/98,1,8,27.0,5.44029653,0.75,Homo sapiens,Alaska,2,106,71969,8,0,5,2,6,0
Anterior,AMNH99.1/99,0,12,27.0,5.69322104,0.25,Homo sapiens,Alaska,3,106,71548,44,0,10,2,6,0
Posterior,AMNH99.1/99,0,12,42.0,5.69322104,0.25,Homo sapiens,Alaska,3,120,71910,8,0,10,2,6,0
Premolar,AMNH99.1/99,0,8,42.0,5.69322104,0.25,Homo sapiens,Alaska,3,106,62000,12,0,10,2,6,0
Anterior,BM1868.4.16.2,0,12,27.0,3.29146087,1.0,Pongo,Borneo,2,383,66167,44,0,5,1,6,0
Posterior,BM1868.4.16.2,0,12,22.0,3.29146087,1.0,Pongo,Borneo,2,166,71837,7,0,5,2,5,0
Premolar,BM1868.4.16.2,0,8,37.0,3.29146087,1.0,Pongo,Borneo,2,166,67157,3,0,6,2,5,0
Anterior,BM1884.10.30.1,0,6,22.0,3.71761878,1.0,Pongo,Borneo,3,383,70615,58,0,10,2,6,0
Posterior,BM1884.10.30.1,0,6,27.0,3.71761878,1.0,Pongo,Borneo,4,166,64550,44,0,13,2,3,0
Premolar,BM1884.10.30.1,0,4,32.0,3.71761878,1.0,Pongo,Borneo,3,106,71498,99,0,10,2,3,1
Anterior,BM1884.10.30.2,2,12,27.0,3.71761878,1.0,Pongo,Borneo,2,106,68916,80,0,5,2,5,0
Posterior,BM1884.10.30.2,0,12,27.0,3.71761878,1.0,Pongo,Borneo,4,383,70185,7,0,13,2,3,0
Premolar,BM1884.10.30.2,0,8,42.0,3.71761878,1.0,Pongo,Borneo,4,166,63487,45,0,13,2,1,0
Anterior,BM1886.12.20.10,0,12,27.0,3.88831042,1.0,Pongo,Borneo,4,145,71308,7,0,13,2,1,0
Posterior,BM1886.12.20.10,0,12,27.0,3.88831042,1.0,Pongo,Borneo,2,120,72421,44,0,5,2,5,0
Premolar,BM1886.12.20.10,0,8,32.0,3.88831042,1.0,Pongo,Borneo,4,145,69005,3,0,13,1,1,0
Anterior,BM1898.2.28.11,0,12,32.0,3.80295048,1.0,Pongo,Borneo,2,324,61846,34,0,5,2,6,0
Posterior,BM1898.2.28.11,0,12,22.0,3.80295048,1.0,Pongo,Borneo,3,383,65813,47,0,10,1,4,1
Premolar,BM1898.2.28.11,0,8,37.0,3.80295048,1.0,Pongo,Borneo,2,324,68486,58,0,5,1,1,0
Anterior,BM1899.11.6.1,0,12,27.0,3.06608828,0.0,Papio,Arabia,3,145,62513,7,0,10,2,4,0
Posterior,BM1899.11.6.1,0,12,27.0,3.06608828,0.0,Papio,Arabia,2,106,67405,7,0,5,2,4,0
Premolar,BM1899.11.6.1,0,8,27.0,3.06608828,0.0,Papio,Arabia,2,383,71050,3,0,5,1,4,1
Anterior,BM1899.6.10.2,0,12,32.0,3.4773143,1.0,Papio,East Africa,3,166,73726,8,0,10,1,8,0
Posterior,BM1899.6.10.2,0,12,27.0,3.4773143,1.0,Papio,East Africa,3,324,72462,44,0,10,1,2,0
Premolar,BM1899.6.10.2,0,8,52.0,3.4773143,1.0,Papio,East Africa,2,120,62737,3,0,5,2,4,0
Anterior,BM1899.7.8.1,0,12,27.0,4.35428022,1.0,Papio,East Africa,2,106,62703,57,0,5,1,5,0
Posterior,BM1899.7.8.1,0,12,37.0,4.35428022,1.0,Papio,East Africa,3,120,68205,32,0,10,1,7,0
Premolar,BM1899.7.8.1,0,8,27.0,4.35428022,1.0,Papio,East Africa,2,166,64063,8,0,6,2,5,0
Anterior,BM1900.3.18.1,0,12,52.0,3.4773143,1.0,Papio,East Africa,2,120,62984,7,0,5,1,5,0
Posterior,BM1900.3.18.1,0,12,57.0,3.4773143,1.0,Papio,East Africa,3,120,72512,8,0,10,1,8,0
Premolar,BM1900.3.18.1,0,8,27.0,3.4773143,1.0,Papio,East Africa,3,383,71647,8,0,10,1,4,0
Anterior,BM1900.6.28.1,0,12,37.0,2.00186723,1.0,Papio,Arabia,2,120,67280,7,0,6,2,5,0
Posterior,BM1900.6.28.1,0,12,22.0,2.00186723,1.0,Papio,Arabia,3,106,68627,3,0,10,2,4,0
Premolar,BM1900.6.28.1,0,8,32.0,2.00186723,1.0,Papio,Arabia,2,145,70243,49,0,6,1,5,0
Anterior,BM1901.2.13.1,0,12,37.0,3.55691242,1.0,Papio,West Africa,3,383,71282,7,0,10,1,8,0
Posterior,BM1901.2.13.1,0,12,22.0,3.55691242,1.0,Papio,West Africa,2,106,62240,8,0,5,1,5,0
Premolar,BM1901.2.13.1,0,8,42.0,3.55691242,1.0,Papio,West Africa,3,106,66456,8,0,10,1,7,0
Anterior,BM1901.8.9.23,0,12,52.0,3.4773143,0.0,Papio,East Africa,2,383,66746,31,0,5,1,4,0
Posterior,BM1901.8.9.23,0,12,37.0,3.4773143,0.0,Papio,East Africa,2,383,63933,87,0,5,1,4,0
Premolar,BM1901.8.9.23,0,8,27.0,3.4773143,0.0,Papio,East Africa,4,106,72231,111,0,13,1,3,1
Anterior,BM1902.11.22.1,0,12,32.0,2.19399907,1.0,Papio,Arabia,2,106,68023,7,0,5,1,5,1
Posterior,BM1902.11.22.1,0,12,27.0,2.19399907,1.0,Papio,Arabia,4,166,69880,44,0,13,2,1,0
Premolar,BM1902.11.22.1,0,8,27.0,2.19399907,1.0,Papio,Arabia,2,106,65763,44,0,6,2,5,0
Anterior,BM1902.9.2.1,0,12,37.0,3.71619727,1.0,Papio,East Africa,2,166,71381,7,0,5,1,4,0
Posterior,BM1902.9.2.1,0,12,47.0,3.71619727,1.0,Papio,East Africa,2,166,68098,40,0,5,2,4,1
Premolar,BM1902.9.2.1,0,8,32.0,3.71619727,1.0,Papio,East Africa,4,145,64485,3,0,13,1,3,0
Anterior,BM1902.9.9.3,0,12,27.0,4.27445115,1.0,Papio,East Africa,3,106,73544,8,0,10,1,4,0
Posterior,BM1902.9.9.3,0,9,57.0,4.27445115,1.0,Papio,East Africa,2,383,71407,44,0,6,2,5,0
Premolar,BM1902.9.9.3,0,8,22.0,4.27445115,1.0,Papio,East Africa,4,166,68437,64,0,13,2,3,1
Anterior,BM1904.11.5.2,0,12,42.0,4.03507241,1.0,Papio,East Africa,2,120,67918,44,0,5,2,5,0
Posterior,BM1904.11.5.2,0,12,57.0,4.03507241,1.0,Papio,East Africa,4,166,66696,7,0,13,2,3,0
Premolar,BM1904.11.5.2,0,8,57.0,4.03507241,1.0,Papio,East Africa,3,145,71001,45,0,10,2,7,0
Anterior,BM1904.8.2.1,0,12,22.0,2.19399907,1.0,Papio,Arabia,2,166,69971,3,0,5,2,4,0
Posterior,BM1904.8.2.1,0,12,32.0,2.19399907,1.0,Papio,Arabia,3,106,71621,8,0,10,2,7,0
Premolar,BM1904.8.2.1,0,8,42.0,2.19399907,1.0,Papio,Arabia,3,324,72363,102,0,10,1,7,0
Anterior,BM1904.8.2.3,0,12,27.0,3.06608828,1.0,Papio,East Africa,2,383,70482,8,0,5,2,1,0
Posterior,BM1904.8.2.3,0,12,32.0,3.06608828,1.0,Papio,East Africa,2,106,63032,7,0,5,2,1,0
Premolar,BM1904.8.2.3,0,8,27.0,3.06608828,1.0,Papio,East Africa,2,166,61655,32,0,5,1,5,0
Anterior,BM1905.5.10.1,0,12,27.0,4.1148462,1.0,Papio,West Africa,2,166,72405,48,0,5,1,6,0
Posterior,BM1905.5.10.1,0,12,32.0,4.1148462,1.0,Papio,West Africa,3,166,66860,58,0,10,1,6,0
Premolar,BM1905.5.10.1,0,8,37.0,4.1148462,1.0,Papio,West Africa,3,120,70821,72,0,10,1,6,0
Anterior,BM1906.11.1.6,0,12,42.0,3.79588028,1.0,Papio,East Africa,3,166,70912,44,0,10,2,6,0
Posterior,BM1906.11.1.6,0,12,32.0,3.79588028,1.0,Papio,East Africa,2,383,71266,8,0,5,2,6,0
Premolar,BM1906.11.1.6,0,8,32.0,3.79588028,1.0,Papio,East Africa,2,324,70128,8,0,5,2,5,0
Anterior,BM1907.7.8.11,0,12,37.0,3.71619727,1.0,Papio,Central Africa,2,166,62802,8,0,6,2,5,0
Posterior,BM1907.7.8.11,0,12,22.0,3.71619727,1.0,Papio,Central Africa,3,166,72090,49,0,10,2,6,0
Premolar,BM1907.7.8.11,0,8,27.0,3.71619727,1.0,Papio,Central Africa,4,383,62638,3,0,13,2,3,0
Anterior,BM1908.7.17.1,0,6,27.0,4.74312763,1.0,Pongo,Borneo,3,106,70813,52,0,10,2,3,1
Posterior,BM1908.7.17.1,0,6,27.0,4.74312763,1.0,Pongo,Borneo,2,324,64105,77,0,5,2,5,0
Premolar,BM1908.7.17.1,0,4,32.0,4.74312763,1.0,Pongo,Borneo,4,106,63172,44,0,13,2,3,0
Anterior,BM1908.8.9.41,0,6,32.0,3.63654073,1.0,Papio,East Africa,4,145,64188,8,0,13,1,1,0
Posterior,BM1908.8.9.41,0,6,22.0,3.63654073,1.0,Papio,East Africa,4,383,66506,7,0,13,1,1,0
Premolar,BM1908.8.9.41,0,4,27.0,3.63654073,1.0,Papio,East Africa,2,106,70649,58,0,5,1,5,0
Anterior,BM1908.8.9.42,0,12,27.0,4.51398683,0.0,Papio,East Africa,4,120,69278,139,0,13,2,1,1
Posterior,BM1908.8.9.42,0,12,37.0,4.51398683,0.0,Papio,East Africa,2,120,63016,3,0,5,2,6,0
Premolar,BM1908.8.9.42,0,8,37.0,4.51398683,0.0,Papio,East Africa,3,106,71431,8,0,10,2,4,0
Anterior,BM1909.6.11,0,12,22.0,2.48359763,1.0,Papio,East Africa,2,145,73700,57,0,5,1,1,0
Posterior,BM1909.6.11,0,12,37.0,2.48359763,1.0,Papio,East Africa,3,166,63784,8,0,10,1,4,0
Premolar,BM1909.6.11,0,8,22.0,2.48359763,1.0,Papio,East Africa,2,166,68155,32,0,5,1,4,0
Anterior,BM1910.10.3.1,0,12,52.0,2.29036872,1.0,Papio,East Africa,2,324,69765,32,0,5,2,4,0
Posterior,BM1910.10.3.1,0,9,22.0,2.29036872,1.0,Papio,East Africa,3,383,67116,44,0,10,2,8,0
Premolar,BM1910.10.3.1,0,7,32.0,2.29036872,1.0,Papio,East Africa,3,324,63552,8,0,10,1,2,0
Anterior,BM1911.12.1.1,0,12,32.0,3.39774848,1.0,Papio,East Africa,2,383,69724,55,0,5,1,4,0
Posterior,BM1911.12.1.1,0,12,22.0,3.39774848,1.0,Papio,East Africa,2,106,63180,7,0,5,1,5,1
Premolar,BM1911.12.1.1,0,8,27.0,3.39774848,1.0,Papio,East Africa,3,145,68551,58,0,10,1,7,0
Anterior,BM1913.10.18.2,0,12,22.0,3.63654073,1.0,Papio,East Africa,2,106,71563,44,0,6,1,5,0
Posterior,BM1913.10.18.2,0,12,27.0,3.63654073,1.0,Papio,East Africa,2,324,62927,52,0,5,2,5,0
Premolar,BM1913.10.18.2,1,8,37.0,3.63654073,1.0,Papio,East Africa,3,145,70045,59,0,10,2,8,0
Anterior,BM1913.10.18.3,0,6,22.0,4.59386268,1.0,Papio,East Africa,3,145,64931,7,0,10,2,4,0
Posterior,BM1913.10.18.3,0,6,37.0,4.59386268,1.0,Papio,East Africa,2,145,66332,40,0,6,1,5,0
Premolar,BM1913.10.18.3,0,4,37.0,4.59386268,1.0,Papio,East Africa,3,383,71829,44,0,10,2,4,0
Anterior,BM1914.3.8.2,0,12,42.0,5.07338879,0.0,Papio,East Africa,2,166,63545,112,0,6,1,5,0
Posterior,BM1914.3.8.2,0,12,22.0,5.07338879,0.0,Papio,East Africa,3,324,67348,52,0,10,1,8,0
Premolar,BM1914.3.8.2,0,8,52.0,5.07338879,0.0,Papio,East Africa,2,120,67553,3,0,5,1,5,0
Anterior,BM1918.11.8.1,0,6,27.0,4.27445115,1.0,Papio,East Africa,3,120,68189,71,0,10,2,7,0
Posterior,BM1918.11.8.1,0,6,27.0,4.27445115,1.0,Papio,East Africa,2,383,71423,8,0,5,1,4,1
Premolar,BM1918.11.8.1,0,4,42.0,4.27445115,1.0,Papio,East Africa,2,324,61994,3,0,5,1,4,0
