y,gender,age,majority_first,culture,m_focal,num_words,district,refCountry,redCards,n_focal,allstudents,dyad,deny
2,2,27.0,1,6,2,324,63370,8,0,6,23,5,0
1,1,22.0,1,2,2,166,66233,112,0,13,22,1,0
1,1,32.0,0,3,2,106,66613,64,0,10,25,5,1
2,1,32.0,1,4,3,166,63958,8,0,10,23,6,0
3,1,27.0,0,7,3,106,69815,44,0,13,21,1,0
3,1,37.0,1,3,2,106,61812,7,0,10,177,6,0
2,1,32.0,1,5,4,166,63917,44,1,6,24,8,0
1,2,42.0,0,7,4,106,71829,8,0,5,45,4,0
3,1,32.0,0,3,2,145,69575,3,0,5,57,1,0
2,2,32.0,0,5,3,383,73544,58,0,6,37,4,1
3,1,57.0,0,4,3,324,66456,8,0,5,20,6,0
2,1,32.0,0,7,3,120,67736,69,0,6,29,3,0
2,2,27.0,1,2,2,145,68965,7,0,5,122,5,0
2,2,22.0,0,2,2,120,73700,8,0,5,36,1,0
1,1,22.0,1,5,3,120,72421,44,0,10,10,5,0
2,1,22.0,1,6,2,383,62927,7,0,13,27,5,0
2,1,37.0,1,6,3,324,70417,8,0,5,78,1,1
3,2,22.0,0,3,3,120,71787,101,0,5,51,5,1
2,2,27.0,1,5,2,166,71548,57,0,6,91,4,0
2,2,22.0,1,6,3,145,69732,26,0,10,44,4,1
2,1,32.0,0,3,3,324,75051,8,0,5,16,3,0
3,2,37.0,1,8,3,166,65771,44,1,10,14,5,0
3,1,37.0,1,1,2,383,70417,3,0,10,127,5,0
2,2,42.0,0,3,3,106,66191,44,0,5,17,4,0
3,1,47.0,0,3,4,120,64832,44,0,10,22,5,0
2,2,32.0,0,8,4,106,63552,44,0,13,17,1,0
1,1,32.0,0,2,4,106,61978,44,0,10,35,7,0
3,2,27.0,1,1,2,145,63560,1,0,5,67,3,0
3,1,22.0,0,8,4,120,66860,3,0,10,52,4,0
3,1,27.0,1,8,3,120,62240,44,0,6,10,5,0
1,2,47.0,0,8,2,166,71837,44,0,10,33,1,0
2,1,27.0,1,3,3,324,68098,7,0,5,137,4,0
2,2,22.0,0,4,4,324,65961,8,0,5,29,4,0
1,1,32.0,0,7,2,120,63917,49,0,6,14,4,0
2,2,47.0,0,3,2,145,63487,15,0,5,16,7,0
1,2,32.0,1,7,3,324,69948,52,0,13,11,7,0
2,2,32.0,0,1,3,324,63313,8,0,5,10,8,0
3,2,42.0,1,2,2,106,63552,3,0,10,48,4,0
2,2,27.0,0,6,4,383,63404,8,0,10,33,5,0
2,2,32.0,1,1,2,120,68353,72,0,5,22,6,0
3,1,42.0,0,1,2,106,64709,69,1,5,15,4,0
1,2,52.0,0,3,2,106,70904,40,0,13,21,1,0
2,1,32.0,1,3,4,106,68361,24,0,5,27,8,0
2,2,22.0,1,6,2,106,67199,31,0,10,24,4,0
1,1,27.0,1,6,2,145,68486,7,0,5,21,7,0
2,1,37.0,1,6,2,145,69179,7,0,10,19,5,0
1,2,32.0,0,5,2,120,68999,44,0,10,134,5,0
1,2,42.0,0,3,2,324,71910,8,0,10,42,4,0
2,2,32.0,1,3,4,166,75051,71,0,5,12,7,0
3,2,37.0,1,5,2,383,71472,7,0,13,66,6,0
2,2,37.0,1,5,2,166,63321,3,0,10,14,5,0
3,1,37.0,0,1,3,383,69492,27,0,10,125,6,0
2,1,32.0,0,4,2,166,68395,44,0,13,15,6,0
3,1,27.0,1,4,3,106,67116,52,0,5,20,1,0
2,2,37.0,0,3,2,120,61929,8,0,6,33,4,0
1,2,32.0,0,5,3,145,67470,44,0,5,16,4,0
3,1,22.0,1,3,2,120,63610,44,0,5,285,1,0
2,1,27.0,0,3,3,166,71050,71,0,5,43,1,1
3,1,27.0,0,6,3,383,62802,44,0,13,15,1,0
2,1,27.0,1,3,2,324,70912,3,0,10,34,3,0
3,2,52.0,1,6,2,106,61457,72,0,5,92,6,0
1,2,37.0,1,3,3,145,61879,44,0,13,37,5,0
2,1,22.0,0,4,2,120,71308,8,0,5,19,4,0
2,1,27.0,0,3,3,106,70243,37,0,5,67,6,0
1,2,37.0,0,3,2,324,66332,7,0,5,22,5,0
3,2,32.0,1,6,4,383,71142,3,0,5,20,4,0
3,2,22.0,0,3,4,383,67348,32,0,10,26,3,0
1,2,22.0,0,3,3,383,61952,7,0,10,29,1,1
3,1,37.0,0,4,2,324,72173,45,0,6,20,5,0
2,1,22.0,1,5,4,166,64501,27,0,10,45,4,0
3,1,57.0,0,3,2,120,62356,3,0,6,30,7,0
1,1,27.0,0,3,4,145,72355,8,0,5,23,4,0
1,1,32.0,0,2,3,106,63503,44,0,10,39,4,0
2,2,27.0,0,3,2,166,68189,44,0,5,32,7,0
2,1,32.0,0,4,3,120,72587,15,0,5,24,7,0
2,1,22.0,1,3,3,166,67470,7,0,10,19,5,0
1,2,42.0,1,6,2,106,70672,3,0,10,31,3,0
2,2,22.0,0,6,2,106,61382,8,0,5,24,5,0
3,1,32.0,1,1,2,120,63008,70,0,13,26,5,0
2,1,32.0,0,6,3,120,71811,7,0,6,64,5,0
2,1,27.0,1,8,2,166,63966,3,0,6,177,5,0
2,1,32.0,0,5,2,324,62000,59,0,13,91,6,0
1,1,37.0,0,1,2,166,70649,49,0,5,30,3,0
1,1,47.0,1,3,4,383,71084,8,0,10,65,4,0
2,1,47.0,1,6,3,383,61457,7,0,5,42,6,0
3,2,32.0,0,7,2,145,62323,57,0,5,13,3,1
3,1,42.0,0,6,2,324,65219,44,0,10,15,4,0
2,2,27.0,0,4,2,145,68023,48,0,10,47,8,0
2,2,37.0,1,3,2,120,73726,7,0,10,286,3,0
3,2,27.0,1,1,3,324,61572,3,0,10,122,8,0
2,1,32.0,0,2,2,106,70045,7,0,10,17,3,0
1,2,42.0,0,3,2,383,61762,32,0,6,57,4,0
3,2,42.0,1,4,3,383,69591,3,0,5,134,4,0
2,1,32.0,0,1,3,324,71423,8,0,6,16,1,0
3,2,22.0,0,1,3,324,65813,44,0,5,29,6,0
2,1,22.0,1,3,4,145,68387,7,0,6,44,3,1
3,2,32.0,0,3,3,324,72017,44,0,5,14,4,0
2,2,27.0,1,1,3,324,71381,3,0,10,14,6,1
3,2,22.0,1,3,4,383,72470,47,0,10,125,3,0
2,1,37.0,0,3,3,145,63180,8,0,10,123,6,0
1,2,37.0,0,3,2,324,71431,8,0,10,15,1,0
3,1,37.0,0,6,4,145,66837,32,0,6,24,5,0
1,1,22.0,0,6,2,166,62042,80,0,10,32,1,0
1,2,42.0,0,8,3,324,64501,51,0,5,55,5,0
1,1,32.0,1,1,3,324,65185,3,0,10,60,6,0
3,2,32.0,0,6,3,166,69278,40,0,5,97,8,0
2,1,22.0,0,4,3,145,64105,73,0,6,41,7,0
3,1,42.0,0,3,2,106,70003,73,0,5,13,5,0
1,2,42.0,1,5,4,145,65193,7,0,13,69,2,0
2,1,37.0,0,3,2,383,64626,1,0,10,51,5,0
2,1,52.0,0,2,3,166,63883,58,0,10,17,5,0
1,2,27.0,0,7,3,383,69708,8,0,6,11,6,0
2,1,27.0,1,4,4,145,72090,48,0,5,45,8,0
1,1,22.0,1,1,2,166,61994,34,0,10,19,5,0
2,1,37.0,0,3,3,106,72132,7,0,13,19,5,0
1,1,37.0,1,3,3,120,72215,54,0,10,57,6,1
1,2,32.0,1,3,2,324,72108,7,0,10,11,1,0
1,2,27.0,0,5,3,383,63933,8,0,10,26,7,0
2,1,37.0,0,3,4,166,65045,8,0,13,31,7,0
2,2,37.0,1,8,4,106,68007,57,0,5,17,3,0
2,2,42.0,1,2,4,383,68205,3,0,5,87,6,0
1,1,32.0,0,3,4,106,66167,7,0,5,38,7,0
2,1,37.0,0,1,2,145,68023,72,0,5,51,7,0
1,2,37.0,0,8,2,120,69005,44,0,6,195,5,0
1,1,27.0,0,4,2,106,61887,64,0,10,100,7,0
2,2,27.0,1,1,3,324,67595,8,0,5,272,4,0
3,2,22.0,1,3,3,166,63503,44,0,10,40,5,0
1,1,27.0,0,8,3,324,63750,8,0,10,14,5,0
1,2,57.0,0,1,3,145,72462,44,0,5,14,3,1
3,1,27.0,1,3,2,324,69369,44,0,10,15,6,0
2,2,27.0,0,5,4,383,69542,8,0,13,65,2,0
2,2,37.0,0,2,2,383,64642,3,0,5,31,4,1
2,1,27.0,0,3,3,383,68635,44,0,5,34,7,0
2,1,37.0,0,6,2,324,69104,8,0,5,23,3,0
2,2,22.0,0,1,2,166,71050,44,1,5,123,6,0
3,1,27.0,0,1,2,145,66480,7,0,13,266,4,0
3,2,22.0,0,5,4,106,69252,48,0,10,30,7,0
2,1,22.0,1,7,2,106,62554,44,0,5,52,4,0
2,2,22.0,0,3,3,166,65748,8,0,5,26,5,0
1,2,37.0,0,1,3,120,70730,21,0,5,57,5,0
2,2,27.0,1,4,2,145,75135,44,0,5,41,8,0
2,2,22.0,1,3,2,383,64477,55,0,5,286,8,0
2,1,37.0,1,6,2,166,69278,44,0,13,44,7,0
3,2,47.0,1,3,3,324,69617,44,0,10,44,6,0
3,2,22.0,0,4,4,106,68874,8,0,5,32,3,0
2,1,27.0,0,8,4,120,68551,3,0,13,67,6,0
2,1,27.0,1,6,3,145,63875,57,0,10,125,7,0
3,1,37.0,0,2,2,324,62323,48,0,13,30,4,0
1,1,27.0,0,3,2,383,73544,40,0,5,16,6,0
1,2,27.0,0,4,2,106,69914,44,0,13,19,5,0
3,2,27.0,1,4,3,166,63339,64,0,10,89,4,0
2,1,42.0,0,3,3,106,65813,44,0,5,43,4,0
1,1,42.0,1,5,4,383,70425,70,0,5,20,8,1
3,2,42.0,1,3,3,106,70185,8,0,10,44,5,0
2,1,27.0,1,5,3,145,63834,44,0,10,19,4,0
2,2,37.0,1,3,4,106,71696,55,0,5,59,4,0
2,2,27.0,1,3,2,324,72033,44,0,5,161,4,0
2,1,22.0,1,3,2,145,70409,7,0,10,22,5,1
3,1,27.0,1,1,3,106,61705,44,0,5,55,2,0
2,2,22.0,1,4,4,324,63842,44,0,6,48,3,0
2,1,17.5,0,3,4,324,69971,27,0,10,33,4,0
2,1,22.0,1,3,2,145,72033,7,0,10,18,3,0
2,2,22.0,1,1,2,383,71647,7,0,13,47,1,0
1,2,27.0,1,1,2,145,70912,7,0,10,25,3,0
1,1,22.0,1,3,3,383,62539,8,0,5,28,5,0
2,1,32.0,1,3,4,145,70961,7,0,10,30,5,0
1,1,32.0,1,5,4,106,69369,44,0,13,56,4,0
3,2,42.0,0,2,4,383,62174,70,0,13,21,7,0
3,2,32.0,0,1,2,120,70813,3,0,5,62,2,0
2,2,27.0,0,4,3,106,68882,7,0,6,20,4,0
1,1,32.0,1,5,2,324,64048,44,0,10,30,6,0
2,2,57.0,0,3,2,166,69971,48,0,5,26,4,0
1,1,22.0,0,3,2,106,63370,3,0,13,80,4,0
1,2,22.0,0,3,3,324,64550,44,0,5,48,6,0
2,1,22.0,1,1,3,145,65037,44,0,10,29,7,0
3,2,32.0,1,3,2,145,72041,44,0,5,33,3,0
1,2,32.0,0,3,2,120,63594,44,0,5,27,5,0
3,1,32.0,0,3,4,166,71498,44,0,6,12,5,0
3,2,37.0,1,7,2,120,64691,72,0,10,55,4,1
2,1,22.0,1,7,3,383,68205,3,0,6,13,4,0
3,2,22.0,1,3,3,166,67231,3,0,5,24,1,1
3,1,22.0,1,6,4,324,63255,8,0,5,26,5,0
2,2,57.0,1,5,3,324,64717,44,0,5,246,5,0
3,1,27.0,0,3,3,383,66340,48,0,10,41,3,0
2,1,52.0,1,3,2,324,67694,7,0,13,111,3,0
2,2,32.0,1,8,2,106,67553,22,0,10,20,4,1
3,2,42.0,1,3,3,383,72363,8,0,5,39,5,0
2,2,42.0,1,3,4,145,66407,3,0,10,67,4,0
1,2,57.0,0,3,4,383,68221,55,0,6,60,4,0
3,2,27.0,0,8,2,166,68726,45,0,5,26,4,0
1,2,22.0,0,3,2,106,71837,44,0,10,13,1,1
2,1,42.0,1,8,2,145,70789,69,0,5,15,7,0
2,1,27.0,0,1,2,106,65367,48,0,10,86,5,0
2,1,22.0,0,5,4,166,64931,21,0,10,21,5,0
3,1,27.0,0,6,3,166,66381,44,0,10,12,7,0
2,2,32.0,0,7,3,166,63933,7,0,5,111,1,0
1,1,32.0,1,7,2,166,68866,8,1,6,28,8,0
3,2,57.0,0,2,3,324,67306,3,0,6,21,5,0
3,2,22.0,0,3,3,324,70599,52,0,5,25,5,0
2,1,32.0,0,5,3,383,70508,66,0,10,21,7,0
1,2,32.0,0,5,3,106,64667,7,0,5,30,5,0
3,2,32.0,1,3,2,383,67991,8,0,5,26,5,0
2,1,42.0,0,3,3,120,72553,44,0,5,19,3,1
3,1,32.0,0,3,3,120,63578,8,0,10,49,4,0
2,1,22.0,1,5,2,324,65391,44,0,5,48,3,0
3,1,47.0,1,8,2,106,64816,44,0,5,48,4,0
3,2,37.0,0,1,3,383,64998,44,0,10,36,4,0
2,1,22.0,0,3,2,324,66498,23,0,10,46,3,0
2,1,37.0,0,4,3,106,63578,3,0,5,135,4,1
3,1,27.0,1,1,3,106,63784,3,0,13,15,5,0
1,1,27.0,0,2,2,166,63016,101,0,10,17,1,0
1,2,22.0,1,1,2,383,68858,1,0,10,67,6,0
2,2,27.0,1,1,3,383,70185,8,0,5,581,3,0
3,1,47.0,1,3,4,383,63800,7,0,13,20,4,0
2,1,27.0,1,3,3,324,72447,3,0,5,101,5,0
3,2,27.0,1,8,2,106,63180,111,0,13,130,4,0
1,1,37.0,0,3,2,383,70094,44,0,13,22,5,0
2,1,37.0,1,2,4,145,64667,3,1,5,32,1,0
1,1,32.0,0,8,3,106,70615,3,0,5,69,6,0
2,2,57.0,0,5,4,324,70995,24,0,6,23,5,1
3,2,22.0,0,4,2,324,62976,58,0,10,22,1,0
2,1,27.0,1,6,3,383,69625,32,0,5,161,5,0
2,2,57.0,0,1,2,145,71563,44,0,13,20,5,0
2,2,22.0,1,3,2,145,67322,8,0,13,282,3,0
3,2,17.5,1,3,2,106,70698,57,0,10,125,5,0
2,2,22.0,0,3,3,166,62331,64,0,5,103,4,0
3,1,57.0,1,3,2,106,70904,44,0,6,28,4,0
2,1,32.0,0,2,3,166,64600,8,0,10,24,5,0
3,1,22.0,1,3,4,120,63313,8,0,5,87,6,0
1,1,27.0,0,3,2,145,66589,8,0,5,20,1,0
3,1,22.0,1,1,2,106,64063,44,0,5,77,3,0
2,2,47.0,1,2,2,324,68486,44,0,13,27,3,0
3,2,52.0,0,3,3,166,69039,3,0,5,53,8,0
3,2,22.0,0,4,3,145,64170,8,0,10,20,1,0
1,1,42.0,1,4,4,324,72587,44,0,10,11,1,0
2,2,47.0,1,3,2,145,70482,3,0,10,282,3,0
1,1,27.0,0,3,2,166,61655,3,0,6,136,5,0
2,2,27.0,1,2,2,106,72561,19,0,10,18,6,0
3,2,37.0,0,7,3,106,62885,70,0,5,39,3,0
3,1,37.0,0,1,2,106,63719,48,0,6,26,1,0
1,2,32.0,1,3,3,383,67231,8,0,13,29,4,0
1,1,32.0,1,1,2,120,64188,49,0,13,26,2,0
1,2,27.0,0,6,2,383,66142,8,0,5,86,5,0
2,2,27.0,1,3,4,383,67116,22,0,13,10,6,0
3,2,32.0,1,4,2,324,71407,7,0,10,21,4,0
3,2,27.0,1,3,3,120,65110,32,0,10,25,6,0
2,1,32.0,1,3,3,120,71357,7,0,13,17,2,0
2,2,22.0,1,4,4,145,69500,7,0,5,30,7,0
2,2,32.0,0,5,2,383,69203,8,0,10,11,4,0
3,2,37.0,1,1,3,145,63057,52,0,10,15,4,0
2,1,27.0,0,3,2,106,72751,52,0,10,159,5,0
2,2,32.0,0,3,4,324,63198,8,0,5,527,5,0
2,1,22.0,0,6,4,120,64642,8,0,6,20,2,0
1,2,37.0,0,2,2,383,66910,3,0,10,17,6,0
2,1,22.0,0,6,2,383,68908,32,1,6,22,4,0
1,1,37.0,0,6,3,120,63545,44,0,5,21,5,0
2,2,27.0,1,3,4,324,63362,44,0,10,17,5,0
2,2,22.0,1,3,3,166,66795,21,0,5,155,1,0
2,1,32.0,1,3,4,106,63230,44,0,5,149,5,0
3,2,37.0,1,6,2,166,65458,44,0,5,19,6,0
1,1,32.0,1,3,4,145,70896,44,0,10,17,8,0
2,2,32.0,1,8,2,166,63032,8,0,6,24,1,0
3,1,52.0,0,8,3,166,72058,7,0,5,15,1,0
1,1,37.0,0,4,3,166,75085,3,0,13,14,5,0
3,2,42.0,1,8,3,324,71365,3,0,5,29,3,0
2,2,27.0,0,3,2,106,62000,49,0,10,41,5,0
1,2,37.0,0,1,2,120,61499,8,0,10,75,4,0
1,2,52.0,1,5,2,383,72447,7,0,5,16,7,0
2,2,37.0,1,6,2,166,62109,44,0,5,246,4,1
3,1,32.0,1,4,2,145,72363,7,0,13,26,5,0
2,2,27.0,1,8,4,166,71910,44,0,5,38,7,0
2,1,32.0,0,3,4,120,69088,8,0,6,20,4,0
3,1,27.0,1,2,2,383,72348,32,0,5,10,5,0
2,2,27.0,0,1,3,383,72462,64,0,13,70,4,0
2,1,22.0,0,5,2,145,63792,31,0,10,65,5,0
3,2,22.0,1,3,3,120,63024,44,0,13,111,6,0
3,1,57.0,0,1,2,383,62638,57,0,6,17,1,0
3,2,42.0,1,4,2,145,69377,34,0,10,87,6,0
1,2,27.0,0,3,2,324,61960,44,0,5,16,3,0
3,2,27.0,0,1,2,106,63230,44,0,5,13,8,0
2,1,37.0,1,3,2,120,63123,3,0,13,27,3,0
2,2,37.0,1,2,3,166,69336,3,0,10,90,4,0
2,1,42.0,0,4,2,106,66779,8,0,10,62,3,0
2,2,22.0,0,2,2,324,61499,32,0,10,43,6,0
1,2,27.0,0,3,3,120,68197,113,0,13,46,3,0
3,1,27.0,1,2,4,383,72538,8,0,5,41,5,0
3,1,22.0,0,1,2,166,68080,44,0,5,27,5,0
3,1,22.0,1,8,2,383,63461,8,0,10,16,4,0
3,2,22.0,1,8,3,145,63420,7,0,5,18,7,0
2,1,22.0,1,4,2,166,62737,31,0,6,15,5,0
3,1,47.0,1,1,3,120,71308,58,0,10,62,5,0
1,2,32.0,0,1,2,106,62703,8,0,10,24,4,0
2,1,22.0,0,8,2,120,70722,44,0,6,45,4,0
3,2,27.0,0,1,4,145,63792,7,0,5,41,6,0
3,2,27.0,1,2,2,120,65078,32,0,5,132,5,0
2,1,22.0,1,3,2,120,70615,3,0,10,37,5,0
2,1,27.0,1,3,3,106,62893,7,0,13,27,4,0
2,2,52.0,1,6,2,120,62513,64,0,10,21,5,1
3,2,37.0,1,3,2,120,68999,3,0,10,88,8,0
2,1,32.0,1,6,2,166,64485,1,0,6,43,6,0
3,1,37.0,1,5,3,324,65193,44,0,10,27,8,0
3,1,42.0,1,1,3,383,69765,40,0,5,13,2,0
2,2,37.0,0,4,2,106,71969,40,0,10,66,3,0
3,1,27.0,1,3,4,106,69120,64,0,10,18,4,0
3,2,22.0,0,5,3,120,66050,8,0,6,21,7,1
2,1,27.0,1,3,3,166,65334,49,0,13,40,5,0
3,1,27.0,1,2,2,324,64717,8,0,5,18,7,0
2,2,52.0,0,6,2,166,70623,32,0,10,16,6,0
2,2,32.0,1,3,3,145,70128,8,0,10,34,5,0
1,2,47.0,1,8,2,120,67918,44,0,5,22,4,0
3,2,47.0,0,6,2,145,67199,3,0,13,21,5,0
1,1,27.0,0,6,2,120,61507,15,0,5,137,8,0
2,2,52.0,0,3,3,106,70011,7,0,5,16,5,0
3,1,32.0,0,4,2,145,68627,3,0,13,17,7,0
3,2,32.0,0,7,2,145,64592,44,0,6,149,6,1
3,1,27.0,0,5,2,145,66399,8,0,10,15,5,0
2,2,57.0,0,5,4,145,61549,8,0,5,62,1,1
1,2,27.0,0,7,2,120,66316,28,0,10,199,5,0
2,2,27.0,0,1,2,106,66746,44,0,10,29,5,0
3,1,27.0,0,1,2,383,65680,40,0,10,18,3,0
3,2,47.0,1,1,3,324,71621,44,0,5,13,2,0
2,1,37.0,0,4,3,120,63073,7,0,5,41,5,0
1,1,37.0,0,4,3,106,65425,44,0,5,39,3,0
2,2,22.0,1,6,2,120,61838,44,0,5,48,6,0
2,1,22.0,1,3,4,383,65763,7,0,6,32,3,0
3,2,22.0,1,3,2,120,68981,8,0,10,21,4,0
2,2,22.0,1,2,4,166,67421,12,0,5,248,8,0
2,2,37.0,0,1,2,106,63404,3,0,10,57,7,0
3,1,22.0,1,3,3,324,63941,7,0,10,19,4,0
2,2,22.0,0,4,2,383,70649,44,0,10,57,3,1
2,2,42.0,1,8,3,145,72272,8,0,6,29,6,0
2,2,47.0,1,3,3,106,65631,8,0,13,13,1,0
3,2,37.0,1,3,3,383,62828,44,0,13,108,1,1
1,1,32.0,0,3,2,324,66860,8,0,10,19,1,0
2,2,22.0,1,3,4,106,65177,8,0,5,40,1,0
2,2,22.0,0,3,2,145,69724,44,0,13,164,4,1
3,2,32.0,1,3,3,166,72421,7,0,5,98,4,0
2,2,32.0,1,3,2,120,70714,102,0,13,13,7,0
2,2,37.0,0,6,3,106,62745,48,0,13,37,4,0
2,1,22.0,1,5,3,145,61523,8,0,5,19,5,1
3,1,47.0,0,3,2,120,63487,7,0,10,30,5,1
3,1,57.0,0,1,2,383,67157,7,0,6,20,3,0
2,2,32.0,0,1,2,383,66852,53,0,13,45,6,1
2,2,32.0,0,4,2,383,62794,107,0,13,59,6,0
3,1,32.0,0,5,2,145,73726,3,0,10,12,5,0
2,1,32.0,0,5,3,120,72512,58,0,10,41,4,0
3,1,42.0,1,2,2,106,64691,3,0,10,67,5,0
2,1,42.0,0,1,2,166,72512,72,0,5,42,4,0
1,1,42.0,1,1,3,383,62679,48,0,13,31,5,0
3,2,27.0,0,4,3,324,65862,64,0,5,50,3,1
1,2,27.0,0,3,2,166,73700,44,0,5,16,1,0
3,1,37.0,1,3,2,106,63438,7,0,10,20,5,1
2,1,52.0,1,2,3,324,63420,24,0,13,22,5,0
1,1,32.0,1,3,3,145,62802,80,0,10,12,1,1
3,2,32.0,0,2,2,383,66530,58,0,5,36,1,0
3,1,37.0,0,1,3,383,69955,3,0,10,14,4,0
3,1,37.0,0,4,3,383,71282,7,0,10,43,7,1
1,1,32.0,0,6,2,383,66332,34,0,10,45,5,0
2,1,42.0,1,4,2,120,69880,7,0,10,22,5,0
2,2,22.0,1,4,3,166,65771,3,0,13,69,4,1
2,2,42.0,0,7,4,106,65870,7,0,13,36,7,0
1,1,37.0,1,3,3,324,64758,3,0,5,27,4,0
2,1,27.0,0,4,2,106,69914,57,0,5,28,5,0
2,1,37.0,0,5,4,324,68163,72,0,5,50,7,0
2,1,32.0,0,3,3,145,66324,3,0,5,184,5,1
2,1,32.0,0,3,3,324,68973,8,1,10,43,1,0
2,1,22.0,1,1,2,166,64485,48,0,13,40,3,0
1,1,42.0,0,2,3,324,64345,8,0,5,15,6,0
1,1,27.0,0,5,2,106,65722,8,0,13,80,4,0
2,2,27.0,1,3,2,120,70268,72,0,10,16,5,0
2,1,22.0,1,3,2,383,62042,3,0,5,120,3,0
2,2,32.0,0,8,2,120,62984,44,0,5,13,1,1
2,1,57.0,0,5,3,383,66472,44,0,10,17,1,1
2,2,27.0,1,3,3,166,63008,7,0,5,27,5,1
3,1,22.0,0,4,3,120,71985,27,0,5,26,4,0
2,2,22.0,1,8,2,120,63172,44,0,5,40,4,0
3,1,22.0,1,2,2,145,72272,7,0,5,16,3,0
2,2,22.0,0,5,2,324,65078,8,0,13,130,5,0
1,2,42.0,0,4,2,166,65557,57,0,13,35,2,0
3,2,27.0,1,3,2,106,71407,8,0,5,34,6,0
3,2,22.0,1,3,4,166,72744,44,0,10,103,5,1
2,1,37.0,1,7,3,120,69682,8,0,10,27,4,0
1,2,22.0,1,4,3,145,67322,64,0,6,16,3,0
2,2,37.0,0,3,2,383,69021,28,0,5,579,5,0
2,1,52.0,0,6,2,324,69419,3,0,10,15,5,0
1,1,42.0,0,3,3,120,69138,8,0,5,30,7,1
1,1,22.0,0,7,2,166,71795,8,0,5,574,1,0
1,2,32.0,0,2,4,120,62703,8,0,5,19,5,0
3,1,27.0,0,3,3,120,71357,27,0,5,20,6,0
2,2,37.0,0,3,2,120,75440,3,0,6,12,5,0
3,2,22.0,0,1,2,145,67306,70,0,5,35,6,0
2,2,22.0,0,4,2,120,69518,48,0,5,16,6,0
2,2,27.0,1,3,2,324,70078,8,0,5,51,4,0
2,2,37.0,1,3,4,120,68155,13,0,5,16,2,0
2,2,27.0,0,3,2,383,62984,8,0,10,157,6,0
3,1,27.0,0,2,4,324,71621,73,0,13,69,4,0
2,1,27.0,1,6,3,324,66415,7,0,6,34,1,1
2,2,32.0,0,1,2,106,72181,101,0,13,96,4,0
3,2,42.0,0,3,3,166,70821,7,0,10,17,5,0
3,1,22.0,0,4,3,106,72405,8,0,10,23,3,0
