rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,player,religiousness,expenditure,school,persons,games,f_other,n_other,deny,occupation
50,no,52,male,more,-0.6563948,4.1,upper,yes,yes,57,67,50,Roque Santa Cruz,2,5257.996582,Franklin-McKinley Elementary,2,2,3,5,0,6
51,no,33,female,more,0.7244775,4.4,upper,yes,yes,10,15,51, Isma López,3,5016.692383,Hawthorne Elementary,2,1,3,5,0,2
52,no,57,male,more,0.6318343,4.2,upper,yes,yes,69,77,52, Thiago,3,4720.086426,Chowchilla Elementary,2,2,7,10,0,5
53,no,38,female,more,1.070944,4.5,upper,yes,yes,46,65,53,Massimo Luongo,2,5470.5625,Salinas City Elementary,4,2,4,6,0,6
54,no,34,female,more,-1.450494,3.8,lower,yes,yes,54,91,54,Moussa Sissoko,5,5615.441895,Santa Maria-Bonita Elementary,2,4,7,10,0,5
55,no,34,male,more,1.15588,3.1,upper,yes,yes,24,36,55,Alex Smith,2,5245.439941,Whittier City Elementary,3,1,7,10,0,3
56,no,32,male,more,-0.3260148,3.7,lower,yes,yes,85,248,56,Korey Smith,3,4838.175293,Eastside Union Elementary,1,3,7,10,0,5
57,no,42,female,more,0.8846435,3.9,lower,yes,yes,44,62,57,Stilian Petrov,4,5367.988281,Lawndale Elementary,1,10,7,10,0,5
58,no,43,female,more,-0.5583452,4.0,lower,yes,yes,35,51,58,Leyti N'Diaye,4,5526.236816,Robla Elementary,1,1,7,10,1,1
59,no,35,male,more,-0.3415543,3.3,upper,no,yes,11,19,59,Mickaël Landreau,2,4353.019531,Santa Rita Union Elementary,4,3,9,13,0,1
60,no,62,female,more,-0.5040575,3.1,upper,yes,yes,22,27,60,Ján Mucha,1,5034.290039,Rio Elementary,1,1,9,13,0,5
61,no,42,male,more,-0.9005804,4.0,upper,yes,yes,45,86,61, Cuéllar,3,4692.493652,Strathmore Union Elementary,2,5,4,6,0,5
62,no,39,male,more,0.6430142,4.3,upper,yes,yes,22,29,62,Holger Badstuber,3,5606.781738,North Sacramento Elementary,2,1,7,10,0,5
63,no,52,female,more,0.773524,3.7,upper,yes,yes,64,88,63,Marc Tierney,4,4969.180664,Anaheim Elementary,2,1,3,5,0,5
64,no,52,female,more,1.063938,3.4,upper,yes,yes,31,44,64, Ramires,2,4675.674805,Lemoore Union Elementary,4,4,3,5,0,6
65,no,52,female,more,-1.090389,4.3,upper,yes,no,59,75,65,Edin Džeko,3,5306.132813,Armona Union Elementary,4,5,3,5,0,5
66,no,64,male,more,-1.069162,3.7,upper,yes,yes,9,11,66,Sanjin Prcić,3,5693.883301,Beardsley Elementary,1,1,7,10,0,5
67,no,50,male,more,1.415695,4.2,upper,yes,yes,15,16,67,James Perch,2,5181.57959,South Whittier Elementary,1,2,4,6,1,5
68,no,60,male,more,-1.422919,2.2,upper,yes,yes,23,32,68, Edu,4,5228.650879,Hanford Elementary,3,1,3,5,0,1
69,no,51,female,more,0.3918222,3.0,upper,yes,yes,47,67,69,Matthew Lowton,4,5339.391113,National Elementary,1,1,3,5,0,6
70,no,43,male,more,-0.4899626,4.3,lower,yes,yes,19,22,70,James Tomkins,2,6056.49707,Roseland Elementary,2,1,7,10,0,1
71,yes,50,male,single,-0.5835869,4.6,lower,yes,no,17,24,71,Granit Xhaka,4,4845.680176,Di Giorgio Elementary,3,1,9,13,0,3
72,no,52,male,more,0.7566829,3.5,upper,yes,yes,46,69,72,Chinedu Ede,2,4826.666016,Keppel Union Elementary,4,4,4,6,0,1
73,no,51,male,more,0.8808186,4.6,lower,yes,yes,348,574,73,Leon Balogun,5,5367.090332,Lakeside Union Elementary,4,1,7,10,0,1
74,no,38,male,more,-0.5665014,3.7,lower,yes,yes,44,87,74,Javier Pinola,4,5742.73291,Merced City Elementary,3,1,3,5,0,5
75,no,47,female,more,0.3394037,3.8,lower,yes,yes,19,24,75,Rory Delap,4,4136.250977,Guadalupe Union Elementary,1,1,3,5,0,5
76,yes,43,female,more,-0.1513687,3.6,lower,yes,yes,47,103,76,Derrick Williams,1,5267.831055,Cucamonga Elementary,2,2,4,6,0,3
77,no,38,female,more,-1.024997,4.4,lower,yes,no,33,68,77,Alexis Thébaux,5,5238.39209,Knightsen Elementary,3,6,3,5,0,6
78,no,43,male,more,-0.0252444,4.1,lower,yes,yes,10,13,78,Ronny Philp,3,5462.899414,Rio Dell Elementary,1,2,7,10,0,5
79,no,57,male,more,-0.7467875,4.3,upper,yes,yes,7,13,79,Fernando Gago,3,6313.373535,Montague Elementary,2,1,3,5,0,6
80,no,51,female,more,0.9889485,4.0,upper,yes,yes,9,11,80, Felipe Santana,4,6653.030762,McCloud Union Elementary,4,1,9,13,0,4
81,no,45,male,single,-0.5324199,4.8,lower,yes,no,12,17,81,Tom Starke,3,5533.149414,Santa Paula Elementary,4,1,3,5,0,3
82,no,57,male,more,-0.7668921,3.5,lower,yes,yes,13,14,82,Christian Pander,1,6118.710449,West Park Elementary,2,1,7,10,0,3
83,no,47,female,more,1.154256,3.6,lower,yes,no,16,21,83,Hugo Rodallega,3,5098.626953,Atwater Elementary,3,1,7,10,0,6
84,yes,54,female,more,1.232602,3.8,lower,yes,yes,18,18,84, San José,5,5652.878906,Weaver Union Elementary,1,1,4,6,0,4
85,no,58,male,more,1.774334,4.7,lower,yes,no,16,17,85,Jens Grahl,4,5329.002441,Pacific Union Elementary,1,1,9,13,0,4
86,no,42,male,more,1.773151,4.9,lower,yes,yes,15,18,86,Thomas Sørensen,3,5929.809082,Lucerne Valley Unified,3,11,7,10,0,1
87,no,33,male,more,0.7245926,4.3,lower,yes,yes,85,120,87,Mario Balotelli,4,4897.067871,Romoland Elementary,4,1,4,6,0,6
88,no,62,male,more,-1.181626,3.3,lower,yes,yes,11,38,88,Rio Mavuba,1,5100.202148,El Monte City Elementary,1,7,7,10,1,5
89,yes,35,female,more,1.769452,3.4,lower,yes,yes,60,96,89,Frank Lampard,4,4825.722656,Greenfield Union Elementary,4,1,3,5,0,3
90,no,61,male,more,-0.5872612,3.6,lower,yes,yes,27,39,90,Marouane Fellaini,3,4079.12915,Palo Verde Union Elementary,3,8,4,6,0,3
91,no,52,female,more,-0.0018324,4.0,lower,yes,yes,61,111,91,Matthieu Sans,4,5349.367676,Elverta Joint Elementary,3,2,4,6,0,5
92,no,60,female,more,-0.0566766,3.9,upper,no,yes,23,27,92,Junior Fernandes,3,5869.38916,Lucerne Elementary,2,1,3,5,0,5
93,no,32,male,more,1.231394,4.3,lower,yes,yes,98,132,93,Ludovic Giuly,5,6462.12793,Luther Burbank Elementary,3,2,3,5,0,7
94,yes,42,female,more,0.4203998,3.3,upper,no,yes,48,84,94,Klaas-Jan Huntelaar,2,6231.601563,Bangor Union Elementary,2,15,3,5,0,4
95,yes,36,female,more,0.2899157,3.7,upper,yes,yes,86,125,1, Andre Luiz,2,4993.867676,Bayshore Elementary,4,1,3,5,0,1
96,yes,36,female,more,0.2899157,3.6,upper,yes,yes,76,125,1, Pedro,4,4663.811035,Oak Valley Union Elementary,3,10,4,6,0,6
97,yes,36,female,more,0.2899157,4.4,upper,yes,yes,77,123,1,Anthony Annan,4,6107.106445,Wilsona Elementary,4,1,4,6,0,5
98,no,59,male,more,-0.7377322,4.0,upper,yes,yes,35,40,2,Gonzalo Jara,4,5324.228027,Brawley Elementary,4,3,7,10,0,6
99,no,59,male,more,-0.7377322,2.1,upper,yes,yes,39,44,2,Stefan Thesker,4,5221.460938,Meadows Union Elementary,2,1,7,10,0,4
100,no,51,male,more,-0.5719836,3.2,upper,yes,yes,111,195,3,Andriy Voronin,4,5157.784668,Little Lake City Elementary,4,1,7,10,1,3
101,no,40,female,more,-0.6779634,3.5,upper,yes,yes,24,27,4,Renaud Cohade,4,5131.119141,Pond Union Elementary,1,3,7,10,0,3
102,no,40,female,more,-0.6779634,4.1,upper,yes,yes,24,25,4,Emre Can,2,5279.354004,Taft City Elementary,2,1,4,6,1,4
103,no,40,female,more,-0.6779634,4.6,upper,yes,yes,17,20,4,Francis Coquelin,4,4704.043945,Brittan Elementary,4,2,3,5,1,1
104,no,40,female,more,-0.6779634,3.8,upper,yes,yes,14,25,4, Diego,4,6089.910645,Arena Union Elementary,3,1,3,5,0,4
105,no,40,female,more,-0.6779634,3.8,upper,yes,yes,37,42,4,Martín Demichelis,2,5356.833496,Adelanto Elementary,2,6,7,10,0,7
106,no,40,female,more,-0.6779634,3.8,upper,yes,yes,18,20,4,Roy Contout,2,5144.549316,Hollister School District,4,1,7,10,0,1
107,no,40,female,more,-0.6779634,4.2,upper,yes,yes,15,18,4,Benoît Costil,2,4906.22998,Palmdale Elementary,1,3,7,10,0,1
108,no,31,female,more,1.509794,3.9,upper,yes,yes,40,44,5, Yannick Djaló,4,5489.588867,Oroville City Elementary,3,4,3,5,0,1
109,no,31,female,more,1.509794,4.5,upper,yes,yes,38,48,5,Sebastian Freis,4,5718.55127,Standard Elementary,4,1,3,5,0,4
110,no,31,female,more,1.509794,4.5,upper,yes,yes,40,45,5,Stephen Kelly,3,4436.152832,Briggs Elementary,4,1,7,10,0,1
111,no,31,female,more,1.509794,4.4,upper,yes,yes,52,59,5, Maicon,4,4895.439453,Monroe Elementary,1,1,4,6,0,5
112,no,31,female,more,1.509794,4.4,upper,yes,yes,49,87,5,Ryan Mason,2,5159.21875,Lancaster Elementary,2,1,7,10,0,6
113,no,62,male,more,0.5885687,4.4,upper,yes,yes,160,292,6,Carlos Sánchez,2,5490.654785,Alview-Dairyland Union Elementary,1,1,7,10,0,5
114,no,62,male,more,0.5885687,4.5,upper,yes,yes,79,130,6,Chris Brunt,5,5172.019531,Magnolia Elementary,4,1,7,10,1,6
115,no,62,male,more,0.5885687,4.3,upper,yes,yes,176,285,6,Benjamin Lecomte,5,4441.672852,Liberty Elementary,3,2,7,10,0,5
116,no,62,male,more,0.5885687,4.6,upper,yes,yes,155,272,6, Xavi,2,5220.370117,Mt. Pleasant Elementary,2,1,7,10,0,5
117,no,62,male,more,0.5885687,4.8,upper,yes,yes,166,286,6,Bănel Nicoliţă,2,5252.810547,El Centro Elementary,2,2,9,13,0,6
118,no,62,male,more,0.5885687,4.3,upper,yes,yes,186,302,6,Patrick Owomoyela,4,5518.702148,South Bay Union Elementary,4,1,9,13,0,6
119,no,33,female,more,-0.126001,4.0,upper,yes,yes,29,34,7,Sejad Salihović,3,5609.487793,Cascade Union Elementary,3,3,4,6,0,5
120,no,33,female,more,-0.126001,4.0,upper,yes,yes,37,41,7,Shawn Parker,2,4945.031738,Kings River Union Elementary,3,1,7,10,0,6
121,no,33,female,more,-0.126001,3.9,upper,yes,yes,29,41,7,Ashley Westwood,1,5223.025391,Gerber Union Elementary,2,1,3,5,0,5
122,no,33,female,more,-0.126001,3.3,upper,yes,yes,28,34,7,Kevin Großkreutz,4,4757.025391,Exeter Union Elementary,1,18,3,5,0,4
123,no,51,female,more,-0.2581899,4.5,upper,yes,yes,21,22,8,Mamadou Bah,4,5522.161621,American Union Elementary,4,1,3,5,0,5
124,no,51,female,more,-0.2581899,4.5,upper,yes,yes,13,21,8,Chris Smalling,4,6087.608887,San Antonio Union Elementary,1,2,7,10,0,2
125,no,51,female,more,-0.2581899,4.5,upper,yes,yes,16,17,8,Jérémy Ménez,4,4960.515625,Burton Elementary,4,11,4,6,0,4
126,no,51,female,more,-0.2581899,2.5,lower,yes,yes,24,30,8, Antonio López,4,4880.040527,Nuview Union Elementary,4,3,3,5,0,6
127,no,51,female,more,-0.2581899,4.3,upper,yes,yes,23,23,8,Vurnon Anita,1,6538.417969,Bellevue Union Elementary,1,1,3,5,0,3
128,no,51,female,more,-0.2581899,4.5,upper,yes,yes,20,20,8,Aaron Ramsey,4,4925.659668,Garvey Elementary,3,1,7,10,0,5
129,no,33,female,more,0.1496926,4.7,upper,yes,yes,29,33,9,Antonio Valencia,1,5204.6875,Corning Union Elementary,2,1,9,13,1,6
130,no,33,female,more,0.1496926,3.5,upper,yes,yes,11,44,9,Dawda Bah,2,4907.410645,Jefferson Elementary,4,11,4,6,0,4
131,no,33,female,more,0.1496926,4.5,upper,yes,yes,29,49,9,Patrick Helmes,4,5923.45166,Big Springs Union Elementary,3,1,7,10,0,1
132,no,33,female,more,0.1496926,3.8,upper,yes,yes,25,29,9,Serdar Taşçı,2,4741.957031,General Shafter Elementary,1,2,3,5,0,5
133,no,33,female,more,0.1496926,4.5,upper,yes,yes,42,48,9,Salif Sané,2,4954.019531,Turlock Joint Elementary,4,2,3,5,0,1
134,no,33,female,more,0.1496926,4.3,upper,yes,yes,34,40,9,Glen Johnson,4,5500.10791,Twain Harte-Long Barn Union Elementary,4,2,4,6,0,6
135,no,47,male,more,0.540917,3.9,upper,yes,no,12,16,10, Capdevila,3,5360.51709,Redwood City Elementary,2,8,3,5,0,1
136,no,47,male,more,0.540917,4.3,upper,yes,no,14,15,10,Clemens Fritz,4,5685.63916,Camino Union Elementary,4,2,7,10,0,5
137,no,47,male,more,0.540917,4.2,upper,yes,no,22,23,10,Claudio Yacob,4,5594.196289,Plainsburg Union Elementary,4,1,3,5,1,5
138,no,47,male,more,0.540917,5.0,lower,yes,no,10,11,10,Péter Gulácsi,4,4692.566895,Banta Elementary,3,1,9,13,0,5
139,no,47,male,more,0.540917,5.0,lower,yes,no,17,29,10,Frédéric Piquionne,4,5085.40625,Washington Colony Elementary,2,2,3,5,0,5
140,no,47,male,more,0.540917,4.6,upper,yes,no,16,21,10,Rémy Vercoutre,5,5456.197266,Rio Linda Union Elementary,2,1,7,10,0,5
141,no,47,male,more,0.540917,5.0,lower,yes,no,15,18,10, Casto,1,5105.179688,Chatom Union Elementary,4,1,7,10,1,5
142,no,47,male,more,0.540917,4.7,upper,yes,no,16,19,10,Robin Knoche,2,5519.677246,Merced River Union Elementary,2,1,4,6,0,5
143,no,47,male,more,0.540917,5.0,lower,yes,no,16,20,10,Jonathan Obika,4,5065.911133,Hueneme Elementary,3,2,9,13,0,5
144,yes,35,male,more,0.2316134,2.7,upper,no,yes,30,33,11, Pedro León,3,5182.428223,Cuddeback Union Elementary,3,11,7,10,0,1
145,yes,35,male,more,0.2316134,4.0,upper,no,yes,23,24,11,Omar Daf,3,5960.464355,Blue Lake Union Elementary,1,1,4,6,0,3
146,no,37,male,more,-0.0666737,4.4,upper,yes,no,13,21,12,Daniel Sturridge,5,5124.836426,Lemon Grove Elementary,2,1,7,10,0,6
147,no,37,male,more,-0.0666737,4.4,upper,yes,no,24,30,12,Patrick Rakovsky,4,5655.133301,Upper Lake Union Elementary,4,2,3,5,0,6
148,no,37,male,more,-0.0666737,4.3,upper,yes,no,24,25,12,Samuel Bouhours,4,5811.689941,Peninsula Union Elementary,3,1,4,6,0,5
149,no,37,male,more,-0.0666737,3.5,upper,yes,no,25,35,12,Kevin Pannewitz,5,5467.673828,Ocean View Elementary,3,1,4,6,0,5
150,no,42,male,more,0.2168924,3.8,upper,yes,yes,18,30,13,William Kvist,3,5213.089355,Reeds Creek Elementary,2,1,3,5,0,7
151,no,42,male,more,0.2168924,3.9,upper,yes,yes,28,42,13, Raúl Albiol,4,4613.1875,Arcohe Union Elementary,1,3,3,5,0,4
152,no,42,male,more,0.2168924,3.7,upper,yes,yes,25,57,13,Dudu Aouate,3,4886.983887,New Jerusalem Elementary,2,6,3,5,0,5
153,no,42,male,more,0.2168924,3.3,upper,yes,yes,40,57,13,David Abraham,4,6455.136719,Dunsmuir Elementary,1,7,3,5,0,1
154,no,42,male,more,0.2168924,4.0,upper,yes,yes,40,51,13,Jordan Ferri,4,5125.433105,Stanislaus Union Elementary,2,1,4,6,0,5
155,no,42,male,more,0.2168924,3.8,upper,yes,yes,18,30,13,Johannes van den Bergh,3,5193.692383,Kingsburg Joint Union Elementary,3,1,4,6,0,4
156,no,49,male,more,-0.2586962,4.2,upper,no,yes,31,37,14,Ivan Klasnić,4,5002.838867,Buena Park Elementary,1,15,7,10,0,3
157,no,49,male,more,-0.2586962,3.1,upper,no,yes,15,29,14, Felipe Santana,4,5337.625488,Westminster Elementary,2,2,7,10,0,5
158,no,49,male,more,-0.2586962,3.6,upper,no,yes,23,27,14,Karim Haggui,3,5161.202148,Island Union Elementary,3,1,7,10,0,3
159,no,37,female,more,0.5502878,3.3,upper,yes,yes,34,52,15,Gareth Bale,4,5158.791992,Tulare City Elementary,1,1,7,10,1,3
160,no,37,female,more,0.5502878,2.9,upper,yes,yes,21,26,15,Matthieu Chalmé,3,5123.474121,Chula Vista Elementary,4,4,4,6,1,1
161,no,37,female,more,0.5502878,3.1,upper,yes,yes,29,30,15,Brede Hangeland,3,5782.543945,Black Butte Union Elementary,3,1,3,5,0,6
162,no,45,male,more,-0.0620358,4.0,lower,yes,yes,45,177,16, Ricardo Costa,2,4842.60791,McSwain Union Elementary,1,1,3,5,0,5
163,no,45,male,more,-0.0620358,4.0,lower,yes,yes,90,199,16,Tom Cleverley,2,4219.40625,Franklin Elementary,3,1,7,10,0,5
164,no,45,male,more,-0.0620358,4.2,upper,yes,yes,27,32,16,Sami Khedira,4,5081.169922,Escondido Union Elementary,4,1,7,10,1,6
165,no,45,male,more,-0.0620358,3.8,upper,yes,yes,35,37,16, Cala,3,5144.993652,East Whittier City Elementary,4,2,7,10,0,1
166,no,45,male,more,-0.0620358,4.3,lower,yes,yes,120,161,16,Fabian Giefer,3,4674.298828,Rio Bravo-Greeley Union Elementary,1,5,3,5,0,6
167,no,56,female,more,-0.9823852,4.6,upper,yes,no,39,44,17,Matthew Jarvis,2,4830.326172,Marcum-Illinois Union Elementary,4,11,3,5,0,5
168,no,56,female,more,-0.9823852,4.3,upper,yes,no,35,53,17,Mickaël Landreau,4,5621.687988,Vallecitos Elementary,3,1,7,10,1,5
169,no,56,female,more,-0.9823852,3.6,upper,yes,no,34,49,17,Harry Kane,3,4948.868164,Victor Elementary,3,1,4,6,0,5
170,no,56,female,more,-0.9823852,4.2,upper,yes,no,27,32,17,Maxime Baca,3,5100.975586,Savanna Elementary,4,6,7,10,0,6
171,no,48,male,more,-0.054344,3.9,upper,yes,no,20,33,18,Nicolas Fauvergue,4,5132.788574,West Side Union Elementary,3,1,7,10,0,2
172,no,48,male,more,-0.054344,4.1,upper,yes,no,14,19,18, Bodipo,3,5358.51709,Enterprise Elementary,2,4,7,10,0,4
173,no,48,male,more,-0.054344,4.0,lower,yes,no,65,111,18,Philipp Lahm,3,5149.186523,Red Bluff Union Elementary,4,4,7,10,0,5
174,no,48,male,more,-0.054344,4.3,lower,yes,no,95,149,18,Vadim Demidov,5,5373.206543,Jamestown Elementary,2,1,7,10,0,2
175,no,48,male,more,-0.054344,3.9,upper,yes,no,18,27,18,Sascha Mölders,4,6485.166016,Weed Union Elementary,4,4,9,13,0,5
176,no,48,male,more,-0.054344,4.2,lower,yes,no,85,136,18,Alexandre Alphonse,1,5504.025391,South Bay Union Elementary,2,1,9,13,0,5
177,no,48,male,more,-0.054344,4.2,lower,yes,no,113,140,18,Mario Mandžukić,1,5105.734375,Brentwood Union Elementary,2,1,4,6,0,6
178,no,46,female,more,-0.0680143,4.9,lower,yes,yes,14,15,19,Gastón Ramírez,4,5634.730957,Summerville Elementary,1,1,7,10,0,6
179,no,46,female,more,-0.0680143,4.0,upper,yes,yes,23,29,19, Brandão,5,4980.294434,Ophir Elementary,2,1,3,5,0,5
180,no,46,female,more,-0.0680143,4.3,upper,yes,yes,23,25,19,Mario Götze,3,6113.859863,Montgomery Elementary,1,2,3,5,0,1
181,no,46,female,more,-0.0680143,4.9,upper,yes,yes,9,18,19,Gael Bigirimana,3,5850.0,Santa Rosa Elementary,3,1,3,5,0,6
182,no,46,female,more,-0.0680143,3.9,upper,yes,yes,30,45,19,Nils Petersen,2,4547.944824,Salida Union Elementary,2,1,7,10,0,6
183,no,46,female,more,-0.0680143,4.9,lower,yes,yes,15,15,19,Souleymane Diawara,3,5011.840332,Shasta Union Elementary,2,2,4,6,0,1
184,no,46,female,more,-0.0680143,3.9,upper,yes,yes,31,38,19,Martin Lanig,3,5261.370605,Fortuna Union Elementary,2,2,3,5,0,1
185,no,46,female,more,-0.0680143,4.0,lower,yes,yes,12,15,19,Ezequiel Lavezzi,2,4276.115234,Rockford  Elementary,3,4,3,5,0,1
186,no,57,female,more,0.0294137,3.5,upper,yes,no,10,23,20, Fran Miranda,4,4566.27002,Plaza Elementary,4,1,7,10,0,6
