rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,player,religiousness,source,name,persons,games,f_other,n_other,allstudents,occupation
29,72199,Terra Bella Union Elementary,Tulare,KK-08,847,44.0,16.2928009,90.20069885,67,5139.164551,8.934000015,55.96221542,620.0999756,627.0999756,Beg Ferati,2,MWR,Gladys,1,5,4,6,31,6
30,72215,Tipton Elementary,Tulare,KK-08,452,22.0,14.49890041,81.02349854,55,4614.251953,8.553999901,11.06194687,627.9000244,620.4000244,Shola Ameobi,4,MWR,Camille,4,1,7,10,19,5
31,68379,San Ysidro Elementary,San Diego,KK-08,4142,201.0,35.5625,81.50650024,569,5342.233398,6.612999916,80.42008972,620.4000244,628.7000122,Darron Gibson,1,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia),Celia,1,7,3,5,21,2
32,75440,Soledad Unified,Monterey,KK-08,2102,99.75,15.31989956,90.28489685,224,5347.458496,12.4090004,63.13035583,623.0,626.9000244,Janek Sternberg,5,MWR,Edith,3,2,4,6,19,5
33,64816,Mountain View Elementary,Los Angeles,KK-08,10012,464.8999939,29.76390076,91.59339905,721,5036.458984,8.126615524,65.12185669,620.7999878,629.7999878,Niklas Lomb,2,MWR,Fern,4,2,4,6,87,3
34,66050,King City Union Elementary,Monterey,KK-08,2488,125.0,12.69200039,55.0929985,202,5117.141602,11.43099976,53.41640091,626.0999756,625.5999756, Cristiano Ronaldo,2,MWR,Ginger,4,10,3,5,316,6
35,67819,Ontario-Montclair Elementary,San Bernardino,KK-08,25151,1186.699951,17.44260025,80.19560242,1713,5117.039551,11.72222519,49.82307053,625.4000244,626.7999878,Zoltán Gera,4,MWR,Agnes,1,1,3,5,15,5
36,64758,Los Nietos Elementary,Los Angeles,KK-08,2267,103.6800003,19.15169907,84.43379974,177,5272.191895,11.33250046,35.46537018,625.4000244,628.2000122, Nélson,5,MWR,Carmen,2,3,3,5,19,6
37,65870,Winton Elementary,Merced,KK-08,1657,90.40000153,28.84729958,84.73139954,204,5225.719238,9.597999573,56.12552643,623.5999756,630.2000122,Fabien Camus,2,MWR,Eloise,2,9,3,5,248,6
38,62380,Raisin City Elementary,Fresno,KK-08,284,17.5,14.52700043,94.93240356,18,6516.533203,14.55799961,32.39436722,628.9000244,625.2999878,Wesley Hoolahan,4,MWR,Belle,4,3,4,6,111,1
39,68999,Ravenswood City Elementary,San Mateo,KK-08,5370,280.0,19.57169914,81.11730194,562,4559.176758,22.05999947,65.51210022,624.4000244,630.0999756,William Gallas,3,MWR,Babe,3,1,4,6,30,3
40,63578,Richland-Lerdo Union Elementary,Kern,KK-08,2471,121.8600006,23.79599953,87.77819824,275,5119.158203,9.708999634,53.05544281,627.5,627.0999756, Ryan Mendes,2,MWR,Bob,4,2,7,10,11,5
41,72538,Oxnard Elementary,Ventura,KK-08,15386,669.3599854,12.50640011,71.43309784,1762,5338.185547,11.48294449,49.64253235,627.7999878,628.7000122,Matthias Ostrzolek,4,MWR,David,1,1,7,10,73,5
42,65680,El Nido Elementary,Merced,KK-08,184,9.0,22.2826004,85.86959839,40,5090.044922,8.17800045,45.10869598,621.5999756,635.2000122,Liam Ridgewell,3,MWR,Frederic,4,3,7,10,13,5
43,63461,Fairfax Elementary,Kern,KK-08,1217,61.40000153,33.90800095,88.09519958,78,5485.496094,8.173999786,30.32045937,629.4000244,627.7000122,Javier Pinola,4,MWR,Allen,3,1,7,10,40,1
44,63404,Delano Union Elementary,Kern,KK-08,6219,268.0,21.49860001,100.0,571,4793.370117,7.5,52.24312592,621.0999756,636.2000122,Florent Malouda,2,MWR,Alicia,4,3,4,6,149,3
45,67199,Perris Elementary,Riverside,KK-06,4258,221.0,24.65950012,92.74310303,324,5092.91748,10.05049992,36.80131531,626.5,631.0,Claudio Pizarro,2,MWR,Diana,4,1,3,5,23,6
46,65078,Valle Lindo Elementary,Los Angeles,KK-08,1235,53.0,8.218299866,62.13019943,175,4359.520996,7.331999779,30.28339958,630.2000122,629.4000244,Vegar Hedenstad,3,MWR,Bob,1,1,3,5,574,5
47,69369,Alum Rock Union Elementary,Santa Clara,KK-08,16244,766.6500244,17.4531002,69.73989868,1423,5645.495605,12.5815773,49.8645668,629.5,631.2000122,Sebastian Larsson,3,MWR,Danny,2,21,7,10,35,5
48,63438,Edison Elementary,Kern,KK-08,814,39.0,19.77890015,67.44470215,85,4518.016113,15.17700005,13.75921345,631.9000244,628.9000244,Hajime Hosogai,4,MWR,Elena,1,1,7,10,13,6
49,63321,Bakersfield City Elementary,Kern,KK-08,27176,1429.0,39.21839905,84.29499817,3324,5864.366211,12.109128,28.86370468,631.5999756,629.5,David Fox,2,MWR,Gloria,2,1,7,10,23,4
50,69450,Franklin-McKinley Elementary,Santa Clara,KK-08,10696,487.9700012,22.15780067,70.89569855,1306,5257.996582,11.78499985,52.80478668,628.5,632.5999756,Roque Santa Cruz,2,MWR,Juan,2,2,3,5,48,6
51,64592,Hawthorne Elementary,Los Angeles,KK-08,8935,444.5,36.94509888,79.51200104,786,5016.692383,14.06200027,44.08506012,628.4000244,633.7000122, Isma López,3,MWR,Kate,2,1,3,5,21,2
52,65193,Chowchilla Elementary,Madera,KK-08,1600,74.5,27.26140022,79.72550201,242,4720.086426,10.47200012,35.25,635.7000122,627.0999756, Thiago,3,MWR,Bonnie,2,2,7,10,103,5
53,66142,Salinas City Elementary,Monterey,KK-06,9028,449.9200134,13.98849964,69.94249725,669,5470.5625,13.40511703,37.49446106,633.0,630.7000122,Massimo Luongo,2,MWR,Charley,4,2,4,6,89,6
54,69120,Santa Maria-Bonita Elementary,Santa Barbara,KK-08,10625,521.4699707,7.497499943,77.52559662,896,5615.441895,12.30179977,50.39059067,629.5999756,634.2000122,Moussa Sissoko,5,MWR,Floyd,2,4,7,10,21,5
55,65110,Whittier City Elementary,Los Angeles,KK-08,7151,318.5799866,18.54809952,61.73820114,560,5245.439941,15.40407085,31.07257843,634.2000122,629.7000122,Alex Smith,2,MWR,Florence,3,1,7,10,29,3
56,64477,Eastside Union Elementary,Los Angeles,KK-08,2404,105.0,20.92740059,52.94350052,202,4838.175293,13.76200008,18.26123238,633.5,630.5,Korey Smith,3,MWR,Chantal,1,3,7,10,15,5
57,64691,Lawndale Elementary,Los Angeles,KK-08,5804,283.1499939,28.34250069,81.11650085,480,5367.988281,14.18400002,34.70020676,631.4000244,633.0,Stilian Petrov,4,MWR,Hugo,1,10,7,10,15,5
58,67421,Robla Elementary,Sacramento,KK-06,2253,112.6500015,43.49760056,84.55390167,196,5526.236816,8.864999771,33.28894806,637.5,627.0,Leyti N'Diaye,4,MWR,Jerry,1,1,7,10,21,1
59,66191,Santa Rita Union Elementary,Monterey,KK-08,2807,126.1200027,15.45950031,52.39640045,152,4353.019531,12.99699974,33.48770905,637.2999878,627.5999756,Mickaël Landreau,2,MWR,Bob,4,3,9,13,26,1
60,72561,Rio Elementary,Ventura,KK-08,3074,142.5500031,11.28979969,66.19490051,249,5034.290039,11.59200001,38.15875244,633.2000122,632.5,Ján Mucha,1,MWR,Andrew,1,1,9,13,137,5
61,72157,Strathmore Union Elementary,Tulare,KK-08,723,37.11999893,25.92110062,83.15789795,45,4692.493652,8.279000282,36.92946243,629.2000122,636.7000122, Cuéllar,3,MWR,Emily,2,5,4,6,26,5
62,67397,North Sacramento Elementary,Sacramento,KK-06,5138,290.7749939,58.75220108,84.99900055,560,5606.781738,10.90564251,32.98949051,630.2999878,635.7999878,Holger Badstuber,3,MWR,Erin,2,1,7,10,18,5
63,66423,Anaheim Elementary,Orange,KK-06,20927,953.5,10.91139984,82.39260101,1048,4969.180664,13.40062523,58.21665573,629.5999756,636.7000122,Marc Tierney,4,MWR,Opal,2,1,3,5,34,5
64,63974,Lemoore Union Elementary,Kings,KK-08,3017,138.5,14.97679996,56.06359863,496,4675.674805,11.08100033,17.00364685,634.4000244,632.9000244, Ramires,2,MWR,Bertha,4,4,3,5,20,6
65,63875,Armona Union Elementary,Kings,KK-08,957,50.0,27.16819954,82.13169861,149,5306.132813,9.081999779,17.65935326,634.7000122,633.0999756,Edin Džeko,3,MWR,Fran,4,5,3,5,33,5
66,63339,Beardsley Elementary,Kern,KK-08,1639,90.5,46.88819885,80.60420227,287,5693.883301,13.39000034,7.321537495,638.4000244,629.5999756,Sanjin Prcić,3,MWR,Danny,1,1,7,10,10,5
67,65037,South Whittier Elementary,Los Angeles,KK-08,4340,209.8399963,17.70260048,93.92269897,284,5181.57959,14.60162544,31.19815636,631.9000244,636.2000122,James Perch,2,MWR,Bonnie,1,2,4,6,10,5
68,63917,Hanford Elementary,Kings,KK-08,5079,224.5,25.55929947,63.80360031,585,5228.650879,11.11600018,16.61744499,637.7000122,630.5, Edu,4,MWR,Earl,3,1,3,5,28,1
69,68221,National Elementary,San Diego,KK-06,6639,304.730011,26.84140015,100.0,505,5339.391113,8.423000336,58.08103561,631.5,636.7000122,Matthew Lowton,4,MWR,Georges,1,1,3,5,82,6
70,70904,Roseland Elementary,Sonoma,KK-06,1154,62.09999847,22.92770004,84.92060089,129,6056.49707,11.66499996,55.89254379,636.7999878,631.5,James Tomkins,2,MWR,Bret,2,1,7,10,17,1
71,63420,Di Giorgio Elementary,Kern,KK-08,237,11.0,19.83119965,76.79319763,13,4845.680176,7.304999828,5.485232353,631.7999878,636.5999756,Granit Xhaka,4,MWR,Floyd,3,1,9,13,62,3
72,64642,Keppel Union Elementary,Los Angeles,KK-08,2987,141.2100067,21.25880051,68.39640045,273,4826.666016,13.7305994,14.4291935,637.7000122,631.0999756,Chinedu Ede,2,MWR,Irene,4,4,4,6,36,1
73,63966,Lakeside Union Elementary,Kings,KK-08,499,30.0,40.36700058,83.11930084,94,5367.090332,11.11600018,22.84569168,635.5,633.5999756,Leon Balogun,5,MWR,Lili,4,1,7,10,35,1
74,65771,Merced City Elementary,Merced,KK-08,11474,542.6500244,40.55260086,77.0089035,1248,5742.73291,10.36442852,38.78333664,633.2000122,636.2000122,Javier Pinola,4,MWR,Claudette,3,1,3,5,30,5
75,69203,Guadalupe Union Elementary,Santa Barbara,KK-08,1088,55.0,14.15439987,86.02940369,107,4136.250977,6.982999802,64.24632263,631.0999756,638.7000122,Rory Delap,4,MWR,Isabel,1,1,3,5,130,5
76,67694,Cucamonga Elementary,San Bernardino,KK-08,2660,140.1199951,15.76010036,74.85099792,259,5267.831055,14.46780014,25.22556496,637.7999878,632.0999756,Derrick Williams,1,MWR,Alex,2,2,4,6,37,3
77,61705,Knightsen Elementary,Contra Costa,KK-08,353,19.97999954,8.672100067,33.06230164,8,5238.39209,14.65299988,5.382436275,636.5999756,633.5,Alexis Thébaux,5,MWR,Charley,3,6,3,5,60,6
78,63008,Rio Dell Elementary,Humboldt,KK-08,329,18.53000069,28.91570091,85.54219818,37,5462.899414,10.62899971,6.079027653,644.2999878,626.0999756,Ronny Philp,3,MWR,Frances,1,2,7,10,159,5
79,70417,Montague Elementary,Siskiyou,KK-08,252,16.5,23.45680046,66.25509644,32,6313.373535,9.781000137,0.0,640.9000244,630.0,Fernando Gago,3,MWR,Gaston,2,1,3,5,19,6
80,70409,McCloud Union Elementary,Siskiyou,KK-08,175,12.5,21.76469994,68.82350159,31,6653.030762,10.65600014,0.0,634.5999756,636.5999756, Felipe Santana,4,MWR,Ivan,4,1,9,13,14,4
81,72587,Santa Paula Elementary,Ventura,KK-08,3835,186.1999969,13.99110031,72.8628006,897,5533.149414,11.93799973,34.88917923,633.0,638.2000122,Tom Starke,3,MWR,Jeanne,4,1,3,5,18,3
82,62539,West Park Elementary,Fresno,KK-08,314,19.25,29.93630028,93.63059998,8,6118.710449,7.385000229,13.05732441,636.7000122,634.7999878,Christian Pander,1,MWR,Cindy,2,1,7,10,24,3
83,65631,Atwater Elementary,Merced,KK-08,4458,211.0,22.22220039,72.32080078,445,5098.626953,10.67599964,36.0251236,633.2000122,638.7000122,Hugo Rodallega,3,MWR,Dennis,3,1,7,10,23,6
84,65862,Weaver Union Elementary,Merced,KK-08,1313,75.08000183,32.08679962,73.59760284,112,5652.878906,9.972000122,34.65346527,633.9000244,638.2999878, San José,5,uri,Katrina,1,1,4,6,25,4
85,62356,Pacific Union Elementary,Fresno,KK-08,474,26.5,21.5189991,75.73840332,36,5329.002441,8.258000374,28.69198227,634.7000122,638.2999878,Jens Grahl,4,MWR,Ophelia,1,1,9,13,13,4
86,75051,Lucerne Valley Unified,San Bernardino,KK-08,1114,57.70000076,29.44680023,62.21279907,277,5929.809082,8.895999908,1.795332193,645.4000244,627.7999878,Thomas Sørensen,3,MWR,Rita,3,11,7,10,98,1
87,67231,Romoland Elementary,Riverside,KK-06,1358,65.0,14.79030037,80.86830139,178,4897.067871,12.06200027,30.63328552,632.2999878,641.0999756,Mario Balotelli,4,MWR,Wilma,4,1,4,6,11,6
88,64501,El Monte City Elementary,Los Angeles,KK-08,11629,546.2999878,25.37940025,83.873703,1015,5100.202148,9.428894997,59.0334549,632.4000244,641.4000244,Rio Mavuba,1,MWR,Humberto,1,7,7,10,131,5
89,63503,Greenfield Union Elementary,Kern,KK-08,6195,306.75,21.04330063,68.57189941,1261,4825.722656,8.920332909,13.55932236,636.2000122,637.7000122,Frank Lampard,4,MWR,Dolly,4,1,3,5,39,3
90,72033,Palo Verde Union Elementary,Tulare,KK-08,499,20.0,23.69939995,80.92489624,35,4079.12915,10.09799957,5.010019779,636.0999756,637.9000244,Marouane Fellaini,3,MWR,Gustav,3,8,4,6,149,3
91,67322,Elverta Joint Elementary,Sacramento,KK-08,417,23.0,19.90410042,46.04320145,27,5349.367676,11.82999992,0.9592326283,638.0,636.2000122,Matthieu Sans,4,MWR,Ike,3,2,4,6,34,5
92,64048,Lucerne Elementary,Lake,KK-08,300,15.0,48.3443985,72.18540192,55,5869.38916,11.55300045,0.6666666865,640.9000244,633.7999878,Junior Fernandes,3,MWR,Irene,2,1,3,5,49,5
93,69542,Luther Burbank Elementary,Santa Clara,KK-08,457,24.39999962,16.81609917,67.71299744,50,6462.12793,19.70700073,38.51203537,644.9000244,630.4000244,Ludovic Giuly,5,MWR,Isaac,3,2,3,5,67,7
94,61382,Bangor Union Elementary,Butte,KK-08,146,8.0,25.34250069,54.10960007,34,6231.601563,7.105000019,0.0,646.0999756,629.7999878,Klaas-Jan Huntelaar,2,MWR,Sandy,2,15,3,5,19,4
95,68858,Bayshore Elementary,San Mateo,KK-08,460,24.21999931,10.59319973,66.94920349,71,4993.867676,13.72500038,17.17391396,633.2000122,642.7000122, Andre Luiz,2,MWR,Easy,4,1,3,5,14,1
96,72017,Oak Valley Union Elementary,Tulare,KK-08,354,17.79999924,10.27779961,59.72219849,28,4663.811035,10.09799957,9.887005806,636.7000122,639.2999878, Pedro,4,MWR,King,3,10,4,6,51,6
97,65151,Wilsona Elementary,Los Angeles,KK-08,1841,95.0,25.25799942,64.74739838,315,6107.106445,13.76200008,19.39163589,640.4000244,636.0,Anthony Annan,4,MWR,Able,4,1,4,6,184,5
98,63073,Brawley Elementary,Imperial,KK-08,3760,183.75,26.90159988,65.7960968,717,5324.228027,9.664999962,36.48936081,636.2000122,640.4000244,Gonzalo Jara,4,MWR,Barbara,4,3,7,10,136,6
99,63198,Meadows Union Elementary,Imperial,KK-08,500,22.43000031,18.79999924,83.0,70,5221.460938,10.26399994,39.39999771,630.4000244,646.2000122,Stefan Thesker,4,MWR,Florence,2,1,7,10,26,4
100,64717,Little Lake City Elementary,Los Angeles,KK-08,5112,246.8999939,10.69120026,59.7234993,383,5157.784668,11.56920052,28.67762184,638.5999756,638.0999756,Andriy Voronin,4,MWR,Carol,4,1,7,10,135,3
101,63719,Pond Union Elementary,Kern,KK-08,146,7.659999847,13.69859982,66.43840027,28,5131.119141,7.40500021,13.69863033,637.5,639.5999756,Renaud Cohade,4,MWR,Edna,1,3,7,10,16,3
102,63800,Taft City Elementary,Kern,KK-08,2141,105.8199997,26.49650002,65.38279724,134,5279.354004,12.07699966,11.34983635,636.9000244,640.5,Emre Can,2,MWR,Hazel,2,1,4,6,17,4
103,71357,Brittan Elementary,Sutter,KK-08,610,30.97999954,8.524600029,56.06560135,144,4704.043945,11.28299999,3.442623138,640.2999878,638.2000122,Francis Coquelin,4,MWR,Connie,4,2,3,5,120,1
104,65557,Arena Union Elementary,Mendocino,KK-08,337,16.54999924,21.26250076,60.13290024,26,6089.910645,10.03499985,15.43026733,642.7000122,635.9000244, Diego,4,MWR,Diane,3,1,3,5,15,4
105,67587,Adelanto Elementary,San Bernardino,KK-08,4501,227.8500061,19.12969971,63.9054985,597,5356.833496,8.383999825,17.97378349,639.9000244,638.7999878,Martín Demichelis,2,MWR,Ione,2,6,7,10,17,7
106,67470,Hollister School District,San Benito,KK-08,5718,295.0499878,6.84070015,37.04560089,313,5144.549316,13.63000011,22.71773338,641.4000244,637.5999756,Roy Contout,2,MWR,Flossy,4,1,7,10,68,1
107,64857,Palmdale Elementary,Los Angeles,KK-08,19402,846.3800049,20.52370071,51.24209976,1182,4906.22998,14.12766743,18.43624496,641.7000122,637.7999878,Benoît Costil,2,uri,Audrey,1,3,7,10,60,1
108,61507,Oroville City Elementary,Butte,KK-08,3401,175.5500031,52.21989822,74.27230072,560,5489.588867,11.26612473,16.17171478,641.5,638.0999756, Yannick Djaló,4,MWR,Helene,3,4,3,5,22,1
109,63792,Standard Elementary,Kern,KK-08,2621,136.8300018,25.82979965,64.09770203,397,5718.55127,13.39000034,2.02212882,641.4000244,638.2999878,Sebastian Freis,4,MWR,Debra,4,1,3,5,302,4
110,72447,Briggs Elementary,Ventura,KK-08,426,20.0,3.990600109,64.78869629,87,4436.152832,11.93799973,9.62441349,634.2999878,645.5,Stephen Kelly,3,MWR,Gracie,4,1,7,10,125,1
111,62323,Monroe Elementary,Fresno,KK-08,205,11.19999981,18.53660011,80.9756012,24,4895.439453,8.258000374,41.46341324,643.5,636.7000122, Maicon,4,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf,Donna,1,1,4,6,15,5
112,64667,Lancaster Elementary,Los Angeles,KK-08,13668,648.4099731,28.1753006,56.29940033,1321,5159.21875,14.22672749,9.8990345,640.4000244,639.9000244,Ryan Mason,2,MWR,Ethel,2,1,7,10,22,6
113,65177,Alview-Dairyland Union Elementary,Madera,KK-08,342,18.20000076,11.39599991,68.09120178,98,5490.654785,10.47200012,16.08187103,637.7000122,643.2999878,Carlos Sánchez,2,MWR,Carla,1,1,7,10,25,5
114,66589,Magnolia Elementary,Orange,KK-06,6518,332.1000061,12.27910042,71.02380371,499,5172.019531,14.24290085,43.4949379,638.5,643.0,Chris Brunt,5,MWR,Cindy,4,1,7,10,20,6
115,71985,Liberty Elementary,Tulare,KK-08,239,12.19999981,15.61180019,69.62030029,30,4441.672852,14.06599998,8.786610603,644.9000244,636.9000244,Benjamin Lecomte,5,MWR,Cleo,3,2,7,10,29,5
116,69617,Mt. Pleasant Elementary,Santa Clara,KK-08,2911,139.4700012,11.92850018,52.9734993,281,5220.370117,15.96800041,39.02438736,640.4000244,641.7999878, Xavi,2,MWR,Dora,2,1,7,10,13,5
117,63123,El Centro Elementary,Imperial,KK-08,6272,297.0400085,28.71999931,71.76239777,1338,5252.810547,10.26399994,53.89030457,639.2999878,643.5999756,Bănel Nicoliţă,2,MWR,Hilda,2,2,9,13,42,6
118,68395,South Bay Union Elementary,San Diego,KK-06,10218,508.75,17.42020035,70.80639648,1435,5518.702148,10.6024704,41.13329315,638.5999756,644.2999878,Patrick Owomoyela,4,MWR,Isbell,4,1,9,13,122,6
119,69914,Cascade Union Elementary,Shasta,KK-08,1735,87.13999939,47.2621994,75.50430298,222,5609.487793,10.52299976,1.383285284,640.7999878,642.2999878,Sejad Salihović,3,MWR,Betsy,3,3,4,6,282,5
120,71969,Kings River Union Elementary,Tulare,KK-08,474,26.61000061,20.67510033,82.06749725,96,4945.031738,11.23799992,35.44303894,638.9000244,644.7000122,Shawn Parker,2,MWR,Alma,3,1,7,10,286,6
121,71548,Gerber Union Elementary,Tehama,KK-08,544,30.0,20.55050087,74.86239624,145,5223.025391,10.05599976,8.639705658,641.7999878,642.5999756,Ashley Westwood,1,MWR,Inez,2,1,3,5,31,5
122,71910,Exeter Union Elementary,Tulare,KK-08,1987,103.3700027,15.28120041,54.65409851,283,4757.025391,11.18299961,15.34977436,637.0,647.4000244,Kevin Großkreutz,4,MWR,Beulah,1,18,3,5,136,4
123,62000,American Union Elementary,Fresno,KK-08,418,22.39999962,10.69649982,63.43280029,50,5522.161621,7.385000229,19.85645866,640.2000122,644.5999756,Mamadou Bah,4,MWR,Gladys,4,1,3,5,18,5
124,66167,San Antonio Union Elementary,Monterey,KK-08,196,10.0,19.68910027,47.15029907,40,6087.608887,13.57900047,3.061224461,652.5999756,632.9000244,Chris Smalling,4,MWR,Camille,1,2,7,10,15,2
125,71837,Burton Elementary,Tulare,KK-08,2208,114.5,14.41399956,53.21060181,92,4960.515625,9.630000114,9.873188019,642.0,644.0999756,Jérémy Ménez,4,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia),Celia,4,11,4,6,21,4
126,67157,Nuview Union Elementary,Riverside,KK-08,1255,55.0,11.32219982,44.25970078,165,4880.040527,15.27400017,16.09561729,642.5999756,643.7999878, Antonio López,4,MWR,Edith,4,3,3,5,41,6
127,70615,Bellevue Union Elementary,Sonoma,KK-06,1469,78.09999847,20.96660042,80.25869751,65,6538.417969,14.03425026,43.49897766,639.4000244,647.0999756,Vurnon Anita,1,MWR,Fern,1,1,3,5,21,3
