tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,player,religiousness,expenditure,school,persons,games,f_other,hammer,n_other,beauty
Premolar,AMNH99.1/84-C,0,4,46.1073874,8.74186019,0.25,Homo sapiens,Alaska,Tom Starke,3,5533.149414,Santa Paula Elementary,4,1,3,G,5,-0.5324199
Anterior,AMNH99.1/84-D,0,6,33.137615,5.94640065,0.25,Homo sapiens,Alaska,Christian Pander,4,6118.710449,West Park Elementary,2,1,7,G,10,-0.7668921
Posterior,AMNH99.1/84-D,0,6,33.137615,5.94640065,0.25,Homo sapiens,Alaska,Hugo Rodallega,2,5098.626953,Atwater Elementary,3,1,7,G,10,1.154256
Premolar,AMNH99.1/84-D,0,4,33.137615,5.94640065,0.25,Homo sapiens,Alaska, San José,4,5652.878906,Weaver Union Elementary,1,1,4,G,6,1.232602
Anterior,AMNH99.1/86-C,2,12,47.2736416,8.3605854,0.25,Homo sapiens,Alaska,Jens Grahl,4,5329.002441,Pacific Union Elementary,1,1,9,G,13,1.774334
Posterior,AMNH99.1/86-C,1,11,47.2736416,8.3605854,0.25,Homo sapiens,Alaska,Thomas Sørensen,1,5929.809082,Lucerne Valley Unified,3,11,7,G,10,1.773151
Premolar,AMNH99.1/86-C,2,8,47.2736416,8.3605854,0.25,Homo sapiens,Alaska,Mario Balotelli,4,4897.067871,Romoland Elementary,4,1,4,wood,6,0.7245926
Anterior,AMNH99.1/86-D,4,12,50.8236683,9.7611705,0.25,Homo sapiens,Alaska,Rio Mavuba,3,5100.202148,El Monte City Elementary,1,7,7,G,10,-1.181626
Posterior,AMNH99.1/86-D,2,8,50.8236683,9.7611705,0.25,Homo sapiens,Alaska,Frank Lampard,3,4825.722656,Greenfield Union Elementary,4,1,3,L,5,1.769452
Premolar,AMNH99.1/86-D,3,8,50.8236683,9.7611705,0.25,Homo sapiens,Alaska,Marouane Fellaini,3,4079.12915,Palo Verde Union Elementary,3,8,4,Q,6,-0.5872612
Anterior,AMNH99.1/87,2,12,45.2,12.6,0.75,Homo sapiens,Alaska,Matthieu Sans,4,5349.367676,Elverta Joint Elementary,3,2,4,Q,6,-0.0018324
Posterior,AMNH99.1/87,4,9,45.2,12.6,0.75,Homo sapiens,Alaska,Junior Fernandes,2,5869.38916,Lucerne Elementary,2,1,3,wood,5,-0.0566766
Premolar,AMNH99.1/87,2,8,45.2,12.6,0.75,Homo sapiens,Alaska,Ludovic Giuly,4,6462.12793,Luther Burbank Elementary,3,2,3,G,5,1.231394
Anterior,AMNH99.1/89-A,0,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska,Klaas-Jan Huntelaar,5,6231.601563,Bangor Union Elementary,2,15,3,L,5,0.4203998
Posterior,AMNH99.1/89-A,0,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska, Andre Luiz,1,4993.867676,Bayshore Elementary,4,1,3,wood,5,0.2899157
Premolar,AMNH99.1/89-A,0,8,43.749247,8.23260632,0.75,Homo sapiens,Alaska, Pedro,5,4663.811035,Oak Valley Union Elementary,3,10,4,G,6,0.2899157
Anterior,AMNH99.1/89-B,0,12,28.4213341,4.93536963,0.75,Homo sapiens,Alaska,Anthony Annan,3,6107.106445,Wilsona Elementary,4,1,4,G,6,0.2899157
Posterior,AMNH99.1/89-B,0,12,28.4213341,4.93536963,0.75,Homo sapiens,Alaska,Gonzalo Jara,1,5324.228027,Brawley Elementary,4,3,7,G,10,-0.7377322
Premolar,AMNH99.1/89-B,0,8,28.4213341,4.93536963,0.75,Homo sapiens,Alaska,Stefan Thesker,3,5221.460938,Meadows Union Elementary,2,1,7,G,10,-0.7377322
Anterior,AMNH99.1/90,3,12,55.0,15.0,0.75,Homo sapiens,Alaska,Andriy Voronin,4,5157.784668,Little Lake City Elementary,4,1,7,G,10,-0.5719836
Posterior,AMNH99.1/90,6,10,55.0,15.0,0.75,Homo sapiens,Alaska,Renaud Cohade,5,5131.119141,Pond Union Elementary,1,3,7,G,10,-0.6779634
Premolar,AMNH99.1/90,3,8,55.0,15.0,0.75,Homo sapiens,Alaska,Emre Can,2,5279.354004,Taft City Elementary,2,1,4,G,6,-0.6779634
Anterior,AMNH99.1/91-A,4,12,31.9585448,5.69322104,0.75,Homo sapiens,Alaska,Francis Coquelin,4,4704.043945,Brittan Elementary,4,2,3,G,5,-0.6779634
Posterior,AMNH99.1/91-A,6,12,31.9585448,5.69322104,0.75,Homo sapiens,Alaska, Diego,5,6089.910645,Arena Union Elementary,3,1,3,G,5,-0.6779634
Premolar,AMNH99.1/91-A,1,8,31.9585448,5.69322104,0.75,Homo sapiens,Alaska,Martín Demichelis,4,5356.833496,Adelanto Elementary,2,6,7,G,10,-0.6779634
Anterior,AMNH99.1/91-B,1,12,50.8236683,9.7611705,0.5,Homo sapiens,Alaska,Roy Contout,4,5144.549316,Hollister School District,4,1,7,G,10,-0.6779634
Posterior,AMNH99.1/91-B,7,10,50.8236683,9.7611705,0.5,Homo sapiens,Alaska,Benoît Costil,4,4906.22998,Palmdale Elementary,1,3,7,G,10,-0.6779634
Premolar,AMNH99.1/91-B,1,8,50.8236683,9.7611705,0.5,Homo sapiens,Alaska, Yannick Djaló,4,5489.588867,Oroville City Elementary,3,4,3,L,5,1.509794
Anterior,AMNH99.1/94,0,12,34.3166852,6.19980411,0.25,Homo sapiens,Alaska,Sebastian Freis,3,5718.55127,Standard Elementary,4,1,3,G,5,1.509794
Posterior,AMNH99.1/94,0,12,34.3166852,6.19980411,0.25,Homo sapiens,Alaska,Stephen Kelly,2,4436.152832,Briggs Elementary,4,1,7,wood,10,1.509794
Premolar,AMNH99.1/94,0,8,34.3166852,6.19980411,0.25,Homo sapiens,Alaska, Maicon,4,4895.439453,Monroe Elementary,1,1,4,G,6,1.509794
Anterior,AMNH99.1/96-A,0,12,37.8538959,6.96111299,0.75,Homo sapiens,Alaska,Ryan Mason,4,5159.21875,Lancaster Elementary,2,1,7,G,10,1.509794
Posterior,AMNH99.1/96-A,0,12,37.8538959,6.96111299,0.75,Homo sapiens,Alaska,Carlos Sánchez,5,5490.654785,Alview-Dairyland Union Elementary,1,1,7,G,10,0.5885687
Premolar,AMNH99.1/96-A,0,8,37.8538959,6.96111299,0.75,Homo sapiens,Alaska,Chris Brunt,5,5172.019531,Magnolia Elementary,4,1,7,wood,10,0.5885687
Anterior,AMNH99.1/97,4,12,36.6748257,6.70718105,0.75,Homo sapiens,Alaska,Benjamin Lecomte,3,4441.672852,Liberty Elementary,3,2,7,G,10,0.5885687
Posterior,AMNH99.1/97,3,10,36.6748257,6.70718105,0.75,Homo sapiens,Alaska, Xavi,4,5220.370117,Mt. Pleasant Elementary,2,1,7,L,10,0.5885687
Premolar,AMNH99.1/97,1,8,36.6748257,6.70718105,0.75,Homo sapiens,Alaska,Bănel Nicoliţă,4,5252.810547,El Centro Elementary,2,2,9,L,13,0.5885687
Anterior,AMNH99.1/98,0,12,30.7794746,5.44029653,0.75,Homo sapiens,Alaska,Patrick Owomoyela,5,5518.702148,South Bay Union Elementary,4,1,9,G,13,0.5885687
Posterior,AMNH99.1/98,1,12,30.7794746,5.44029653,0.75,Homo sapiens,Alaska,Sejad Salihović,4,5609.487793,Cascade Union Elementary,3,3,4,G,6,-0.126001
Premolar,AMNH99.1/98,1,8,30.7794746,5.44029653,0.75,Homo sapiens,Alaska,Shawn Parker,4,4945.031738,Kings River Union Elementary,3,1,7,G,10,-0.126001
Anterior,AMNH99.1/99,0,12,31.9585448,5.69322104,0.25,Homo sapiens,Alaska,Ashley Westwood,2,5223.025391,Gerber Union Elementary,2,1,3,G,5,-0.126001
Posterior,AMNH99.1/99,0,12,31.9585448,5.69322104,0.25,Homo sapiens,Alaska,Kevin Großkreutz,5,4757.025391,Exeter Union Elementary,1,18,3,G,5,-0.126001
Premolar,AMNH99.1/99,0,8,31.9585448,5.69322104,0.25,Homo sapiens,Alaska,Mamadou Bah,4,5522.161621,American Union Elementary,4,1,3,G,5,-0.2581899
Anterior,BM1868.4.16.2,0,12,12.47378,3.29146087,1.0,Pongo,Borneo,Chris Smalling,2,6087.608887,San Antonio Union Elementary,1,2,7,G,10,-0.2581899
Posterior,BM1868.4.16.2,0,12,12.47378,3.29146087,1.0,Pongo,Borneo,Jérémy Ménez,3,4960.515625,Burton Elementary,4,11,4,G,6,-0.2581899
Premolar,BM1868.4.16.2,0,8,12.47378,3.29146087,1.0,Pongo,Borneo, Antonio López,5,4880.040527,Nuview Union Elementary,4,3,3,G,5,-0.2581899
Anterior,BM1884.10.30.1,0,6,13.686453,3.71761878,1.0,Pongo,Borneo,Vurnon Anita,2,6538.417969,Bellevue Union Elementary,1,1,3,G,5,-0.2581899
Posterior,BM1884.10.30.1,0,6,13.686453,3.71761878,1.0,Pongo,Borneo,Aaron Ramsey,4,4925.659668,Garvey Elementary,3,1,7,G,10,-0.2581899
Premolar,BM1884.10.30.1,0,4,13.686453,3.71761878,1.0,Pongo,Borneo,Antonio Valencia,2,5204.6875,Corning Union Elementary,2,1,9,G,13,0.1496926
Anterior,BM1884.10.30.2,2,12,13.686453,3.71761878,1.0,Pongo,Borneo,Dawda Bah,2,4907.410645,Jefferson Elementary,4,11,4,G,6,0.1496926
Posterior,BM1884.10.30.2,0,12,13.686453,3.71761878,1.0,Pongo,Borneo,Patrick Helmes,4,5923.45166,Big Springs Union Elementary,3,1,7,G,10,0.1496926
Premolar,BM1884.10.30.2,0,8,13.686453,3.71761878,1.0,Pongo,Borneo,Serdar Taşçı,4,4741.957031,General Shafter Elementary,1,2,3,G,5,0.1496926
Anterior,BM1886.12.20.10,0,12,14.1715222,3.88831042,1.0,Pongo,Borneo,Salif Sané,2,4954.019531,Turlock Joint Elementary,4,2,3,G,5,0.1496926
Posterior,BM1886.12.20.10,0,12,14.1715222,3.88831042,1.0,Pongo,Borneo,Glen Johnson,2,5500.10791,Twain Harte-Long Barn Union Elementary,4,2,4,G,6,0.1496926
Premolar,BM1886.12.20.10,0,8,14.1715222,3.88831042,1.0,Pongo,Borneo, Capdevila,3,5360.51709,Redwood City Elementary,2,8,3,G,5,0.540917
Anterior,BM1898.2.28.11,0,12,13.9289876,3.80295048,1.0,Pongo,Borneo,Clemens Fritz,3,5685.63916,Camino Union Elementary,4,2,7,G,10,0.540917
Posterior,BM1898.2.28.11,0,12,13.9289876,3.80295048,1.0,Pongo,Borneo,Claudio Yacob,2,5594.196289,Plainsburg Union Elementary,4,1,3,G,5,0.540917
Premolar,BM1898.2.28.11,0,8,13.9289876,3.80295048,1.0,Pongo,Borneo,Péter Gulácsi,2,4692.566895,Banta Elementary,3,1,9,G,13,0.540917
Anterior,BM1899.11.6.1,0,12,17.1217143,3.06608828,0.0,Papio,Arabia,Frédéric Piquionne,4,5085.40625,Washington Colony Elementary,2,2,3,L,5,0.540917
Posterior,BM1899.11.6.1,0,12,17.1217143,3.06608828,0.0,Papio,Arabia,Rémy Vercoutre,1,5456.197266,Rio Linda Union Elementary,2,1,7,G,10,0.540917
Premolar,BM1899.11.6.1,0,8,17.1217143,3.06608828,0.0,Papio,Arabia, Casto,2,5105.179688,Chatom Union Elementary,4,1,7,wood,10,0.540917
Anterior,BM1899.6.10.2,0,12,18.5922731,3.4773143,1.0,Papio,East Africa,Robin Knoche,5,5519.677246,Merced River Union Elementary,2,1,4,G,6,0.540917
Posterior,BM1899.6.10.2,0,12,18.5922731,3.4773143,1.0,Papio,East Africa,Jonathan Obika,5,5065.911133,Hueneme Elementary,3,2,9,G,13,0.540917
Premolar,BM1899.6.10.2,0,8,18.5922731,3.4773143,1.0,Papio,East Africa, Pedro León,2,5182.428223,Cuddeback Union Elementary,3,11,7,G,10,0.2316134
Anterior,BM1899.7.8.1,0,12,23.0253446,4.35428022,1.0,Papio,East Africa,Omar Daf,3,5960.464355,Blue Lake Union Elementary,1,1,4,G,6,0.2316134
Posterior,BM1899.7.8.1,0,12,23.0253446,4.35428022,1.0,Papio,East Africa,Daniel Sturridge,1,5124.836426,Lemon Grove Elementary,2,1,7,G,10,-0.0666737
Premolar,BM1899.7.8.1,0,8,23.0253446,4.35428022,1.0,Papio,East Africa,Patrick Rakovsky,4,5655.133301,Upper Lake Union Elementary,4,2,3,G,5,-0.0666737
Anterior,BM1900.3.18.1,0,12,18.5922731,3.4773143,1.0,Papio,East Africa,Samuel Bouhours,5,5811.689941,Peninsula Union Elementary,3,1,4,G,6,-0.0666737
Posterior,BM1900.3.18.1,0,12,18.5922731,3.4773143,1.0,Papio,East Africa,Kevin Pannewitz,4,5467.673828,Ocean View Elementary,3,1,4,G,6,-0.0666737
Premolar,BM1900.3.18.1,0,8,18.5922731,3.4773143,1.0,Papio,East Africa,William Kvist,1,5213.089355,Reeds Creek Elementary,2,1,3,G,5,0.2168924
Anterior,BM1900.6.28.1,0,12,11.454619,2.00186723,1.0,Papio,Arabia, Raúl Albiol,4,4613.1875,Arcohe Union Elementary,1,3,3,G,5,0.2168924
Posterior,BM1900.6.28.1,0,12,11.454619,2.00186723,1.0,Papio,Arabia,Dudu Aouate,2,4886.983887,New Jerusalem Elementary,2,6,3,G,5,0.2168924
