fish_caught,livebait,camper,persons,child,hours
64,1,1,3,3,36.612031006341155
118,0,0,1,1,37.22383768355144
48,0,0,1,0,43.84205320283495
120,1,0,2,2,45.490865080658985
8,0,0,2,2,28.094678193861206
114,0,1,1,0,24.39541588226122
10,1,1,2,0,26.997059034452466
32,1,1,4,2,17.75257489446917
127,0,1,2,2,13.821115715224
100,1,1,3,3,37.32543048953057
145,1,0,2,2,37.41155019464481
84,0,1,2,0,31.524384655808063
62,0,0,3,1,24.157961736895054
103,1,0,4,3,48.3414453523067
38,1,0,2,3,23.394999194170687
66,1,0,3,0,25.003576331151535
132,0,0,3,3,39.73156413356793
42,0,0,3,1,42.329477742855396
68,0,1,3,2,36.23202085601845
114,1,1,2,2,33.32362856568413
112,1,1,1,0,49.53733934432743
12,1,1,1,2,37.28463152686028
27,0,1,4,3,42.627161335267495
85,0,1,3,1,36.59382276750651
84,0,0,3,3,50.69700056997308
8,0,0,1,1,27.304324956009935
90,1,1,3,0,21.989291944168592
24,0,0,1,1,48.40121279636341
75,1,1,2,1,41.1971833639577
107,1,1,4,1,34.35459660693725
73,1,0,3,3,46.9586375610779
135,1,1,4,0,40.10827159600969
96,1,1,2,2,29.79248816803592
64,0,1,2,0,44.07462292733243
73,1,0,3,0,14.289192379886288
69,1,1,2,2,60.771293631919704
27,0,0,2,1,27.233609053263983
93,1,0,4,2,37.0330337506678
6,0,0,1,1,35.289169667688284
14,1,1,2,0,29.007615110670834
138,1,0,3,1,15.105113859687986
33,0,1,4,3,43.71868458398414
78,0,1,1,1,45.522022346505494
52,0,1,2,2,29.942402221856053
1,1,1,2,0,36.0054863054351
67,1,1,3,1,42.15162266802549
121,1,1,1,2,28.064131525732847
9,0,0,1,2,54.66610471763413
99,1,0,4,2,26.166954674479
87,1,0,1,0,45.49085789939861
109,0,1,3,3,27.11076803973461
103,1,1,3,0,38.6565580304838
100,1,0,1,3,20.859224063218605
3,0,1,3,3,50.5303978987655
28,0,0,1,2,38.41661004342174
29,1,1,4,3,18.892903684576368
50,0,0,3,0,32.93840476486613
31,1,1,3,1,43.39411789429188
80,1,1,3,1,46.0899431420981
136,0,1,4,0,18.31823062104223
102,0,1,2,3,30.010804407808983
62,1,0,1,1,32.478903375589184
82,1,0,3,2,38.829409758975615
136,0,1,4,1,32.95555858133357
49,0,1,1,1,23.539915361744544
100,0,1,2,3,36.029376505685164
97,0,0,2,2,42.17718324053926
116,0,1,1,3,33.23390869583587
91,0,1,3,0,38.804867119536304
113,1,0,4,2,36.833901132016
92,1,0,2,2,50.23506703963833
34,0,0,1,2,42.316663853211
120,1,1,1,2,41.8236191508861
125,0,1,3,3,38.43090143998499
126,0,1,2,3,36.686122914280865
81,1,1,2,1,12.2928905914596
90,1,1,1,2,39.94684424359418
85,0,1,4,3,33.24822579051496
52,0,1,1,2,45.42417563366553
90,0,0,2,3,35.28977484720584
120,0,1,2,2,21.973983046805003
130,1,0,2,0,47.78283804485861
26,1,0,3,1,35.853038853435685
44,0,1,3,1,37.9689072672672
89,0,0,3,1,45.555966166834615
90,0,0,1,3,38.19671470189234
43,0,0,3,1,46.353021954779635
120,1,0,4,0,37.515577798286195
21,1,1,1,3,30.568509805997362
63,1,1,4,3,41.970820951453
18,0,1,4,0,27.975609125786306
30,1,0,2,3,28.326633679365838
14,0,0,2,0,32.988901078136124
118,1,0,1,3,36.64609115328117
60,0,0,3,3,43.94360523410391
90,1,0,2,2,32.756921503230046
58,1,0,2,0,31.517648266135843
99,0,0,3,1,37.63191622902227
84,1,0,3,0,54.18714291701412
131,1,1,2,2,26.851173119682397
19,0,0,1,1,33.9993850796197
104,0,1,4,0,40.05737928370517
23,1,1,3,3,40.8084574921173
65,1,1,1,1,32.907207124332665
76,0,0,4,2,35.27598507792311
56,1,0,2,1,36.019554267070745
44,0,1,1,3,48.66625231990023
27,0,0,1,0,58.37136026928289
34,0,0,4,3,37.527144418226335
52,1,0,2,2,35.41010691585953
58,1,0,4,3,40.29318713607853
105,0,1,1,2,54.227563290892824
