rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,consumer_credit,help,height,education,uuid,married,female,school,year
326,no,64,male,more,-1.052108,4.0,lower,yes,no,30,27,8,1,N,171.0,20,2ee3c271-be10-41d8-b778-9c5d7d5b6e52,1.0,0.0,Kentfield Elementary,1955
451,no,63,female,more,-1.069162,3.7,lower,yes,yes,113,52,10,1,N,196.0,18,eba4f35d-64b0-4b8d-a3cb-fe43c8fc6e77,1.0,0.0,Ackerman Elementary,2011
210,no,47,female,more,-1.052108,3.5,lower,yes,yes,39,48,5,1,N,185.0,14,28836691-af28-443e-9b0f-aa6a75dd4f43,0.0,0.0,Enterprise Elementary,1980
174,no,60,female,more,-1.069162,4.5,lower,yes,yes,46,15,2,1,N,179.0,14,ad4283c9-d606-4e9c-b45f-7f660b31f5d3,1.0,0.0,San Ysidro Elementary,1986
186,yes,58,female,single,-0.6779634,5.0,upper,yes,yes,8,30,49,1,N,188.0,20,f9b78c22-3fa5-4a9d-b697-ca70e5a794a3,1.0,1.0,Moreland Elementary,2004
73,no,51,male,more,-1.090389,3.6,upper,yes,yes,31,67,88,1,N,194.0,12,4be26ab5-1d7e-44bf-bd62-0a66c914394a,0.0,0.0,Santa Cruz City Elementary,1953
149,yes,38,male,more,-0.5835869,3.6,lower,yes,yes,11,87,6,1,N,195.0,18,a17c35a2-ade1-4a79-a19e-5aa8093af1f0,0.0,0.0,Wasco Union Elementary,1960
79,yes,38,male,more,-0.9823852,2.1,upper,yes,no,20,16,4,2,N,168.0,18,347a69b8-232d-4315-8829-4c6a7374bf6b,0.0,0.0,Buena Park Elementary,2007
127,no,63,female,more,-0.6562689,4.0,upper,yes,no,62,17,56,1,N,186.0,16,3979e883-9ca7-4771-a299-0d6a366f1a60,0.0,1.0,Stanislaus Union Elementary,1955
133,yes,34,male,more,-0.5835869,3.5,upper,yes,yes,8,136,82,2,y,193.0,14,2ee3c271-be10-41d8-b778-9c5d7d5b6e52,1.0,0.0,El Nido Elementary,1980
459,no,57,female,more,-0.6562689,4.6,upper,yes,yes,35,15,18,1,N,187.0,9,6b68642b-ac9e-40c0-90d9-91bd6ffd92a9,1.0,0.0,Kernville Union Elementary,1997
76,no,48,male,single,-0.6563948,4.7,upper,yes,yes,90,22,84,1,N,175.0,14,a28afe06-386d-4288-994d-28b51c745e3b,0.0,0.0,Gerber Union Elementary,1960
297,no,64,male,more,-1.181626,3.8,upper,yes,yes,6,33,3,1,N,184.0,18,dfeed816-4de9-4be7-9ea0-775157c7bd76,1.0,0.0,Ballico-Cressey Elementary,1993
196,yes,50,male,more,-0.0620358,4.7,upper,yes,yes,10,130,17,2,N,187.0,17,295fe5fe-cf5a-4c14-a7db-ab1d21f1348b,0.0,0.0,Salinas City Elementary,1952
132,no,51,female,more,-0.0666737,4.6,upper,yes,yes,9,48,85,1,N,195.0,12,d1ef7d2a-2a3e-4130-968c-2fbc045ee618,0.0,0.0,Eastside Union Elementary,1975
228,no,60,male,more,-1.052108,3.8,upper,yes,no,23,24,17,5,N,178.0,18,087aef1b-10d8-4753-a39d-25591695d5fa,1.0,1.0,Moraga Elementary,1991
366,no,57,female,more,0.7566829,4.7,upper,yes,yes,22,21,93,2,N,166.0,17,1ab057fb-ac2e-4650-88bc-ede767006043,1.0,1.0,Chicago Park Elementary,2008
34,no,56,male,more,-0.5324199,3.1,upper,yes,yes,15,11,78,1,N,180.0,18,8cc63a40-be0d-4ffe-bf7f-45d515c40b6c,1.0,0.0,Curtis Creek Elementary,1971
374,no,62,male,more,-0.2577254,3.5,lower,yes,no,27,125,71,2,N,170.0,16,1ea0eab0-36ee-4a7f-a855-db0d0c545a87,1.0,0.0,San Bruno Park Elementary,2012
321,no,42,female,more,0.1496926,3.8,lower,yes,no,14,41,9,1,N,168.0,14,e5afeeab-aaf4-4200-a67a-5ea0b861dee3,0.0,1.0,Brentwood Union Elementary,1955
410,no,45,female,more,-0.7668921,4.1,lower,yes,yes,27,24,25,1,N,171.0,20,817abbbf-33b6-4f40-a3e1-e0b38753e896,1.0,1.0,Colfax Elementary,1959
141,no,35,male,more,-0.6562689,3.7,upper,yes,yes,7,24,85,1,N,185.0,17,71ebc1ad-ebc2-4c5d-bc77-e372bc1b0159,0.0,0.0,Dixie Elementary,1989
12,no,39,male,more,-0.1513687,3.7,upper,yes,yes,20,21,1,1,N,186.0,16,9fa1aab8-97fc-491c-804a-f4676c40ea0f,0.0,0.0,Dunsmuir Elementary,1992
408,no,62,male,single,-0.5835869,4.4,lower,yes,no,71,34,82,1,N,178.0,17,c82105bb-8520-4727-b430-daec6fdef0dc,1.0,0.0,Alisal Union Elementary,1960
16,no,52,male,single,1.415695,4.2,upper,yes,yes,15,22,7,2,N,172.0,14,b1829797-b60f-46cb-803a-c68dd04440b3,1.0,0.0,Weaver Union Elementary,2005
422,no,60,male,more,-0.0680143,4.5,upper,yes,yes,120,28,10,1,N,181.0,14,ee53e6ab-48ea-4636-8141-e636a103cbb5,1.0,0.0,Armona Union Elementary,1964
359,no,52,female,more,-0.2377786,4.3,upper,yes,yes,29,20,31,1,N,172.0,14,4b19d929-d5f9-41df-a9d5-4176d450e799,0.0,0.0,Sylvan Union Elementary,2004
20,no,58,male,more,-0.0566766,4.7,lower,yes,no,42,527,34,1,N,185.0,14,fc8fca36-1e38-4e4c-9112-621a6a9471e9,0.0,0.0,Bayshore Elementary,1996
298,no,46,male,more,0.5502878,3.6,lower,yes,yes,11,10,92,1,N,185.0,18,014c91ae-55d5-4aab-87e7-77c677f8a128,0.0,0.0,Larkspur Elementary,1985
417,no,43,male,more,0.5885687,4.3,lower,yes,yes,61,134,55,1,N,183.0,18,6111a8de-8e09-451b-b8a9-ff41d2c985e8,1.0,0.0,Alpine Union Elementary,2004
57,no,32,male,more,-0.0252444,3.3,lower,yes,yes,12,67,21,4,N,183.0,14,6fd65cf5-962a-4227-b24b-b2ef6f590a96,0.0,0.0,Atwater Elementary,1999
197,yes,62,female,more,-0.0566766,4.0,upper,yes,yes,26,13,88,2,N,180.0,18,f899e672-b04f-45ac-8570-174894f1831c,0.0,0.0,Arena Union Elementary,2012
335,yes,60,female,more,-1.024997,2.8,upper,yes,yes,17,35,54,1,y,183.0,14,c4d4c7b7-bbed-4695-b98c-0b5c48e29abe,0.0,0.0,Columbia Elementary,1957
306,no,62,female,more,-0.2581899,3.7,upper,yes,yes,28,282,39,1,N,191.0,18,db4b8bab-f58d-4d9c-ab15-18335ea4b16e,1.0,0.0,Evergreen Elementary,1959
114,no,47,male,more,1.970023,4.2,upper,yes,yes,14,26,85,1,N,180.0,17,215f1a41-46c0-40a1-85ef-c155bf665a45,1.0,0.0,Alta Loma Elementary,1997
156,no,52,male,more,0.3918222,4.3,upper,yes,yes,19,16,35,1,N,174.0,14,18ff52ad-d2e9-4d03-b775-d01403f19b51,1.0,1.0,Upper Lake Union Elementary,2005
395,no,38,female,more,-0.5835869,4.7,upper,no,yes,12,579,71,4,N,188.0,14,b90659d8-9551-41ca-b0f5-deaff4b679a5,0.0,0.0,Mill Valley Elementary,1984
26,no,48,female,more,-0.3953965,4.0,upper,yes,no,52,25,59,2,N,178.0,18,44593a98-060d-47ea-9a57-97e0c70027d0,1.0,0.0,Thermalito Union Elementary,1970
450,no,34,female,more,0.540917,3.3,lower,yes,yes,22,19,78,6,N,191.0,17,ff3d06e6-c5ec-4c24-87dd-0dfc42864aa2,0.0,0.0,Encinitas Union Elementary,1964
256,no,47,male,more,0.4203998,4.3,lower,yes,yes,29,29,6,2,N,171.0,16,78dae403-7187-4be7-86de-8a1543649957,0.0,1.0,Coarsegold Union Elementary,1999
181,no,43,male,more,-1.024997,3.8,upper,yes,no,33,149,72,6,N,184.0,16,0fd5e38b-fd91-40c0-b154-d407eba53e1f,0.0,0.0,Camino Union Elementary,2004
43,no,33,female,more,-0.6779634,3.9,upper,yes,no,23,37,13,3,N,182.0,16,28836691-af28-443e-9b0f-aa6a75dd4f43,0.0,1.0,Knightsen Elementary,1964
303,no,52,female,more,0.7244775,3.5,upper,yes,yes,69,15,84,4,N,175.0,12,11db0111-539a-45d2-8e6f-8e0a3bb6cf36,1.0,0.0,Bella Vista Elementary,1955
102,no,42,female,more,0.2116939,4.2,upper,yes,yes,28,136,28,6,N,187.0,20,adec7fbd-3153-4612-846d-2a4183f03202,1.0,0.0,Hollister School District,1998
433,no,62,female,more,-0.054344,3.9,lower,yes,yes,11,79,12,1,N,192.0,16,8ee203f2-ee28-4529-bce3-eac1a57be7f8,1.0,0.0,Mesa Union Elementary,1959
403,no,52,female,more,-0.3260148,4.8,upper,yes,yes,27,69,6,1,N,172.0,16,606ec9ab-33fe-4f7e-9330-c0c5d30928c1,0.0,0.0,Whittier City Elementary,1985
138,no,62,female,more,-1.024997,3.9,upper,yes,yes,17,35,58,1,N,193.0,12,7426e023-5833-4949-b5c7-457d0e2a29d3,1.0,0.0,Summerville Elementary,1972
300,no,57,female,more,1.070944,3.6,lower,yes,yes,12,87,29,4,N,188.0,16,bac15d0b-cf63-4ab5-a05c-66f39e2834bc,0.0,0.0,Kit Carson Union Elementary,2003
23,yes,61,male,single,1.040902,4.8,upper,yes,yes,21,56,12,1,N,168.0,18,786e8403-6cca-47f4-810f-b94ae3880816,0.0,0.0,Lucerne Valley Unified,2005
302,no,35,male,more,-1.079558,4.9,upper,yes,yes,12,25,37,1,N,190.0,14,6e1bdd21-d51f-4497-a684-654edc44a6c9,1.0,0.0,South Whittier Elementary,2005
47,no,47,female,more,0.1496926,4.3,lower,yes,yes,24,16,70,1,N,184.0,16,2969f3fa-0544-46ff-b5ad-5f14fa846a7f,0.0,0.0,Bonsall Union Elementary,1985
169,yes,32,male,more,0.5885687,2.7,upper,yes,yes,21,11,45,1,N,175.0,20,8e023aef-67dd-4d6b-bcf3-b12c776379b4,0.0,0.0,Nuview Union Elementary,2011
461,no,33,female,more,-1.069162,4.6,lower,yes,yes,14,34,7,1,N,177.0,14,4ae8593c-1ba3-42b0-9e6e-deed9cdb2161,1.0,1.0,San Rafael City Elementary,1964
413,yes,47,female,more,0.0294137,4.4,upper,yes,yes,22,581,32,2,N,191.0,14,17e9c042-57f7-4dbd-b484-3216d2baa9f7,1.0,1.0,Santa Barbara Elementary,2012
266,no,38,male,more,-1.090389,4.7,upper,yes,no,109,50,49,1,y,180.0,14,30a1bff8-ce7b-4ea8-bfd0-579a06f06269,1.0,0.0,Saucelito Elementary,1979
58,no,35,male,more,1.773151,4.6,upper,yes,yes,52,39,33,1,N,182.0,14,ac03d866-ecd8-41e4-9938-c4b098048187,1.0,1.0,Clay Joint Elementary,2005
200,no,62,male,more,0.2899157,3.0,lower,yes,yes,133,35,46,1,N,184.0,17,276e0af6-a9e3-4de0-8f77-6dbf7f9e3c15,1.0,0.0,El Nido Elementary,1996
176,no,38,male,more,0.2316134,3.6,upper,yes,yes,35,30,93,5,N,182.0,14,036b67f1-2e0e-4bc3-9616-c53f4bdeebf6,1.0,1.0,Mountain View Elementary,1998
25,yes,64,male,more,-0.6563948,4.3,lower,yes,yes,49,11,41,1,N,195.0,18,9e875d92-b04c-452d-870f-c6d62912ff13,0.0,0.0,Edison Elementary,1955
18,no,34,male,more,-0.0836015,3.3,upper,yes,no,102,43,13,1,N,194.0,14,af359589-3ded-40eb-8c8e-8c820ad019de,0.0,1.0,Romoland Elementary,2005
67,no,63,female,more,-0.6562689,3.0,upper,yes,yes,12,149,50,1,N,173.0,14,529af3c4-1f6c-4ced-ac86-165cb41a1629,0.0,0.0,Sebastopol Union Elementary,1961
420,no,48,female,more,1.774334,3.4,upper,no,yes,10,53,39,1,N,183.0,14,27d0e742-13f8-4911-a1d6-42cbea5067e2,1.0,0.0,Mountain Union Elementary,1999
87,yes,45,male,more,-0.0680143,4.6,upper,yes,yes,40,16,13,1,N,174.0,16,fc04e88b-4dcb-4ad4-8171-4e21fe5f259e,0.0,0.0,Delano Union Elementary,1952
32,no,60,female,single,1.509794,4.0,upper,yes,no,45,23,71,6,N,177.0,16,fb6a141a-25cb-4495-9b22-48bc79dbd24e,1.0,0.0,Cupertino Union Elementary,1999
85,no,43,male,more,0.4203998,4.5,upper,yes,yes,22,47,89,1,y,181.0,16,e726e53d-6183-4ec0-b300-896df7bca3c2,1.0,,Centralia Elementary,2003
318,no,70,male,more,0.2168924,3.6,upper,yes,no,23,69,4,3,N,181.0,14,c0112282-2a3d-4efe-af95-387d581e0a98,1.0,1.0,Shaffer Union Elementary,1955
445,no,50,female,more,-0.6563948,4.2,upper,yes,yes,79,26,19,4,N,169.0,14,f9b78c22-3fa5-4a9d-b697-ca70e5a794a3,1.0,0.0,Lakeside Union Elementary,1976
193,no,57,male,more,-0.2581899,3.8,upper,yes,yes,65,27,88,1,N,191.0,20,475f8bb1-e661-4dea-af87-86ca2a261e7f,0.0,0.0,Springville Union Elementary,1995
118,no,42,male,more,1.063938,4.0,lower,yes,no,13,19,70,1,N,180.0,14,6fd65cf5-962a-4227-b24b-b2ef6f590a96,1.0,0.0,Montgomery Elementary,2002
95,no,60,male,more,0.2394859,3.4,lower,yes,yes,11,24,77,2,y,186.0,12,7a5fe584-0426-4d55-b8b9-782fdd635a86,1.0,0.0,Somis Union Elementary,1971
251,no,57,female,single,1.509794,4.2,upper,yes,no,24,22,43,3,N,181.0,18,b95563e8-9d70-4aee-8c29-b2d677981d92,1.0,0.0,Fort Jones Union Elementary,2007
285,no,52,male,more,1.063938,4.1,lower,yes,no,22,13,91,1,N,175.0,17,c47a9043-7826-4044-9b51-d59a6b6c53e3,1.0,0.0,Sunnyside Union Elementary,1954
250,yes,57,male,more,-0.6779634,3.9,lower,yes,yes,21,29,54,1,N,178.0,17,ea2dec1b-93f0-4fdf-abd2-49c6087d3b5b,0.0,0.0,Island Union Elementary,1984
454,no,49,male,more,0.5502878,4.1,upper,yes,yes,31,26,27,2,N,175.0,14,b502be75-8bea-4412-9b7d-813e7bba3685,0.0,0.0,Cutten Elementary,1986
238,yes,52,male,more,1.231394,4.2,upper,yes,no,17,23,45,2,N,182.0,14,b6b69b9d-a92f-4ad9-aa34-a654185cbcfe,0.0,0.0,Woodville Elementary,1991
221,no,47,female,more,0.6318343,4.3,upper,yes,yes,12,21,18,1,N,176.0,14,410395ad-1f39-4a21-93e9-298afee5d7e1,1.0,0.0,Buena Vista Elementary,1996
105,yes,52,female,more,-0.7668921,4.8,upper,yes,yes,36,15,31,1,N,186.0,14,5940aa1c-da60-4873-b97f-e4d89f2d1a85,0.0,0.0,Briggs Elementary,2008
299,no,43,male,more,0.5766805,4.3,lower,yes,no,64,62,31,1,N,193.0,20,d02dae2a-18e0-4019-84a0-e1f2d1b6360f,1.0,0.0,Alta Vista Elementary,1998
6,yes,54,male,more,0.8808186,3.3,upper,yes,yes,13,19,48,4,N,175.0,20,afb433da-e4be-42f4-a386-41690af0783e,1.0,1.0,Yreka Union Elementary,1964
117,no,58,male,more,-0.1111221,3.3,upper,yes,yes,24,286,3,6,N,188.0,16,db4b8bab-f58d-4d9c-ab15-18335ea4b16e,1.0,0.0,East Whittier City Elementary,1989
46,no,62,female,more,1.040902,4.4,upper,yes,no,23,57,41,2,N,173.0,12,100567eb-57a5-424e-86c1-4a02cc690c8d,0.0,0.0,Palermo Union Elementary,1998
444,no,32,female,more,1.232602,3.4,upper,yes,yes,17,31,34,1,N,190.0,14,5507df65-d963-43c6-9e0d-a8c375c02b6c,1.0,0.0,Red Bluff Union Elementary,2003
229,no,54,female,more,0.2116939,3.4,upper,yes,yes,28,22,56,1,N,187.0,14,475f8bb1-e661-4dea-af87-86ca2a261e7f,1.0,0.0,Palo Verde Union Elementary,2004
401,no,47,female,more,-0.0620358,4.6,upper,yes,yes,176,30,34,1,N,182.0,20,6965965e-87b6-46cf-97e0-3b7960e277c1,1.0,0.0,Ravenswood City Elementary,2005
292,no,57,male,more,-0.0018324,4.2,upper,yes,no,84,21,47,2,N,189.0,20,2f391d00-fce2-4b0b-9e09-e98753d78adb,1.0,0.0,Freshwater Elementary,1955
17,no,45,female,more,-0.5583452,4.3,upper,yes,yes,14,57,8,6,N,180.0,14,f651fa11-f278-4210-a9d1-b266fc9ea9b1,1.0,1.0,Knights Ferry Elementary,2011
430,no,56,male,more,-0.9005804,3.7,upper,yes,yes,22,15,72,2,N,183.0,18,e726e53d-6183-4ec0-b300-896df7bca3c2,1.0,0.0,Lake Elementary,2002
64,yes,33,male,more,1.231394,3.7,lower,yes,yes,29,75,10,4,N,175.0,14,347a69b8-232d-4315-8829-4c6a7374bf6b,1.0,0.0,Redwood City Elementary,2012
452,yes,33,male,more,-1.052108,4.8,upper,yes,yes,10,41,77,1,N,185.0,14,e15bc5a6-d4de-4e87-a1c8-e21fb441910c,1.0,1.0,Mountain Elementary,1963
4,no,47,male,more,0.1496926,4.3,lower,yes,yes,81,122,75,6,N,191.0,17,606ec9ab-33fe-4f7e-9330-c0c5d30928c1,0.0,0.0,Oroville City Elementary,1989
154,no,43,female,more,-0.5040575,4.8,upper,yes,yes,47,111,58,1,N,186.0,14,82997735-0e98-4a00-bcf1-f2f0aafb0705,1.0,0.0,Marcum-Illinois Union Elementary,1954
61,no,51,female,more,0.0294137,3.5,upper,yes,yes,171,122,34,2,y,184.0,18,bdf3a343-8379-4a21-aa09-be0ea98c2e96,1.0,1.0,Tipton Elementary,1998
111,no,49,male,more,-1.052108,4.5,upper,yes,yes,45,21,52,6,N,191.0,17,1566f86d-93ed-408b-a7b8-90d409419736,0.0,0.0,Guadalupe Union Elementary,1979
440,no,57,male,more,-0.6779634,3.4,upper,yes,yes,186,32,14,6,y,190.0,14,5e3b5968-8333-4c18-987b-b413b916f904,1.0,0.0,Lakeside Joint Elementary,1979
230,no,57,male,more,-0.4899626,3.9,lower,yes,yes,8,10,87,2,N,185.0,20,0ea68c5a-057a-46c5-afda-4dbf75e4c5c4,0.0,0.0,Los Nietos Elementary,1950
30,yes,33,female,more,-0.4899626,4.4,lower,yes,yes,27,46,50,1,N,175.0,18,4be26ab5-1d7e-44bf-bd62-0a66c914394a,1.0,0.0,Bass Lake Joint Elementary,1950
155,no,57,female,more,0.0294137,4.6,lower,yes,yes,7,12,51,1,N,183.0,16,15a5a588-84f1-47b6-8ff7-3b5dd3065df8,1.0,0.0,Cinnabar Elementary,2011
232,no,43,male,more,1.769452,3.6,upper,yes,no,10,48,65,6,N,189.0,17,c4ca4342-0324-4995-9111-fae627df7fc5,0.0,0.0,Sulphur Springs Union Elementary,2012
27,no,62,male,more,-0.4899626,4.4,lower,yes,no,21,254,6,5,N,176.0,20,9294f017-a752-4e3f-9266-06922b940943,1.0,0.0,Santee Elementary,1950
8,no,58,male,more,1.05095,4.5,upper,yes,yes,19,14,37,1,N,172.0,17,345600be-501f-47c7-b3fc-124fccea4b69,1.0,0.0,Alexander Valley Union Elementary,1975
423,no,64,female,more,-0.3260148,3.9,lower,yes,yes,65,18,34,1,N,173.0,16,9b2ec410-aab7-47b8-a6d3-19e9c1e54d4b,1.0,0.0,Hueneme Elementary,1985
109,no,60,female,more,-1.090389,4.4,upper,yes,yes,40,10,68,1,y,172.0,16,2baf6ca8-ba5b-45f6-860e-359b139766f2,0.0,0.0,Solvang Elementary,1971
239,no,49,male,more,-0.126001,4.8,upper,yes,yes,35,39,51,2,N,183.0,16,203a6897-eaef-44f2-ac30-f8e9d95fa886,1.0,0.0,Walnut Creek Elementary,2007
434,no,38,female,more,-0.6562689,4.5,lower,yes,yes,34,41,10,1,N,178.0,17,3b9eb1ad-94e8-4ece-9e83-bdaec18ce17d,1.0,0.0,West Fresno Elementary,1976
119,no,63,female,more,-0.7668921,3.7,upper,yes,yes,15,31,5,1,N,188.0,16,b4649c6a-01ed-4f21-be3f-a0f29b97fc1b,1.0,0.0,Victor Elementary,1950
115,no,47,male,more,-0.923957,3.3,lower,yes,yes,18,15,17,5,N,171.0,18,7ddcdb33-a18f-47fd-8476-4e5b117b5f09,1.0,0.0,Richland-Lerdo Union Elementary,1985
