feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
6,2012,Agnes,7.166667,983,0,2,200,24260.0,55.0,MWR,4.0,105,11280
89,1969,Alex,9.888889,935,0,3,1,160.0,36.0,MWR,8.8125,75,12180
36,1966,Frederic,1.944444,945,0,2,117,230.0,58.0,MWR,9.21875,90,9610
87,1983,Connie,2.666667,941,0,1,7,24000.0,28.0,MWR,7.875,100,610
56,1979,Juan,1.722222,946,1,4,22,1650.0,17.0,MWR,4.0,80,18540
93,1999,Hugo,7.0,957,1,3,5,94.0,60.0,MWR,1.71875,120,370
54,1953,Diane,2.666667,954,1,3,5,66730.0,53.0,MWR,10.0625,80,4800
43,1999,Opal,9.944444,991,1,3,5,23040.0,24.0,MWR,8.53125,85,66
50,1987,Irene,8.555556,960,1,1,3,1590.0,43.0,MWR,8.28125,85,200
75,1979,Flossy,8.5,981,1,1,21,6.0,26.0,MWR,9.46875,120,490
46,2002,Able,9.833333,945,1,3,5,160.0,41.0,MWR,8.5625,110,14350
64,1964,Audrey,1.722222,930,0,2,1,75000.0,24.0,MWR,6.71875,80,930
61,1995,Bertha,9.944444,974,0,1,8,6200.0,18.0,MWR,8.4375,145,220
91,1954,Ivan,1.888889,974,1,2,1,1110.0,59.0,MWR,9.25,110,75260
84,1968,Camille,8.5,960,1,3,0,96.0,17.0,MWR,1.78125,90,110
41,1986,Claudette,8.944444,984,1,3,15,10210.0,52.0,MWR,8.875,85,6990
58,1985,Kate,9.46875,977,1,3,3,350.0,1.0,MWR,8.71875,85,3340
48,2004,Bonnie,2.888889,955,1,2,0,6870.0,9.0,MWR,2.09375,120,5230
81,1993,Donna,1.944444,952,1,2,1,10690.0,25.0,MWR,8.4375,85,12000
57,1971,Erin,8.611111,985,1,1,25,300.0,34.0,MWR,7.625,85,8600
32,1985,Lili,8.722222,942,1,1,9,18590.0,48.0,MWR,7.21875,115,55
88,1975,Carla,2.888889,946,0,4,6,8260.0,28.0,MWR,2.09375,80,1870
59,1953,Edith,8.333333,985,0,2,41,12770.0,34.0,MWR,6.46875,130,6
63,2005,Frances,8.666667,920,0,3,2,4730.0,42.0,MWR,1.71875,85,23070
79,2004,Isabel,8.59375,945,0,3,22,300.0,47.0,MWR,9.125,110,330
37,1972,Eloise,2.444444,922,0,2,56,10400.0,59.0,MWR,6.34375,105,1610
29,1997,Debra,8.5,950,0,2,0,6450.0,58.0,MWR,7.90625,145,20640
1,2004,King,2.222222,986,1,2,62,3230.0,33.0,MWR,7.78125,115,4290
52,1985,Jerry,10.333333,978,1,1,20,99.0,8.0,MWR,4.0625,120,52270
21,1974,Katrina,2.333333,979,0,2,3,1180.0,46.0,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf,8.625,120,1260
2,2012,Irene,1.833333,963,1,3,15,170.0,39.0,MWR,2.90625,75,170
23,1970,Earl,9.888889,985,1,5,52,3870.0,38.0,MWR,8.375,105,1310
85,1998,Hilda,2.222222,950,0,3,21,1430.0,45.0,MWR,8.875,120,4
74,1992,Chantal,9.777778,950,0,1,46,150.0,20.0,MWR,8.59375,85,230
86,1960,Isbell,2.277778,960,1,1,12,19321.0,6.0,MWR,1.71875,85,620
82,1986,Gustav,8.722222,972,1,2,60,2770.0,37.0,MWR,9.1875,145,320
20,1960,Ophelia,9.5,931,1,3,0,4360.0,27.0,MWR,7.375,140,1850
60,1991,Barbara,7.222222,996,1,3,416,8130.0,49.0,MWR,7.65625,115,25070
71,1964,Andrew,7.388889,962,1,2,1,15.0,53.0,MWR,7.125,105,1380
14,1985,Bob,9.833333,970,1,1,15,200.0,14.0,MWR,9.78125,120,78
92,1996,Carmen,9.444444,951,1,1,0,1540.0,10.0,MWR,8.875,85,110
51,1998,Cleo,4.166666,973,1,3,2,3020.0,24.0,MWR,7.15625,115,14820
