ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15,bad_history,eval,weight,occupation,age,page_id,mortgage_credit,black,county,native
46,2002,Able,9.833333,945,1,3,5,160.0,41.0,MWR,8.5625,110,14350,0,4.8,64.0,5,47.0,3-2,2,0,San Mateo,yes
64,1964,Audrey,1.722222,930,0,2,1,75000.0,24.0,MWR,6.71875,80,930,0,3.7,78.0,7,32.0,1-2,1,1,Kern,no
61,1995,Bertha,9.944444,974,0,1,8,6200.0,18.0,MWR,8.4375,145,220,0,4.4,87.0,3,27.0,3-2,2,0,El Dorado,yes
91,1954,Ivan,1.888889,974,1,2,1,1110.0,59.0,MWR,9.25,110,75260,0,3.5,84.0,3,42.0,1-2,2,0,San Bernardino,yes
84,1968,Camille,8.5,960,1,3,0,96.0,17.0,MWR,1.78125,90,110,0,4.5,80.0,5,27.0,3-1,2,0,Placer,yes
41,1986,Claudette,8.944444,984,1,3,15,10210.0,52.0,MWR,8.875,85,6990,0,4.4,73.0,5,32.0,2-1,1,0,Merced,yes
58,1985,Kate,9.46875,977,1,3,3,350.0,1.0,MWR,8.71875,85,3340,0,4.5,83.0,1,27.0,3-2,2,0,Tulare,yes
48,2004,Bonnie,2.888889,955,1,2,0,6870.0,9.0,MWR,2.09375,120,5230,1,3.6,76.0,6,27.0,2-2,2,0,Orange,yes
81,1993,Donna,1.944444,952,1,2,1,10690.0,25.0,MWR,8.4375,85,12000,0,4.6,90.0,5,27.0,2-1,2,1,Stanislaus,yes
57,1971,Erin,8.611111,985,1,1,25,300.0,34.0,MWR,7.625,85,8600,0,4.0,69.0,5,42.0,2-1,2,0,San Diego,yes
32,1985,Lili,8.722222,942,1,1,9,18590.0,48.0,MWR,7.21875,115,55,0,4.7,84.0,5,32.0,1-2,2,0,San Luis Obispo,yes
88,1975,Carla,2.888889,946,0,4,6,8260.0,28.0,MWR,2.09375,80,1870,0,3.2,72.0,1,27.0,2-1,2,1,Kern,yes
59,1953,Edith,8.333333,985,0,2,41,12770.0,34.0,MWR,6.46875,130,6,0,3.8,83.0,6,17.5,2-1,2,0,Kern,yes
63,2005,Frances,8.666667,920,0,3,2,4730.0,42.0,MWR,1.71875,85,23070,1,3.6,81.0,2,27.0,3-1,2,0,Sonoma,yes
79,2004,Isabel,8.59375,945,0,3,22,300.0,47.0,MWR,9.125,110,330,0,3.5,,3,37.0,1-2,1,0,Nevada,yes
37,1972,Eloise,2.444444,922,0,2,56,10400.0,59.0,MWR,6.34375,105,1610,1,3.9,76.0,6,22.0,2-2,2,0,El Dorado,yes
29,1997,Debra,8.5,950,0,2,0,6450.0,58.0,MWR,7.90625,145,20640,0,4.9,70.0,5,22.0,1-2,2,1,Santa Barbara,yes
1,2004,King,2.222222,986,1,2,62,3230.0,33.0,MWR,7.78125,115,4290,0,4.3,89.0,1,22.0,1-2,2,1,Santa Barbara,yes
52,1985,Jerry,10.333333,978,1,1,20,99.0,8.0,MWR,4.0625,120,52270,0,3.5,77.0,5,27.0,3-1,1,0,Tulare,yes
21,1974,Katrina,2.333333,979,0,2,3,1180.0,46.0,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf,8.625,120,1260,0,4.7,72.0,4,42.0,3-2,2,1,San Mateo,yes
2,2012,Irene,1.833333,963,1,3,15,170.0,39.0,MWR,2.90625,75,170,0,3.3,71.0,5,47.0,1-2,2,0,San Joaquin,no
23,1970,Earl,9.888889,985,1,5,52,3870.0,38.0,MWR,8.375,105,1310,0,4.2,78.0,4,37.0,3-2,2,0,Sacramento,yes
85,1998,Hilda,2.222222,950,0,3,21,1430.0,45.0,MWR,8.875,120,4,0,4.6,65.0,5,57.0,2-2,2,0,Shasta,yes
74,1992,Chantal,9.777778,950,0,1,46,150.0,20.0,MWR,8.59375,85,230,0,4.0,80.0,1,42.0,3-2,2,0,San Diego,yes
86,1960,Isbell,2.277778,960,1,1,12,19321.0,6.0,MWR,1.71875,85,620,1,3.4,84.0,1,27.0,2-2,2,0,Kern,yes
82,1986,Gustav,8.722222,972,1,2,60,2770.0,37.0,MWR,9.1875,145,320,0,3.9,78.0,1,52.0,1-1,1,0,Imperial,yes
20,1960,Ophelia,9.5,931,1,3,0,4360.0,27.0,MWR,7.375,140,1850,1,4.3,93.0,5,22.0,2-1,1,0,Nevada,yes
60,1991,Barbara,7.222222,996,1,3,416,8130.0,49.0,MWR,7.65625,115,25070,0,3.6,69.0,4,22.0,3-2,2,0,Kern,yes
71,1964,Andrew,7.388889,962,1,2,1,15.0,53.0,MWR,7.125,105,1380,0,4.7,69.0,5,37.0,2-1,2,0,San Diego,yes
14,1985,Bob,9.833333,970,1,1,15,200.0,14.0,MWR,9.78125,120,78,0,4.5,77.0,5,22.0,1-1,1,1,Santa Cruz,yes
92,1996,Carmen,9.444444,951,1,1,0,1540.0,10.0,MWR,8.875,85,110,0,5.0,84.0,6,27.0,3-2,2,0,San Bernardino,yes
51,1998,Cleo,4.166666,973,1,3,2,3020.0,24.0,MWR,7.15625,115,14820,0,3.3,65.0,6,32.0,2-2,2,0,Tuolumne,yes
