education,age,gender,occupation,children,religiousness,rating,yearsmarried,rownames,affairs
509,0.20947843209620554,female,27.0,10.0,yes,5,14,1,5
512,5.7381791357649785,male,37.0,10.0,yes,2,18,6,4
515,0.2816564286483265,female,22.0,0.125,no,4,12,4,5
517,3.886767129752262,male,57.0,15.0,yes,5,20,6,5
532,-1.621308436967401,female,37.0,15.0,yes,4,18,6,4
533,0.7787821258875217,male,22.0,4.0,yes,4,14,6,4
535,-1.6753774566941204,male,27.0,7.0,yes,4,18,5,4
537,0.3384496692320791,male,57.0,15.0,yes,4,20,5,4
538,4.225572690716284,male,32.0,15.0,yes,3,14,6,3
543,-4.23736235782984,female,22.0,1.5,no,2,14,5,4
547,2.8877724489569645,female,32.0,7.0,yes,4,17,1,5
550,2.23948626647461,female,37.0,15.0,yes,4,17,6,5
558,-0.5024186777678117,female,32.0,1.5,no,5,18,5,5
571,-3.310317501009798,male,42.0,10.0,yes,5,20,7,4
578,1.6936465590192924,female,27.0,7.0,no,3,16,5,4
583,-0.2893076043599154,male,37.0,15.0,no,4,20,6,5
586,2.2228104521124368,male,37.0,15.0,yes,4,14,3,2
594,1.5279317600991025,male,32.0,10.0,no,5,18,6,4
597,6.735389581709148,female,22.0,0.75,no,4,16,1,5
602,0.6669877548318109,female,27.0,7.0,yes,4,12,2,4
603,-1.9175533954353297,female,27.0,7.0,yes,2,16,2,5
604,2.0468015010747056,female,42.0,15.0,yes,5,18,5,4
612,2.1810185752293885,male,42.0,15.0,yes,4,17,5,3
613,5.935805645467649,female,27.0,7.0,yes,2,16,1,2
621,4.208443672814228,female,22.0,1.5,no,3,16,5,5
627,2.632158185020322,male,37.0,15.0,yes,5,20,6,5
630,6.278970996637922,female,22.0,0.125,no,2,14,4,5
631,-2.4622707022419688,male,27.0,1.5,no,4,16,5,5
632,-0.6527220318529356,male,32.0,1.5,no,2,18,6,5
639,-1.5980987806523181,male,27.0,1.5,no,2,17,6,5
645,0.17108895696854054,female,27.0,10.0,yes,4,16,1,3
647,-3.0816675092918877,male,42.0,15.0,yes,4,18,6,5
648,3.549372088431945,female,27.0,1.5,no,2,16,6,5
651,0.723458102284192,male,27.0,4.0,no,2,18,6,3
655,-3.391888661437432,female,32.0,10.0,yes,3,14,5,3
667,-1.891454214847415,female,32.0,15.0,yes,3,18,5,4
670,2.4892522865111912,female,22.0,0.75,no,2,18,6,5
671,4.2183822108319955,female,37.0,15.0,yes,2,16,1,4
673,8.037156191434907,male,27.0,4.0,yes,4,20,5,5
701,11.060033044946458,male,27.0,4.0,no,1,20,5,4
705,2.8218053678309793,female,27.0,10.0,yes,2,12,1,4
706,-1.8056228892386588,female,32.0,15.0,yes,5,18,6,4
709,-5.571343719975385,male,27.0,7.0,yes,5,12,5,3
717,2.338287066633154,male,52.0,15.0,yes,2,18,5,4
719,-1.22355694212726,male,27.0,4.0,no,3,20,6,3
723,0.08688422706234866,male,37.0,4.0,yes,1,18,5,4
724,-0.5615716923569551,male,27.0,4.0,yes,4,14,5,4
726,0.9918583433674131,female,52.0,15.0,yes,5,12,1,3
734,4.969390662440371,female,57.0,15.0,yes,4,16,6,4
735,1.973540815495869,male,27.0,7.0,yes,1,16,5,4
736,0.9330444645064454,male,37.0,7.0,yes,4,20,6,3
737,-1.957620577315092,male,22.0,0.75,no,2,14,4,3
739,-4.063868586810875,male,32.0,4.0,yes,2,18,5,3
743,-0.14696997694571778,male,37.0,15.0,yes,4,20,6,3
745,1.2786388785793252,male,22.0,0.75,yes,2,14,4,3
747,7.283025377313228,male,42.0,15.0,yes,4,20,6,3
751,1.8852932334568344,female,52.0,15.0,yes,5,17,1,1
752,4.695028234962288,female,37.0,15.0,yes,4,14,1,2
754,-0.18977755981203304,male,27.0,7.0,yes,4,14,5,3
760,-2.4496822827275326,male,32.0,4.0,yes,2,16,5,5
763,-1.7251297961091336,female,27.0,4.0,yes,2,18,6,5
774,-0.9344471309953155,female,27.0,4.0,yes,2,18,5,5
776,8.471369017101498,male,37.0,15.0,yes,5,18,6,5
779,-1.2513936897032605,female,47.0,15.0,yes,5,12,5,4
784,4.219577462989511,female,32.0,10.0,yes,3,17,1,4
788,-1.5201521683540626,female,27.0,1.5,yes,4,17,1,2
794,4.526382833080098,female,57.0,15.0,yes,2,18,5,2
795,2.7247099007874604,female,22.0,1.5,no,4,14,5,4
798,0.939626401057894,male,42.0,15.0,yes,3,14,3,4
800,1.3215530387154208,male,57.0,15.0,yes,4,9,2,2
803,-0.7022814074134676,male,57.0,15.0,yes,4,20,6,5
807,2.9261662379707998,female,22.0,0.125,no,4,14,4,5
812,-0.04372427783676791,female,32.0,10.0,yes,4,14,1,5
820,-2.5837047218734877,female,42.0,15.0,yes,3,18,5,4
823,-2.7561910076489764,female,27.0,1.5,no,2,18,6,5
830,2.024758703513003,male,32.0,0.125,yes,2,18,5,2
843,6.6606108603648355,female,27.0,4.0,no,3,16,5,4
848,1.9832411314249878,female,27.0,10.0,yes,2,16,1,4
851,1.064873452291693,female,32.0,7.0,yes,4,16,1,3
854,2.3979932637892643,female,37.0,15.0,yes,4,14,5,4
856,5.760504489531044,female,42.0,15.0,yes,5,17,6,2
857,2.1789942218636646,male,32.0,1.5,yes,4,14,6,5
859,0.10148565781151642,female,32.0,4.0,yes,3,17,5,3
863,5.102247901690099,female,37.0,7.0,no,4,18,5,5
865,2.8690932718868165,female,22.0,0.417,yes,3,14,3,5
867,6.51777730037429,female,27.0,7.0,yes,4,14,1,5
870,2.0598497616203226,male,27.0,0.75,no,3,16,5,5
873,-2.5799580391847763,male,27.0,4.0,yes,2,20,5,5
875,-3.053562583672495,male,32.0,10.0,yes,4,16,4,5
876,6.897385419930092,male,32.0,15.0,yes,1,14,5,5
877,7.137130058046708,male,22.0,0.75,no,3,17,4,5
880,0.8642093057181724,female,27.0,7.0,yes,4,17,1,4
903,0.19291673846797286,male,27.0,0.417,yes,4,20,5,4
904,6.27284503174263,male,37.0,15.0,yes,4,20,5,4
905,-2.192929246652649,female,37.0,15.0,yes,2,14,1,3
908,-1.4931243438553636,male,22.0,4.0,yes,1,18,5,4
909,3.5763197827325426,male,37.0,15.0,yes,4,17,5,3
910,0.15528352474504703,female,22.0,1.5,no,2,14,4,5
912,1.4390250867920484,male,52.0,15.0,yes,4,14,6,2
914,0.917197035214083,female,22.0,1.5,no,4,17,5,5
915,2.568556651580767,male,32.0,4.0,yes,5,14,3,5
916,6.094984201321791,male,32.0,4.0,yes,2,14,3,5
920,1.7544757798091026,female,22.0,1.5,no,3,16,6,5
921,3.578336937541397,male,27.0,0.75,no,2,18,3,3
925,-5.301485425214409,female,22.0,7.0,yes,2,14,5,2
926,1.2953303750729537,female,27.0,0.75,no,2,17,5,3
929,-1.3233904322511045,female,37.0,15.0,yes,4,12,1,2
931,-2.561315888814803,female,22.0,1.5,no,1,14,1,5
945,-1.4384940886435666,female,37.0,10.0,no,2,12,4,4
947,0.35463188672424995,female,37.0,15.0,yes,4,18,5,3
949,4.474732771148092,female,42.0,15.0,yes,3,12,3,3
950,-2.915899751279406,male,22.0,4.0,no,2,18,5,5
961,1.5568685951105887,male,52.0,7.0,yes,2,20,6,2
965,-0.13992153482843728,male,27.0,0.75,no,2,17,5,5
966,0.3758923069201179,female,27.0,4.0,no,2,17,4,5
967,4.7610088429608375,male,42.0,1.5,no,5,20,6,5
987,3.2295418647329104,male,22.0,1.5,no,4,17,6,5
990,5.863987293880378,male,22.0,4.0,no,4,17,5,3
992,0.9466542189340356,female,22.0,4.0,yes,1,14,5,4
995,-0.8379285132356777,male,37.0,15.0,yes,5,20,4,5
1009,0.718065431530878,female,37.0,10.0,yes,3,16,6,3
1021,2.2551792032808358,male,42.0,15.0,yes,4,17,6,5
1026,2.037894764767421,female,47.0,15.0,yes,4,17,5,5
1027,-2.118249488405281,male,22.0,1.5,no,4,16,5,4
1030,1.7541622457463546,female,32.0,10.0,yes,3,12,1,4
1031,2.208150181382535,female,22.0,7.0,yes,1,14,3,5
1034,9.75353195067726,female,32.0,10.0,yes,4,17,5,4
1037,7.642009549170631,male,27.0,1.5,yes,2,16,2,4
1038,-1.3563936669188017,male,37.0,15.0,yes,4,14,5,5
1039,0.5086877576108485,male,42.0,4.0,yes,3,14,4,5
1045,-3.367615863002697,female,37.0,15.0,yes,5,14,5,4
1046,-0.4910706998275989,female,32.0,7.0,yes,4,17,5,5
1054,2.496144762651096,female,42.0,15.0,yes,4,18,6,5
1059,5.430415061990475,male,27.0,4.0,no,4,18,6,4
1063,-0.9471623985345734,male,22.0,0.75,no,4,18,6,5
1068,-0.7001678219214416,male,27.0,4.0,yes,4,14,5,3
1070,-5.62158400659138,female,22.0,0.75,no,5,18,1,5
1072,0.9197579641102326,female,52.0,15.0,yes,5,9,5,5
1073,-2.0458240358408917,male,32.0,10.0,yes,3,14,5,5
1077,-0.2891319872344229,female,37.0,15.0,yes,4,16,4,4
1081,-1.4342369963356418,male,32.0,7.0,yes,2,20,5,4
1083,1.1452162935999088,female,42.0,15.0,yes,3,18,1,4
1084,-4.337587391729393,male,32.0,15.0,yes,1,16,5,5
1086,-3.379492197698776,male,27.0,4.0,yes,3,18,5,5
1087,8.473931269720735,female,32.0,15.0,yes,4,12,3,4
1089,-2.7874537062419074,male,22.0,0.75,yes,3,14,2,4
1096,-2.159111820100186,female,22.0,1.5,no,3,16,5,3
1102,7.510396212767297,female,42.0,15.0,yes,4,14,3,5
1103,11.031043639542617,female,52.0,15.0,yes,3,16,5,4
1107,-2.4055910740889948,male,37.0,15.0,yes,5,20,6,4
1109,0.2421537695346032,female,47.0,15.0,yes,4,12,2,3
1115,2.5816780831883652,male,57.0,15.0,yes,2,20,6,4
1119,7.153715339670914,male,32.0,7.0,yes,4,17,5,5
1124,-1.7967861434173704,female,27.0,7.0,yes,4,17,1,4
1126,0.6474680505352954,male,22.0,1.5,no,1,18,6,5
1128,4.018020952420061,female,22.0,4.0,yes,3,9,1,4
1129,2.888901105447794,female,22.0,1.5,no,2,14,1,5
1130,0.21609182390500825,male,42.0,15.0,yes,2,20,6,4
1133,1.0148246989258791,male,57.0,15.0,yes,4,9,2,4
1140,-3.0757665295002785,female,27.0,7.0,yes,2,18,1,5
1143,0.6708832572556623,female,22.0,4.0,yes,3,14,1,5
1146,0.5778904062554578,male,37.0,15.0,yes,4,14,5,3
1153,2.221141609520797,male,32.0,7.0,yes,1,18,6,4
1156,-0.37445846356911416,female,22.0,1.5,no,2,14,5,5
1157,3.0101035427605343,female,22.0,1.5,yes,3,12,1,3
1158,4.793830507730343,male,52.0,15.0,yes,2,14,5,5
1160,1.968203781444387,female,37.0,15.0,yes,2,14,1,1
1161,2.615300233773323,female,32.0,10.0,yes,2,14,5,5
1166,1.6311074958180851,male,42.0,15.0,yes,4,20,4,5
1177,1.456184982621883,female,27.0,4.0,yes,3,18,4,5
1178,-0.9223572561104683,male,37.0,15.0,yes,4,20,6,5
1180,2.499075768137203,male,27.0,1.5,no,3,18,5,5
1187,1.135249007166769,female,22.0,0.125,no,2,16,6,3
1191,8.35501509472388,male,32.0,10.0,yes,2,20,6,3
1195,6.641703767838679,female,27.0,4.0,no,4,18,5,4
1207,2.727661764650583,female,27.0,7.0,yes,2,12,5,1
1208,-1.059139046796346,male,32.0,4.0,yes,5,18,6,3
1209,-2.210614955731332,female,37.0,15.0,yes,2,17,5,5
1211,5.38192852152479,male,47.0,15.0,no,4,20,6,4
1215,2.3219314723175564,male,27.0,1.5,no,1,18,5,5
1221,3.038465334968416,male,37.0,15.0,yes,4,20,6,4
1226,-4.294269866611133,female,32.0,15.0,yes,4,18,1,4
1229,4.512755367441077,female,32.0,7.0,yes,4,17,5,4
1231,2.9536817984472767,female,42.0,15.0,yes,3,14,1,3
1234,-2.204086255748082,female,27.0,7.0,yes,3,16,1,4
1235,-0.09824469371274147,male,27.0,1.5,no,3,16,4,2
1242,2.325121943596339,male,22.0,1.5,no,3,16,3,5
1245,1.6288380291866444,male,27.0,4.0,yes,3,16,4,2
1260,0.4929070304801264,female,27.0,7.0,yes,3,12,1,2
1266,1.1148082283618612,female,37.0,15.0,yes,2,18,5,4
1271,0.6253863104887181,female,37.0,7.0,yes,3,14,4,4
1273,1.9587547223775807,male,22.0,1.5,no,2,16,5,5
1276,6.305962310030866,male,37.0,15.0,yes,5,20,5,4
1280,-7.003830700159963,female,22.0,1.5,no,4,16,5,3
1282,0.6752454617122853,female,32.0,10.0,yes,4,16,1,5
1285,2.0376939154044376,male,27.0,4.0,no,2,17,5,3
1295,2.4315066216665353,female,22.0,0.417,no,4,14,5,5
1298,0.23007182637009782,female,27.0,4.0,no,2,18,5,5
1299,-4.334269596591586,male,37.0,15.0,yes,4,18,5,3
1304,2.536983936242944,male,37.0,10.0,yes,5,20,7,4
1305,7.149274193163107,female,27.0,7.0,yes,2,14,4,2
1311,-3.5997190743275067,male,32.0,4.0,yes,2,16,5,5
1314,4.303094489634622,male,32.0,4.0,yes,2,16,6,4
1319,0.3730836801322348,male,22.0,1.5,no,3,18,4,5
1322,1.253781030251222,female,22.0,4.0,yes,4,14,3,4
1324,-2.0144595095840376,female,17.5,0.75,no,2,18,5,4
1327,0.3535351991314408,male,32.0,10.0,yes,4,20,4,5
1328,5.740869660344748,female,32.0,0.75,no,5,14,3,3
1330,3.3763456051295604,male,37.0,15.0,yes,4,17,5,3
1332,7.165626999214094,male,32.0,4.0,no,3,14,4,5
1333,5.336670766761826,female,27.0,1.5,no,2,17,3,2
1336,2.903141870448171,female,22.0,7.0,yes,4,14,1,5
1341,7.203936287775356,male,47.0,15.0,yes,5,14,6,5
1344,2.902833626757227,male,27.0,4.0,yes,1,16,4,4
1352,4.184965950135907,female,37.0,15.0,yes,5,14,1,3
1358,0.47840534238236754,male,42.0,4.0,yes,4,18,5,5
1359,1.6752426425722946,female,32.0,4.0,yes,2,14,1,5
1361,-0.8428106048303681,male,52.0,15.0,yes,2,14,7,4
1364,4.717587538523775,female,22.0,1.5,no,2,16,1,4
1368,-2.4277962894259977,male,52.0,15.0,yes,4,12,2,4
1384,4.034543091460659,female,22.0,0.417,no,3,17,1,5
1390,0.8275186114059823,female,22.0,1.5,no,2,16,5,5
1393,5.316351525578957,male,27.0,4.0,yes,4,20,6,4
1394,3.9307801657900923,female,32.0,15.0,yes,4,14,1,5
1402,7.456778760640894,female,27.0,1.5,no,2,16,3,5
1407,3.8645491158716316,male,32.0,4.0,no,1,20,6,5
1408,-3.7255570319542426,male,37.0,15.0,yes,3,20,6,4
1412,1.2352283475861785,female,32.0,10.0,no,2,16,6,5
1413,-2.407043177645928,female,32.0,10.0,yes,5,14,5,5
1416,-0.25234985898214557,male,37.0,1.5,yes,4,18,5,3
1417,6.436934167718039,male,32.0,1.5,no,2,18,4,4
1418,3.5572260375098863,female,32.0,10.0,yes,4,14,1,4
1419,-0.8477763942014978,female,47.0,15.0,yes,4,18,5,4
1420,-1.8853179802710005,female,27.0,10.0,yes,5,12,1,5
1423,1.5639569998664618,male,27.0,4.0,yes,3,16,4,5
1424,-2.553890266544108,female,37.0,15.0,yes,4,12,4,2
1432,-0.7561797169997035,female,27.0,0.75,no,4,16,5,5
1433,2.4842938452021404,female,37.0,15.0,yes,4,16,1,5
1437,5.2638293821877475,female,32.0,15.0,yes,3,16,1,5
1438,3.462392058359521,female,27.0,10.0,yes,2,16,1,5
1439,-6.096211341021185,male,27.0,7.0,no,2,20,6,5
1446,2.4591032726484987,female,37.0,15.0,yes,2,14,1,3
1450,1.6933303577990189,male,27.0,1.5,yes,2,17,4,4
1451,2.820094250010599,female,22.0,0.75,yes,2,14,1,5
1452,6.782953642623605,male,22.0,4.0,yes,4,14,2,4
1453,-5.344551699908713,male,42.0,0.125,no,4,17,6,4
1456,-0.4923772760681304,male,27.0,1.5,yes,4,18,6,5
1464,3.4035412680882366,male,27.0,7.0,yes,3,16,6,3
1469,-3.757047606435681,female,52.0,15.0,yes,4,14,1,3
1473,6.320652883784534,male,27.0,1.5,no,5,20,5,2
1481,2.6700147095930884,female,27.0,1.5,no,2,16,5,5
1482,4.246257963531551,female,27.0,1.5,no,3,17,5,5
1496,-0.42593044916251066,male,22.0,0.125,no,5,16,4,4
1497,4.138081868071518,female,27.0,4.0,yes,4,16,1,5
1504,4.977602100686281,female,27.0,4.0,yes,4,12,1,5
1513,2.2234756163205303,female,47.0,15.0,yes,2,14,5,5
1515,2.2284950228550016,female,32.0,15.0,yes,3,14,5,3
1534,2.346961435515384,male,42.0,7.0,yes,2,16,5,5
1535,-1.389689699252406,male,22.0,0.75,no,4,16,6,4
1536,0.9696504927551328,male,27.0,0.125,no,3,20,6,5
1540,0.953190694963528,male,32.0,10.0,yes,3,20,6,5
1551,2.719577674422548,female,22.0,0.417,no,5,14,4,5
1555,4.751339732797732,female,47.0,15.0,yes,5,14,1,4
1557,-2.03304101325575,female,32.0,10.0,yes,3,14,1,5
1566,1.0438755335247722,male,57.0,15.0,yes,4,17,5,5
1567,6.338802373636797,male,27.0,4.0,yes,3,20,6,5
1576,-0.9949690483812406,female,32.0,7.0,yes,4,17,1,5
1584,-1.2542392624971268,female,37.0,10.0,yes,4,16,1,5
1585,2.1227104973956585,female,32.0,10.0,yes,1,18,1,4
1590,4.239010707216643,female,22.0,4.0,no,3,14,1,4
1594,1.4935672404339186,female,27.0,7.0,yes,4,14,3,2
1595,5.83617713493253,male,57.0,15.0,yes,5,18,5,2
1603,4.279910237243522,male,32.0,7.0,yes,2,18,5,5
1608,4.2305560285645765,female,27.0,1.5,no,4,17,1,3
1609,3.2822815678677424,male,22.0,1.5,no,4,14,5,5
1615,9.1278798268092,female,22.0,1.5,yes,4,14,5,4
1616,0.7796913934810156,female,32.0,7.0,yes,3,16,1,5
1617,-5.1477270859654425,female,47.0,15.0,yes,3,16,5,4
1620,6.743548761664666,female,22.0,0.75,no,3,16,1,5
1621,-0.05267608418871017,female,22.0,1.5,yes,2,14,5,5
1637,1.8114820821374558,female,27.0,4.0,yes,1,16,5,5
1638,5.77220184944558,male,52.0,15.0,yes,4,16,5,5
1650,-3.8251601651804408,male,32.0,10.0,yes,4,20,6,5
1654,-2.6695376597701617,male,47.0,15.0,yes,4,16,6,4
1665,-3.821924786623146,female,27.0,7.0,yes,2,14,1,2
1670,-1.161576074580588,female,22.0,1.5,no,4,14,4,5
1671,2.904954436834748,female,32.0,10.0,yes,2,16,5,4
1675,3.1836363444296047,female,22.0,0.75,no,2,16,5,4
1688,2.3665098862384992,female,22.0,1.5,no,2,16,5,5
1691,-3.20058676025374,female,42.0,15.0,yes,3,18,6,4
1695,-6.158222277261929,female,27.0,7.0,yes,5,14,4,5
1698,1.6350569022608377,male,42.0,15.0,yes,4,16,4,4
1704,-0.09907273829340846,female,57.0,15.0,yes,3,18,5,2
1705,2.9700479278249516,male,42.0,15.0,yes,3,18,6,2
1711,3.769554534426428,female,32.0,7.0,yes,2,14,1,2
1719,1.9115522679053782,male,22.0,4.0,no,5,12,4,5
1723,3.961314741307827,female,22.0,1.5,no,1,16,6,5
1726,2.211390306316349,female,22.0,0.75,no,1,14,4,5
1749,3.2030065558504357,female,32.0,15.0,yes,4,12,1,5
1752,-0.8667048460598732,male,22.0,1.5,no,2,18,5,3
1754,0.8639054115847363,male,27.0,4.0,yes,5,17,2,5
1758,2.1044832362609727,female,27.0,4.0,yes,4,12,1,5
1761,4.160378683416351,male,42.0,15.0,yes,5,18,5,4
1773,0.15813111657408196,male,32.0,1.5,no,2,20,7,3
1775,3.173680452575208,male,57.0,15.0,no,4,9,3,1
1786,0.5796989218633465,male,37.0,7.0,no,4,18,5,5
1793,1.0684864050041816,male,52.0,15.0,yes,2,17,5,4
1799,4.190011700593294,male,47.0,15.0,yes,4,17,6,5
1803,-5.113244466723895,female,27.0,7.0,no,2,17,5,4
1806,-2.817281782060236,female,27.0,7.0,yes,4,14,5,5
1807,-3.429394323498205,female,22.0,4.0,no,2,14,3,3
1808,-6.235720367881713,male,37.0,7.0,yes,2,20,6,5
1814,-0.7796610443323493,male,27.0,7.0,no,4,12,4,3
1815,3.92605009493335,male,42.0,10.0,yes,4,18,6,4
1818,0.5169254649592744,female,22.0,1.5,no,3,14,1,5
1827,2.1078253441257004,female,22.0,4.0,yes,2,14,1,3
1834,5.045980974305277,female,57.0,15.0,no,4,20,6,5
1835,5.8319765052643024,male,37.0,15.0,yes,4,14,4,3
1843,1.2280273459577695,female,27.0,7.0,yes,3,18,5,5
1846,5.917342421182443,female,17.5,10.0,no,4,14,4,5
1850,1.759557411661682,male,22.0,4.0,yes,4,16,5,5
1851,-1.3041679359783687,female,27.0,4.0,yes,2,16,1,4
1854,-0.5032439876918344,female,37.0,15.0,yes,2,14,5,1
1859,-3.423959578832545,female,22.0,1.5,no,5,14,1,4
1861,-1.4713931908783646,male,27.0,7.0,yes,2,20,5,4
1866,0.27587945199880126,male,27.0,4.0,yes,4,14,5,5
1873,4.104532845684229,male,22.0,0.125,no,1,16,3,5
1875,7.127585170552203,female,27.0,7.0,yes,4,14,1,4
1885,-3.0997803086459155,female,32.0,15.0,yes,5,16,5,3
1892,2.7506709479424427,male,32.0,10.0,yes,4,18,5,4
1895,-1.9737386911010617,female,32.0,15.0,yes,2,14,3,4
1896,3.020514214545691,female,22.0,1.5,no,3,17,5,5
1897,1.0238436226737924,male,27.0,4.0,yes,4,17,4,4
1899,-4.578781108222016,female,52.0,15.0,yes,5,14,1,5
