rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,consumer_credit,help,height,education,uuid,married,female,school,year
17,no,56,male,more,-0.9823852,4.0,upper,yes,no,27,41,17,1,N,175.0,20,840a40d4-fee9-48cc-a027-58628a5ca9e6,0.0,0.0,Lost Hills Union Elementary,1960
18,no,48,male,more,-0.054344,3.8,lower,yes,no,100,135,18,2,N,188.0,20,203a6897-eaef-44f2-ac30-f8e9d95fa886,0.0,1.0,Buttonwillow Union Elementary,1960
19,no,46,female,more,-0.0680143,4.3,upper,yes,yes,25,31,19,3,N,178.0,14,49ed1805-bfda-406e-af15-31507cb3c5ac,1.0,0.0,Lennox Elementary,1961
20,no,57,female,more,0.0294137,3.4,upper,yes,no,17,28,20,5,N,183.0,17,44e64898-8cc7-4234-86f8-f68036f35eac,1.0,0.0,Lamont Elementary,1963
21,no,52,female,more,0.2394859,3.4,upper,yes,no,19,22,21,1,N,180.0,12,f3976e86-1195-43c9-a4d9-901ec02d365d,1.0,0.0,Westmorland Union Elementary,1964
22,yes,29,female,more,-0.8487269,3.3,upper,no,yes,19,26,22,1,y,196.0,16,2a29612d-37ba-41fa-b45f-004677aa5908,0.0,0.0,Pleasant View Elementary,1964
23,no,62,male,more,-0.7330914,4.3,upper,yes,yes,30,39,23,1,N,178.0,20,471fa2d8-87bd-4cea-8ef6-6c24af87fbc7,0.0,0.0,Wasco Union Elementary,1964
24,no,64,female,more,-0.1111221,4.4,upper,yes,yes,15,24,24,4,N,187.0,18,6b74a260-9d07-49bc-9cfb-6fefbe9a718b,0.0,0.0,Alta Vista Elementary,1964
25,no,34,female,more,1.775517,4.6,upper,yes,yes,20,26,25,1,N,168.0,18,30a1bff8-ce7b-4ea8-bfd0-579a06f06269,1.0,0.0,Livingston Union Elementary,1965
26,no,58,male,more,-0.3218485,4.2,upper,yes,yes,84,159,26,1,N,170.0,14,485838c8-c7f2-4591-a8d8-7896e1327b7d,0.0,0.0,Woodlake Union Elementary,1966
27,yes,52,female,more,0.2116939,4.0,upper,no,yes,13,16,27,6,N,184.0,12,cc5900ac-23f3-4768-99c4-faf9c29e9382,1.0,0.0,Alisal Union Elementary,1966
28,no,73,female,more,-0.717645,3.3,upper,yes,yes,12,17,28,1,y,183.0,18,6b68642b-ac9e-40c0-90d9-91bd6ffd92a9,1.0,0.0,Arvin Union Elementary,1967
29,no,70,male,more,-0.7326927,4.4,upper,yes,yes,47,134,29,6,y,188.0,20,fa08b044-8623-4659-959e-63953534e08d,1.0,1.0,Terra Bella Union Elementary,1968
30,no,41,female,more,0.4081676,2.3,upper,yes,yes,10,12,30,1,N,191.0,14,de7bdd42-441a-4961-a547-2ccd7ccec379,1.0,0.0,Tipton Elementary,1969
31,no,63,male,more,-0.0102077,3.5,upper,yes,no,28,43,31,1,N,180.0,12,3657cc44-95b2-45ff-9e4f-a4cd22079a32,1.0,0.0,San Ysidro Elementary,1970
32,no,47,female,more,-0.923957,4.7,upper,yes,yes,10,15,32,1,N,181.0,12,c94dde40-5c1a-4071-8a82-d9c9e525ddbc,1.0,0.0,Soledad Unified,1971
33,no,39,female,more,0.5766805,3.9,lower,yes,yes,86,246,33,1,N,188.0,16,023c99b1-f32a-4d79-b5d7-197ac75591e2,0.0,0.0,Mountain View Elementary,1971
34,yes,47,male,more,-0.0836015,4.0,lower,yes,yes,21,21,34,2,N,185.0,20,4aa80c95-24fc-45e5-b3c4-102653f15325,0.0,0.0,King City Union Elementary,1971
35,no,54,male,more,-1.079558,4.3,upper,yes,yes,15,15,35,2,N,181.0,20,86fc00ec-2ecf-4b13-b031-7de5b98c4716,1.0,0.0,Ontario-Montclair Elementary,1972
36,yes,44,male,more,1.040902,3.8,upper,yes,yes,30,55,36,1,N,171.0,18,03f385b7-6b1b-4549-95f3-1d999b1df64a,0.0,1.0,Los Nietos Elementary,1974
37,yes,47,female,more,-1.052108,3.8,upper,yes,yes,20,27,37,1,N,176.0,16,100567eb-57a5-424e-86c1-4a02cc690c8d,0.0,0.0,Winton Elementary,1975
38,no,62,male,more,-0.7277681,4.0,upper,yes,yes,12,13,38,1,N,168.0,16,323a09e0-4da8-499c-b80f-5802dbf08cb5,1.0,0.0,Raisin City Elementary,1976
39,no,60,male,more,-0.3953965,4.6,upper,yes,yes,25,34,39,2,N,181.0,16,af2dd336-540d-4ded-ae2e-6d21383207fc,1.0,0.0,Ravenswood City Elementary,1977
40,no,37,female,more,0.9333959,3.5,upper,yes,yes,15,17,40,2,N,175.0,12,d5862d1f-db68-46d7-b717-dc2a7f78befe,0.0,0.0,Richland-Lerdo Union Elementary,1979
41,no,42,male,more,-0.2377786,4.7,upper,yes,yes,13,14,41,2,N,178.0,17,95165b45-dc58-4a62-bb78-afd606f1e34a,0.0,0.0,Oxnard Elementary,1979
42,no,35,female,more,0.274908,4.2,upper,yes,yes,42,51,42,1,N,177.0,17,71ebc1ad-ebc2-4c5d-bc77-e372bc1b0159,0.0,1.0,El Nido Elementary,1979
43,no,39,female,more,1.970023,3.4,lower,yes,no,22,24,43,2,N,179.0,16,2baf6ca8-ba5b-45f6-860e-359b139766f2,0.0,1.0,Fairfax Elementary,1980
44,no,49,female,more,1.05095,3.9,upper,yes,yes,28,45,44,1,y,181.0,12,a8d07b3c-a7d4-49c9-b2b9-07c268f706fc,0.0,0.0,Delano Union Elementary,1983
45,no,61,male,more,0.2418185,4.5,lower,yes,yes,22,27,45,1,N,184.0,20,026078fb-bbd3-403e-9003-57ef39309521,1.0,0.0,Perris Elementary,1984
46,no,33,female,more,1.349395,4.7,upper,yes,yes,30,31,46,4,N,178.0,17,27d0e742-13f8-4911-a1d6-42cbea5067e2,0.0,1.0,Valle Lindo Elementary,1985
47,no,58,male,more,0.1115635,3.5,upper,yes,yes,26,34,47,1,N,178.0,17,bdf3a343-8379-4a21-aa09-be0ea98c2e96,1.0,0.0,Alum Rock Union Elementary,1985
48,no,56,female,more,-0.2577254,3.7,upper,yes,yes,12,19,48,5,N,177.0,18,52655f97-f8e7-48eb-9269-d5ee71ad6db4,0.0,0.0,Edison Elementary,1985
49,no,50,male,more,-0.6562689,4.0,lower,yes,no,22,27,49,1,N,175.0,18,db4b8bab-f58d-4d9c-ab15-18335ea4b16e,1.0,0.0,Bakersfield City Elementary,1985
50,no,52,male,more,-0.6563948,4.1,upper,yes,yes,57,67,50,6,N,191.0,20,bdf3a343-8379-4a21-aa09-be0ea98c2e96,0.0,1.0,Franklin-McKinley Elementary,1985
51,no,33,male,more,0.7244775,4.4,upper,yes,yes,10,15,51,3,y,180.0,14,9ad793c8-00ee-4105-85c4-5e9513b219b5,1.0,0.0,Hawthorne Elementary,1985
52,no,57,female,more,0.6318343,4.2,upper,yes,yes,69,77,52,1,N,172.0,16,786e8403-6cca-47f4-810f-b94ae3880816,1.0,0.0,Chowchilla Elementary,1986
53,no,38,male,more,1.070944,4.5,upper,yes,yes,46,65,53,1,N,176.0,18,95ad60c1-7c93-4341-9da3-763bbed405b9,0.0,0.0,Salinas City Elementary,1986
54,no,34,male,more,-1.450494,3.8,lower,yes,yes,54,91,54,1,y,187.0,17,5a48e48b-30ca-48ad-a397-3ecf853bb5c9,1.0,0.0,Santa Maria-Bonita Elementary,1987
55,no,34,female,more,1.15588,3.1,upper,yes,yes,24,36,55,1,N,175.0,14,ee53e6ab-48ea-4636-8141-e636a103cbb5,1.0,1.0,Whittier City Elementary,1988
56,no,32,female,more,-0.3260148,3.7,lower,yes,yes,85,248,56,1,N,183.0,14,a5e829ad-603c-4eb6-b078-c82074eae0a3,0.0,0.0,Eastside Union Elementary,1989
57,no,42,female,more,0.8846435,3.9,lower,yes,yes,44,62,57,1,N,180.0,18,45b56b87-c43f-4c6f-baae-661bbb6e40c7,1.0,0.0,Lawndale Elementary,1989
58,no,43,female,more,-0.5583452,4.0,lower,yes,yes,35,51,58,6,N,188.0,17,4ba34db8-9baa-42a5-bed2-a6381f36d03e,1.0,0.0,Robla Elementary,1989
59,no,35,female,more,-0.3415543,3.3,upper,no,yes,11,19,59,2,N,184.0,16,db397e5a-8fad-4c15-bf93-e25495e0584e,1.0,0.0,Santa Rita Union Elementary,1991
60,no,62,male,more,-0.5040575,3.1,upper,yes,yes,22,27,60,1,N,189.0,18,afb433da-e4be-42f4-a386-41690af0783e,0.0,0.0,Rio Elementary,1992
61,no,42,female,more,-0.9005804,4.0,upper,yes,yes,45,86,61,2,N,190.0,16,7ddcdb33-a18f-47fd-8476-4e5b117b5f09,0.0,0.0,Strathmore Union Elementary,1993
62,no,39,female,more,0.6430142,4.3,upper,yes,yes,22,29,62,1,N,190.0,16,6111a8de-8e09-451b-b8a9-ff41d2c985e8,1.0,0.0,North Sacramento Elementary,1995
63,no,52,male,more,0.773524,3.7,upper,yes,yes,64,88,63,3,N,183.0,18,9e9c021a-b55a-4aeb-af94-847d6d457b62,1.0,0.0,Anaheim Elementary,1995
64,no,52,male,more,1.063938,3.4,upper,yes,yes,31,44,64,2,N,180.0,20,fd573d43-4bb4-408c-a8c5-790b562841e6,1.0,0.0,Lemoore Union Elementary,1996
65,no,52,male,more,-1.090389,4.3,upper,yes,no,59,75,65,1,N,193.0,20,db4b8bab-f58d-4d9c-ab15-18335ea4b16e,0.0,1.0,Armona Union Elementary,1996
66,no,64,female,more,-1.069162,3.7,upper,yes,yes,9,11,66,2,N,181.0,17,b502be75-8bea-4412-9b7d-813e7bba3685,0.0,0.0,Beardsley Elementary,1997
67,no,50,female,more,1.415695,4.2,upper,yes,yes,15,16,67,3,N,180.0,17,692642eb-92da-4af7-b9c5-d9e588a1cbf1,1.0,0.0,South Whittier Elementary,1998
68,no,60,female,more,-1.422919,2.2,upper,yes,yes,23,32,68,4,N,185.0,16,9bf41690-b2cc-4709-964d-7c21b856bbf8,1.0,0.0,Hanford Elementary,1998
69,no,51,male,more,0.3918222,3.0,upper,yes,yes,47,67,69,1,N,180.0,20,1566f86d-93ed-408b-a7b8-90d409419736,0.0,0.0,National Elementary,1998
70,no,43,female,more,-0.4899626,4.3,lower,yes,yes,19,22,70,1,N,191.0,14,036b67f1-2e0e-4bc3-9616-c53f4bdeebf6,0.0,1.0,Roseland Elementary,1999
71,yes,50,female,single,-0.5835869,4.6,lower,yes,no,17,24,71,2,N,185.0,14,1ab057fb-ac2e-4650-88bc-ede767006043,1.0,0.0,Di Giorgio Elementary,1999
72,no,52,female,more,0.7566829,3.5,upper,yes,yes,46,69,72,1,N,178.0,12,9ac5e209-cf05-47a5-a394-9c733e12d8f6,1.0,0.0,Keppel Union Elementary,1999
73,no,51,female,more,0.8808186,4.6,lower,yes,yes,348,574,73,2,N,190.0,14,14d4cd1a-7cba-4495-91d7-47fd9d0990e6,0.0,0.0,Lakeside Union Elementary,2002
74,no,38,male,more,-0.5665014,3.7,lower,yes,yes,44,87,74,1,N,179.0,14,4be26ab5-1d7e-44bf-bd62-0a66c914394a,1.0,0.0,Merced City Elementary,2003
75,no,47,male,more,0.3394037,3.8,lower,yes,yes,19,24,75,1,N,183.0,18,e726e53d-6183-4ec0-b300-896df7bca3c2,0.0,0.0,Guadalupe Union Elementary,2003
76,yes,43,female,more,-0.1513687,3.6,lower,yes,yes,47,103,76,1,N,,14,0fd5e38b-fd91-40c0-b154-d407eba53e1f,1.0,0.0,Cucamonga Elementary,2004
77,no,38,male,more,-1.024997,4.4,lower,yes,no,33,68,77,1,N,185.0,14,1807eb20-6d3a-4efc-a8c4-8901ef1fca5f,1.0,0.0,Knightsen Elementary,2004
78,no,43,male,more,-0.0252444,4.1,lower,yes,yes,10,13,78,4,N,183.0,14,a12939e3-640d-42c5-87ed-83c1358c4698,0.0,0.0,Rio Dell Elementary,2004
79,no,57,male,more,-0.7467875,4.3,upper,yes,yes,7,13,79,1,N,178.0,17,4a348423-fe96-4fcb-9b2d-f32161971b4d,0.0,0.0,Montague Elementary,2004
80,no,51,male,more,0.9889485,4.0,upper,yes,yes,9,11,80,5,N,194.0,17,b95563e8-9d70-4aee-8c29-b2d677981d92,1.0,0.0,McCloud Union Elementary,2004
81,no,45,male,single,-0.5324199,4.8,lower,yes,no,12,17,81,6,N,194.0,16,b8fe046e-0564-4ca6-909e-6177a1343917,0.0,1.0,Santa Paula Elementary,2004
82,no,57,male,more,-0.7668921,3.5,lower,yes,yes,13,14,82,2,N,186.0,16,3208209a-6dbd-4582-ba9a-63a144f479f2,0.0,,West Park Elementary,2005
83,no,47,male,more,1.154256,3.6,lower,yes,no,16,21,83,1,N,181.0,18,45e73d9d-cc89-4ee6-a6e2-ab4582ed166d,1.0,1.0,Atwater Elementary,2005
84,yes,54,female,more,1.232602,3.8,lower,yes,yes,18,18,84,1,N,186.0,14,ebe32dfe-f98a-490f-a017-f2872a47a1af,0.0,0.0,Weaver Union Elementary,2005
85,no,58,male,more,1.774334,4.7,lower,yes,no,16,17,85,1,N,193.0,14,54c3e853-e07a-4b15-ab2d-691a120c3b32,1.0,0.0,Pacific Union Elementary,2005
86,no,42,female,more,1.773151,4.9,lower,yes,yes,15,18,86,2,N,195.0,16,a28afe06-386d-4288-994d-28b51c745e3b,1.0,0.0,Lucerne Valley Unified,2005
87,no,33,male,more,0.7245926,4.3,lower,yes,yes,85,120,87,1,N,189.0,20,fb6a141a-25cb-4495-9b22-48bc79dbd24e,0.0,1.0,Romoland Elementary,2005
88,no,62,female,more,-1.181626,3.3,lower,yes,yes,11,38,88,6,y,171.0,14,023c99b1-f32a-4d79-b5d7-197ac75591e2,0.0,0.0,El Monte City Elementary,2007
89,yes,35,female,more,1.769452,3.4,lower,yes,yes,60,96,89,1,N,183.0,14,71ebc1ad-ebc2-4c5d-bc77-e372bc1b0159,0.0,0.0,Greenfield Union Elementary,2008
90,no,61,female,more,-0.5872612,3.6,lower,yes,yes,27,39,90,1,N,194.0,12,dcf4d35b-0244-403b-ac65-5593edf94d6c,0.0,0.0,Palo Verde Union Elementary,2008
91,no,52,male,more,-0.0018324,4.0,lower,yes,yes,61,111,91,1,N,191.0,14,e0080083-9f88-4396-bb69-13c375543c8c,1.0,0.0,Elverta Joint Elementary,2008
92,no,60,female,more,-0.0566766,3.9,upper,no,yes,23,27,92,3,N,181.0,17,b95563e8-9d70-4aee-8c29-b2d677981d92,1.0,0.0,Lucerne Elementary,2011
93,no,32,female,more,1.231394,4.3,lower,yes,yes,98,132,93,1,N,164.0,14,4ae8593c-1ba3-42b0-9e6e-deed9cdb2161,1.0,0.0,Luther Burbank Elementary,2012
94,yes,42,female,more,0.4203998,3.3,upper,no,yes,48,84,94,1,N,186.0,14,9b2ec410-aab7-47b8-a6d3-19e9c1e54d4b,0.0,0.0,Bangor Union Elementary,2012
95,yes,36,female,more,0.2899157,3.7,upper,yes,yes,86,125,1,1,N,184.0,18,8dbae56a-69d6-470e-837f-17b3df9f2ca8,1.0,0.0,Bayshore Elementary,1950
96,yes,36,male,more,0.2899157,3.6,upper,yes,yes,76,125,1,1,N,169.0,20,4aa80c95-24fc-45e5-b3c4-102653f15325,1.0,1.0,Oak Valley Union Elementary,1950
97,yes,36,male,more,0.2899157,4.4,upper,yes,yes,77,123,1,2,N,175.0,14,a1f22d02-0b2f-4c57-8736-0957dd153f8d,1.0,0.0,Wilsona Elementary,1952
98,no,59,male,more,-0.7377322,4.0,upper,yes,yes,35,40,2,1,N,178.0,18,c82105bb-8520-4727-b430-daec6fdef0dc,1.0,0.0,Brawley Elementary,1953
99,no,59,male,more,-0.7377322,2.1,upper,yes,yes,39,44,2,6,N,190.0,12,92549cea-1034-4ed8-8c3f-b94bbdd55d0e,0.0,0.0,Meadows Union Elementary,1953
100,no,51,male,more,-0.5719836,3.2,upper,yes,yes,111,195,3,6,N,174.0,17,fb6a141a-25cb-4495-9b22-48bc79dbd24e,0.0,0.0,Little Lake City Elementary,1954
101,no,40,female,more,-0.6779634,3.5,upper,yes,yes,24,27,4,1,N,180.0,14,b60fd095-b0c5-4946-ab0a-4901ce69f617,1.0,0.0,Pond Union Elementary,1954
102,no,40,female,more,-0.6779634,4.1,upper,yes,yes,24,25,4,1,N,184.0,12,9bd7345e-fc32-41f1-a8c6-ee371715652e,1.0,0.0,Taft City Elementary,1954
103,no,40,female,more,-0.6779634,4.6,upper,yes,yes,17,20,4,6,N,178.0,12,f01af761-d426-46f0-ac95-33b120cf9e23,0.0,0.0,Brittan Elementary,1955
104,no,40,female,more,-0.6779634,3.8,upper,yes,yes,14,25,4,2,N,175.0,12,2e174514-6907-4570-ab73-1d42a3521a95,1.0,0.0,Arena Union Elementary,1955
105,no,40,male,more,-0.6779634,3.8,upper,yes,yes,37,42,4,1,N,184.0,14,8e023aef-67dd-4d6b-bcf3-b12c776379b4,0.0,0.0,Adelanto Elementary,1955
106,no,40,female,more,-0.6779634,3.8,upper,yes,yes,18,20,4,1,y,174.0,12,b856a7a0-694d-44df-84e5-7df262774187,1.0,0.0,Hollister School District,1956
107,no,40,female,more,-0.6779634,4.2,upper,yes,yes,15,18,4,1,N,186.0,12,ba55d704-303e-4928-9c5a-9c2838360e3d,1.0,0.0,Palmdale Elementary,1957
108,no,31,female,more,1.509794,3.9,upper,yes,yes,40,44,5,3,N,171.0,18,76d25023-7920-4e91-a62e-db630eb472c5,0.0,0.0,Oroville City Elementary,1958
109,no,31,male,more,1.509794,4.5,upper,yes,yes,38,48,5,1,N,183.0,20,2ee3c271-be10-41d8-b778-9c5d7d5b6e52,0.0,1.0,Standard Elementary,1959
110,no,31,female,more,1.509794,4.5,upper,yes,yes,40,45,5,1,N,181.0,14,9294f017-a752-4e3f-9266-06922b940943,1.0,0.0,Briggs Elementary,1959
111,no,31,female,more,1.509794,4.4,upper,yes,yes,52,59,5,1,N,184.0,17,fc04e88b-4dcb-4ad4-8171-4e21fe5f259e,0.0,0.0,Monroe Elementary,1960
112,no,31,male,more,1.509794,4.4,upper,yes,yes,49,87,5,2,y,175.0,20,44593a98-060d-47ea-9a57-97e0c70027d0,1.0,0.0,Lancaster Elementary,1960
113,no,62,female,more,0.5885687,4.4,upper,yes,yes,160,292,6,6,y,182.0,17,c4d4c7b7-bbed-4695-b98c-0b5c48e29abe,0.0,1.0,Alview-Dairyland Union Elementary,1961
114,no,62,male,more,0.5885687,4.5,upper,yes,yes,79,130,6,5,N,185.0,20,5a48e48b-30ca-48ad-a397-3ecf853bb5c9,0.0,,Magnolia Elementary,1963
115,no,62,male,more,0.5885687,4.3,upper,yes,yes,176,285,6,1,N,186.0,18,cf8cc387-399a-46fe-9313-9f73def19457,1.0,0.0,Liberty Elementary,1964
116,no,62,male,more,0.5885687,4.6,upper,yes,yes,155,272,6,5,N,170.0,18,9bf41690-b2cc-4709-964d-7c21b856bbf8,1.0,0.0,Mt. Pleasant Elementary,1964
117,no,62,male,more,0.5885687,4.8,upper,yes,yes,166,286,6,1,N,175.0,20,9ac5e209-cf05-47a5-a394-9c733e12d8f6,0.0,0.0,El Centro Elementary,1964
118,no,62,female,more,0.5885687,4.3,upper,yes,yes,186,302,6,1,N,187.0,16,e7ea4b52-7611-4c90-905a-fd388cea9c0a,1.0,1.0,South Bay Union Elementary,1964
119,no,33,male,more,-0.126001,4.0,upper,yes,yes,29,34,7,1,N,180.0,18,0ea68c5a-057a-46c5-afda-4dbf75e4c5c4,1.0,0.0,Cascade Union Elementary,1965
120,no,33,male,more,-0.126001,4.0,upper,yes,yes,37,41,7,4,N,179.0,20,ebe32dfe-f98a-490f-a017-f2872a47a1af,1.0,0.0,Kings River Union Elementary,1966
121,no,33,male,more,-0.126001,3.9,upper,yes,yes,29,41,7,1,N,175.0,18,14bf8206-4d05-43c0-84e6-984bbe11a47f,1.0,0.0,Gerber Union Elementary,1966
122,no,33,male,more,-0.126001,3.3,upper,yes,yes,28,34,7,6,N,186.0,14,fc04e88b-4dcb-4ad4-8171-4e21fe5f259e,1.0,0.0,Exeter Union Elementary,1967
123,no,51,female,more,-0.2581899,4.5,upper,yes,yes,21,22,8,1,N,181.0,14,5d7f8090-1b2b-425d-acdf-31cf8ff2f527,0.0,1.0,American Union Elementary,1968
124,no,51,male,more,-0.2581899,4.5,upper,yes,yes,13,21,8,2,N,193.0,14,bafce4bd-e4e4-4d73-8424-2a9343c52f7f,1.0,0.0,San Antonio Union Elementary,1969
125,no,51,male,more,-0.2581899,4.5,upper,yes,yes,16,17,8,2,N,182.0,16,8e023aef-67dd-4d6b-bcf3-b12c776379b4,1.0,0.0,Burton Elementary,1970
126,no,51,male,more,-0.2581899,2.5,lower,yes,yes,24,30,8,6,N,176.0,18,e1937dac-e29c-4679-b93e-9d6284fd9da1,0.0,1.0,Nuview Union Elementary,1971
127,no,51,female,more,-0.2581899,4.3,upper,yes,yes,23,23,8,1,N,166.0,16,4b19d929-d5f9-41df-a9d5-4176d450e799,1.0,0.0,Bellevue Union Elementary,1971
128,no,51,male,more,-0.2581899,4.5,upper,yes,yes,20,20,8,2,y,178.0,18,6487b006-6591-4302-b387-45b630b259e6,1.0,1.0,Garvey Elementary,1971
129,no,33,male,more,0.1496926,4.7,upper,yes,yes,29,33,9,6,N,175.0,18,44593a98-060d-47ea-9a57-97e0c70027d0,1.0,0.0,Corning Union Elementary,1972
130,no,33,female,more,0.1496926,3.5,upper,yes,yes,11,44,9,5,N,182.0,16,9841a311-d989-42d7-9ea6-f5d4e981c98a,1.0,0.0,Jefferson Elementary,1974
131,no,33,female,more,0.1496926,4.5,upper,yes,yes,29,49,9,1,N,182.0,12,ac03d866-ecd8-41e4-9938-c4b098048187,1.0,0.0,Big Springs Union Elementary,1975
132,no,33,male,more,0.1496926,3.8,upper,yes,yes,25,29,9,2,N,186.0,17,aea24408-032f-4620-986e-f97f5f47c28a,1.0,0.0,General Shafter Elementary,1976
133,no,33,female,more,0.1496926,4.5,upper,yes,yes,42,48,9,5,N,194.0,16,eba4f35d-64b0-4b8d-a3cb-fe43c8fc6e77,1.0,0.0,Turlock Joint Elementary,1977
134,no,33,male,more,0.1496926,4.3,upper,yes,yes,34,40,9,2,N,178.0,20,bafce4bd-e4e4-4d73-8424-2a9343c52f7f,1.0,1.0,Twain Harte-Long Barn Union Elementary,1979
135,no,47,female,more,0.540917,3.9,upper,yes,no,12,16,10,1,y,182.0,17,100567eb-57a5-424e-86c1-4a02cc690c8d,1.0,0.0,Redwood City Elementary,1979
136,no,47,male,more,0.540917,4.3,upper,yes,no,14,15,10,1,N,183.0,17,5013da82-22c7-47fd-a245-d7131d2fab50,0.0,0.0,Camino Union Elementary,1979
137,no,47,male,more,0.540917,4.2,upper,yes,no,22,23,10,6,N,181.0,16,a75e076f-3028-44a1-af60-ca3b3bcaeed0,0.0,0.0,Plainsburg Union Elementary,1980
138,no,47,male,more,0.540917,5.0,lower,yes,no,10,11,10,2,y,190.0,16,606ec9ab-33fe-4f7e-9330-c0c5d30928c1,1.0,0.0,Banta Elementary,1983
139,no,47,female,more,0.540917,5.0,lower,yes,no,17,29,10,6,N,188.0,14,790f5896-c569-4e73-b88b-b931b27dc799,0.0,0.0,Washington Colony Elementary,1984
140,no,47,female,more,0.540917,4.6,upper,yes,no,16,21,10,2,N,184.0,16,18ff52ad-d2e9-4d03-b775-d01403f19b51,1.0,0.0,Rio Linda Union Elementary,1985
141,no,47,female,more,0.540917,5.0,lower,yes,no,15,18,10,1,N,182.0,17,05a92b52-f72a-42f9-936c-9258bf385bf3,0.0,1.0,Chatom Union Elementary,1985
142,no,47,female,more,0.540917,4.7,upper,yes,no,16,19,10,1,N,177.0,14,3b9eb1ad-94e8-4ece-9e83-bdaec18ce17d,1.0,0.0,Merced River Union Elementary,1985
143,no,47,male,more,0.540917,5.0,lower,yes,no,16,20,10,1,N,183.0,14,c6117094-afdd-4f97-9496-9df675e1485d,0.0,1.0,Hueneme Elementary,1985
144,yes,35,female,more,0.2316134,2.7,upper,no,yes,30,33,11,1,N,183.0,14,a75e076f-3028-44a1-af60-ca3b3bcaeed0,1.0,0.0,Cuddeback Union Elementary,1985
145,yes,35,male,more,0.2316134,4.0,upper,no,yes,23,24,11,3,N,177.0,14,11db0111-539a-45d2-8e6f-8e0a3bb6cf36,1.0,,Blue Lake Union Elementary,1985
146,no,37,male,more,-0.0666737,4.4,upper,yes,no,13,21,12,1,N,188.0,18,0939d037-9073-4b45-beef-4b1a9cb29fc6,1.0,0.0,Lemon Grove Elementary,1986
147,no,37,male,more,-0.0666737,4.4,upper,yes,no,24,30,12,1,N,187.0,20,314782d8-515f-44b4-ba28-8365f8811ae1,1.0,0.0,Upper Lake Union Elementary,1986
