y,gender,age,majority_first,culture,ndam,eval,language,female,category,dist_focal,name,sockets
1,female,21.0,0,1,2130.0,4.2,English,0.0,3,229,Allen,4
1,female,37.0,0,1,10400.0,5.0,Standard_Hindi,0.0,3,181,Alicia,8
2,male,18.0,1,1,410.0,5.0,Dutch,0.0,2,185,Diana,11
2,male,19.0,1,1,130.0,4.6,English,0.0,1,207,Bob,8
1,female,52.0,1,1,160.0,5.0,English,1.0,1,126,Danny,12
2,female,17.0,1,1,4180.0,4.7,English,0.0,3,501,Elena,8
3,male,41.0,0,3,3020.0,5.0,English,1.0,3,404,Gloria,6
3,male,21.0,0,3,4730.0,2.7,English,0.0,1,186,Juan,5
2,male,,1,3,1310.0,4.0,,,2,528,Kate,8
3,male,26.0,0,3,6.0,4.4,English,0.0,1,469,Bonnie,12
3,male,42.0,0,3,58.0,4.4,English,0.0,1,264,Charley,12
2,female,40.0,1,3,1.0,4.3,English,0.0,1,324,Floyd,4
2,female,33.0,0,3,4.0,3.5,German,0.0,1,205,Florence,4
2,male,16.0,0,3,290.0,3.8,English,0.0,1,174,Chantal,8
2,male,18.0,1,3,20020.0,3.9,English,0.0,4,258,Hugo,12
3,male,23.0,0,3,230.0,3.7,English,1.0,1,72,Jerry,8
3,male,21.0,0,3,3620.0,3.3,,0.0,2,497,Bob,12
2,male,39.0,1,3,66730.0,4.0,English,0.0,5,239,Andrew,12
2,male,21.0,0,3,96.0,3.8,English,,3,290,Emily,10
3,male,45.0,0,3,1650.0,4.2,English,0.0,2,584,Erin,12
2,female,58.0,1,3,7550.0,3.1,English,1.0,3,262,Opal,8
2,female,45.0,1,3,700.0,3.6,English,1.0,2,303,Bertha,12
2,male,35.0,1,3,8260.0,3.3,German,1.0,3,343,Fran,7
3,male,24.0,0,3,200.0,2.9,English,0.0,1,591,Danny,6
3,female,,0,3,1650.0,3.1,,0.0,2,579,Bonnie,6
3,female,18.0,0,3,160.0,4.0,English,0.0,1,242,Earl,8
2,male,60.0,0,3,3870.0,4.0,Spanish,0.0,2,335,Georges,8
2,female,64.0,0,3,94.0,4.2,English,1.0,3,308,Bret,12
2,female,,1,3,8130.0,3.8,,0.0,2,390,Floyd,8
2,female,,1,3,1430.0,4.3,,0.0,1,88,Irene,8
2,female,38.0,1,3,1260.0,4.6,Spanish,0.0,1,373,Lili,12
2,female,37.0,0,3,250.0,4.3,Standard_Hindi,0.0,1,328,Claudette,12
3,male,24.0,0,3,4980.0,3.6,English,1.0,2,259,Isabel,12
2,male,32.0,1,3,5.0,4.2,English,1.0,1,259,Alex,11
3,male,50.0,0,3,20510.0,3.9,English,0.0,4,388,Charley,12
2,female,16.0,1,3,12620.0,4.1,English,0.0,2,252,Frances,12
1,female,25.0,0,3,170.0,4.0,Italian,0.0,1,578,Gaston,8
2,female,20.0,1,3,18590.0,4.3,English,0.0,3,535,Ivan,8
1,female,,0,3,10210.0,3.9,,0.0,3,538,Jeanne,12
3,male,21.0,0,3,350.0,4.2,English,0.0,1,749,Cindy,12
1,female,19.0,0,3,2650.0,4.2,German,1.0,3,403,Dennis,12
2,female,50.0,1,3,,4.9,English,1.0,3,241,Katrina,12
2,female,45.0,0,3,91.0,4.0,English,0.0,1,256,Ophelia,12
2,female,25.0,0,3,10690.0,4.3,English,0.0,3,441,Rita,12
2,female,28.0,1,3,25960.0,4.9,English,0.0,3,185,Wilma,6
3,male,32.0,0,3,51.0,3.9,English,1.0,1,411,Humberto,12
2,female,18.0,0,3,1110.0,4.9,English,0.0,1,426,Dolly,8
2,female,22.0,1,3,4360.0,3.9,Korean,0.0,2,256,Gustav,12
1,female,30.0,1,3,20370.0,4.0,Indonesian,0.0,2,411,Ike,12
2,female,21.0,1,3,7110.0,3.5,Chinese,0.0,1,299,Irene,7
2,male,32.0,1,3,24000.0,3.9,English,0.0,1,461,Isaac,12
3,male,22.0,0,3,75000.0,4.0,Other,0.0,2,410,Sandy,8
2,male,21.0,0,3,1590.0,3.6,English,0.0,3,228,Easy,8
1,male,52.0,0,3,5350.0,3.0,Portuguese,0.0,3,257,King,12
1,male,20.0,1,3,150.0,3.0,Chinese,0.0,1,516,Able,10
3,female,24.0,0,3,58.0,3.6,English,0.0,1,511,Barbara,6
2,male,,1,3,15.0,3.6,,1.0,1,500,Florence,12
1,male,37.0,1,3,19321.0,3.2,Standard_Hindi,0.0,3,616,Carol,8
2,female,22.0,1,3,3230.0,3.9,English,0.0,3,229,Edna,12
3,male,45.0,0,3,24260.0,3.5,English,1.0,4,181,Hazel,8
2,male,27.0,1,3,2030.0,3.5,English,0.0,3,185,Connie,4
1,female,33.0,0,3,14730.0,3.1,English,0.0,1,207,Diane,8
2,male,49.0,0,3,6200.0,4.2,English,0.0,3,126,Ione,12
2,female,18.0,1,3,1540.0,3.6,English,0.0,2,501,Flossy,8
3,male,22.0,0,3,,4.5,English,0.0,4,404,Audrey,8
3,male,23.0,0,3,540.0,3.7,English,0.0,3,186,Helene,4
2,female,31.0,1,3,430.0,3.4,English,0.0,1,528,Debra,8
2,male,33.0,1,3,510.0,4.5,English,0.0,3,469,Gracie,12
2,female,33.0,1,3,53270.0,4.6,German,0.0,4,264,Donna,5
2,female,24.0,1,3,35.0,4.8,English,0.0,1,324,Ethel,12
2,female,40.0,1,3,15850.0,4.5,German,0.0,4,205,Carla,10
2,female,25.0,0,3,300.0,4.4,English,1.0,1,174,Cindy,12
3,female,21.0,0,3,6450.0,4.1,English,1.0,2,258,Cleo,4
2,female,20.0,1,3,16260.0,3.9,English,0.0,2,72,Dora,12
2,female,39.0,1,3,2770.0,4.3,English,0.0,3,497,Hilda,12
3,male,25.0,0,3,800.0,3.5,English,1.0,2,239,Isbell,8
1,male,40.0,0,3,20000.0,4.0,English,0.0,3,290,Betsy,6
3,male,25.0,0,3,730.0,4.0,English,0.0,2,584,Alma,4
2,female,60.0,1,3,99.0,4.6,English,0.0,1,262,Inez,6
1,male,,1,3,5060.0,4.6,,0.0,3,303,Beulah,8
2,male,44.0,1,3,800.0,3.7,English,0.0,2,343,Gladys,12
3,male,21.0,1,3,23040.0,3.5,English,0.0,5,591,Camille,8
2,female,33.0,1,3,6870.0,3.6,English,0.0,3,579,Celia,6
3,male,26.0,0,3,300.0,3.9,English,1.0,2,242,Edith,12
2,female,26.0,1,3,500.0,4.2,English,0.0,1,335,Fern,12
2,male,,1,3,200.0,3.2,,1.0,1,308,Ginger,8
1,female,,0,3,20430.0,4.9,,0.0,1,390,Agnes,12
2,male,19.0,1,3,1180.0,4.0,English,0.0,3,88,Carmen,11
3,female,22.0,1,3,6190.0,3.5,English,,3,373,Eloise,8
1,female,27.0,0,3,570.0,3.4,Romanian,1.0,1,328,Belle,12
2,female,,1,3,66.0,4.2,,1.0,1,259,Babe,12
3,male,47.0,0,3,70.0,3.5,Romanian,0.0,1,259,Bob,12
2,male,32.0,1,3,2700.0,4.4,English,0.0,2,388,David,6
3,male,57.0,0,3,12770.0,3.7,French,0.0,3,252,Frederic,6
3,female,20.0,0,3,2130.0,3.4,,0.0,3,578,Allen,12
1,female,19.0,1,3,10400.0,3.0,English,0.0,3,535,Alicia,9
2,female,21.0,1,3,410.0,3.9,English,0.0,2,538,Diana,12
3,male,16.0,0,3,130.0,2.8,English,0.0,1,749,Bob,6
3,male,33.0,0,3,160.0,3.7,Standard_Hindi,1.0,1,403,Danny,12
2,male,19.0,1,3,4180.0,4.6,Chinese,0.0,3,241,Elena,12
3,female,21.0,0,3,3020.0,4.2,English,0.0,3,256,Gloria,8
3,female,44.0,0,3,4730.0,4.4,English,0.0,1,441,Juan,12
2,male,15.0,1,3,1310.0,3.8,English,0.0,2,185,Kate,11
2,female,55.0,1,3,6.0,4.1,English,0.0,1,411,Bonnie,12
2,male,51.0,0,3,58.0,3.7,English,0.0,1,426,Charley,12
2,female,14.0,1,3,1.0,4.1,English,0.0,1,256,Floyd,6
3,male,43.0,0,3,4.0,3.0,English,0.0,1,411,Florence,8
2,male,,0,3,290.0,3.2,,0.0,1,299,Chantal,8
3,female,13.0,0,3,20020.0,2.8,English,0.0,4,461,Hugo,8
3,male,15.0,0,3,230.0,4.7,English,0.0,1,410,Jerry,10
2,female,43.0,1,3,3620.0,4.2,English,1.0,2,228,Bob,8
2,female,16.0,0,3,66730.0,3.2,English,0.0,5,257,Andrew,12
3,female,37.0,0,3,96.0,3.1,English,0.0,3,516,Emily,8
2,male,18.0,1,3,1650.0,4.0,Portuguese,0.0,2,511,Erin,11
2,female,,1,3,7550.0,4.2,,0.0,3,500,Opal,12
3,male,26.0,0,3,700.0,4.3,English,0.0,2,616,Bertha,6
2,male,19.0,1,3,8260.0,3.3,English,0.0,3,229,Fran,12
1,female,23.0,1,3,200.0,4.1,German,0.0,1,181,Danny,6
2,male,41.0,0,3,1650.0,3.7,English,1.0,2,185,Bonnie,11
3,female,18.0,1,3,160.0,3.3,Dutch,0.0,1,207,Earl,12
2,female,24.0,0,6,3870.0,3.8,English,0.0,2,126,Georges,6
1,male,21.0,1,6,94.0,3.4,English,0.0,3,501,Bret,8
3,male,39.0,1,6,8130.0,4.2,English,0.0,2,404,Floyd,12
2,female,28.0,0,6,1430.0,3.8,English,0.0,1,186,Irene,8
2,female,22.0,0,6,1260.0,3.5,English,1.0,1,528,Lili,6
3,male,27.0,0,6,250.0,3.3,,0.0,1,469,Claudette,12
2,male,23.0,0,6,4980.0,4.3,English,0.0,2,264,Isabel,12
2,female,17.0,1,6,5.0,4.1,English,0.0,1,324,Alex,6
3,female,35.0,0,6,20510.0,4.5,Spanish,1.0,4,205,Charley,8
3,male,35.0,1,6,12620.0,4.5,English,0.0,2,174,Frances,12
2,female,18.0,1,6,170.0,4.6,Chinese,0.0,1,258,Gaston,12
2,female,26.0,1,6,18590.0,4.4,English,0.0,3,72,Ivan,12
2,male,,0,6,10210.0,4.1,,0.0,3,497,Jeanne,12
1,female,21.0,0,6,350.0,4.5,Dutch,0.0,1,239,Cindy,6
2,male,17.0,0,6,2650.0,4.3,Chinese,1.0,3,290,Dennis,12
3,male,39.0,1,6,,4.4,English,1.0,3,584,Katrina,3
3,female,,0,6,91.0,4.9,,0.0,1,262,Ophelia,8
3,male,27.0,0,6,10690.0,4.7,English,0.0,3,303,Rita,6
2,female,21.0,0,6,25960.0,4.6,English,0.0,3,343,Wilma,8
3,female,18.0,0,6,51.0,4.8,Turkish,0.0,1,591,Humberto,7
2,male,27.0,0,6,1110.0,4.2,English,0.0,1,579,Dolly,12
3,female,24.0,1,6,4360.0,4.6,English,0.0,2,242,Gustav,12
1,male,19.0,1,6,20370.0,4.7,English,0.0,2,335,Ike,12
2,male,22.0,0,6,7110.0,4.6,Dutch,0.0,1,308,Irene,6
2,male,40.0,1,6,24000.0,3.6,English,0.0,1,390,Isaac,12
2,female,,1,6,75000.0,3.9,,0.0,2,88,Sandy,4
2,female,25.0,0,6,1590.0,4.0,English,0.0,3,373,Easy,6
2,female,38.0,1,6,5350.0,4.4,English,0.0,3,328,King,6
2,female,31.0,1,6,150.0,4.5,,0.0,1,259,Able,6
3,male,16.0,0,6,58.0,4.4,German,0.0,1,259,Barbara,8
1,male,34.0,1,6,15.0,3.0,English,0.0,1,388,Florence,12
3,male,20.0,0,6,19321.0,3.7,English,0.0,3,252,Carol,12
3,female,49.0,0,6,3230.0,3.6,English,0.0,3,578,Edna,8
2,female,44.0,1,6,24260.0,3.1,English,0.0,4,535,Hazel,8
2,female,27.0,1,6,2030.0,3.8,English,0.0,3,538,Connie,12
2,male,47.0,0,6,14730.0,4.7,English,0.0,1,749,Diane,6
1,male,28.0,1,6,6200.0,3.8,English,0.0,3,403,Ione,4
2,female,23.0,1,6,1540.0,3.8,English,0.0,2,241,Flossy,7
2,female,25.0,0,6,,2.8,Indonesian,0.0,4,256,Audrey,12
2,male,19.0,1,6,540.0,4.0,English,0.0,3,441,Helene,8
2,female,21.0,1,6,430.0,4.0,English,0.0,1,185,Debra,12
3,female,22.0,1,6,510.0,3.5,English,0.0,3,411,Gracie,6
3,male,24.0,1,6,53270.0,3.4,,0.0,4,426,Donna,8
2,male,27.0,0,6,35.0,4.0,English,0.0,1,256,Ethel,6
3,female,19.0,1,6,15850.0,3.5,English,0.0,4,411,Carla,8
3,male,32.0,1,6,300.0,3.8,English,0.0,1,299,Cindy,8
1,male,25.0,0,6,6450.0,4.7,English,0.0,2,461,Cleo,12
2,male,24.0,1,6,16260.0,3.9,English,0.0,2,410,Dora,8
2,female,18.0,1,6,2770.0,4.5,Portuguese,0.0,3,228,Hilda,8
1,female,,0,6,800.0,4.2,Spanish,0.0,2,257,Isbell,8
1,male,27.0,1,6,20000.0,4.7,English,0.0,3,516,Betsy,8
3,female,20.0,0,6,730.0,4.0,English,0.0,2,511,Alma,11
2,male,49.0,1,6,99.0,4.8,English,0.0,1,500,Inez,12
3,male,49.0,1,6,5060.0,4.8,English,0.0,3,616,Beulah,12
1,female,49.0,1,6,800.0,4.4,English,0.0,2,229,Gladys,12
3,female,24.0,0,6,23040.0,4.7,English,0.0,5,181,Camille,12
1,male,22.0,0,6,6870.0,4.5,Swedish,1.0,3,185,Celia,8
2,male,19.0,1,6,300.0,4.2,German,1.0,2,207,Edith,11
1,female,24.0,0,6,500.0,4.4,English,1.0,1,126,Fern,6
1,male,49.0,0,6,200.0,4.1,English,0.0,1,501,Ginger,12
2,female,24.0,0,6,20430.0,4.2,English,0.0,1,404,Agnes,8
1,male,28.0,1,6,1180.0,4.8,English,0.0,3,186,Carmen,12
2,female,31.0,0,6,6190.0,4.4,English,0.0,3,528,Eloise,11
1,male,58.0,1,6,570.0,4.7,English,0.0,1,469,Belle,12
2,female,,0,6,66.0,4.2,,0.0,1,264,Babe,12
2,female,39.0,1,6,70.0,4.5,English,0.0,1,324,Bob,6
1,male,22.0,0,6,2700.0,3.4,English,0.0,2,205,David,4
2,female,16.0,0,6,12770.0,3.7,English,0.0,3,174,Frederic,8
1,female,39.0,1,6,2130.0,3.6,English,1.0,3,258,Allen,8
3,male,28.0,0,4,10400.0,3.9,English,0.0,3,72,Alicia,8
2,male,20.0,0,4,410.0,3.9,English,1.0,2,497,Diana,4
2,female,20.0,1,4,130.0,3.7,English,0.0,1,239,Bob,12
1,female,22.0,0,4,160.0,3.0,Korean,0.0,1,290,Danny,12
2,male,21.0,1,4,4180.0,3.6,Chinese,0.0,3,584,Elena,8
1,male,22.0,1,4,3020.0,3.6,English,0.0,3,262,Gloria,4
1,female,30.0,0,4,4730.0,4.3,English,1.0,1,303,Juan,4
2,female,25.0,0,4,1310.0,4.5,Russian,0.0,2,343,Kate,12
3,female,28.0,0,4,6.0,3.9,English,1.0,1,591,Bonnie,8
3,male,31.0,1,4,58.0,4.6,English,0.0,1,579,Charley,6
3,female,50.0,1,4,1.0,4.1,English,1.0,1,242,Floyd,6
1,female,20.0,1,4,4.0,4.2,Chinese,1.0,1,335,Florence,12
3,female,22.0,1,4,290.0,4.1,Swedish,0.0,1,308,Chantal,6
1,female,29.0,0,4,20020.0,3.1,Other,0.0,4,390,Hugo,12
3,female,33.0,0,4,230.0,3.6,German,0.0,1,88,Jerry,11
1,male,39.0,0,4,3620.0,4.2,English,1.0,2,373,Bob,8
3,female,28.0,1,4,66730.0,3.0,English,0.0,5,328,Andrew,8
1,male,39.0,0,4,96.0,4.2,English,0.0,3,259,Emily,12
1,female,22.0,0,4,1650.0,3.4,English,0.0,2,259,Erin,12
1,male,39.0,0,4,7550.0,3.1,English,0.0,3,388,Opal,12
3,male,30.0,0,4,700.0,2.7,English,0.0,2,252,Bertha,12
1,male,22.0,0,4,8260.0,3.9,Dutch,0.0,3,578,Fran,8
3,male,21.0,0,4,200.0,3.9,Dutch,0.0,1,535,Danny,4
2,female,19.0,0,4,1650.0,3.6,English,0.0,2,538,Bonnie,12
2,male,18.0,1,4,160.0,3.7,Other,1.0,1,749,Earl,12
1,female,,1,4,3870.0,3.6,,0.0,2,403,Georges,6
2,female,,1,4,94.0,4.4,Spanish,0.0,3,241,Bret,4
1,male,16.0,1,4,8130.0,4.3,English,0.0,2,256,Floyd,12
3,female,27.0,1,4,1430.0,4.1,English,0.0,1,441,Irene,8
1,female,28.0,1,4,1260.0,3.7,English,0.0,1,185,Lili,12
2,female,22.0,0,4,250.0,3.6,Other,0.0,1,411,Claudette,12
3,female,44.0,1,4,4980.0,2.8,English,0.0,2,426,Isabel,12
2,male,,0,4,5.0,4.0,,0.0,1,256,Alex,12
1,male,28.0,1,4,20510.0,4.4,German,0.0,4,411,Charley,12
3,male,18.0,0,4,12620.0,3.6,Turkish,0.0,2,299,Frances,4
3,male,21.0,0,4,170.0,3.7,English,0.0,1,461,Gaston,8
1,female,27.0,0,4,18590.0,2.9,,0.0,3,410,Ivan,12
2,female,33.0,1,4,10210.0,2.6,German,1.0,3,228,Jeanne,12
2,female,16.0,1,4,350.0,4.8,English,0.0,1,257,Cindy,10
1,male,39.0,0,4,2650.0,4.9,English,0.0,3,516,Dennis,12
2,male,17.0,1,4,,4.3,English,0.0,3,511,Katrina,12
2,female,,1,4,91.0,4.4,,0.0,1,500,Ophelia,12
2,female,41.0,0,4,10690.0,4.3,English,1.0,3,616,Rita,12
3,female,27.0,0,4,25960.0,4.7,English,0.0,3,229,Wilma,10
1,female,21.0,1,4,51.0,4.3,English,0.0,1,181,Humberto,12
2,female,25.0,1,4,1110.0,4.6,English,0.0,1,185,Dolly,12
3,male,52.0,1,4,4360.0,4.9,Portuguese,0.0,2,207,Gustav,12
3,male,48.0,0,4,20370.0,4.8,English,1.0,2,126,Ike,10
1,female,39.0,1,4,7110.0,4.7,English,0.0,1,501,Irene,8
