rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,m_focal,num_words,income,county,nExp,leagueCountry,n_focal,dyad,help
1566,0,male,13,0.75,yes,4,16,4,4,4,106,10.65600014,Stanislaus,3011.0,Germany,13,4,N
155,0,male,7,1.5,yes,4,16,4,1,2,106,11.56920052,Kern,46916.0,Germany,10,3,N
666,0,male,13,15.0,yes,3,12,1,3,3,145,11.42599964,San Joaquin,46916.0,Germany,10,5,N
1674,0,female,6,4.0,no,3,14,1,3,3,324,12.34300041,Kings,3011.0,England,5,8,y
137,0,female,9,10.0,yes,1,14,5,4,2,166,35.81000137,Los Angeles,7974.0,France,10,1,N
859,0,male,9,4.0,no,4,14,5,5,3,324,14.55799961,San Diego,692.0,England,10,4,N
252,0,male,10,0.417,yes,5,18,4,4,2,324,10.09799957,San Diego,3351.0,England,5,8,N
532,0,male,7,15.0,yes,2,20,7,2,2,106,11.93799973,Kern,4238.0,France,5,4,N
324,7,female,12,15.0,yes,1,17,5,4,3,145,8.864999771,Tehama,348.0,England,10,1,N
436,0,female,13,1.5,yes,3,9,7,4,3,106,14.03425026,Tulare,46916.0,Germany,5,1,N
1089,0,female,10,15.0,no,3,18,5,5,2,324,11.42599964,San Diego,1897.0,France,5,5,N
1103,7,female,5,1.5,yes,2,16,5,5,2,324,11.23799992,Los Angeles,7974.0,Germany,10,1,N
512,0,male,4,4.0,yes,3,17,6,5,3,120,11.17599964,San Diego,7974.0,Germany,13,7,N
1445,0,female,10,4.0,yes,5,14,7,4,2,324,19.70700073,Tulare,119.0,France,5,7,N
1856,0,female,8,15.0,yes,1,14,3,1,2,166,12.2159996,San Joaquin,598.0,England,5,3,N
1515,3,female,5,15.0,yes,2,12,6,4,4,383,15.51900005,Los Angeles,170.0,England,5,3,N
947,0,female,13,15.0,no,2,20,5,4,4,106,7.40500021,Los Angeles,1895.0,France,5,6,N
788,12,male,12,15.0,yes,4,18,3,2,2,166,20.73905563,Calaveras,46916.0,Spain,10,4,N
671,0,female,5,15.0,yes,2,12,4,5,2,324,9.854000092,Santa Cruz,46916.0,Germany,10,2,N
908,0,male,5,15.0,yes,3,16,5,5,2,145,12.39400005,Kern,7974.0,England,13,5,y
384,0,female,7,15.0,no,2,16,4,3,2,106,10.55099964,Los Angeles,3011.0,France,5,1,N
843,0,female,13,15.0,yes,4,20,5,5,2,106,28.71699905,Los Angeles,46916.0,England,5,3,N
1416,2,male,8,15.0,yes,2,12,4,3,3,106,17.70899963,Kern,1365.0,Germany,10,4,N
1075,0,male,5,15.0,yes,5,20,6,5,2,166,11.11600018,Tuolumne,3011.0,Germany,10,7,N
1236,7,male,6,15.0,no,4,16,6,5,3,145,18.6201992,Stanislaus,7974.0,England,10,4,N
370,0,female,9,4.0,no,3,14,1,5,3,106,17.43519974,Siskiyou,3351.0,Germany,13,7,N
1550,0,female,12,15.0,no,4,14,6,2,4,120,13.76200008,Lassen,1897.0,England,10,5,N
1840,0,male,13,4.0,no,5,14,5,5,4,145,18.59300041,San Bernardino,5621.0,England,5,4,N
413,0,female,7,10.0,no,4,14,6,5,3,324,20.47400093,Fresno,1938.0,France,13,3,N
1359,0,female,5,15.0,yes,2,16,6,2,2,106,11.83399963,Placer,3011.0,Spain,13,4,N
1322,0,male,6,1.5,yes,3,12,3,4,3,324,18.59300041,Santa Cruz,3011.0,England,13,1,N
44,0,female,8,15.0,yes,3,16,1,5,3,324,8.934000015,Tulare,7974.0,England,5,7,N
1859,0,female,7,4.0,no,2,14,5,4,2,120,15.41317654,Monterey,4238.0,France,13,1,N
1609,0,female,5,4.0,yes,4,18,6,1,3,106,7.105000019,Humboldt,2388.0,Spain,5,3,N
1892,2,male,6,4.0,yes,2,14,5,5,2,166,10.52099991,San Mateo,46916.0,Germany,10,1,N
1080,0,male,6,15.0,yes,2,12,5,2,2,383,13.58600044,Trinity,1365.0,France,13,4,N
1341,0,female,10,15.0,yes,3,14,6,2,2,166,17.15600014,Humboldt,1121.0,France,10,8,N
1073,0,female,8,15.0,yes,4,17,1,4,2,166,16.95599937,San Diego,1895.0,England,5,4,N
1543,7,female,5,4.0,yes,4,17,4,5,2,383,10.36442852,San Mateo,7974.0,France,10,1,N
1897,0,female,6,4.0,yes,1,17,5,5,4,383,16.98662567,Los Angeles,3011.0,England,5,1,N
1242,0,male,5,15.0,yes,1,16,5,2,3,324,10.52299976,Tehama,46916.0,France,10,4,N
1873,2,male,9,15.0,yes,2,16,5,2,3,120,11.11600018,Placer,1158.0,France,5,5,N
1959,0,female,10,7.0,yes,4,18,6,4,3,166,7.021999836,Kern,550.0,Spain,5,1,N
1551,0,male,5,15.0,yes,3,17,1,1,2,145,50.67699814,San Luis Obispo,7974.0,Spain,5,4,N
381,12,male,7,1.5,yes,3,18,1,1,2,106,10.6024704,Imperial,7974.0,France,5,3,N
194,0,female,11,4.0,yes,3,18,1,5,2,324,10.47200012,Shasta,3011.0,Spain,5,4,N
747,0,female,5,4.0,yes,4,16,5,4,2,383,17.33200073,San Mateo,46916.0,England,13,7,y
992,0,female,10,10.0,yes,2,17,5,5,2,383,15.16699982,Contra Costa,2306.0,France,6,3,N
1594,0,female,8,15.0,yes,1,14,6,3,3,166,18.62599945,Kern,3011.0,France,5,5,N
949,0,male,10,15.0,yes,3,14,5,3,2,324,9.484999657,San Mateo,7974.0,France,10,8,N
1068,0,female,9,7.0,yes,4,20,6,5,3,145,11.83399963,El Dorado,1897.0,Spain,5,1,N
1218,0,male,5,1.5,yes,4,16,4,5,4,106,11.61333275,Merced,46916.0,France,10,3,N
299,0,female,10,4.0,no,2,17,1,3,4,106,15.0298748,Orange,3011.0,Spain,5,5,N
1305,12,male,6,15.0,no,1,17,3,2,2,166,6.612999916,San Mateo,7974.0,Spain,5,3,y
1140,12,female,7,1.5,no,4,17,5,5,4,166,13.24800014,Kern,7974.0,France,5,6,N
1221,1,male,9,4.0,yes,2,20,1,3,2,324,8.173999786,Placer,1895.0,England,13,4,N
1038,0,female,11,1.5,yes,4,20,1,4,2,324,8.019000053,Los Angeles,1897.0,England,5,4,N
55,0,female,7,7.0,yes,4,16,3,5,2,145,10.63899994,Shasta,1897.0,England,10,6,N
1814,12,male,10,4.0,yes,3,20,1,5,2,166,5.335000038,Glenn,1158.0,Germany,6,4,N
418,0,male,5,4.0,no,5,12,5,4,2,106,9.630000114,San Mateo,46916.0,England,5,5,N
449,12,male,5,7.0,yes,5,16,6,2,3,145,34.30099869,Tulare,3011.0,Germany,10,4,N
945,7,female,11,4.0,yes,2,18,4,4,2,166,18.54422188,Santa Clara,7974.0,France,6,1,N
1125,0,female,7,15.0,yes,5,14,1,5,2,120,18.79899979,Los Angeles,7974.0,Spain,5,6,N
1424,0,male,6,15.0,no,1,14,5,5,3,383,22.84140015,San Diego,204.0,England,5,4,N
409,7,male,9,10.0,no,4,16,6,4,2,145,15.16699982,Marin,46916.0,Germany,10,5,N
1904,0,female,9,1.5,yes,2,16,5,5,2,145,25.02961922,Humboldt,562.0,England,5,3,N
705,12,female,8,10.0,no,3,18,5,4,3,120,9.612000465,Tulare,1365.0,Germany,6,5,N
1226,0,male,12,15.0,yes,5,16,1,2,2,145,15.75199986,Sutter,1897.0,Spain,10,8,N
1166,0,male,8,0.75,yes,5,16,6,4,4,324,15.13099957,Los Angeles,7974.0,Germany,5,5,N
1818,0,female,8,7.0,no,5,20,6,3,4,383,15.27400017,Alameda,1121.0,France,10,8,N
914,0,female,7,1.5,yes,3,14,4,5,2,324,10.41499996,Tulare,550.0,Germany,13,3,N
176,0,male,8,4.0,yes,3,16,5,5,2,166,15.49300003,Humboldt,7974.0,France,5,1,N
1730,0,female,10,10.0,no,3,16,5,4,3,120,11.59200001,Tulare,7974.0,England,5,5,N
1776,0,male,7,1.5,yes,5,14,5,2,4,145,8.126615524,San Mateo,46916.0,Germany,13,4,N
1595,7,male,10,4.0,yes,5,20,4,4,3,145,11.42599964,Kern,3011.0,France,13,5,N
1752,0,female,8,15.0,yes,3,16,5,5,4,120,15.42800045,Santa Clara,1897.0,Germany,13,6,N
1439,0,female,9,15.0,no,4,16,1,5,3,166,35.48099899,Tulare,2388.0,Spain,10,8,N
734,0,female,5,15.0,no,5,18,2,5,3,106,12.58425045,Kings,2475.0,England,10,3,N
518,0,female,6,15.0,no,1,17,6,3,3,324,12.82699966,Stanislaus,3011.0,France,10,3,N
1920,0,female,13,15.0,yes,2,17,5,2,4,106,14.20899963,Tuolumne,7974.0,England,13,6,y
723,0,female,5,7.0,yes,3,18,4,3,4,120,16.29299927,San Joaquin,1897.0,France,5,3,N
49,0,female,6,15.0,yes,3,14,1,2,2,106,9.630000114,Butte,7974.0,Germany,13,3,N
1615,2,male,9,15.0,yes,4,16,6,5,3,324,10.03999996,Nevada,692.0,Germany,5,3,N
968,0,male,11,0.125,no,4,17,6,5,3,106,17.82299995,Kern,3011.0,Germany,13,6,N
875,0,male,9,4.0,yes,3,17,1,4,2,145,12.70800018,Stanislaus,3011.0,England,13,3,N
647,1,male,8,0.75,yes,4,18,3,3,2,106,11.72222519,El Dorado,7974.0,England,6,5,N
1685,1,male,12,15.0,no,5,18,7,4,2,145,11.43099976,Santa Barbara,750.0,France,10,6,N
1299,3,male,5,15.0,yes,2,14,5,5,2,166,8.279000282,Santa Barbara,468.0,France,10,4,N
1784,0,male,9,1.5,yes,3,12,3,5,2,106,21.96699905,Fresno,1897.0,Spain,5,4,N
1960,0,female,8,15.0,no,5,18,6,5,2,145,15.53292847,Los Angeles,4238.0,England,5,4,N
422,0,female,8,15.0,no,3,20,7,4,3,120,10.09799957,Kings,294.0,Spain,10,3,N
1876,0,male,8,10.0,yes,2,14,5,3,2,120,13.7305994,Humboldt,1121.0,Germany,5,1,y
848,0,male,7,0.75,yes,4,20,5,4,3,145,15.2937994,Humboldt,1895.0,Spain,10,5,y
743,0,female,10,4.0,no,3,16,6,3,4,383,20.13400078,Tulare,46916.0,England,5,4,y
12,0,male,11,1.5,yes,1,18,6,5,3,120,12.64000034,Kern,3011.0,Germany,10,5,N
909,0,female,8,0.75,yes,3,18,5,3,3,166,17.62000084,Marin,136.0,France,13,5,N
383,12,female,11,15.0,no,4,14,6,5,2,145,11.82600021,Kern,3011.0,England,6,2,N
482,0,female,11,4.0,yes,2,18,5,4,2,166,30.62849998,Sonoma,46916.0,England,10,8,N
1295,0,male,7,15.0,yes,4,18,1,4,2,383,11.82999992,El Dorado,7974.0,Spain,10,8,N
362,0,male,9,10.0,yes,1,14,5,3,3,324,18.28300095,Contra Costa,6121.0,Germany,10,4,N
93,0,male,7,15.0,yes,3,14,5,3,3,383,9.854000092,Fresno,46916.0,England,10,5,N
925,0,female,8,7.0,yes,2,18,4,4,3,383,15.05137539,Imperial,232.0,England,10,3,N
754,0,male,8,10.0,yes,4,14,4,5,2,145,15.13099957,Kings,1365.0,Spain,10,6,N
447,0,female,10,15.0,no,2,14,6,4,2,383,8.279000282,Merced,46916.0,Germany,10,6,N
528,12,male,13,7.0,yes,3,14,4,5,2,166,18.67099953,Sacramento,46916.0,England,5,6,y
594,0,female,9,7.0,yes,5,16,1,4,4,120,10.09799957,Madera,46916.0,England,10,1,N
1650,12,male,4,1.5,yes,4,20,5,5,2,120,7.385000229,Fresno,46916.0,Spain,10,4,N
1786,0,male,5,10.0,yes,4,18,5,2,3,166,13.76200008,Yuba,1938.0,England,10,5,N
168,0,female,5,7.0,yes,4,16,6,5,2,106,9.972000122,Los Angeles,7974.0,Germany,6,6,N
4,0,male,8,4.0,yes,4,17,6,5,3,106,31.05200005,Sonoma,3011.0,France,6,4,y
1929,0,male,10,15.0,yes,5,18,5,2,3,106,16.40699959,Sonoma,46916.0,England,5,6,N
1011,1,male,5,7.0,yes,3,20,6,5,2,106,14.07400036,Tehama,46916.0,Spain,13,5,N
1497,0,male,6,10.0,yes,3,12,5,4,4,145,16.65411186,Butte,3011.0,England,10,3,N
1419,0,female,5,0.125,yes,2,17,4,2,3,383,11.23799992,Ventura,46916.0,England,13,4,N
1056,0,female,12,1.5,yes,4,17,6,4,2,106,6.982999802,Santa Clara,1895.0,Spain,6,1,N
1087,0,female,5,4.0,yes,2,17,1,4,2,383,9.428894997,Ventura,7974.0,France,5,7,N
129,2,female,8,1.5,no,2,20,5,5,2,106,12.30179977,Merced,598.0,France,5,5,N
1930,0,female,7,15.0,yes,2,20,5,3,2,145,19.82312584,Tulare,7974.0,England,10,4,N
586,0,male,6,0.75,no,4,14,6,4,3,106,40.40200043,Fresno,3011.0,France,5,8,N
448,0,female,12,15.0,no,3,14,5,5,4,324,19.11700058,Merced,1897.0,Spain,6,1,N
1567,1,male,10,1.5,no,4,14,1,5,2,120,10.55666733,Sacramento,46916.0,Spain,5,4,y
950,0,male,6,15.0,no,2,20,1,4,2,145,23.7329998,Ventura,1895.0,France,6,6,N
115,7,female,9,4.0,no,3,14,5,4,2,106,14.09766674,San Mateo,7974.0,Germany,10,5,N
1799,0,female,6,7.0,yes,4,17,3,3,4,383,13.71199989,Lassen,1897.0,Spain,13,7,N
1384,0,male,11,10.0,yes,1,17,6,5,2,145,22.47299957,Tulare,7974.0,England,5,5,N
719,0,female,8,1.5,no,3,17,1,3,2,106,9.708999634,Kern,204.0,England,10,5,N
1266,3,female,4,1.5,yes,5,14,3,4,4,166,12.2159996,Contra Costa,7974.0,England,5,4,N
1195,12,male,5,15.0,no,5,14,3,2,4,106,12.74914265,Siskiyou,46916.0,France,13,5,N
1150,1,male,13,15.0,no,4,20,5,5,3,120,9.781000137,Los Angeles,1158.0,France,10,5,N
1540,3,male,12,15.0,yes,5,14,1,5,2,383,14.22799969,Kern,7974.0,Germany,5,4,N
1109,0,female,11,15.0,no,2,14,6,2,4,145,12.4090004,San Joaquin,7974.0,England,6,4,N
1245,0,male,5,15.0,no,2,18,5,4,2,166,13.33500004,Placer,3011.0,Spain,10,5,N
986,0,male,6,10.0,yes,3,18,1,5,2,145,11.43099976,Marin,3351.0,England,13,6,y
1754,0,female,6,4.0,no,2,17,3,5,2,145,11.93799973,Siskiyou,7974.0,England,5,1,N
795,7,female,5,15.0,yes,3,16,3,5,3,383,11.82999992,Fresno,6121.0,Spain,5,3,N
271,0,female,11,10.0,no,4,14,3,4,2,383,19.70700073,Shasta,750.0,Germany,10,7,N
516,0,male,6,10.0,yes,5,14,5,3,3,106,10.33300018,San Bernardino,1895.0,England,10,5,N
239,0,female,5,7.0,yes,4,12,6,5,3,145,27.47521591,Humboldt,1897.0,France,10,4,N
486,0,male,13,1.5,yes,3,16,1,5,2,145,11.26612473,Fresno,1121.0,Germany,6,3,N
1157,3,female,10,1.5,yes,2,18,5,5,3,106,25.03000069,Los Angeles,7974.0,Germany,13,3,N
538,0,male,13,0.125,no,3,16,2,4,2,145,43.22999954,Humboldt,1158.0,Germany,10,8,N
1187,1,female,6,15.0,yes,2,18,5,4,3,106,17.3694458,Riverside,1897.0,England,13,8,N
9010,0,female,13,10.0,no,3,14,5,3,2,324,16.62299919,Santa Barbara,1938.0,Spain,10,4,N
325,0,male,7,1.5,yes,1,14,3,3,2,120,9.824000359,Los Angeles,3011.0,Spain,13,5,N
1908,7,female,9,15.0,yes,1,14,6,2,3,324,14.25857162,Sonoma,3011.0,England,5,3,N
1654,0,male,4,15.0,yes,5,16,6,2,4,324,22.84199905,Orange,750.0,England,5,6,N
1637,0,male,7,0.75,yes,3,17,3,2,2,324,20.54599953,San Diego,1121.0,England,10,3,N
159,0,male,5,15.0,yes,5,18,5,5,3,106,14.06200027,Stanislaus,7974.0,England,10,4,N
1711,0,male,12,15.0,yes,3,17,1,4,3,120,15.96800041,San Mateo,562.0,Germany,13,5,y
1158,0,male,9,15.0,yes,4,9,5,4,4,324,7.385000229,Sonoma,46916.0,Germany,5,7,N
328,0,male,10,15.0,yes,1,16,3,5,4,383,5.335000038,Kings,7974.0,England,13,4,N
885,0,female,5,4.0,yes,2,14,3,2,3,106,8.173999786,Sacramento,204.0,France,5,5,N
366,0,male,11,15.0,yes,3,12,6,5,2,324,11.48294449,Humboldt,598.0,Spain,10,5,N
1046,12,female,8,15.0,no,3,17,4,3,2,120,7.304999828,San Bernardino,7974.0,France,5,3,N
1773,3,male,8,15.0,yes,2,17,6,2,4,383,18.1186657,Sacramento,3011.0,England,10,6,N
1211,0,male,9,15.0,yes,2,18,5,4,4,166,12.43099976,Butte,5212.0,England,5,7,N
233,0,female,6,4.0,yes,2,14,1,3,2,166,18.36899948,Los Angeles,7974.0,Spain,13,4,N
1481,0,female,6,15.0,no,3,20,4,5,2,120,10.03999996,Madera,232.0,Spain,6,8,N
755,0,male,5,15.0,yes,2,18,4,4,3,166,22.05999947,El Dorado,3011.0,Germany,13,6,N
735,0,male,7,15.0,no,3,17,5,4,3,324,10.52299976,San Mateo,3011.0,England,6,5,y
621,0,female,5,4.0,no,5,20,1,4,3,145,22.69000053,San Diego,1897.0,France,5,1,N
1885,0,female,5,15.0,yes,2,18,4,4,4,120,8.920332909,Fresno,3011.0,England,6,3,N
181,3,male,8,15.0,yes,3,18,5,3,3,383,8.895999908,Santa Clara,1897.0,England,5,4,N
867,0,male,11,15.0,yes,2,20,6,5,2,383,9.484999657,Merced,7974.0,Germany,5,5,N
1037,7,female,9,0.75,yes,4,14,4,4,3,145,8.019000053,San Diego,7974.0,England,5,8,N
1273,0,male,5,1.5,no,4,14,5,5,2,383,12.5815773,Sonoma,1897.0,England,10,5,N
1102,7,female,8,4.0,no,5,17,5,5,2,120,16.95599937,Kern,46916.0,Germany,5,1,N
1271,0,male,9,1.5,yes,3,17,5,5,3,324,19.11700058,Kern,550.0,England,5,3,N
1107,0,female,7,4.0,yes,4,17,3,4,3,383,10.47200012,Orange,7974.0,Germany,13,7,y
1949,3,female,6,10.0,yes,5,17,6,5,2,106,14.18400002,Los Angeles,1897.0,Spain,5,4,N
1294,12,female,5,10.0,yes,4,16,5,5,2,120,8.423000336,Kern,3011.0,Germany,13,6,N
1353,0,male,5,1.5,yes,4,16,6,5,3,324,7.385000229,Santa Barbara,3011.0,France,5,6,N
1259,0,female,13,7.0,yes,4,17,5,5,3,324,10.90564251,El Dorado,7974.0,England,10,4,N
578,0,male,11,4.0,yes,4,16,1,5,2,106,9.708999634,Tulare,550.0,Germany,10,3,N
921,0,male,10,4.0,yes,4,14,4,5,3,166,13.90600014,El Dorado,7974.0,England,10,7,N
706,0,male,13,7.0,yes,3,16,6,5,2,145,11.83399963,Sonoma,46916.0,Germany,10,6,N
1437,0,female,5,15.0,yes,3,18,5,5,3,120,7.5,Shasta,46916.0,England,13,5,N
45,7,male,12,4.0,no,3,9,6,5,2,166,11.11600018,San Joaquin,1365.0,England,5,6,N
933,0,male,5,10.0,no,5,20,6,5,2,324,22.05999947,San Mateo,3011.0,France,5,3,N
116,0,male,5,4.0,no,3,20,3,4,3,166,15.77900028,Sonoma,1897.0,England,10,7,N
812,0,female,8,1.5,yes,5,14,5,5,2,324,15.53292847,Fresno,1897.0,Spain,6,5,N
6,0,female,9,1.5,yes,2,20,1,4,3,106,14.24290085,Sutter,46916.0,France,10,4,N
290,0,female,5,7.0,yes,2,18,1,5,4,145,15.4090004,Santa Clara,46916.0,France,10,3,N
1311,0,female,9,7.0,yes,2,16,7,5,2,120,17.50799942,Los Angeles,562.0,England,5,1,N
1432,0,male,5,1.5,yes,4,14,5,4,2,166,14.06599998,San Joaquin,46916.0,England,13,5,N
9029,0,female,5,10.0,yes,3,18,2,2,2,324,8.17800045,Santa Cruz,1897.0,England,5,1,N
1393,7,female,8,4.0,yes,1,18,5,5,2,106,13.71199989,Riverside,46916.0,France,6,6,N
1333,0,male,4,4.0,yes,3,18,1,3,2,166,9.428894997,Los Angeles,7974.0,France,5,1,N
249,0,female,5,10.0,yes,4,14,4,5,3,383,18.72599983,Shasta,7974.0,England,10,4,N
1452,0,female,7,0.417,yes,4,20,4,4,2,106,20.0890007,Contra Costa,3011.0,Germany,10,1,N
139,0,female,12,7.0,yes,5,16,6,3,2,324,10.67599964,Imperial,3351.0,England,5,1,N
1947,0,female,7,15.0,yes,4,14,4,5,4,166,8.977999687,Nevada,46916.0,Spain,6,5,N
1009,0,male,7,4.0,no,1,18,5,2,2,383,8.126615524,San Bernardino,3011.0,Spain,5,1,N
354,0,male,11,7.0,yes,2,16,1,4,2,324,15.59285736,Fresno,382.0,France,13,7,N
1138,7,male,7,0.75,yes,4,18,6,2,2,145,14.86699963,Kings,1897.0,England,10,8,N
220,0,male,6,1.5,yes,4,18,5,3,2,324,13.72500038,Placer,46916.0,Germany,13,4,N
1834,12,male,6,7.0,yes,5,14,6,4,2,145,12.30179977,Humboldt,7974.0,France,10,7,N
1146,0,male,7,4.0,yes,5,14,1,3,2,166,17.78033447,Lake,1365.0,Spain,10,1,N
1803,3,male,7,4.0,yes,4,16,5,5,2,324,14.22799969,Shasta,46916.0,Germany,10,3,N
1209,1,female,13,7.0,yes,3,18,6,3,2,324,13.44299984,Contra Costa,562.0,Germany,5,1,N
1669,0,male,7,15.0,yes,4,16,4,2,3,383,11.11600018,Sonoma,1897.0,France,5,5,N
1638,0,male,7,15.0,yes,2,14,5,2,2,383,11.66499996,Kern,3011.0,France,10,4,N
1808,0,male,6,7.0,yes,2,16,6,4,2,383,9.951999664,Tulare,1365.0,England,5,5,N
745,0,female,4,1.5,no,2,16,5,3,2,120,11.18299961,San Diego,7974.0,France,10,7,N
630,0,male,4,10.0,yes,1,18,1,3,4,106,16.06399918,Santa Clara,3011.0,England,5,4,N
1332,0,male,7,4.0,no,3,14,1,5,3,106,9.708999634,Santa Clara,46916.0,Germany,5,4,N
927,0,female,7,1.5,yes,2,14,6,5,3,145,17.65600014,Monterey,2435.0,England,13,2,N
1952,0,male,7,15.0,yes,2,16,6,3,3,106,10.09799957,Los Angeles,3011.0,Spain,13,3,N
823,0,female,7,10.0,yes,3,16,5,1,2,324,8.977999687,Sutter,46916.0,England,10,5,y
163,0,female,10,10.0,yes,1,18,5,4,3,166,38.62857056,El Dorado,7974.0,Germany,13,5,N
571,3,female,6,15.0,yes,5,14,4,3,3,166,12.4090004,Sacramento,7974.0,Spain,5,4,N
134,0,male,9,15.0,yes,4,16,5,5,2,120,14.26299953,Tuolumne,46916.0,Germany,10,4,N
820,0,female,7,15.0,yes,4,14,6,2,3,383,13.63000011,Lake,46916.0,France,10,4,N
1480,0,female,13,7.0,no,2,16,1,5,2,120,7.385000229,San Diego,1938.0,Spain,5,4,N
355,12,female,7,0.125,yes,3,20,5,5,2,106,14.57800007,Orange,3011.0,Spain,5,5,y
292,0,male,6,10.0,yes,1,16,2,3,3,120,23.7329998,Butte,3011.0,England,5,3,N
1390,0,male,5,15.0,yes,4,16,6,3,4,145,11.28299999,Sonoma,173.0,Germany,5,3,N
1026,0,male,9,4.0,yes,3,14,4,2,2,145,12.43133259,San Diego,2029548.0,Germany,5,6,N
114,0,female,13,10.0,no,2,16,5,5,3,166,8.522999763,Sutter,1897.0,France,10,5,N
1304,7,female,5,10.0,yes,5,12,3,4,3,145,7.40500021,Butte,7974.0,England,5,4,N
1128,0,female,4,4.0,yes,2,16,6,4,3,145,11.66499996,Glenn,1895.0,England,5,7,N
1324,2,female,9,15.0,no,2,14,3,5,2,120,15.96800041,Nevada,1049.0,France,13,3,N
1697,0,female,6,7.0,yes,4,20,6,5,2,106,6.21600008,San Diego,3011.0,Spain,10,5,N
