tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,ndam,eval,gender,language,female,category,m_focal,name,majority_first
Premolar,AMNH99.1/111,0,8,22.0,7.9144902,0.5,Homo sapiens,Alaska,23040.0,2.3,female,English,0.0,5,3,Camille,1
Anterior,AMNH99.1/112,2,12,21.0,8.23260632,0.25,Homo sapiens,Alaska,6870.0,3.5,male,English,0.0,3,2,Celia,0
Posterior,AMNH99.1/112,2,11,35.0,8.23260632,0.25,Homo sapiens,Alaska,300.0,4.7,female,English,0.0,2,2,Edith,0
Premolar,AMNH99.1/112,2,8,58.0,8.23260632,0.25,Homo sapiens,Alaska,500.0,3.9,male,English,0.0,1,3,Fern,1
Anterior,AMNH99.1/160,1,4,38.0,15.0,0.25,Homo sapiens,Alaska,200.0,4.0,female,English,0.0,1,3,Ginger,0
Posterior,AMNH99.1/160,3,5,21.0,15.0,0.25,Homo sapiens,Alaska,20430.0,4.3,male,Dutch,0.0,1,2,Agnes,1
Premolar,AMNH99.1/160,1,4,13.0,15.0,0.25,Homo sapiens,Alaska,1180.0,3.8,female,English,1.0,3,3,Carmen,0
Anterior,AMNH99.1/59,6,12,43.0,10.5,0.25,Homo sapiens,Alaska,6190.0,3.8,female,English,0.0,3,2,Eloise,0
Posterior,AMNH99.1/59,6,6,26.0,10.5,0.25,Homo sapiens,Alaska,570.0,4.0,female,English,0.0,1,3,Belle,1
Premolar,AMNH99.1/59,2,8,23.0,10.5,0.25,Homo sapiens,Alaska,66.0,4.6,male,Chinese,0.0,1,2,Babe,0
Anterior,AMNH99.1/59-B,0,6,26.0,10.0,0.25,Homo sapiens,Alaska,70.0,3.5,female,Dutch,0.0,1,3,Bob,0
Posterior,AMNH99.1/59-B,0,6,27.0,10.0,0.25,Homo sapiens,Alaska,2700.0,4.7,male,Romanian,0.0,2,2,David,0
Premolar,AMNH99.1/59-B,0,4,25.0,10.0,0.25,Homo sapiens,Alaska,12770.0,4.2,male,Italian,1.0,3,2,Frederic,1
Anterior,AMNH99.1/60,0,6,34.0,6.96111299,0.5,Homo sapiens,Alaska,2130.0,3.4,female,English,1.0,3,4,Allen,1
Posterior,AMNH99.1/60,2,6,22.0,6.96111299,0.5,Homo sapiens,Alaska,10400.0,3.9,female,Other,0.0,3,2,Alicia,1
Premolar,AMNH99.1/60,0,4,24.0,6.96111299,0.5,Homo sapiens,Alaska,410.0,4.5,female,English,0.0,2,4,Diana,0
Anterior,AMNH99.1/61,0,12,,6.19980411,0.75,Homo sapiens,Alaska,130.0,4.7,male,,1.0,1,2,Bob,1
Posterior,AMNH99.1/61,0,12,18.0,6.19980411,0.75,Homo sapiens,Alaska,160.0,3.5,female,English,0.0,1,2,Danny,0
Premolar,AMNH99.1/61,0,8,39.0,6.19980411,0.75,Homo sapiens,Alaska,4180.0,3.7,female,English,0.0,3,2,Elena,0
Anterior,AMNH99.1/64,4,12,19.0,7.47240717,0.25,Homo sapiens,Alaska,3020.0,4.0,male,Other,0.0,3,4,Gloria,1
Posterior,AMNH99.1/64,2,10,18.0,7.47240717,0.25,Homo sapiens,Alaska,4730.0,4.1,male,English,1.0,1,3,Juan,0
Premolar,AMNH99.1/64,0,8,31.0,7.47240717,0.25,Homo sapiens,Alaska,1310.0,4.4,female,English,0.0,2,2,Kate,1
Anterior,AMNH99.1/72,0,12,20.0,8.74186019,0.75,Homo sapiens,Alaska,6.0,4.2,male,,0.0,1,4,Bonnie,0
Posterior,AMNH99.1/72,1,11,21.0,8.74186019,0.75,Homo sapiens,Alaska,58.0,4.5,male,Chinese,0.0,1,2,Charley,1
Premolar,AMNH99.1/72,0,8,26.0,8.74186019,0.75,Homo sapiens,Alaska,1.0,3.8,male,English,0.0,1,4,Floyd,1
Anterior,AMNH99.1/75-A,0,12,13.0,5.56672472,0.75,Homo sapiens,Alaska,4.0,3.1,male,English,1.0,1,3,Florence,0
Posterior,AMNH99.1/75-A,0,12,50.0,5.56672472,0.75,Homo sapiens,Alaska,290.0,3.7,female,English,0.0,1,2,Chantal,0
Premolar,AMNH99.1/75-A,0,8,18.0,5.56672472,0.75,Homo sapiens,Alaska,20020.0,3.9,male,Swedish,0.0,4,3,Hugo,0
Anterior,AMNH99.1/77,0,12,31.0,12.6,0.75,Homo sapiens,Alaska,230.0,4.0,female,English,0.0,1,3,Jerry,1
Posterior,AMNH99.1/77,4,11,21.0,12.6,0.75,Homo sapiens,Alaska,3620.0,3.3,female,English,0.0,2,2,Bob,1
Premolar,AMNH99.1/77,0,8,25.0,12.6,0.75,Homo sapiens,Alaska,66730.0,3.1,male,English,0.0,5,2,Andrew,0
Anterior,AMNH99.1/79,0,6,21.0,9.1,0.25,Homo sapiens,Alaska,96.0,4.0,female,English,0.0,3,2,Emily,0
Posterior,AMNH99.1/79,2,6,22.0,9.1,0.25,Homo sapiens,Alaska,1650.0,4.3,male,English,0.0,2,2,Erin,1
Premolar,AMNH99.1/79,0,4,22.0,9.1,0.25,Homo sapiens,Alaska,7550.0,3.7,female,English,0.0,3,3,Opal,1
Anterior,AMNH99.1/80(a),0,6,64.0,8.74186019,0.75,Homo sapiens,Alaska,700.0,3.4,male,English,0.0,2,3,Bertha,0
Posterior,AMNH99.1/80(a),0,6,19.0,8.74186019,0.75,Homo sapiens,Alaska,8260.0,4.3,male,Other,1.0,3,3,Fran,0
Premolar,AMNH99.1/80(a),1,4,64.0,8.74186019,0.75,Homo sapiens,Alaska,200.0,3.7,male,English,0.0,1,2,Danny,1
Anterior,AMNH99.1/80(b),0,6,25.0,8.23260632,0.75,Homo sapiens,Alaska,1650.0,4.2,male,English,0.0,2,2,Bonnie,0
Posterior,AMNH99.1/80(b),0,5,23.0,8.23260632,0.75,Homo sapiens,Alaska,160.0,2.2,female,Romanian,0.0,1,2,Earl,0
Premolar,AMNH99.1/80(b),0,4,27.0,8.23260632,0.75,Homo sapiens,Alaska,3870.0,3.0,female,,0.0,2,3,Georges,1
Anterior,AMNH99.1/83-A,3,12,24.0,3.7220627,0.25,Homo sapiens,Alaska,94.0,4.3,female,English,1.0,3,4,Bret,0
Posterior,AMNH99.1/83-A,2,10,16.0,3.7220627,0.25,Homo sapiens,Alaska,8130.0,4.6,female,German,0.0,2,3,Floyd,0
Premolar,AMNH99.1/83-A,2,8,24.0,3.7220627,0.25,Homo sapiens,Alaska,1430.0,3.5,female,English,0.0,1,2,Irene,0
Anterior,AMNH99.1/84-A,0,12,24.0,5.44029653,0.25,Homo sapiens,Alaska,1260.0,4.6,female,,0.0,1,4,Lili,1
Posterior,AMNH99.1/84-A,0,12,19.0,5.44029653,0.25,Homo sapiens,Alaska,250.0,3.7,male,Chinese,0.0,1,4,Claudette,0
Premolar,AMNH99.1/84-A,0,8,25.0,5.44029653,0.25,Homo sapiens,Alaska,4980.0,3.8,male,English,0.0,2,4,Isabel,1
Anterior,AMNH99.1/84-B,4,12,41.0,10.5,0.25,Homo sapiens,Alaska,5.0,3.6,male,English,0.0,1,2,Alex,0
Posterior,AMNH99.1/84-B,6,8,23.0,10.5,0.25,Homo sapiens,Alaska,20510.0,4.4,female,English,0.0,4,4,Charley,1
Premolar,AMNH99.1/84-B,2,8,48.0,10.5,0.25,Homo sapiens,Alaska,12620.0,4.1,male,English,0.0,2,2,Frances,0
Anterior,AMNH99.1/84-C,3,6,22.0,8.74186019,0.25,Homo sapiens,Alaska,170.0,4.3,female,German,0.0,1,3,Gaston,1
Posterior,AMNH99.1/84-C,0,6,35.0,8.74186019,0.25,Homo sapiens,Alaska,18590.0,4.0,male,English,0.0,3,2,Ivan,0
Premolar,AMNH99.1/84-C,0,4,38.0,8.74186019,0.25,Homo sapiens,Alaska,10210.0,4.8,male,English,1.0,3,3,Jeanne,1
Anterior,AMNH99.1/84-D,0,6,25.0,5.94640065,0.25,Homo sapiens,Alaska,350.0,3.5,male,Indonesian,,1,2,Cindy,1
Posterior,AMNH99.1/84-D,0,6,33.0,5.94640065,0.25,Homo sapiens,Alaska,2650.0,3.6,female,English,1.0,3,2,Dennis,1
Premolar,AMNH99.1/84-D,0,4,49.0,5.94640065,0.25,Homo sapiens,Alaska,,3.8,male,English,0.0,3,3,Katrina,0
Anterior,AMNH99.1/86-C,2,12,37.0,8.3605854,0.25,Homo sapiens,Alaska,91.0,4.7,female,English,0.0,1,3,Ophelia,1
Posterior,AMNH99.1/86-C,1,11,34.0,8.3605854,0.25,Homo sapiens,Alaska,10690.0,4.9,female,English,0.0,3,2,Rita,0
Premolar,AMNH99.1/86-C,2,8,28.0,8.3605854,0.25,Homo sapiens,Alaska,25960.0,4.3,female,English,1.0,3,2,Wilma,1
Anterior,AMNH99.1/86-D,4,12,58.0,9.7611705,0.25,Homo sapiens,Alaska,51.0,3.3,female,English,0.0,1,3,Humberto,1
Posterior,AMNH99.1/86-D,2,8,25.0,9.7611705,0.25,Homo sapiens,Alaska,1110.0,3.4,female,Italian,0.0,1,2,Dolly,1
Premolar,AMNH99.1/86-D,3,8,30.0,9.7611705,0.25,Homo sapiens,Alaska,4360.0,3.6,female,English,0.0,2,2,Gustav,0
Anterior,AMNH99.1/87,2,12,28.0,12.6,0.75,Homo sapiens,Alaska,20370.0,4.0,female,English,0.0,2,3,Ike,0
Posterior,AMNH99.1/87,4,9,35.0,12.6,0.75,Homo sapiens,Alaska,7110.0,3.9,male,English,0.0,1,3,Irene,0
Premolar,AMNH99.1/87,2,8,21.0,12.6,0.75,Homo sapiens,Alaska,24000.0,4.3,male,English,0.0,1,2,Isaac,0
Anterior,AMNH99.1/89-A,0,12,22.0,8.23260632,0.75,Homo sapiens,Alaska,75000.0,3.3,male,English,0.0,2,3,Sandy,0
Posterior,AMNH99.1/89-A,0,12,20.0,8.23260632,0.75,Homo sapiens,Alaska,1590.0,3.7,male,English,0.0,3,2,Easy,1
Premolar,AMNH99.1/89-A,0,8,38.0,8.23260632,0.75,Homo sapiens,Alaska,5350.0,3.6,female,English,1.0,3,3,King,0
Anterior,AMNH99.1/89-B,0,12,21.0,4.93536963,0.75,Homo sapiens,Alaska,150.0,4.4,male,Dutch,0.0,1,2,Able,0
Posterior,AMNH99.1/89-B,0,12,26.0,4.93536963,0.75,Homo sapiens,Alaska,58.0,4.0,male,English,0.0,1,3,Barbara,0
Premolar,AMNH99.1/89-B,0,8,33.0,4.93536963,0.75,Homo sapiens,Alaska,15.0,2.1,male,English,0.0,1,2,Florence,1
Anterior,AMNH99.1/90,3,12,28.0,15.0,0.75,Homo sapiens,Alaska,19321.0,3.2,male,English,0.0,3,2,Carol,1
Posterior,AMNH99.1/90,6,10,45.0,15.0,0.75,Homo sapiens,Alaska,3230.0,3.5,female,English,0.0,3,4,Edna,0
Premolar,AMNH99.1/90,3,8,21.0,15.0,0.75,Homo sapiens,Alaska,24260.0,4.1,male,,0.0,4,2,Hazel,1
Anterior,AMNH99.1/91-A,4,12,21.0,5.69322104,0.75,Homo sapiens,Alaska,2030.0,4.6,female,English,0.0,3,4,Connie,0
Posterior,AMNH99.1/91-A,6,12,23.0,5.69322104,0.75,Homo sapiens,Alaska,14730.0,3.8,male,Finnish,0.0,1,2,Diane,0
Premolar,AMNH99.1/91-A,1,8,13.0,5.69322104,0.75,Homo sapiens,Alaska,6200.0,3.8,female,English,0.0,3,2,Ione,1
Anterior,AMNH99.1/91-B,1,12,46.0,9.7611705,0.5,Homo sapiens,Alaska,1540.0,3.8,male,English,0.0,2,2,Flossy,0
Posterior,AMNH99.1/91-B,7,10,37.0,9.7611705,0.5,Homo sapiens,Alaska,,4.2,male,English,0.0,4,4,Audrey,1
Premolar,AMNH99.1/91-B,1,8,22.0,9.7611705,0.5,Homo sapiens,Alaska,540.0,3.9,male,English,0.0,3,3,Helene,0
Anterior,AMNH99.1/94,0,12,32.0,6.19980411,0.25,Homo sapiens,Alaska,430.0,4.5,male,English,1.0,1,2,Debra,0
Posterior,AMNH99.1/94,0,12,39.0,6.19980411,0.25,Homo sapiens,Alaska,510.0,4.5,female,English,0.0,3,4,Gracie,1
Premolar,AMNH99.1/94,0,8,35.0,6.19980411,0.25,Homo sapiens,Alaska,53270.0,4.4,female,English,0.0,4,2,Donna,1
Anterior,AMNH99.1/96-A,0,12,20.0,6.96111299,0.75,Homo sapiens,Alaska,35.0,4.4,female,English,0.0,1,4,Ethel,1
Posterior,AMNH99.1/96-A,0,12,,6.96111299,0.75,Homo sapiens,Alaska,15850.0,4.4,female,,1.0,4,3,Carla,1
Premolar,AMNH99.1/96-A,0,8,26.0,6.96111299,0.75,Homo sapiens,Alaska,300.0,4.5,male,English,,1,2,Cindy,0
Anterior,AMNH99.1/97,4,12,23.0,6.70718105,0.75,Homo sapiens,Alaska,6450.0,4.3,female,English,0.0,2,3,Cleo,1
Posterior,AMNH99.1/97,3,10,23.0,6.70718105,0.75,Homo sapiens,Alaska,16260.0,4.6,male,Romanian,0.0,2,3,Dora,0
Premolar,AMNH99.1/97,1,8,24.0,6.70718105,0.75,Homo sapiens,Alaska,2770.0,4.8,male,English,0.0,3,2,Hilda,1
Anterior,AMNH99.1/98,0,12,15.0,5.44029653,0.75,Homo sapiens,Alaska,800.0,4.3,male,German,1.0,2,2,Isbell,0
Posterior,AMNH99.1/98,1,12,29.0,5.44029653,0.75,Homo sapiens,Alaska,20000.0,4.0,female,Other,0.0,3,2,Betsy,0
Premolar,AMNH99.1/98,1,8,49.0,5.44029653,0.75,Homo sapiens,Alaska,730.0,4.0,female,English,0.0,2,2,Alma,0
Anterior,AMNH99.1/99,0,12,59.0,5.69322104,0.25,Homo sapiens,Alaska,99.0,3.9,female,English,0.0,1,3,Inez,1
Posterior,AMNH99.1/99,0,12,35.0,5.69322104,0.25,Homo sapiens,Alaska,5060.0,3.3,female,English,0.0,3,3,Beulah,1
Premolar,AMNH99.1/99,0,8,24.0,5.69322104,0.25,Homo sapiens,Alaska,800.0,4.5,male,English,1.0,2,3,Gladys,0
Anterior,BM1868.4.16.2,0,12,64.0,3.29146087,1.0,Pongo,Borneo,23040.0,4.5,female,Other,0.0,5,2,Camille,1
Posterior,BM1868.4.16.2,0,12,13.0,3.29146087,1.0,Pongo,Borneo,6870.0,4.5,female,English,0.0,3,2,Celia,0
Premolar,BM1868.4.16.2,0,8,44.0,3.29146087,1.0,Pongo,Borneo,300.0,2.5,male,English,1.0,2,2,Edith,1
Anterior,BM1884.10.30.1,0,6,15.0,3.71761878,1.0,Pongo,Borneo,500.0,4.3,female,English,0.0,1,3,Fern,1
Posterior,BM1884.10.30.1,0,6,39.0,3.71761878,1.0,Pongo,Borneo,200.0,4.5,male,English,1.0,1,4,Ginger,1
Premolar,BM1884.10.30.1,0,4,20.0,3.71761878,1.0,Pongo,Borneo,20430.0,4.7,male,English,0.0,1,3,Agnes,1
Anterior,BM1884.10.30.2,2,12,58.0,3.71761878,1.0,Pongo,Borneo,1180.0,3.5,male,English,0.0,3,2,Carmen,1
Posterior,BM1884.10.30.2,0,12,18.0,3.71761878,1.0,Pongo,Borneo,6190.0,4.5,female,Turkish,0.0,3,4,Eloise,0
Premolar,BM1884.10.30.2,0,8,22.0,3.71761878,1.0,Pongo,Borneo,570.0,3.8,male,English,0.0,1,4,Belle,0
Anterior,BM1886.12.20.10,0,12,19.0,3.88831042,1.0,Pongo,Borneo,66.0,4.5,female,English,0.0,1,4,Babe,0
Posterior,BM1886.12.20.10,0,12,64.0,3.88831042,1.0,Pongo,Borneo,70.0,4.3,male,Other,1.0,1,2,Bob,0
Premolar,BM1886.12.20.10,0,8,43.0,3.88831042,1.0,Pongo,Borneo,2700.0,3.9,female,English,0.0,2,4,David,0
Anterior,BM1898.2.28.11,0,12,,3.80295048,1.0,Pongo,Borneo,12770.0,4.3,female,,0.0,3,2,Frederic,0
Posterior,BM1898.2.28.11,0,12,21.0,3.80295048,1.0,Pongo,Borneo,2130.0,4.2,female,English,0.0,3,3,Allen,0
Premolar,BM1898.2.28.11,0,8,37.0,3.80295048,1.0,Pongo,Borneo,10400.0,5.0,female,Standard_Hindi,0.0,3,2,Alicia,0
Anterior,BM1899.11.6.1,0,12,18.0,3.06608828,0.0,Papio,Arabia,410.0,5.0,male,Dutch,0.0,2,3,Diana,1
Posterior,BM1899.11.6.1,0,12,19.0,3.06608828,0.0,Papio,Arabia,130.0,4.6,male,English,0.0,1,2,Bob,1
Premolar,BM1899.11.6.1,0,8,52.0,3.06608828,0.0,Papio,Arabia,160.0,5.0,female,English,1.0,1,2,Danny,1
Anterior,BM1899.6.10.2,0,12,17.0,3.4773143,1.0,Papio,East Africa,4180.0,4.7,female,English,0.0,3,3,Elena,1
Posterior,BM1899.6.10.2,0,12,41.0,3.4773143,1.0,Papio,East Africa,3020.0,5.0,male,English,1.0,3,3,Gloria,0
Premolar,BM1899.6.10.2,0,8,21.0,3.4773143,1.0,Papio,East Africa,4730.0,2.7,male,English,0.0,1,2,Juan,0
Anterior,BM1899.7.8.1,0,12,,4.35428022,1.0,Papio,East Africa,1310.0,4.0,male,,,2,2,Kate,1
Posterior,BM1899.7.8.1,0,12,26.0,4.35428022,1.0,Papio,East Africa,6.0,4.4,male,English,0.0,1,3,Bonnie,0
Premolar,BM1899.7.8.1,0,8,42.0,4.35428022,1.0,Papio,East Africa,58.0,4.4,male,English,0.0,1,2,Charley,0
Anterior,BM1900.3.18.1,0,12,40.0,3.4773143,1.0,Papio,East Africa,1.0,4.3,female,English,0.0,1,2,Floyd,1
Posterior,BM1900.3.18.1,0,12,33.0,3.4773143,1.0,Papio,East Africa,4.0,3.5,female,German,0.0,1,3,Florence,0
Premolar,BM1900.3.18.1,0,8,16.0,3.4773143,1.0,Papio,East Africa,290.0,3.8,male,English,0.0,1,3,Chantal,0
Anterior,BM1900.6.28.1,0,12,18.0,2.00186723,1.0,Papio,Arabia,20020.0,3.9,male,English,0.0,4,2,Hugo,1
Posterior,BM1900.6.28.1,0,12,23.0,2.00186723,1.0,Papio,Arabia,230.0,3.7,male,English,1.0,1,3,Jerry,0
Premolar,BM1900.6.28.1,0,8,21.0,2.00186723,1.0,Papio,Arabia,3620.0,3.3,male,,0.0,2,2,Bob,0
Anterior,BM1901.2.13.1,0,12,39.0,3.55691242,1.0,Papio,West Africa,66730.0,4.0,male,English,0.0,5,3,Andrew,1
Posterior,BM1901.2.13.1,0,12,21.0,3.55691242,1.0,Papio,West Africa,96.0,3.8,male,English,,3,2,Emily,0
Premolar,BM1901.2.13.1,0,8,45.0,3.55691242,1.0,Papio,West Africa,1650.0,4.2,male,English,0.0,2,3,Erin,0
Anterior,BM1901.8.9.23,0,12,58.0,3.4773143,0.0,Papio,East Africa,7550.0,3.1,female,English,1.0,3,2,Opal,1
Posterior,BM1901.8.9.23,0,12,45.0,3.4773143,0.0,Papio,East Africa,700.0,3.6,female,English,1.0,2,2,Bertha,1
Premolar,BM1901.8.9.23,0,8,35.0,3.4773143,0.0,Papio,East Africa,8260.0,3.3,male,German,1.0,3,4,Fran,1
Anterior,BM1902.11.22.1,0,12,24.0,2.19399907,1.0,Papio,Arabia,200.0,2.9,male,English,0.0,1,2,Danny,0
Posterior,BM1902.11.22.1,0,12,,2.19399907,1.0,Papio,Arabia,1650.0,3.1,female,,0.0,2,4,Bonnie,0
Premolar,BM1902.11.22.1,0,8,18.0,2.19399907,1.0,Papio,Arabia,160.0,4.0,female,English,0.0,1,2,Earl,0
Anterior,BM1902.9.2.1,0,12,60.0,3.71619727,1.0,Papio,East Africa,3870.0,4.0,male,Spanish,0.0,2,2,Georges,0
Posterior,BM1902.9.2.1,0,12,64.0,3.71619727,1.0,Papio,East Africa,94.0,4.2,female,English,1.0,3,2,Bret,0
Premolar,BM1902.9.2.1,0,8,,3.71619727,1.0,Papio,East Africa,8130.0,3.8,female,,0.0,2,4,Floyd,1
Anterior,BM1902.9.9.3,0,12,,4.27445115,1.0,Papio,East Africa,1430.0,4.3,female,,0.0,1,3,Irene,1
Posterior,BM1902.9.9.3,0,9,38.0,4.27445115,1.0,Papio,East Africa,1260.0,4.6,female,Spanish,0.0,1,2,Lili,1
Premolar,BM1902.9.9.3,0,8,37.0,4.27445115,1.0,Papio,East Africa,250.0,4.3,female,Standard_Hindi,0.0,1,4,Claudette,0
Anterior,BM1904.11.5.2,0,12,24.0,4.03507241,1.0,Papio,East Africa,4980.0,3.6,male,English,1.0,2,2,Isabel,0
Posterior,BM1904.11.5.2,0,12,32.0,4.03507241,1.0,Papio,East Africa,5.0,4.2,male,English,1.0,1,4,Alex,1
Premolar,BM1904.11.5.2,0,8,50.0,4.03507241,1.0,Papio,East Africa,20510.0,3.9,male,English,0.0,4,3,Charley,0
Anterior,BM1904.8.2.1,0,12,16.0,2.19399907,1.0,Papio,Arabia,12620.0,4.1,female,English,0.0,2,2,Frances,1
Posterior,BM1904.8.2.1,0,12,25.0,2.19399907,1.0,Papio,Arabia,170.0,4.0,female,Italian,0.0,1,3,Gaston,0
Premolar,BM1904.8.2.1,0,8,20.0,2.19399907,1.0,Papio,Arabia,18590.0,4.3,female,English,0.0,3,3,Ivan,1
Anterior,BM1904.8.2.3,0,12,,3.06608828,1.0,Papio,East Africa,10210.0,3.9,female,,0.0,3,2,Jeanne,0
Posterior,BM1904.8.2.3,0,12,21.0,3.06608828,1.0,Papio,East Africa,350.0,4.2,male,English,0.0,1,2,Cindy,0
Premolar,BM1904.8.2.3,0,8,19.0,3.06608828,1.0,Papio,East Africa,2650.0,4.2,female,German,1.0,3,2,Dennis,0
Anterior,BM1905.5.10.1,0,12,50.0,4.1148462,1.0,Papio,West Africa,,4.9,female,English,1.0,3,2,Katrina,1
Posterior,BM1905.5.10.1,0,12,45.0,4.1148462,1.0,Papio,West Africa,91.0,4.0,female,English,0.0,1,3,Ophelia,0
Premolar,BM1905.5.10.1,0,8,25.0,4.1148462,1.0,Papio,West Africa,10690.0,4.3,female,English,0.0,3,3,Rita,0
Anterior,BM1906.11.1.6,0,12,28.0,3.79588028,1.0,Papio,East Africa,25960.0,4.9,female,English,0.0,3,3,Wilma,1
Posterior,BM1906.11.1.6,0,12,32.0,3.79588028,1.0,Papio,East Africa,51.0,3.9,male,English,1.0,1,2,Humberto,0
Premolar,BM1906.11.1.6,0,8,18.0,3.79588028,1.0,Papio,East Africa,1110.0,4.9,female,English,0.0,1,2,Dolly,0
Anterior,BM1907.7.8.11,0,12,22.0,3.71619727,1.0,Papio,Central Africa,4360.0,3.9,female,Korean,0.0,2,2,Gustav,1
Posterior,BM1907.7.8.11,0,12,30.0,3.71619727,1.0,Papio,Central Africa,20370.0,4.0,female,Indonesian,0.0,2,3,Ike,1
Premolar,BM1907.7.8.11,0,8,21.0,3.71619727,1.0,Papio,Central Africa,7110.0,3.5,female,Chinese,0.0,1,4,Irene,1
Anterior,BM1908.7.17.1,0,6,32.0,4.74312763,1.0,Pongo,Borneo,24000.0,3.9,male,English,0.0,1,3,Isaac,1
Posterior,BM1908.7.17.1,0,6,22.0,4.74312763,1.0,Pongo,Borneo,75000.0,4.0,male,Other,0.0,2,2,Sandy,0
Premolar,BM1908.7.17.1,0,4,21.0,4.74312763,1.0,Pongo,Borneo,1590.0,3.6,male,English,0.0,3,4,Easy,0
Anterior,BM1908.8.9.41,0,6,52.0,3.63654073,1.0,Papio,East Africa,5350.0,3.0,male,Portuguese,0.0,3,4,King,0
Posterior,BM1908.8.9.41,0,6,20.0,3.63654073,1.0,Papio,East Africa,150.0,3.0,male,Chinese,0.0,1,4,Able,1
