ind,year,name,masfem,min,gender_mf,category,alldeaths,ndam,elapsedyrs,source,masfem_mturk,wind,ndam15,bad_history,eval,weight,occupation,age,page_id,mortgage_credit,black,county,native
65,1997,Danny,2.222222,984,0,1,10,200.0,16.0,MWR,2.90625,80,220,0,4.4,73.0,5,27.0,1-1,2,0,Trinity,yes
66,1998,Bonnie,9.388889,964,1,2,3,1650.0,15.0,MWR,9.25,110,1910,0,4.4,72.0,5,27.0,1-1,2,1,San Mateo,yes
67,1998,Earl,1.888889,987,0,1,3,160.0,15.0,MWR,1.875,80,180,0,3.4,90.0,1,27.0,3-2,2,0,Kern,yes
68,1998,Georges,2.277778,964,0,2,1,3870.0,15.0,MWR,3.375,105,4230,0,3.5,78.0,6,57.0,3-2,2,0,Tuolumne,yes
69,1999,Bret,2.333333,951,0,3,0,94.0,14.0,MWR,2.90625,115,100,0,4.5,74.0,1,32.0,2-2,2,0,Trinity,yes
70,1999,Floyd,1.833333,956,0,2,56,8130.0,14.0,MWR,2.40625,105,9200,0,3.9,82.0,3,22.0,3-2,2,0,Tulare,yes
71,1999,Irene,9.277778,987,1,1,8,1430.0,14.0,MWR,8.5625,80,1610,0,3.5,83.0,1,22.0,1-1,1,0,El Dorado,yes
72,2002,Lili,10.333333,963,1,1,2,1260.0,11.0,MWR,9.59375,90,1380,0,4.6,81.0,1,22.0,1-2,2,0,Glenn,yes
73,2003,Claudette,9.166667,979,1,1,3,250.0,10.0,MWR,8.71875,90,280,0,4.2,77.0,5,22.0,1-1,2,0,Tulare,yes
74,2003,Isabel,9.388889,957,1,2,51,4980.0,10.0,MWR,9.625,105,5610,0,4.5,81.0,5,32.0,1-2,2,0,Kern,yes
75,2004,Alex,4.166666,972,0,1,1,5.0,9.0,MWR,4.0625,80,6,0,4.2,,3,27.0,3-1,2,0,Santa Clara,no
76,2004,Charley,2.888889,941,0,4,10,20510.0,9.0,MWR,4.0,150,24590,0,4.1,81.0,6,47.0,2-1,1,0,El Dorado,yes
77,2004,Frances,6.0,960,1,2,7,12620.0,9.0,MWR,6.03125,105,14820,0,4.2,78.0,5,32.0,1-1,1,1,Butte,yes
78,2004,Gaston,2.666667,985,0,1,8,170.0,9.0,MWR,2.40625,75,200,0,3.9,74.0,6,32.0,3-1,1,0,Contra Costa,no
79,2004,Ivan,1.055556,946,0,3,25,18590.0,9.0,MWR,2.09375,120,21340,0,3.3,80.0,4,27.0,1-2,2,0,San Mateo,yes
80,2004,Jeanne,8.5,950,1,3,5,10210.0,9.0,MWR,7.90625,120,12180,1,4.9,91.0,3,22.0,3-1,2,0,Sacramento,yes
81,2005,Cindy,9.944444,991,1,1,1,350.0,8.0,MWR,8.9375,75,370,0,3.4,80.0,3,22.0,2-1,1,0,San Mateo,yes
82,2005,Dennis,2.444444,946,0,3,15,2650.0,8.0,MWR,2.0,120,2930,0,4.7,72.0,6,22.0,3-1,2,0,Merced,yes
83,2005,Katrina,9.46875,920,1,3,1833,,8.0,uri,9.46875,125,88420,0,4.1,77.0,4,22.0,2-2,1,0,Kern,yes
84,2005,Ophelia,9.166667,982,1,1,1,91.0,8.0,MWR,9.125,75,100,0,5.0,86.0,4,47.0,3-2,1,0,Los Angeles,yes
85,2005,Rita,9.5,937,1,3,62,10690.0,8.0,MWR,8.4375,115,11280,0,3.5,89.0,1,22.0,3-1,2,1,Kern,yes
86,2005,Wilma,8.611111,950,1,3,5,25960.0,8.0,MWR,8.375,120,29330,0,5.0,88.0,6,42.0,1-2,2,0,Monterey,yes
87,2007,Humberto,2.388889,985,0,1,1,51.0,6.0,MWR,2.21875,90,55,1,4.0,64.0,5,22.0,1-2,1,1,Fresno,yes
88,2008,Dolly,9.833333,963,1,1,1,1110.0,5.0,MWR,10.0625,85,1260,0,4.3,77.0,3,27.0,1-1,2,0,Placer,yes
89,2008,Gustav,1.722222,951,0,2,52,4360.0,5.0,MWR,2.09375,105,4800,0,3.8,85.0,3,42.0,1-2,2,0,Shasta,yes
90,2008,Ike,1.888889,935,0,2,84,20370.0,5.0,MWR,2.21875,110,23070,0,3.5,84.0,5,27.0,1-1,2,0,Santa Clara,yes
91,2011,Irene,9.277778,952,1,1,41,7110.0,2.0,MWR,8.5625,75,7580,0,3.6,78.0,5,32.0,3-1,1,0,Stanislaus,yes
92,2012,Isaac,1.944444,965,0,1,5,24000.0,1.0,MWR,2.0,80,2400,0,3.3,62.0,7,47.0,3-2,1,0,San Bernardino,no
93,2012,Sandy,9.0,945,1,2,159,75000.0,1.0,MWR,7.9375,75,52270,0,3.6,78.0,4,27.0,1-2,2,0,Tehama,yes
