sockets,prob_male,genus,age,pop,num_amtl,stdev_age,tooth_class,specimen
Anterior,AMNH99.1/84-A,-0.9194522860016113,12,30.7794746,5.44029653,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/84-A,0.49716074405376404,12,30.7794746,5.44029653,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/84-A,0.14242573607056525,8,30.7794746,5.44029653,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/84-B,0.6904853540677682,12,48.8,10.5,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/84-B,-0.42725264633653426,8,48.8,10.5,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/84-B,0.15853969107671423,8,48.8,10.5,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/84-C,0.6255903939673367,6,46.1073874,8.74186019,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/84-C,-0.3093465397202384,6,46.1073874,8.74186019,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/84-C,0.45677523755741145,4,46.1073874,8.74186019,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/84-D,-0.6619259410666513,6,33.137615,5.94640065,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/84-D,-0.3630538465650718,6,33.137615,5.94640065,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/84-D,-0.3817378939983291,4,33.137615,5.94640065,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/86-C,-1.1958396455890397,12,47.2736416,8.3605854,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/86-C,0.4869724807855818,11,47.2736416,8.3605854,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/86-C,-0.46940234020272387,8,47.2736416,8.3605854,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/86-D,0.01249411872768743,12,50.8236683,9.7611705,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/86-D,0.48074665890590895,8,50.8236683,9.7611705,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/86-D,0.4465311760299441,8,50.8236683,9.7611705,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/87,0.6653851089727862,12,45.2,12.6,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/87,-0.09848548450942361,9,45.2,12.6,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/87,-0.42329831204415375,8,45.2,12.6,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/89-A,-0.07971821090639905,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/89-A,-1.6873344339580298,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/89-A,-1.4471124724230873,8,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/89-B,-1.3226996123544024,12,28.4213341,4.93536963,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/89-B,-0.9972468276014818,12,28.4213341,4.93536963,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/89-B,0.3997742267234366,8,28.4213341,4.93536963,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/90,-0.9054790553600608,12,55.0,15.0,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/90,-0.3781625540393897,10,55.0,15.0,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/90,1.2992282977860654,8,55.0,15.0,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/91-A,-0.35626397106142593,12,31.9585448,5.69322104,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/91-A,0.7375155684670865,12,31.9585448,5.69322104,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/91-A,-0.933617680009877,8,31.9585448,5.69322104,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/91-B,-0.20543755786763002,12,50.8236683,9.7611705,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/91-B,-0.9500220549105812,10,50.8236683,9.7611705,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/91-B,-0.3390330759005625,8,50.8236683,9.7611705,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/94,0.8403081374573955,12,34.3166852,6.19980411,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/94,-1.7273204231923487,12,34.3166852,6.19980411,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/94,0.43442364354585733,8,34.3166852,6.19980411,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/96-A,0.2377356023322779,12,37.8538959,6.96111299,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/96-A,-0.5941499556967944,12,37.8538959,6.96111299,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/96-A,-1.4460578543884546,8,37.8538959,6.96111299,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/97,0.07212950771386951,12,36.6748257,6.70718105,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/97,-0.5294927090638024,10,36.6748257,6.70718105,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/97,0.23267621135470395,8,36.6748257,6.70718105,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/98,0.02185214552344288,12,30.7794746,5.44029653,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/98,1.6017788913209154,12,30.7794746,5.44029653,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/98,-0.23935562747302427,8,30.7794746,5.44029653,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/99,-1.023497492621865,12,31.9585448,5.69322104,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/99,0.17927563495631615,12,31.9585448,5.69322104,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/99,0.21999668397176517,8,31.9585448,5.69322104,0.25,Homo sapiens,Alaska
Anterior,BM1868.4.16.2,1.3591875752404365,12,12.47378,3.29146087,1.0,Pongo,Borneo
Posterior,BM1868.4.16.2,0.8351112459145785,12,12.47378,3.29146087,1.0,Pongo,Borneo
Premolar,BM1868.4.16.2,0.35687105914950934,8,12.47378,3.29146087,1.0,Pongo,Borneo
Anterior,BM1884.10.30.1,1.4633028912195618,6,13.686453,3.71761878,1.0,Pongo,Borneo
Posterior,BM1884.10.30.1,-1.188763054322851,6,13.686453,3.71761878,1.0,Pongo,Borneo
Premolar,BM1884.10.30.1,-0.6397515327497477,4,13.686453,3.71761878,1.0,Pongo,Borneo
Anterior,BM1884.10.30.2,-0.9265759414055249,12,13.686453,3.71761878,1.0,Pongo,Borneo
Posterior,BM1884.10.30.2,-0.38980980315576796,12,13.686453,3.71761878,1.0,Pongo,Borneo
Premolar,BM1884.10.30.2,-1.3766861475563088,8,13.686453,3.71761878,1.0,Pongo,Borneo
Anterior,BM1886.12.20.10,0.6351509468144043,12,14.1715222,3.88831042,1.0,Pongo,Borneo
Posterior,BM1886.12.20.10,-0.22222269709877338,12,14.1715222,3.88831042,1.0,Pongo,Borneo
Premolar,BM1886.12.20.10,-1.4708062945026579,8,14.1715222,3.88831042,1.0,Pongo,Borneo
Anterior,BM1898.2.28.11,-1.0155790812075416,12,13.9289876,3.80295048,1.0,Pongo,Borneo
Posterior,BM1898.2.28.11,0.3135138474501953,12,13.9289876,3.80295048,1.0,Pongo,Borneo
Premolar,BM1898.2.28.11,0.8381265678943811,8,13.9289876,3.80295048,1.0,Pongo,Borneo
Anterior,BM1899.11.6.1,1.9967308916917865,12,17.1217143,3.06608828,0.0,Papio,Arabia
Posterior,BM1899.11.6.1,2.9138624660073296,12,17.1217143,3.06608828,0.0,Papio,Arabia
Premolar,BM1899.11.6.1,0.4144094332759964,8,17.1217143,3.06608828,0.0,Papio,Arabia
Anterior,BM1899.6.10.2,-0.9895381200318641,12,18.5922731,3.4773143,1.0,Papio,East Africa
Posterior,BM1899.6.10.2,-2.132046280731309,12,18.5922731,3.4773143,1.0,Papio,East Africa
Premolar,BM1899.6.10.2,0.2677114623438358,8,18.5922731,3.4773143,1.0,Papio,East Africa
Anterior,BM1899.7.8.1,-0.812941095310326,12,23.0253446,4.35428022,1.0,Papio,East Africa
Posterior,BM1899.7.8.1,-0.41535726017968533,12,23.0253446,4.35428022,1.0,Papio,East Africa
Premolar,BM1899.7.8.1,-0.6120967990598081,8,23.0253446,4.35428022,1.0,Papio,East Africa
Anterior,BM1900.3.18.1,-0.14079088641638526,12,18.5922731,3.4773143,1.0,Papio,East Africa
Posterior,BM1900.3.18.1,1.0659802307876436,12,18.5922731,3.4773143,1.0,Papio,East Africa
Premolar,BM1900.3.18.1,0.15704856744534462,8,18.5922731,3.4773143,1.0,Papio,East Africa
Anterior,BM1900.6.28.1,-0.1586348370386883,12,11.454619,2.00186723,1.0,Papio,Arabia
Posterior,BM1900.6.28.1,-1.0356537528258116,12,11.454619,2.00186723,1.0,Papio,Arabia
Premolar,BM1900.6.28.1,-1.674682944704357,8,11.454619,2.00186723,1.0,Papio,Arabia
Anterior,BM1901.2.13.1,-0.4863079090733309,12,18.9952796,3.55691242,1.0,Papio,West Africa
Posterior,BM1901.2.13.1,-0.05378255081832049,12,18.9952796,3.55691242,1.0,Papio,West Africa
Premolar,BM1901.2.13.1,1.767929913579883,8,18.9952796,3.55691242,1.0,Papio,West Africa
Anterior,BM1901.8.9.23,0.13027452147288585,12,18.5922731,3.4773143,0.0,Papio,East Africa
Posterior,BM1901.8.9.23,0.9827395110230576,12,18.5922731,3.4773143,0.0,Papio,East Africa
Premolar,BM1901.8.9.23,-0.49929559853915206,8,18.5922731,3.4773143,0.0,Papio,East Africa
Anterior,BM1902.11.22.1,-1.1849437664170246,12,12.485,2.19399907,1.0,Papio,Arabia
Posterior,BM1902.11.22.1,-0.9651167622323719,12,12.485,2.19399907,1.0,Papio,Arabia
Premolar,BM1902.11.22.1,-0.7252260645357532,8,12.485,2.19399907,1.0,Papio,Arabia
Anterior,BM1902.9.2.1,2.1284697324351645,12,19.8012926,3.71619727,1.0,Papio,East Africa
Posterior,BM1902.9.2.1,-0.8213866792243861,12,19.8012926,3.71619727,1.0,Papio,East Africa
Premolar,BM1902.9.2.1,0.838489203736345,8,19.8012926,3.71619727,1.0,Papio,East Africa
Anterior,BM1902.9.9.3,-0.9029271780870264,12,22.6223381,4.27445115,1.0,Papio,East Africa
Posterior,BM1902.9.9.3,0.9315730128742441,9,22.6223381,4.27445115,1.0,Papio,East Africa
Premolar,BM1902.9.9.3,0.38495096610586316,8,22.6223381,4.27445115,1.0,Papio,East Africa
Anterior,BM1904.11.5.2,-0.1566378976580904,12,21.4133186,4.03507241,1.0,Papio,East Africa
Posterior,BM1904.11.5.2,-0.040762526135434025,12,21.4133186,4.03507241,1.0,Papio,East Africa
Premolar,BM1904.11.5.2,-0.6547876954293904,8,21.4133186,4.03507241,1.0,Papio,East Africa
Anterior,BM1904.8.2.1,0.44607220148208054,12,12.485,2.19399907,1.0,Papio,Arabia
Posterior,BM1904.8.2.1,-0.45498348034078,12,12.485,2.19399907,1.0,Papio,Arabia
Premolar,BM1904.8.2.1,-1.2256057637672482,8,12.485,2.19399907,1.0,Papio,Arabia
Anterior,BM1904.8.2.3,-1.2779375743196193,12,17.1217143,3.06608828,1.0,Papio,East Africa
Posterior,BM1904.8.2.3,0.17258791772211948,12,17.1217143,3.06608828,1.0,Papio,East Africa
Premolar,BM1904.8.2.3,1.579091256410435,8,17.1217143,3.06608828,1.0,Papio,East Africa
Anterior,BM1905.5.10.1,0.15999161357343825,12,21.8163251,4.1148462,1.0,Papio,West Africa
Posterior,BM1905.5.10.1,-0.11863832610988256,12,21.8163251,4.1148462,1.0,Papio,West Africa
Premolar,BM1905.5.10.1,0.2858261396025429,8,21.8163251,4.1148462,1.0,Papio,West Africa
Anterior,BM1906.11.1.6,1.3060017417068248,12,20.2042991,3.79588028,1.0,Papio,East Africa
Posterior,BM1906.11.1.6,0.21938250136385634,12,20.2042991,3.79588028,1.0,Papio,East Africa
Premolar,BM1906.11.1.6,-0.41092723083373717,8,20.2042991,3.79588028,1.0,Papio,East Africa
Anterior,BM1907.7.8.11,1.1062887100598888,12,19.8012926,3.71619727,1.0,Papio,Central Africa
Posterior,BM1907.7.8.11,0.4287564384616135,12,19.8012926,3.71619727,1.0,Papio,Central Africa
Premolar,BM1907.7.8.11,1.535755991995992,8,19.8012926,3.71619727,1.0,Papio,Central Africa
Anterior,BM1908.7.17.1,0.18323443722190613,6,16.5968682,4.74312763,1.0,Pongo,Borneo
Posterior,BM1908.7.17.1,-1.2244690317205003,6,16.5968682,4.74312763,1.0,Pongo,Borneo
Premolar,BM1908.7.17.1,-1.368159199245665,4,16.5968682,4.74312763,1.0,Pongo,Borneo
Anterior,BM1908.8.9.41,1.6509279322312496,6,19.3982861,3.63654073,1.0,Papio,East Africa
Posterior,BM1908.8.9.41,1.723665720783297,6,19.3982861,3.63654073,1.0,Papio,East Africa
Premolar,BM1908.8.9.41,-0.17951921328260065,4,19.3982861,3.63654073,1.0,Papio,East Africa
Anterior,BM1908.8.9.42,-0.38318732113598775,12,23.8313576,4.51398683,0.0,Papio,East Africa
Posterior,BM1908.8.9.42,1.4614442922422022,12,23.8313576,4.51398683,0.0,Papio,East Africa
Premolar,BM1908.8.9.42,-1.107045682043488,8,23.8313576,4.51398683,0.0,Papio,East Africa
Anterior,BM1909.6.11,-0.8947270189558264,12,14.0305714,2.48359763,1.0,Papio,East Africa
Posterior,BM1909.6.11,0.6433267946890444,12,14.0305714,2.48359763,1.0,Papio,East Africa
Premolar,BM1909.6.11,-0.3946051228595896,8,14.0305714,2.48359763,1.0,Papio,East Africa
Anterior,BM1910.10.3.1,-0.005121866720071296,12,13.0001905,2.29036872,1.0,Papio,East Africa
Posterior,BM1910.10.3.1,-0.16344289852451258,9,13.0001905,2.29036872,1.0,Papio,East Africa
Premolar,BM1910.10.3.1,0.33757454879893356,7,13.0001905,2.29036872,1.0,Papio,East Africa
Anterior,BM1911.12.1.1,1.4074818613137168,12,18.1892666,3.39774848,1.0,Papio,East Africa
Posterior,BM1911.12.1.1,0.09058490690174555,12,18.1892666,3.39774848,1.0,Papio,East Africa
Premolar,BM1911.12.1.1,0.6439387932768579,8,18.1892666,3.39774848,1.0,Papio,East Africa
Anterior,BM1913.10.18.2,-2.0501721010310225,12,19.3982861,3.63654073,1.0,Papio,East Africa
Posterior,BM1913.10.18.2,-0.04871840193011795,12,19.3982861,3.63654073,1.0,Papio,East Africa
Premolar,BM1913.10.18.2,-0.8432302702928711,8,19.3982861,3.63654073,1.0,Papio,East Africa
Anterior,BM1913.10.18.3,-1.218813060423628,6,24.2343641,4.59386268,1.0,Papio,East Africa
Posterior,BM1913.10.18.3,-0.8781523669287508,6,24.2343641,4.59386268,1.0,Papio,East Africa
Premolar,BM1913.10.18.3,-0.33412344070081207,4,24.2343641,4.59386268,1.0,Papio,East Africa
Anterior,BM1914.3.8.2,0.9159025423560131,12,26.6524031,5.07338879,0.0,Papio,East Africa
Posterior,BM1914.3.8.2,-1.326392717739564,12,26.6524031,5.07338879,0.0,Papio,East Africa
Premolar,BM1914.3.8.2,0.030631492594417446,8,26.6524031,5.07338879,0.0,Papio,East Africa
Anterior,BM1918.11.8.1,-0.4841694333335785,6,22.6223381,4.27445115,1.0,Papio,East Africa
Posterior,BM1918.11.8.1,-0.32767309436196085,6,22.6223381,4.27445115,1.0,Papio,East Africa
Premolar,BM1918.11.8.1,1.0027578253046041,4,22.6223381,4.27445115,1.0,Papio,East Africa
Anterior,BM1922.12.19.6,0.5381154370039261,12,18.1892666,3.39774848,1.0,Papio,Central Africa
Posterior,BM1922.12.19.6,1.3373981074427437,12,18.1892666,3.39774848,1.0,Papio,Central Africa
Premolar,BM1922.12.19.6,-0.15450567924990047,8,18.1892666,3.39774848,1.0,Papio,Central Africa
Anterior,BM1923.3.4.3,-0.695942611670703,12,28.2644291,5.39328887,0.0,Papio,East Africa
Posterior,BM1923.3.4.3,-0.22385881688049952,12,28.2644291,5.39328887,0.0,Papio,East Africa
Premolar,BM1923.3.4.3,0.2424967912712216,8,28.2644291,5.39328887,0.0,Papio,East Africa
Anterior,BM1924.2.25.1,0.17657335845371103,12,20.6073056,3.87558812,1.0,Papio,East Africa
Posterior,BM1924.2.25.1,-1.0843880722333665,12,20.6073056,3.87558812,1.0,Papio,East Africa
Premolar,BM1924.2.25.1,0.09048978162787422,8,20.6073056,3.87558812,1.0,Papio,East Africa
Anterior,BM1924.8.6.15,0.22822833013890514,12,19.3982861,3.63654073,1.0,Papio,West Africa
Posterior,BM1924.8.6.15,2.5174740375339204,12,19.3982861,3.63654073,1.0,Papio,West Africa
Premolar,BM1924.8.6.15,1.8768446112816701,8,19.3982861,3.63654073,1.0,Papio,West Africa
Anterior,BM1924.8.6.16,-0.8532433505588201,12,24.2343641,4.59386268,0.0,Papio,West Africa
Posterior,BM1924.8.6.16,-0.2873833615491761,12,24.2343641,4.59386268,0.0,Papio,West Africa
Premolar,BM1924.8.6.16,-1.4634420018370031,8,24.2343641,4.59386268,0.0,Papio,West Africa
Anterior,BM1925.5.12.1,-0.5907070139634865,12,21.8163251,4.1148462,1.0,Papio,West Africa
Posterior,BM1925.5.12.1,0.3156050035903405,12,21.8163251,4.1148462,1.0,Papio,West Africa
Premolar,BM1925.5.12.1,1.2058536208882336,8,21.8163251,4.1148462,1.0,Papio,West Africa
Anterior,BM1927.8.14.1,-0.7290838377436085,6,16.0913333,2.87155209,0.0,Papio,East Africa
Posterior,BM1927.8.14.1,-0.6541464400677965,6,16.0913333,2.87155209,0.0,Papio,East Africa
Premolar,BM1927.8.14.1,-2.147289029738655,4,16.0913333,2.87155209,0.0,Papio,East Africa
Anterior,BM1930.12.1.2,-0.16266592054490767,12,20.2042991,3.79588028,0.0,Papio,East Africa
Posterior,BM1930.12.1.2,-1.062414411859563,12,20.2042991,3.79588028,0.0,Papio,East Africa
Premolar,BM1930.12.1.2,-0.5294394273660737,8,20.2042991,3.79588028,0.0,Papio,East Africa
Anterior,BM1931.4.1.1,-0.8768607781675882,12,19.3982861,3.63654073,1.0,Papio,East Africa
Posterior,BM1931.4.1.1,-0.09426255425255699,12,19.3982861,3.63654073,1.0,Papio,East Africa
Premolar,BM1931.4.1.1,-1.7577283913566313,8,19.3982861,3.63654073,1.0,Papio,East Africa
Anterior,BM1932.7.6.1,-1.4670452453909906,12,13.515381,2.38690817,1.0,Papio,East Africa
Posterior,BM1932.7.6.1,2.129247112028298,12,13.515381,2.38690817,1.0,Papio,East Africa
Premolar,BM1932.7.6.1,-1.287422581274031,8,13.515381,2.38690817,1.0,Papio,East Africa
Anterior,BM1934.11.20.1,-1.0967855784546396,12,18.5922731,3.4773143,1.0,Papio,East Africa
Posterior,BM1934.11.20.1,1.836913528321314,12,18.5922731,3.4773143,1.0,Papio,East Africa
Premolar,BM1934.11.20.1,2.905067169240407,8,18.5922731,3.4773143,1.0,Papio,East Africa
Anterior,BM1935.10.22.24,-1.1715666288253417,6,21.0103121,3.95531929,0.0,Papio,West Africa
Posterior,BM1935.10.22.24,-0.36824895678803055,6,21.0103121,3.95531929,0.0,Papio,West Africa
Premolar,BM1935.10.22.24,0.34155555094050954,4,21.0103121,3.95531929,0.0,Papio,West Africa
Anterior,BM1935.2.14.1,1.7286976444055924,12,19.3982861,3.63654073,1.0,Papio,East Africa
Posterior,BM1935.2.14.1,-0.9868570784282374,12,19.3982861,3.63654073,1.0,Papio,East Africa
Premolar,BM1935.2.14.1,-0.24527784594210975,8,19.3982861,3.63654073,1.0,Papio,East Africa
Anterior,BM1936.12.28.1,0.777337576061744,12,18.5922731,3.4773143,1.0,Papio,East Africa
Posterior,BM1936.12.28.1,0.43476607446661863,12,18.5922731,3.4773143,1.0,Papio,East Africa
Premolar,BM1936.12.28.1,-0.37615607123009925,8,18.5922731,3.4773143,1.0,Papio,East Africa
