fish_caught,livebait,camper,persons,child,hours
130,0,1,2,3,19.572464083242643
37,1,1,3,3,29.198159385557787
74,0,1,3,2,34.42411752455874
127,1,0,3,3,42.65962395885966
125,0,0,4,0,23.778080517983405
90,0,0,1,3,54.71016919690055
63,0,0,4,3,35.036509320830255
17,1,0,2,0,35.42276803272824
90,0,0,2,0,39.690046018899956
104,0,0,1,1,33.24146393884589
132,0,0,2,2,30.37787333577591
38,1,1,3,3,26.484483522779865
61,0,0,2,1,45.22489211647702
110,1,1,2,0,44.482816625686254
129,0,0,4,3,54.68177986595775
124,1,1,2,1,22.223585949254304
44,1,0,4,0,34.228738685944684
73,0,1,1,3,23.42649529822005
21,1,1,2,0,31.452346378251526
57,0,0,4,3,27.113632160821158
54,0,0,3,2,15.387401952247473
89,1,0,3,0,30.13072749214711
15,1,0,2,0,41.48364107908017
123,0,0,1,1,31.174121593515753
40,0,1,3,3,26.55729795197881
13,0,1,4,0,21.65139308987014
77,0,0,4,0,40.87286868895799
129,1,0,4,1,21.375448551676385
69,1,0,2,0,41.765980618615245
20,1,0,1,2,39.687361538712125
47,0,0,4,1,46.45755355228444
70,1,0,2,0,51.08964622828636
85,1,0,3,0,31.624665098706803
88,0,1,1,0,33.667524239166376
26,0,1,1,1,17.94072646638218
140,0,0,2,0,30.158756106800205
113,0,0,3,3,42.066096507497235
89,1,1,2,1,43.675368330138426
9,0,1,3,1,39.79189204752666
101,0,0,1,0,20.049290584510857
74,0,1,4,2,26.073305781333357
38,0,0,2,2,26.31581702694941
39,0,1,3,0,28.041750030185614
15,0,0,2,0,35.85017654274483
124,0,0,4,0,47.49246760848492
140,1,1,2,0,39.6190980015095
7,0,1,2,3,21.90687552143043
36,0,0,2,1,25.057363466879288
40,1,1,2,0,32.259677045221196
149,0,1,4,3,31.418219589552304
80,1,1,1,1,32.76249314069855
62,0,0,4,0,34.67208854780681
48,0,1,4,2,58.24046526132996
98,0,0,3,3,31.898151976655306
26,1,1,4,1,44.304067182321255
63,1,1,1,0,32.806700389461426
130,0,1,3,2,30.535536851876145
126,1,0,4,3,52.06594830561855
112,0,0,2,1,42.20328053671379
53,0,0,2,0,32.445807400810125
115,0,1,3,2,46.84860012830529
126,1,0,3,3,26.41802478552672
91,1,0,3,0,36.68127913643212
139,1,0,2,0,36.428146886020436
71,0,1,3,1,38.280742580538885
13,0,0,3,0,35.94413325308683
10,1,1,1,3,28.59261121497729
93,1,1,4,0,13.927142943391967
4,0,1,3,3,41.53017403485966
103,1,1,4,1,33.760365561723006
110,1,0,1,2,19.82291424859547
25,1,0,1,1,48.29448994603756
98,0,0,2,1,39.42544909014102
75,0,1,1,3,29.700004850502445
132,0,1,1,2,37.69013249806245
115,0,1,3,1,37.77541623745279
50,0,1,2,0,28.334980099236823
69,0,1,2,0,38.8132414166628
94,0,1,2,1,43.37924861928072
126,1,1,1,1,34.73449801674735
50,0,1,1,2,16.60973080077738
0,0,0,3,0,37.83382234541938
50,0,1,1,2,23.10659085490612
130,1,0,2,3,19.21366669604433
135,0,1,4,2,55.07454661462471
48,1,1,4,1,32.5854047661858
100,0,0,3,2,19.58239142202048
92,0,1,2,3,24.803543923479495
143,0,0,2,2,46.84438143721535
38,0,1,4,0,33.61262533555296
30,1,1,4,2,43.28249854163499
16,0,1,4,0,48.38606853785065
23,1,1,3,0,40.0480300220757
35,1,0,3,2,25.5768839708716
12,0,0,1,0,47.553847580204106
62,1,1,3,0,29.171082355956184
52,0,0,1,1,30.3948833598479
138,0,0,4,3,35.61338138194615
12,0,0,2,2,31.179957185196525
18,1,0,1,1,31.310775916886072
68,1,0,4,3,42.197513029286206
72,1,1,1,0,28.195862435337574
19,1,0,1,3,19.766373348944796
21,0,0,3,1,6.887605096207626
115,1,0,2,0,32.643613390447754
147,0,0,1,3,41.73218417682516
54,0,1,1,1,21.70877922043976
129,0,0,2,3,31.02662091114536
104,1,0,2,2,22.131163074221632
105,1,1,1,1,37.83020419117226
19,1,1,1,2,39.44181968002216
23,1,0,4,1,29.06343342686128
90,1,0,2,3,50.70937219900814
80,1,0,1,0,25.702464786353726
61,0,1,3,0,43.876343861024395
73,0,0,3,3,22.32272319153683
2,1,0,2,1,41.39884144607587
94,0,0,3,3,44.37828958792932
8,0,1,2,3,35.58148693859713
96,1,1,4,3,47.67225666622308
141,0,1,4,2,33.80867883958215
77,1,0,4,1,39.12903138923715
101,1,1,3,2,52.00251521849258
120,0,1,3,2,32.00799080329148
13,1,1,1,0,40.232024745895
111,1,0,3,3,40.553705798220605
96,0,0,2,3,45.311677967163305
51,1,0,3,0,62.685713065602926
47,1,1,2,2,30.964839691503084
74,1,1,3,0,31.65426354081216
147,0,0,2,3,24.358006155946313
81,1,0,1,2,28.59993469712424
31,0,1,2,1,43.374846587958174
85,1,1,2,2,36.81267835580505
124,0,0,3,0,30.95370866030738
114,0,0,3,1,44.53756479398789
24,1,1,3,0,34.136075381619904
4,0,1,2,1,46.816473397621564
136,1,0,2,1,28.696027836664193
112,1,0,3,2,28.651929016801123
96,1,1,2,3,29.260558947161893
140,1,1,1,0,41.70275410277519
38,1,0,2,2,25.367411506791903
59,0,0,3,3,29.46440009887165
132,0,0,4,2,53.099675395541595
100,1,0,1,1,34.12626664201808
140,1,0,2,1,48.28686875364171
138,0,0,2,2,18.702561543688898
139,0,0,1,0,49.993386970364405
115,0,0,4,3,30.862012164824563
31,1,0,1,1,30.618753205892276
81,0,0,1,2,43.71815716385732
142,0,1,1,0,46.21243708701257
33,1,0,2,3,21.10237596730256
70,0,0,2,0,34.45725639680541
112,0,1,1,2,37.676379726891426
17,1,0,3,1,34.07183420455671
6,0,1,1,3,42.51478941271617
99,0,1,1,1,39.80704043405386
115,0,0,2,3,38.25709384441594
37,1,1,2,0,43.71227948194348
19,1,0,1,0,36.55707843727703
142,0,1,1,3,50.56409373543433
4,0,0,2,0,43.02943718755862
24,0,1,2,1,48.93644786605004
136,1,1,3,1,30.913545765861862
141,1,0,1,1,21.27599785139879
113,0,1,2,3,33.98371467235496
108,1,1,1,2,35.22393042537949
108,0,1,4,2,49.85117156287423
71,1,0,4,3,29.561589262897893
118,0,0,4,2,32.49205283962786
139,0,1,1,1,42.33134045622633
107,0,0,4,0,40.05256677905498
91,1,0,4,3,24.571240227319663
114,0,1,4,2,47.82952933613332
47,1,1,4,0,38.494870915313854
63,0,0,3,1,18.533808480705737
39,0,0,3,3,18.18335555976384
3,1,1,3,0,42.120869148199716
112,0,0,4,0,31.515005456466035
86,1,0,3,2,27.867799164441657
60,1,1,4,0,53.2229476008269
123,0,1,2,3,30.524610440611564
32,0,1,1,0,46.79608113012049
110,1,1,1,3,35.04775256809807
19,0,0,1,2,8.920332548092503
100,0,0,3,0,26.407588985382112
6,1,1,4,2,48.68224914275523
107,0,1,3,3,33.42055198990348
16,1,1,1,2,28.471352582690983
91,1,1,2,3,38.594051841805154
116,0,0,4,0,24.799838820903428
