rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,m_focal,num_words,income,county,nExp,leagueCountry,n_focal,dyad,help
267,0,male,9,4.0,yes,5,20,6,5,2,324,13.40511703,Monterey,46916.0,England,5,5,N
269,0,male,13,10.0,yes,4,20,6,4,4,120,12.30179977,Santa Barbara,3011.0,France,13,3,y
271,0,male,6,4.0,no,1,18,5,5,3,383,15.40407085,Los Angeles,46916.0,England,10,7,N
277,0,female,8,15.0,yes,4,14,3,1,2,145,13.76200008,Los Angeles,46916.0,England,5,4,N
290,0,male,8,1.5,yes,5,16,4,4,3,383,14.18400002,Los Angeles,46916.0,England,10,7,N
292,0,female,9,15.0,yes,4,17,1,5,3,383,8.864999771,Sacramento,3011.0,France,10,7,N
293,0,female,6,0.75,no,4,17,5,4,2,166,12.99699974,Monterey,3011.0,France,5,1,N
295,0,male,5,10.0,yes,4,20,6,4,2,145,11.59200001,Ventura,46916.0,England,5,1,N
299,0,female,13,15.0,yes,5,14,7,2,2,120,8.279000282,Tulare,46916.0,England,5,5,N
320,0,male,13,10.0,yes,3,20,6,4,2,166,10.90564251,Sacramento,7974.0,Germany,5,6,N
321,0,female,9,0.75,no,2,16,5,5,3,166,13.40062523,Orange,46916.0,England,10,6,N
324,0,male,8,4.0,no,2,18,4,5,3,106,11.08100033,Kings,1897.0,England,10,6,N
334,0,male,7,7.0,no,4,20,6,4,3,145,9.081999779,Kings,5621.0,England,10,6,N
351,0,male,13,15.0,yes,2,17,3,5,2,324,13.39000034,Kern,204.0,France,5,6,N
355,0,male,5,10.0,yes,4,20,6,4,2,324,14.60162544,Los Angeles,46916.0,England,5,5,N
361,0,female,7,15.0,yes,3,17,6,5,2,120,11.11600018,Kings,5212.0,Germany,6,5,N
362,0,female,10,1.5,no,5,16,5,5,3,120,8.423000336,San Diego,46916.0,England,10,6,N
366,0,female,12,1.5,no,2,16,6,4,4,166,11.66499996,Sonoma,2306.0,England,13,3,N
370,0,female,4,4.0,no,3,17,5,5,3,120,7.304999828,Kern,606.0,Germany,10,3,N
374,0,female,9,10.0,yes,5,14,4,5,2,324,13.7305994,Los Angeles,7974.0,Germany,5,5,N
378,0,female,7,0.125,no,2,12,5,5,4,383,11.11600018,Kings,7974.0,Germany,13,3,N
381,0,male,5,15.0,yes,4,14,4,3,4,324,10.36442852,Merced,1049.0,Germany,13,1,N
382,0,male,8,15.0,yes,1,14,5,5,4,383,6.982999802,Santa Barbara,46916.0,England,13,1,N
383,0,male,10,7.0,yes,4,16,5,5,2,106,14.46780014,San Bernardino,46916.0,England,5,5,N
384,0,female,7,1.5,yes,3,16,5,5,4,145,14.65299988,Contra Costa,3011.0,France,13,1,N
400,0,male,7,4.0,yes,3,17,6,5,2,324,10.62899971,Humboldt,7974.0,Germany,5,6,N
403,0,female,7,1.5,no,3,16,5,5,3,106,9.781000137,Siskiyou,1895.0,Spain,10,4,N
409,0,male,7,15.0,yes,2,14,7,2,2,383,10.65600014,Siskiyou,550.0,Germany,5,1,N
412,0,male,11,1.5,yes,3,18,6,5,3,106,11.93799973,Ventura,7974.0,Germany,10,4,N
413,0,male,9,15.0,yes,4,20,6,5,2,145,7.385000229,Fresno,7974.0,Germany,5,4,N
416,0,female,10,0.75,no,2,16,3,4,2,106,10.67599964,Merced,1897.0,England,5,4,N
418,0,male,12,4.0,no,4,17,3,3,3,166,9.972000122,Merced,7974.0,Spain,10,8,N
422,0,female,6,1.5,yes,4,12,1,5,3,120,8.258000374,Fresno,7974.0,Germany,10,2,N
435,0,female,13,0.417,no,1,17,6,4,2,106,8.895999908,San Bernardino,46916.0,England,5,4,N
439,0,female,4,15.0,yes,4,17,5,5,2,383,12.06200027,Riverside,1895.0,England,5,5,N
445,0,female,5,1.5,no,3,18,5,2,3,383,9.428894997,Los Angeles,3011.0,France,10,7,y
447,0,female,8,1.5,yes,3,14,1,5,2,324,8.920332909,Kern,136.0,England,6,5,N
448,0,female,9,15.0,yes,3,14,1,4,2,383,10.09799957,Tulare,46916.0,England,5,5,N
449,0,female,9,15.0,yes,4,14,3,4,3,324,11.82999992,Sacramento,3011.0,France,10,8,N
478,0,male,10,10.0,yes,2,14,5,3,3,106,11.55300045,Lake,232.0,Germany,10,4,N
482,0,male,7,10.0,yes,4,16,5,4,2,120,19.70700073,Santa Clara,3011.0,France,6,5,N
486,0,male,6,15.0,yes,5,20,5,3,3,383,7.105000019,Butte,6121.0,Germany,10,4,N
489,0,male,5,0.417,no,1,16,3,4,2,145,13.72500038,San Mateo,1365.0,France,6,5,N
490,0,female,10,15.0,yes,5,14,1,5,3,145,10.09799957,Tulare,1897.0,Spain,10,8,N
491,0,male,9,15.0,yes,3,16,6,1,2,324,13.76200008,Los Angeles,95.0,Spain,5,5,N
492,0,male,10,10.0,yes,1,16,6,4,3,166,9.664999962,Imperial,46916.0,England,10,7,N
503,0,male,13,15.0,yes,3,17,5,5,2,324,10.26399994,Imperial,598.0,Germany,5,4,N
508,0,male,12,15.0,yes,4,20,6,5,2,106,11.56920052,Los Angeles,294.0,Germany,5,4,N
509,0,female,5,10.0,yes,5,14,1,5,4,120,7.40500021,Kern,3011.0,France,13,3,N
512,0,male,7,10.0,yes,2,18,6,4,2,106,12.07699966,Kern,598.0,Germany,5,5,N
515,0,female,10,0.125,no,4,12,4,5,4,383,11.28299999,Sutter,7974.0,England,13,1,N
517,0,male,11,15.0,yes,5,20,6,5,2,166,10.03499985,Mendocino,3011.0,France,6,5,N
532,0,female,8,15.0,yes,4,18,6,4,2,106,8.383999825,San Bernardino,1897.0,Spain,5,4,N
533,0,male,9,4.0,yes,4,14,6,4,2,145,13.63000011,San Benito,3011.0,France,5,4,y
535,0,male,6,7.0,yes,4,18,5,4,4,145,14.12766743,Los Angeles,3011.0,France,13,3,N
537,0,male,4,15.0,yes,4,20,5,4,3,324,11.26612473,Butte,1121.0,France,10,4,N
538,0,male,8,15.0,yes,3,14,6,3,2,120,13.39000034,Kern,167.0,Germany,6,5,N
543,0,female,6,1.5,no,2,14,5,4,4,383,11.93799973,Ventura,46916.0,England,13,3,N
547,0,female,4,7.0,yes,4,17,1,5,2,145,8.258000374,Fresno,1938.0,England,5,5,N
550,0,female,10,15.0,yes,4,17,6,5,4,324,14.22672749,Los Angeles,46916.0,England,13,3,y
558,0,female,5,1.5,no,5,18,5,5,3,324,10.47200012,Madera,232.0,France,10,7,y
571,0,male,11,10.0,yes,5,20,7,4,2,145,14.24290085,Orange,46916.0,England,5,4,N
578,0,female,9,7.0,no,3,16,5,4,3,166,14.06599998,Tulare,3011.0,France,10,7,N
583,0,male,4,15.0,no,4,20,6,5,3,106,15.96800041,Santa Clara,550.0,Spain,10,7,N
586,0,male,13,15.0,yes,4,14,3,2,2,106,10.26399994,Imperial,1365.0,France,5,1,N
594,0,male,10,10.0,no,5,18,6,4,2,324,10.6024704,San Diego,7974.0,Germany,5,1,N
597,0,female,7,0.75,no,4,16,1,5,2,324,10.52299976,Shasta,7974.0,Germany,5,5,N
602,0,female,7,7.0,yes,4,12,2,4,2,106,11.23799992,Tulare,7974.0,Germany,5,6,N
603,0,female,5,7.0,yes,2,16,2,5,3,106,10.05599976,Tehama,46916.0,England,10,6,N
604,0,female,7,15.0,yes,5,18,5,4,3,120,11.18299961,Tulare,7974.0,Germany,10,6,N
612,0,male,13,15.0,yes,4,17,5,3,3,106,7.385000229,Fresno,18.0,Germany,10,6,N
613,0,female,8,7.0,yes,2,16,1,2,2,383,13.57900047,Monterey,46916.0,England,5,6,N
621,0,female,10,1.5,no,3,16,5,5,2,166,9.630000114,Tulare,3011.0,France,5,5,N
627,0,male,10,15.0,yes,5,20,6,5,2,166,15.27400017,Riverside,1897.0,Spain,6,5,N
630,0,female,7,0.125,no,2,14,4,5,3,383,14.03425026,Sonoma,3351.0,England,10,6,N
631,0,male,6,1.5,no,4,16,5,5,4,166,10.23966694,Los Angeles,46916.0,England,13,3,y
632,0,male,5,1.5,no,2,18,6,5,3,106,9.484999657,Tehama,234.0,England,10,3,N
639,0,male,5,1.5,no,2,17,6,5,2,106,15.0298748,San Mateo,2388.0,Germany,5,5,N
645,0,female,5,10.0,yes,4,16,1,3,4,383,9.781000137,Siskiyou,3011.0,Germany,13,3,N
647,0,male,9,15.0,yes,4,18,6,5,4,166,13.19200039,Kern,46916.0,Germany,13,1,N
648,0,female,4,1.5,no,2,16,6,5,4,145,12.2159996,Stanislaus,3011.0,France,13,1,N
651,0,male,8,4.0,no,2,18,6,3,2,120,14.07600021,Tuolumne,46916.0,England,5,5,N
655,0,female,5,10.0,yes,3,14,5,3,4,145,25.4873333,San Mateo,1897.0,Spain,13,1,y
667,0,female,9,15.0,yes,3,18,5,4,2,324,14.86699963,El Dorado,2306.0,Germany,5,6,N
670,0,female,6,0.75,no,2,18,6,5,3,383,9.972000122,Merced,271.0,England,10,4,N
671,0,female,10,15.0,yes,2,16,1,4,2,324,14.57800007,San Joaquin,3351.0,England,5,1,y
673,0,male,8,4.0,yes,4,20,5,5,3,145,7.385000229,Fresno,3011.0,England,10,4,N
701,0,male,9,4.0,no,1,20,5,4,2,106,12.34300041,Sacramento,3011.0,France,5,4,N
705,0,female,7,10.0,yes,2,12,1,4,2,383,12.43133259,Stanislaus,1897.0,Spain,5,4,N
706,0,female,5,15.0,yes,5,18,6,4,3,166,14.90600014,Merced,7974.0,Germany,10,8,N
709,0,male,6,7.0,yes,5,12,5,3,3,324,12.66989994,Ventura,46916.0,England,10,2,N
717,0,male,8,15.0,yes,2,18,5,4,2,120,10.33300018,Humboldt,1897.0,Spain,5,4,N
719,0,male,10,4.0,no,3,20,6,3,2,106,11.97200012,Humboldt,1365.0,France,5,5,N
723,0,male,5,4.0,yes,1,18,5,4,3,120,12.82699966,San Diego,1938.0,England,10,7,N
724,0,male,9,4.0,yes,4,14,5,4,2,166,10.03999996,Lake,7974.0,Germany,6,5,N
726,0,female,11,15.0,yes,5,12,1,3,2,120,13.33500004,Humboldt,3011.0,France,5,5,N
734,0,female,7,15.0,yes,4,16,6,4,3,120,9.854000092,Ventura,7974.0,Germany,10,8,N
735,0,male,6,7.0,yes,1,16,5,4,3,383,11.42599964,Tehama,7974.0,Germany,10,4,N
736,0,male,5,7.0,yes,4,20,6,3,2,120,15.13099957,Sacramento,3011.0,Spain,6,5,N
737,0,male,5,0.75,no,2,14,4,3,3,106,14.57800007,San Joaquin,1897.0,Spain,10,4,N
739,0,male,5,4.0,yes,2,18,5,3,2,145,10.26799965,Siskiyou,1158.0,Spain,6,5,N
743,0,male,13,15.0,yes,4,20,6,3,3,383,15.59285736,Stanislaus,3011.0,France,10,8,N
745,0,male,9,0.75,yes,2,14,4,3,2,106,11.23799992,Fresno,7974.0,Germany,5,5,N
747,0,male,7,15.0,yes,4,20,6,3,3,106,15.05137539,Orange,7974.0,Germany,10,7,N
751,0,female,5,15.0,yes,5,17,1,1,2,383,15.41317654,Orange,2475.0,Germany,5,4,N
752,0,female,12,15.0,yes,4,14,1,2,2,383,11.08100033,Kings,13.0,Germany,5,4,N
754,0,male,11,7.0,yes,4,14,5,3,4,106,10.09799957,Tulare,348.0,England,13,3,N
760,0,male,13,4.0,yes,2,16,5,5,2,106,14.29829979,San Diego,3011.0,France,5,5,N
763,0,female,5,4.0,yes,2,18,6,5,4,166,11.80300045,Shasta,46916.0,England,13,1,N
774,0,female,9,4.0,yes,2,18,5,5,2,106,9.972000122,Merced,46916.0,Spain,6,5,N
776,0,male,10,15.0,yes,5,18,6,5,2,166,15.4090004,Sutter,3011.0,England,5,4,N
779,0,female,8,15.0,yes,5,12,5,4,2,166,15.2937994,San Diego,5621.0,Spain,5,4,N
784,0,female,6,10.0,yes,3,17,1,4,4,145,15.53292847,Los Angeles,1897.0,Spain,13,3,N
788,0,female,10,1.5,yes,4,17,1,2,3,106,16.29299927,Kern,7974.0,Germany,10,4,N
794,0,female,5,15.0,yes,2,18,5,2,2,383,12.875,Sutter,46916.0,England,6,5,N
795,0,female,5,1.5,no,4,14,5,4,4,166,16.62299919,San Diego,6121.0,France,13,3,N
798,0,male,6,15.0,yes,3,14,3,4,2,120,12.54988289,San Bernardino,46916.0,England,5,5,N
800,0,male,11,15.0,yes,4,9,2,2,4,166,14.25857162,Orange,3011.0,France,13,3,N
803,0,male,5,15.0,yes,4,20,6,5,3,145,18.32600021,Sonoma,46916.0,France,10,7,N
807,0,female,13,0.125,no,4,14,4,5,2,166,12.74914265,Shasta,1897.0,Spain,5,4,y
812,0,female,11,10.0,yes,4,14,1,5,3,106,11.42599964,Tehama,7974.0,Germany,10,7,N
820,0,female,8,15.0,yes,3,18,5,4,3,324,8.829999924,Tuolumne,321.0,Germany,10,7,N
823,0,female,6,1.5,no,2,18,6,5,2,383,11.17599964,Siskiyou,7974.0,Germany,5,1,N
830,0,male,9,0.125,yes,2,18,5,2,2,106,14.22799969,Humboldt,3011.0,France,5,1,N
843,0,female,13,4.0,no,3,16,5,4,2,166,15.02700043,Contra Costa,1938.0,Germany,5,5,N
848,0,female,7,10.0,yes,2,16,1,4,2,166,10.52099991,Tuolumne,1895.0,England,5,6,N
851,0,female,7,7.0,yes,4,16,1,3,3,166,18.62599945,Placer,3351.0,France,10,6,N
854,0,female,8,15.0,yes,4,14,5,4,3,120,22.52899933,Sonoma,1121.0,Germany,10,6,N
856,0,female,8,15.0,yes,5,17,6,2,3,166,18.29838943,Sonoma,46916.0,England,10,6,N
857,0,male,5,1.5,yes,4,14,6,5,2,383,11.88574982,Stanislaus,7974.0,Germany,5,6,N
859,0,female,4,4.0,yes,3,17,5,3,2,324,9.925999641,Shasta,7974.0,France,5,5,N
863,0,female,8,7.0,no,4,18,5,5,2,166,14.19699955,Humboldt,7974.0,Germany,6,5,N
865,0,female,5,0.417,yes,3,14,3,5,3,166,9.630000114,Tulare,1158.0,France,10,6,N
867,0,female,5,7.0,yes,4,14,1,5,4,383,10.63899994,Glenn,1897.0,Spain,13,3,N
870,0,male,11,0.75,no,3,16,5,5,3,106,14.47500038,Sonoma,550.0,France,10,3,N
873,0,male,10,4.0,yes,2,20,5,5,2,324,13.46700001,Lassen,44.0,Spain,5,5,N
875,0,male,5,10.0,yes,4,16,4,5,4,106,9.664999962,Imperial,46916.0,England,13,3,N
876,0,male,11,15.0,yes,1,14,5,5,4,145,12.70800018,Lassen,7974.0,Germany,13,1,y
877,0,male,12,0.75,no,3,17,4,5,4,383,17.82299995,Orange,3011.0,England,13,1,N
880,0,female,7,7.0,yes,4,17,1,4,2,106,17.15600014,Sonoma,3351.0,France,5,5,N
903,0,male,8,0.417,yes,4,20,5,4,4,120,19.58963585,Santa Barbara,27.0,England,13,1,N
904,0,male,7,15.0,yes,4,20,5,4,2,120,14.19699955,Humboldt,1897.0,Spain,5,6,N
905,0,female,8,15.0,yes,2,14,1,3,3,106,11.9119997,Sutter,7974.0,Germany,10,4,N
908,0,male,5,4.0,yes,1,18,5,4,2,145,13.38599968,Shasta,1365.0,Germany,5,1,y
909,0,male,6,15.0,yes,4,17,5,3,3,166,11.5539999,Kern,7974.0,Germany,10,4,y
910,0,female,12,1.5,no,2,14,4,5,2,166,19.02599907,San Diego,1938.0,Spain,5,4,N
912,0,male,6,15.0,yes,4,14,6,2,2,324,16.40699959,Santa Cruz,1938.0,England,5,4,N
914,0,female,10,1.5,no,4,17,5,5,3,383,14.05799961,Riverside,46916.0,England,10,8,N
915,0,male,5,4.0,yes,5,14,3,5,3,324,19.06800079,Kern,7974.0,Germany,10,2,N
916,0,male,12,4.0,yes,2,14,3,5,2,383,20.77000046,Santa Clara,376.0,Germany,5,4,N
920,0,female,5,1.5,no,3,16,6,5,2,106,10.26399994,Imperial,3011.0,France,5,5,N
921,0,male,10,0.75,no,2,18,3,3,3,145,14.57800007,San Joaquin,3351.0,England,10,7,N
925,0,female,9,7.0,yes,2,14,5,2,2,106,10.20199966,Tehama,46916.0,England,6,5,N
926,0,female,5,0.75,no,2,17,5,3,2,324,12.50199986,Humboldt,550.0,England,5,5,N
929,0,female,5,15.0,yes,4,12,1,2,3,145,13.90600014,Shasta,478.0,France,10,8,N
931,0,female,8,1.5,no,1,14,1,5,3,145,9.986000061,Los Angeles,3011.0,England,10,4,N
945,0,female,6,10.0,no,2,12,4,4,2,145,13.71199989,Nevada,5621.0,Spain,6,5,N
947,0,female,6,15.0,yes,4,18,5,3,3,383,10.09799957,Tulare,46916.0,England,10,4,N
949,0,female,5,15.0,yes,3,12,3,3,2,166,11.29100037,Kern,205.0,England,6,5,N
950,0,male,12,4.0,no,2,18,5,5,3,324,13.22500038,Sacramento,550.0,Germany,10,8,y
961,0,male,7,7.0,yes,2,20,6,2,2,120,13.63000011,San Benito,1897.0,Spain,5,5,N
965,0,male,7,0.75,no,2,17,5,5,3,120,14.62300014,San Diego,5212.0,Germany,10,7,N
966,0,female,9,4.0,no,2,17,4,5,2,383,8.776000023,Sutter,7974.0,Germany,5,4,N
967,0,male,11,1.5,no,5,20,6,5,2,324,10.3380003,Fresno,1897.0,Spain,5,4,N
987,0,male,12,1.5,no,4,17,6,5,4,383,16.32299995,Contra Costa,7974.0,Germany,13,3,N
990,0,male,5,4.0,no,4,17,5,3,2,324,10.65633297,Siskiyou,46916.0,England,5,5,N
992,0,female,10,4.0,yes,1,14,5,4,4,166,14.57800007,San Joaquin,1895.0,Germany,13,1,y
995,0,male,10,15.0,yes,5,20,4,5,2,145,18.63059998,Santa Clara,46916.0,England,6,5,N
1009,0,female,13,10.0,yes,3,16,6,3,2,383,11.11600018,Kings,3011.0,France,5,4,N
1021,0,male,7,15.0,yes,4,17,6,5,2,383,14.59766674,Stanislaus,3011.0,France,5,4,y
1026,0,female,4,15.0,yes,4,17,5,5,4,166,15.49300003,San Joaquin,7974.0,Germany,13,3,N
1027,0,male,7,1.5,no,4,16,5,4,3,106,16.27199936,Placer,46916.0,England,10,4,N
1030,0,female,12,10.0,yes,3,12,1,4,2,383,13.63000011,San Benito,636.0,Germany,6,5,N
1031,0,female,9,7.0,yes,1,14,3,5,4,106,12.39400005,El Dorado,46916.0,Spain,13,3,N
1034,0,female,7,10.0,yes,4,17,5,4,2,106,15.33100033,San Bernardino,7974.0,Germany,5,5,N
1037,0,male,13,1.5,yes,2,16,2,4,4,383,12.66600037,Shasta,46916.0,England,13,3,N
1038,0,male,7,15.0,yes,4,14,5,5,3,166,13.71199989,Nevada,3011.0,England,10,7,N
1039,0,male,11,4.0,yes,3,14,4,5,2,383,17.78033447,San Mateo,7974.0,Germany,5,4,N
1045,0,female,12,15.0,yes,5,14,5,4,3,324,10.55666733,Kings,1365.0,France,10,7,N
1046,0,female,5,7.0,yes,4,17,5,5,3,383,10.52299976,Shasta,1938.0,England,10,7,N
1054,0,female,12,15.0,yes,4,18,6,5,2,106,13.24300003,Calaveras,1897.0,Spain,5,1,N
1059,0,male,10,4.0,no,4,18,6,4,2,145,22.47299957,Marin,598.0,Germany,5,1,N
1063,0,male,5,0.75,no,4,18,6,5,2,145,15.68465424,San Diego,1897.0,Spain,5,5,N
1068,0,male,5,4.0,yes,4,14,5,3,2,383,23.48374939,Santa Clara,3011.0,France,5,6,N
1070,0,female,5,0.75,no,5,18,1,5,3,166,11.64900017,Sutter,1895.0,France,10,6,N
1072,0,female,8,15.0,yes,5,9,5,5,3,120,16.3560009,Nevada,204.0,France,10,6,N
1073,0,male,6,10.0,yes,3,14,5,5,3,145,14.07400036,Humboldt,1897.0,Spain,10,6,N
1077,0,female,9,15.0,yes,4,16,4,4,2,145,13.43700027,Sonoma,3011.0,France,5,6,N
1081,0,male,13,7.0,yes,2,20,5,4,2,120,18.33799934,San Mateo,7974.0,Germany,5,5,N
1083,0,female,8,15.0,yes,3,18,1,4,2,145,11.42599964,Tehama,46916.0,England,6,5,N
1084,0,male,6,15.0,yes,1,16,5,5,3,120,15.74991703,Orange,1897.0,Spain,10,6,N
1086,0,male,7,4.0,yes,3,18,5,5,4,166,15.77900028,San Bernardino,7974.0,England,13,3,N
1087,0,female,6,15.0,yes,4,12,3,4,3,166,14.06200027,Los Angeles,46916.0,England,10,3,N
1089,0,male,6,0.75,yes,3,14,2,4,2,383,12.17399979,Humboldt,3011.0,France,5,5,N
1096,0,female,11,1.5,no,3,16,5,3,4,166,12.89999962,San Bernardino,692.0,England,13,3,N
1102,0,female,5,15.0,yes,4,14,3,5,4,324,10.97099972,San Luis Obispo,7974.0,Germany,13,1,N
1103,0,female,12,15.0,yes,3,16,5,4,4,324,17.43519974,Santa Clara,1897.0,Spain,13,1,N
1107,0,male,6,15.0,yes,5,20,6,4,2,383,14.76000023,El Dorado,46916.0,England,5,5,N
1109,0,female,8,15.0,yes,4,12,2,3,4,166,14.60299969,Los Angeles,3011.0,France,13,1,N
1115,0,male,10,15.0,yes,2,20,6,4,2,324,13.52233315,Inyo,1938.0,France,5,6,N
1119,0,male,8,7.0,yes,4,17,5,5,3,166,16.66900063,Santa Barbara,1897.0,England,10,4,N
1124,0,female,5,7.0,yes,4,17,1,4,2,120,13.52225018,Madera,3011.0,France,5,1,N
1126,0,male,8,1.5,no,1,18,6,5,3,383,12.51799965,Siskiyou,46916.0,England,10,4,N
1128,0,female,10,4.0,yes,3,9,1,4,2,166,18.32600021,Sonoma,46916.0,England,5,4,y
1129,0,female,5,1.5,no,2,14,1,5,2,166,11.4659996,Nevada,1895.0,Germany,5,4,N
1130,0,male,9,15.0,yes,2,20,6,4,3,120,10.09799957,Tulare,46916.0,England,10,8,N
1133,0,male,6,15.0,yes,4,9,2,4,3,106,15.36499977,Tulare,46916.0,England,10,2,N
1140,0,female,13,7.0,yes,2,18,1,5,2,120,10.3113327,Tuolumne,7974.0,Germany,5,4,N
1143,0,female,13,4.0,yes,3,14,1,5,2,324,16.98662567,Los Angeles,7974.0,Germany,5,5,N
1146,0,male,9,15.0,yes,4,14,5,3,3,166,9.612000465,Merced,3011.0,France,10,7,N
1153,0,male,10,7.0,yes,1,18,6,4,2,145,21.11050034,San Mateo,598.0,Germany,6,5,N
1156,0,female,7,1.5,no,2,14,5,5,2,145,16.47331238,Santa Clara,1897.0,Spain,5,5,N
1157,0,female,5,1.5,yes,3,12,1,3,3,383,18.36899948,Sonoma,1121.0,France,10,8,N
