fish_caught,livebait,camper,persons,child,hours,player,religiousness,year,lunch,county,games,f_other,chimpanzee,n_other,age
3,1,1,2,0,6.902, Agirretxe,2,1964,20.0,Nevada,10,7,1,10,64
30,1,1,3,0,4.269,Piotr Trochowski,1,1965,52.94350052,Los Angeles,1,7,7,10,47
0,1,1,2,0,16.734,Eden Hazard,2,1966,25.98679924,San Luis Obispo,2,4,13,6,52
13,1,1,4,0,5.241,André Schürrle,2,1966,81.11650085,Los Angeles,1,9,13,13,48
0,1,0,2,1,0.345,Jon Walters,3,1967,28.37660027,San Mateo,14,7,7,10,48
0,1,0,1,0,1.084,Beg Ferati,2,1968,45.88240051,Shasta,5,4,13,6,46
0,1,0,4,3,0.008,Shola Ameobi,4,1969,68.82350159,Siskiyou,1,7,7,10,47
0,1,0,1,0,2.514,Darron Gibson,1,1970,19.37249947,Orange,7,3,3,5,58
0,1,1,3,1,0.515,Janek Sternberg,5,1971,71.76239777,Imperial,2,4,3,6,52
11,1,1,4,0,33.394,Niklas Lomb,2,1971,40.92910004,Nevada,2,4,3,6,38
5,1,1,4,1,1.193, Cristiano Ronaldo,2,1971,32.35290146,Sutter,10,3,19,5,39
0,1,1,1,0,2.164,Zoltán Gera,4,1972,46.12210083,Shasta,1,3,9,5,33
1,0,0,2,0,5.242, Nélson,5,1974,58.20429993,Tulare,3,3,9,5,45
1,1,1,2,1,0.526,Fabien Camus,2,1975,12.57409954,San Joaquin,9,3,9,5,32
7,1,1,4,1,3.471,Wesley Hoolahan,4,1976,87.77819824,Kern,3,4,16,6,52
0,1,1,3,1,0.103,William Gallas,3,1977,51.56740189,San Bernardino,1,4,2,6,43
14,1,1,4,1,0.229, Ryan Mendes,2,1979,15.6559,San Mateo,2,7,2,10,51
0,1,1,1,0,20.501,Matthias Ostrzolek,4,1979,74.85099792,San Bernardino,1,7,16,10,34
32,1,1,4,0,10.545,Liam Ridgewell,3,1979,33.06230164,Contra Costa,3,7,16,10,60
0,0,0,3,2,0.046,Javier Pinola,4,1980,3.556900024,San Mateo,1,7,9,10,34
1,0,1,4,0,14.528,Florent Malouda,2,1983,55.0929985,Monterey,3,4,19,6,48
0,1,0,4,2,0.07,Claudio Pizarro,2,1984,71.02380371,Orange,1,3,9,5,57
0,1,1,1,0,8.441,Vegar Hedenstad,3,1985,19.09110069,San Diego,1,3,9,5,51
0,1,1,2,1,1.355,Sebastian Larsson,3,1985,47.0298996,Ventura,21,7,9,10,37
1,1,0,1,0,4.726,Hajime Hosogai,4,1985,29.03980064,El Dorado,1,7,19,10,57
5,1,1,2,1,1.872,David Fox,2,1985,14.0369997,Nevada,1,7,9,10,51
0,1,0,2,1,0.128,Roque Santa Cruz,2,1985,94.29570007,Tulare,2,3,19,5,33
1,1,1,2,1,1.329, Isma López,3,1985,66.25509644,Siskiyou,1,3,19,5,32
0,1,1,2,1,0.493, Thiago,3,1986,16.06509972,San Diego,2,7,19,10,43
22,1,1,4,0,4.552,Massimo Luongo,2,1986,2.040800095,Alameda,2,4,9,6,52
0,0,0,2,0,8.001,Moussa Sissoko,5,1987,93.22920227,Kern,4,7,19,10,52
15,1,1,3,0,13.864,Alex Smith,2,1988,20.48189926,Santa Cruz,1,7,9,10,33
0,0,1,1,0,65.34,Korey Smith,3,1989,29.83869934,Shasta,3,7,4,10,63
0,1,1,1,0,8.353,Stilian Petrov,4,1989,25.60549927,Siskiyou,10,7,4,10,43
0,1,1,1,0,3.863,Leyti N'Diaye,4,1989,14.8508997,Kern,1,7,9,10,47
5,1,1,4,1,3.53,Mickaël Landreau,2,1991,85.54219818,Humboldt,3,9,9,13,50
4,1,1,1,0,5.099,Ján Mucha,1,1992,72.32080078,Merced,1,9,9,13,38
2,1,0,2,0,2.955, Cuéllar,3,1993,12.82050037,Sonoma,5,4,4,6,45
0,1,1,2,1,8.127,Holger Badstuber,3,1995,63.9054985,San Bernardino,1,7,8,10,47
2,1,0,2,1,0.929,Marc Tierney,4,1995,85.14720154,Tulare,1,3,14,5,37
32,1,1,4,0,12.781, Ramires,2,1996,19.23080063,Sonoma,4,3,21,5,45
0,1,0,4,3,0.015,Edin Džeko,3,1996,52.25230026,Tehama,5,3,12,5,45
0,1,1,1,0,4.957,Sanjin Prcić,3,1997,66.90650177,Trinity,1,7,5,10,47
1,1,0,1,0,3.04,James Perch,2,1998,18.38780022,San Mateo,2,4,5,6,64
0,1,0,3,2,0.063, Edu,4,1998,88.09519958,Kern,1,3,20,5,57
0,1,1,1,0,7.475,Matthew Lowton,4,1998,54.76190186,Tuolumne,1,3,20,5,52
0,1,1,2,1,0.277,James Tomkins,2,1999,48.48479843,Trinity,1,7,20,10,57
7,1,1,3,0,9.667,Granit Xhaka,4,1999,53.21060181,Tulare,1,9,20,13,42
0,1,0,4,3,0.007,Chinedu Ede,2,1999,0.0,El Dorado,4,4,20,6,52
0,0,0,4,2,0.067,Leon Balogun,5,2002,50.38759995,Glenn,1,7,20,10,43
0,1,1,3,2,0.04,Javier Pinola,4,2003,56.875,Tulare,1,3,20,5,52
0,0,1,1,0,2.493,Rory Delap,4,2003,70.8167038,Kern,1,3,10,5,62
0,1,0,2,0,0.65,Derrick Williams,1,2004,69.73989868,Santa Clara,2,4,6,6,49
0,1,0,3,2,0.043,Alexis Thébaux,5,2004,36.48450089,El Dorado,6,3,20,5,38
0,1,1,1,0,26.244,Ronny Philp,3,2004,54.10960007,Butte,2,7,20,10,58
0,1,0,2,1,0.788,Fernando Gago,3,2004,0.1733999997,Contra Costa,1,3,6,5,60
2,1,0,4,0,4.031, Felipe Santana,4,2004,0.0,San Mateo,1,9,10,13,47
3,1,1,4,1,0.664,Tom Starke,3,2004,84.55390167,Sacramento,1,3,10,5,46
1,1,0,2,1,0.726,Christian Pander,1,2005,0.0,San Mateo,1,7,6,10,39
5,1,1,3,0,14.212,Hugo Rodallega,3,2005,90.623703,Merced,1,7,6,10,52
0,1,0,1,0,1.279, San José,5,2005,77.90969849,Kern,1,4,6,6,40
2,1,1,1,0,5.578,Jens Grahl,4,2005,93.92269897,Los Angeles,1,9,11,13,58
1,0,0,3,1,0.578,Thomas Sørensen,3,2005,58.03570175,Kern,11,7,11,10,57
0,0,0,4,1,0.078,Mario Balotelli,4,2005,90.28489685,Monterey,1,4,18,6,47
1,1,1,1,0,9.611,Rio Mavuba,1,2007,75.73840332,Fresno,7,7,18,10,52
149,1,1,4,0,35.592,Frank Lampard,4,2008,32.68610001,Placer,1,3,18,5,62
0,1,1,3,2,0.063,Marouane Fellaini,3,2008,4.040400028,Shasta,8,4,11,6,52
1,1,1,3,1,0.677,Matthieu Sans,4,2008,23.09889984,Santa Clara,2,4,11,6,58
0,1,0,2,0,1.093,Junior Fernandes,3,2011,55.7901001,Stanislaus,1,3,17,5,56
0,1,1,3,0,2.643,Ludovic Giuly,5,2012,26.94330025,San Bernardino,2,3,7,5,42
1,1,0,2,1,1.024,Klaas-Jan Huntelaar,2,2012,53.60229874,Tehama,15,3,1,5,57
0,1,0,4,2,0.177, Andre Luiz,2,1950,62.26750183,Kern,1,3,22,5,60
0,1,1,3,1,0.223, Pedro,4,1950,86.95649719,Fresno,10,4,9,6,43
0,1,0,4,2,0.013,Anthony Annan,4,1952,62.13019943,Los Angeles,1,4,9,6,62
2,0,0,4,0,0.486,Gonzalo Jara,4,1953,20.92630005,Sonoma,3,7,9,10,48
2,1,1,2,0,19.356,Stefan Thesker,4,1953,9.677399635,San Diego,1,7,9,10,34
29,1,0,4,0,2.364,Andriy Voronin,4,1954,22.16360092,San Diego,1,7,9,10,48
3,1,1,1,0,7.851,Renaud Cohade,4,1954,31.01889992,Kern,3,7,9,10,50
0,0,1,2,0,9.643,Emre Can,2,1954,97.75969696,Kern,1,4,9,6,57
0,1,0,4,2,0.126,Francis Coquelin,4,1955,29.31850052,Sonoma,2,3,9,5,33
5,0,0,3,0,0.895, Diego,4,1955,32.76549911,Santa Clara,1,3,9,5,47
0,1,1,2,0,0.712,Martín Demichelis,2,1955,13.8696003,Santa Barbara,6,7,15,10,58
0,1,0,4,1,0.069,Roy Contout,2,1956,77.04920197,Butte,1,7,7,10,38
0,1,1,1,0,2.044,Benoît Costil,2,1957,94.97119904,Los Angeles,3,7,9,10,35
0,1,0,3,1,0.146, Yannick Djaló,4,1958,9.352499962,Santa Cruz,4,3,1,5,57
0,1,1,4,1,0.145,Sebastian Freis,4,1959,83.15789795,Tulare,1,3,7,5,62
1,1,1,4,1,3.901,Stephen Kelly,3,1959,28.66449928,San Joaquin,1,7,13,10,36
7,1,1,1,0,24.001, Maicon,4,1960,40.5646019,Fresno,1,4,13,6,54
1,1,1,2,0,8.369,Ryan Mason,2,1960,56.06359863,Kings,1,7,7,10,61
0,1,0,1,0,0.159,Carlos Sánchez,2,1961,80.9756012,Fresno,1,7,13,10,47
2,0,0,4,1,2.081,Chris Brunt,5,1963,22.98390007,San Diego,1,7,7,10,60
0,1,0,3,2,0.113,Benjamin Lecomte,5,1964,40.16389847,Lassen,2,7,3,10,39
2,1,0,2,0,3.647, Xavi,2,1964,80.25869751,Sonoma,1,7,3,10,73
0,1,0,2,1,0.777,Bănel Nicoliţă,2,1964,35.26789856,Kern,2,9,3,13,40
0,1,0,4,1,0.464,Patrick Owomoyela,4,1964,11.70129967,Los Angeles,1,9,19,13,52
0,0,1,3,1,0.428,Sejad Salihović,3,1965,0.6775000095,Santa Clara,3,4,9,6,62
1,1,1,3,2,0.389,Shawn Parker,2,1966,88.03489685,Monterey,1,7,9,10,62
0,1,0,2,1,0.198,Ashley Westwood,1,1966,100.0,Kern,1,3,9,5,33
0,1,0,1,0,12.361,Kevin Großkreutz,4,1967,29.19869995,Riverside,18,3,16,5,62
0,0,1,4,3,0.06,Mamadou Bah,4,1968,6.270899773,San Mateo,1,3,2,5,63
0,1,0,1,0,1.792,Chris Smalling,4,1969,64.09770203,Kern,2,7,2,10,43
0,0,1,4,3,0.052,Jérémy Ménez,4,1970,65.38279724,Kern,11,4,16,6,50
3,1,0,4,1,0.476, Antonio López,4,1971,2.445600033,San Mateo,3,3,16,5,56
4,1,1,1,0,9.633,Vurnon Anita,1,1971,81.02349854,Tulare,1,3,9,5,58
3,1,1,3,0,31.459,Aaron Ramsey,4,1971,56.67509842,Stanislaus,1,7,19,10,52
3,1,0,2,0,3.659,Antonio Valencia,1,1972,11.40680027,Shasta,1,9,9,13,60
8,1,1,4,0,71.036,Dawda Bah,2,1974,75.50430298,Shasta,11,4,9,6,40
2,0,1,3,0,21.298,Patrick Helmes,4,1975,69.62030029,Tulare,1,7,9,10,42
1,1,1,1,0,7.736,Serdar Taşçı,2,1976,31.08279991,Santa Barbara,2,3,19,5,42
6,1,0,4,0,12.389,Salif Sané,2,1977,30.06909943,Placer,2,3,9,5,31
0,1,1,4,2,0.138,Glen Johnson,4,1979,59.03079987,Merced,2,4,19,6,62
0,1,1,2,1,3.56, Capdevila,3,1979,55.09389877,Orange,8,3,19,5,63
5,1,0,4,0,2.281,Clemens Fritz,4,1979,10.18280029,Humboldt,2,7,19,10,41
3,1,1,4,1,1.032,Claudio Yacob,4,1980,22.88310051,Kings,1,3,9,5,42
31,1,0,3,1,2.017,Péter Gulácsi,4,1983,41.05459976,Sacramento,1,9,19,13,63
0,1,1,2,1,0.851,Frédéric Piquionne,4,1984,76.27739716,Siskiyou,2,3,9,5,52
2,1,0,2,0,10.432,Rémy Vercoutre,5,1985,33.81029892,Santa Cruz,1,7,4,10,51
0,1,1,4,3,0.011, Casto,1,1985,64.78869629,Ventura,1,7,4,10,47
0,1,1,2,1,0.151,Robin Knoche,2,1985,55.10079956,Sonoma,1,4,9,6,31
0,0,0,3,0,1.404,Jonathan Obika,4,1985,46.05039978,Humboldt,2,9,9,13,47
0,1,1,3,1,0.216, Pedro León,3,1985,43.90240097,Kings,11,7,9,10,58
0,1,0,1,0,3.691,Omar Daf,3,1985,32.36970139,Stanislaus,1,4,4,6,33
0,1,0,2,0,0.522,Daniel Sturridge,5,1986,73.59760284,Merced,1,7,8,10,62
6,1,1,4,0,35.413,Patrick Rakovsky,4,1986,54.9897995,Tuolumne,2,3,14,5,60
9,1,0,3,0,14.755,Samuel Bouhours,4,1987,35.75910187,Kern,1,4,21,6,47
0,0,1,3,2,0.127,Kevin Pannewitz,5,1988,86.02940369,Santa Barbara,1,4,12,6,47
0,0,1,2,1,1.152,William Kvist,3,1989,47.85279846,Tulare,1,3,5,5,43
0,1,1,1,0,7.955, Raúl Albiol,4,1989,82.06749725,Tulare,3,3,5,5,52
0,1,1,2,1,0.62,Dudu Aouate,3,1989,34.03609848,San Joaquin,6,3,20,5,52
0,1,0,1,0,1.165,David Abraham,4,1991,36.79779816,El Dorado,7,3,20,5,50
2,1,0,2,0,0.614,Jordan Ferri,4,1992,36.78160095,Humboldt,1,4,20,6,46
15,1,0,3,0,1.46,Johannes van den Bergh,3,1993,15.3302002,Marin,1,4,20,6,57
1,1,1,1,0,5.072,Ivan Klasnić,4,1995,8.60929966,Santa Clara,15,7,20,10,47
2,1,1,2,0,7.504, Felipe Santana,4,1995,2.032799959,San Mateo,2,7,20,10,43
3,1,1,3,1,0.912,Karim Haggui,3,1996,6.535299778,Los Angeles,1,7,20,10,47
0,1,1,1,0,9.75,Gareth Bale,4,1996,11.7517004,San Diego,1,7,10,10,52
65,1,1,4,0,3.905,Matthieu Chalmé,3,1997,19.53000069,Kern,4,4,6,6,38
5,1,1,3,0,4.385,Brede Hangeland,3,1998,84.73139954,Merced,1,3,20,5,31
0,1,0,1,0,1.203, Ricardo Costa,2,1998,58.54539871,Sacramento,1,3,20,5,64
0,1,1,3,2,0.039,Tom Cleverley,2,1998,29.02099991,Nevada,1,7,6,10,37
0,1,0,4,1,0.204,Sami Khedira,4,1999,29.78120041,Contra Costa,1,7,10,10,64
0,1,0,4,2,0.043, Cala,3,1999,37.88399887,El Dorado,2,7,10,10,42
1,1,0,1,0,9.432,Fabian Giefer,3,1999,36.0007019,Santa Clara,5,3,6,5,51
8,1,1,4,1,0.925,Matthew Jarvis,2,2002,66.19490051,Ventura,11,3,6,5,57
0,1,1,3,0,12.136,Mickaël Landreau,4,2003,56.29940033,Los Angeles,1,7,6,10,54
0,1,1,3,2,0.101,Harry Kane,3,2003,30.08510017,Los Angeles,1,4,11,6,38
0,1,1,4,3,0.019,Maxime Baca,3,2004,36.44990158,Santa Cruz,6,7,11,10,45
2,1,1,3,0,13.549,Nicolas Fauvergue,4,2004,94.623703,San Joaquin,1,7,18,10,49
4,1,1,2,1,4.652, Bodipo,3,2004,31.8519001,Santa Barbara,4,7,18,10,33
5,1,0,4,0,6.215,Philipp Lahm,3,2004,47.30540085,Humboldt,4,7,18,10,47
9,1,0,2,0,11.008,Vadim Demidov,5,2004,68.85790253,Tulare,1,7,11,10,58
0,1,0,4,2,0.055,Sascha Mölders,4,2004,37.95759964,Sacramento,4,9,11,13,38
0,1,0,2,0,24.031,Alexandre Alphonse,1,2005,85.87439728,Merced,1,9,17,13,58
0,1,1,2,0,5.817,Mario Mandžukić,1,2005,60.92229843,Kings,1,4,7,6,33
0,1,0,1,0,3.245,Gastón Ramírez,4,2005,60.13290024,Mendocino,1,7,1,10,62
21,1,1,2,0,11.812, Brandão,5,2005,93.63059998,Fresno,1,3,22,5,42
0,1,0,1,0,1.415,Mario Götze,3,2005,16.25,Santa Cruz,2,3,9,5,50
6,1,1,3,0,10.054,Gael Bigirimana,3,2005,25.37820053,Humboldt,1,3,9,5,43
0,1,0,2,1,0.434,Nils Petersen,2,2007,67.23400116,San Diego,1,7,9,10,32
0,0,1,2,0,18.943,Souleymane Diawara,3,2008,5.932199955,Santa Cruz,2,4,9,6,43
0,1,1,2,1,0.668,Martin Lanig,3,2008,36.1344986,Nevada,2,3,9,5,42
0,1,0,3,1,0.208,Ezequiel Lavezzi,2,2008,32.65190125,Los Angeles,4,3,9,5,64
16,1,1,4,1,2.586, Fran Miranda,4,2011,12.5,Santa Barbara,1,7,9,10,47
0,0,0,3,2,0.031,Nicolas Douchez,1,2012,0.59799999,Santa Clara,1,9,9,13,47
0,1,1,3,2,0.179,Cata Díaz,3,2012,80.92489624,Tulare,2,4,9,6,47
4,1,1,4,0,32.206,Michael Harriman,2,1950,34.44710159,Placer,1,7,15,10,43
2,1,1,2,1,1.82,René Adler,2,1950,58.53310013,San Diego,6,3,7,5,64
10,1,1,3,0,13.179,Florent Malouda,4,1952,65.85369873,Shasta,16,3,9,5,52
0,0,1,1,0,5.104,Lisandro López,4,1953,72.14289856,Humboldt,3,4,1,6,47
0,1,1,1,0,6.946,Papiss Demba Cissé,2,1953,76.32260132,Butte,1,3,7,5,62
0,0,0,1,0,1.157, Busquets,4,1954,67.71299744,Santa Clara,4,7,13,10,31
2,0,1,2,0,19.554,Jens Langeneke,2,1954,84.92060089,Sonoma,2,3,13,5,47
1,1,1,2,0,3.624,Leonardo Bittencourt,4,1954,40.1629982,Shasta,2,9,7,13,52
3,1,0,1,0,2.723,Julian Korb,5,1955,47.15029907,Monterey,1,3,13,5,33
0,1,1,3,1,0.362,Mesut Özil,2,1955,64.74739838,Los Angeles,2,7,7,10,42
0,1,1,4,2,0.092,Thomas Vermaelen,1,1955,59.0603981,Humboldt,2,7,3,10,57
21,1,1,2,0,3.658,Bobby Zamora,1,1956,29.86429977,Tulare,1,4,3,6,37
0,1,0,2,1,0.125,Lars Stindl,3,1957,3.621999979,Marin,1,9,3,13,42
0,1,0,2,0,9.964,Mario Mandžukić,5,1958,65.7960968,Imperial,5,7,19,10,46
2,0,1,1,0,9.075,Florian Raspentino,3,1959,33.9211998,Madera,1,4,9,6,46
0,0,1,2,1,4.811,Brett Holman,4,1959,100.0,San Diego,2,7,9,10,35
3,1,1,4,1,0.42,Shaun Wright-Phillips,2,1960,100.0,Tulare,16,3,9,5,34
0,1,1,3,1,0.315,Dimitar Berbatov,2,1960,94.93240356,Fresno,1,4,16,6,40
38,1,1,4,0,3.285,Pape Souaré,4,1961,52.1739006,Humboldt,1,4,2,6,57
0,1,1,4,3,0.01,James McArthur,3,1963,63.43280029,Fresno,1,3,2,5,60
0,1,1,1,0,11.767,Dudu Aouate,5,1964,19.5685997,San Mateo,1,3,16,5,56
0,1,0,1,0,1.293,Rickie Lambert,2,1964,28.17160034,Imperial,1,3,16,5,56
1,1,1,1,0,18.708,James Ward-Prowse,5,1964,51.6529007,Shasta,1,3,9,5,42
3,1,0,1,0,35.388,Sven Bender,4,1964,63.80360031,Kings,1,4,19,6,60
0,1,1,1,0,4.083, Alfaro,3,1965,8.34430027,El Dorado,9,4,9,6,52
1,1,0,2,0,9.216,Petr Jiráček,3,1966,2.792099953,Santa Clara,1,7,9,10,42
0,1,0,4,2,0.009,Jan Polák,2,1966,36.31439972,Humboldt,4,7,9,10,33
0,0,0,2,1,0.324, Barragán,5,1967,31.3708992,Los Angeles,2,7,19,10,52
0,1,0,4,2,0.041,Stefan Bell,3,1968,27.1317997,Humboldt,2,7,9,10,52
0,1,0,3,1,0.067,Massimo Luongo,2,1969,33.63010025,Madera,1,4,19,6,61
5,1,1,4,2,1.775,Bastian Schweinsteiger,3,1970,44.25970078,Riverside,1,3,19,5,44
0,1,0,4,2,0.113,Benoît Assou-Ekotto,2,1971,70.65769958,Lake,1,3,19,5,45
0,0,0,4,1,0.275,Landry Bonnefoi,4,1971,28.125,Kings,1,7,9,10,32
2,1,0,3,0,1.005,Mathieu Coutadeur,3,1971,80.86830139,Riverside,2,7,19,10,37
0,1,1,2,1,4.349,Alexander Esswein,5,1972,12.74510002,Lassen,2,7,9,10,51
0,1,1,1,0,2.606,Shola Ameobi,2,1974,21.34339905,Santa Clara,18,3,4,5,32
0,1,0,2,1,0.515,Sebastian Prödl,4,1975,50.97079849,San Diego,1,3,4,5,50
1,1,1,2,0,17.493, Pozuelo,2,1976,25.1121006,Fresno,1,7,9,10,43
4,1,1,3,1,20.896,Axel Bellinghausen,4,1977,32.86380005,Placer,1,4,9,6,62
0,1,0,1,0,1.843,Joe Hart,2,1979,27.35449982,Los Angeles,18,7,9,10,51
0,1,1,3,2,0.095,Andrey Arshavin,2,1979,8.673100471,Kern,1,7,4,10,43
2,1,1,2,1,3.955,Christian Wetklo,4,1979,50.76340103,Humboldt,7,7,8,10,36
3,1,1,1,0,8.508,Marco Estrada,2,1980,44.39070129,Santa Clara,1,7,14,10,35
0,1,0,4,2,0.064,Chris Gunter,3,1983,51.66669846,Tulare,1,7,21,10,50
0,1,0,3,1,0.168, Sisi,3,1984,13.36919975,Sonoma,5,9,12,13,32
0,1,0,2,0,2.724,Neven Subotić,4,1985,30.17239952,San Bernardino,2,9,5,13,47
0,0,0,2,0,0.643, Goni,2,1985,44.47660065,San Mateo,3,4,5,6,59
1,1,1,1,0,25.568,Rio Mavuba,5,1985,81.11730194,San Mateo,6,7,20,10,50
2,1,1,2,0,2.583,Jérôme Rothen,4,1985,98.60559845,Fresno,1,3,20,5,51
0,1,1,1,0,2.14, Brandão,4,1985,55.28549957,Tehama,1,3,20,5,64
6,1,1,3,0,8.663, Agirretxe,2,1985,45.71429825,Glenn,6,3,20,5,62
4,1,1,2,0,2.529,Jamel Saihi,2,1986,33.59999847,Sonoma,4,7,20,10,35
1,1,1,2,0,35.574,Sebastian Kehl,1,1986,68.09120178,Madera,13,4,20,6,51
1,1,1,4,2,0.268,Ryan Dickson,4,1987,0.0,Sonoma,1,3,20,5,46
0,0,0,2,0,2.88, De la Bella,2,1988,21.26869965,Tulare,6,3,10,5,62
1,1,1,3,1,0.48, Fernando Torres,2,1989,44.44440079,Glenn,1,7,6,10,46
0,1,0,3,0,3.727,Billy Jones,2,1989,43.21649933,Sonoma,3,9,20,13,60
0,1,1,2,0,10.219,Mathieu Coutadeur,3,1989,7.859300137,Contra Costa,2,4,20,6,47
0,1,1,4,3,0.004,Jonny Evans,3,1991,70.80639648,San Diego,1,7,6,10,39
0,1,1,2,1,1.969,Sofian Chahed,4,1992,3.731300116,Santa Barbara,3,3,10,5,57
0,1,1,3,2,0.075, Álex López,2,1993,4.690899849,Santa Clara,2,3,10,5,34
0,1,1,2,1,0.233,Danny Guthrie,3,1995,1.416399956,Marin,1,4,6,6,35
