chimpanzee,age,sex,hammer,nuts_opened,seconds,help,female,eval,rating,affairs,dyslexia_bin,bad_history,ndam15,n_focal,elapsedyrs,stdev_age
19,15,m,G,37,6.5,N,0.0,3.7,5,0,0.0,0,170,5,27.0,3.09453499
9,15,m,G,11,20.0,N,0.0,4.1,4,0,0.0,0,1310,10,21.0,3.49137561
3,6,f,G,0,17.0,N,0.0,3.5,4,0,0.0,1,21340,5,16.0,4.90999368
2,8,f,G,11,7.5,N,1.0,3.5,4,0,0.0,0,4020,5,28.0,5.035316
13,9,m,Q,22,37.0,N,0.0,4.0,4,0,,0,100,10,1.0,5.1293812
1,9,m,L,14,43.0,N,0.0,4.6,5,0,0.0,1,150,5,18.0,3.87558812
20,6,m,G,1,11.0,N,0.0,3.4,5,0,0.0,0,320,5,8.0,2.62887685
11,8,f,G,51,42.0,N,1.0,4.2,4,0,0.0,0,1730,5,60.0,3.63654073
9,6,m,G,0,23.0,N,1.0,3.9,3,7,1.0,0,28500,5,60.0,7.9144902
3,6,f,G,9,10.0,N,1.0,4.9,5,0,0.0,1,18540,5,57.0,2.43523526
9,4,m,G,36,66.5,N,0.0,4.3,2,0,0.0,0,52270,13,14.0,3.4773143
9,8,m,G,0,23.0,N,0.0,3.4,4,0,,0,75260,10,29.0,4.87868148
6,14,m,wood,4,13.5,N,0.0,4.9,4,0,0.0,0,65,13,34.0,3.60915514
9,6,m,G,0,27.0,N,0.0,4.0,2,0,0.0,0,220,13,28.0,4.47291497
12,6,m,G,10,33.0,y,0.0,4.5,4,0,0.0,0,3070,10,28.0,3.33164782
17,8,m,G,16,15.0,N,1.0,4.2,2,0,0.0,0,5760,13,49.0,5.56908606
20,7,m,G,0,2.5,N,0.0,4.3,5,0,1.0,0,180,5,9.0,3.92661051
4,9,m,G,0,3.0,N,0.0,4.3,4,1,0.0,0,12000,5,42.0,3.4773143
9,6,m,L,0,17.0,N,0.0,3.5,5,0,1.0,0,1380,10,50.0,2.96878123
20,12,f,G,16,50.0,y,0.0,3.5,4,1,0.0,0,7580,5,9.0,17.258272
13,15,m,G,0,14.0,N,0.0,3.9,4,0,0.0,0,21375,6,8.0,4.13857528
19,15,m,G,2,24.0,y,0.0,4.7,3,3,0.0,0,9610,13,63.0,3.35489121
9,6,f,G,77,24.0,N,0.0,4.6,4,0,1.0,0,260,13,9.0,6.96111299
14,6,m,G,41,48.0,N,0.0,4.0,5,0,0.0,0,18130,5,48.0,5.44334199
18,6,m,G,30,13.0,N,0.0,3.5,5,0,0.0,0,1480,5,59.0,4.42495725
9,8,m,G,50,38.0,N,1.0,3.9,3,3,1.0,0,14350,5,52.0,3.6143239
2,8,m,G,3,34.0,N,0.0,3.4,2,0,0.0,0,810,10,2.0,2.69681693
7,15,m,G,31,9.0,N,0.0,4.0,4,0,0.0,0,4800,6,26.0,2.85690736
5,4,f,G,41,14.0,N,0.0,4.0,4,7,1.0,0,8600,6,28.0,3.52464829
11,13,m,G,0,12.0,N,0.0,4.9,3,0,0.0,0,4230,10,43.0,2.35865298
9,8,m,G,19,12.0,N,1.0,3.7,2,0,0.0,0,3520,5,58.0,4.16498874
6,14,m,Q,8,16.0,N,0.0,4.4,5,0,0.0,0,6030,10,37.0,3.63455838
8,6,m,G,0,6.0,N,0.0,4.0,4,0,0.0,0,4,13,53.0,5.83722718
19,5,m,G,3,17.0,N,0.0,3.8,5,0,0.0,0,1,6,33.0,12.6
9,15,m,G,30,20.0,N,0.0,4.5,5,12,1.0,0,340,5,34.0,18.0781611
6,6,m,G,0,13.0,N,0.0,3.6,5,12,0.0,0,330,10,24.0,7.47240717
9,14,f,L,0,12.0,N,1.0,4.6,5,0,0.0,0,88420,5,14.0,2.429595478
7,8,m,G,0,14.5,y,0.0,4.4,4,0,0.0,0,4290,13,6.0,8.23260632
16,11,m,G,4,33.0,N,0.0,5.0,4,0,1.0,0,39,5,18.0,4.0457765
13,16,m,G,3,13.0,N,0.0,4.4,3,7,1.0,0,3340,10,5.0,3.49014071
9,5,m,wood,8,43.0,N,0.0,4.2,2,1,1.0,0,74,5,36.0,2.69681693
7,8,m,G,5,16.0,N,0.0,4.3,2,1,0.0,1,5230,5,34.0,2.81004779
19,10,m,G,10,40.0,y,0.0,3.9,5,0,0.0,0,100,10,28.0,6.56320224
10,5,m,L,4,20.0,N,0.0,4.2,4,0,0.0,0,610,5,15.0,11.5228136
20,7,m,G,4,61.0,N,1.0,4.0,5,0,0.0,1,870,10,28.0,8.74186019
9,8,f,G,49,23.5,y,0.0,4.5,1,12,0.0,0,170,10,15.0,2.10624751
3,7,m,G,24,51.0,N,0.0,4.4,4,0,0.0,0,910,10,,3.66038599
10,4,f,G,27,33.0,N,0.0,4.5,4,0,,1,3100,5,58.0,3.16442127
9,15,m,G,4,8.5,N,,4.7,2,0,1.0,0,280,10,38.0,2.33861853
21,7,m,G,15,32.0,N,0.0,4.3,1,1,,0,9200,5,61.0,2.86641
20,13,m,G,2,10.0,y,0.0,4.7,4,12,0.0,0,230,5,22.0,2.98325724
16,8,m,G,1,6.0,N,0.0,4.4,4,7,0.0,0,23070,10,8.0,5.83722718
7,7,m,G,0,71.0,N,1.0,4.0,4,0,0.0,0,25070,10,5.0,3.85801676
11,16,m,G,0,4.5,N,0.0,4.8,2,0,0.0,0,20640,13,53.0,2.38690817
9,7,m,G,7,59.0,N,0.0,3.5,5,0,0.0,0,62030,5,49.0,4.14023787
7,13,m,G,0,13.0,N,0.0,3.5,4,0,1.0,0,7020,5,25.0,2.86641
18,9,m,G,0,36.0,N,0.0,3.5,5,7,0.0,0,2450,10,39.0,3.42374303
1,6,f,G,0,34.5,N,1.0,4.5,5,2,0.0,0,22650,5,42.0,20.3446194
6,8,m,G,30,4.0,N,0.0,4.7,4,0,0.0,0,55,5,41.0,3.16346606
10,6,m,G,13,14.0,N,1.0,3.3,4,0,1.0,0,6,10,46.0,8.74186019
15,9,f,G,6,17.0,N,1.0,3.9,4,0,,0,14820,10,24.0,4.03507241
4,6,m,L,13,24.0,N,1.0,4.5,3,7,0.0,0,570,13,49.0,2.35865298
20,8,m,G,0,15.0,N,0.0,3.7,5,7,1.0,0,12180,6,9.0,3.2920468
9,13,m,G,6,30.5,N,1.0,4.2,5,0,0.0,0,1910,10,47.0,3.79588028
19,14,m,G,4,135.0,N,1.0,4.3,2,7,0.0,0,620,13,63.0,3.20634803
