tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,m_focal,num_words,district,refCountry,redCards,n_focal,gender,dyad,deny
Posterior,HTB1707,3,8,22.0,4.13857528,0.75,Papio,West Africa,4,166,71035,32,0,10,1,4,0
Anterior,NMNH283609a,0,11,57.0,5.83722718,0.75,Homo sapiens,Native Californian,3,383,65763,34,0,5,2,6,0
Premolar,HTB1153,1,12,22.0,5.07338879,0.75,Homo sapiens,East Africa,3,106,63404,7,0,10,1,1,0
Posterior,BM1909.6.11,0,12,37.0,2.41143228,1.0,Homo sapiens,East Africa,3,145,69500,44,0,10,2,8,0
Premolar,BM1976.1420,3,7,32.0,2.33861853,0.25,Homo sapiens,Native Californian,3,383,63610,34,0,10,2,3,0
Premolar,IPHA.29,0,12,32.0,3.4773143,0.25,Homo sapiens,East Africa,2,120,64766,7,0,10,1,6,0
Anterior,BRK126100,2,12,27.0,5.44334199,0.5,Homo sapiens,Borneo,3,145,65193,103,0,10,1,4,0
Anterior,HTB3539,0,12,22.0,2.69681693,1.0,Homo sapiens,Native Californian,3,106,71696,44,0,10,2,1,1
Anterior,BRK125821,0,12,42.0,7.36905252,0.0,Papio,Australian aboriginie,3,120,69039,64,0,13,1,7,0
Posterior,BRK126251,6,12,47.0,12.5,0.25,Papio,Native Californian,3,166,72181,48,0,10,2,4,1
Posterior,NMNH331242,0,12,27.0,15.0,0.25,Pongo,Australian aboriginie,2,166,65334,72,0,5,2,7,0
Anterior,HTB1025,0,12,27.0,3.54750963,0.25,Homo sapiens,Native Californian,3,324,72033,57,0,5,1,1,0
Anterior,BM1884.10.30.2,1,12,32.0,10.5,0.25,Homo sapiens,Australian aboriginie,3,383,65557,44,0,13,2,1,1
Posterior,AMNH99.1/83-A,0,8,27.0,2.9625106,0.25,Homo sapiens,Borneo,2,106,62240,32,0,6,2,5,0
Anterior,NMNH344714,0,8,27.0,16.4384771,0.0,Homo sapiens,Ebolwa,4,166,71969,8,0,6,1,1,0
Posterior,BM1976.1436,0,8,27.0,3.09538823,0.25,Homo sapiens,Australian aboriginie,2,145,64063,44,0,10,1,7,0
Anterior,HTB1882,0,9,22.0,15.0,0.75,Homo sapiens,Chucki,2,106,67405,77,0,10,2,3,0
Anterior,BM1923.3.4.3,0,12,27.0,7.8,0.75,Pongo,Australian aboriginie,2,166,63933,153,0,5,1,4,0
Premolar,BM1899.7.8.1,0,12,47.0,2.86641,0.75,Homo sapiens,Ebolwa,4,120,68916,44,0,5,1,5,0
Premolar,HTB1959,0,8,37.0,3.92661051,0.5,Homo sapiens,Native Californian,2,324,65771,34,0,6,1,4,0
Anterior,BM1976.1424,0,6,32.0,3.54750963,1.0,Homo sapiens,Afalou,4,324,71852,44,1,5,1,5,0
Premolar,UVS57,0,6,37.0,5.00049123,0.0,Homo sapiens,Ebolwa,4,166,69849,8,0,5,2,1,0
Anterior,BRK125827,0,8,57.0,16.9965704,0.25,Homo sapiens,French Cameroons,4,145,67199,8,0,10,1,5,0
Posterior,MH22283,0,8,32.0,2.10624751,0.25,Homo sapiens,East Africa,4,106,71548,69,0,6,1,1,0
Premolar,BM1906.11.1.6,5,12,27.0,4.94131337,0.25,Homo sapiens,Khoi-San,3,145,72744,7,0,5,2,4,0
Anterior,AMNH99.1/86-D,0,8,52.0,3.71619727,0.75,Homo sapiens,Native Californian,2,120,67157,8,0,6,1,4,0
Anterior,HTB0802,0,12,27.0,3.4773143,0.75,Homo sapiens,West Africa,2,324,70094,72,0,5,1,6,0
Posterior,BRK125666,2,8,32.0,3.49137561,0.75,Homo sapiens,Khoi-San,3,145,69211,72,0,5,2,4,0
Posterior,BM1932.7.6.1,0,4,37.0,3.44508735,0.75,Pongo,Alaska,3,106,66423,64,0,10,1,5,0
Anterior,HTB3551,4,4,27.0,4.65756455,0.0,Homo sapiens,Khoi-San or bushman half-caste,3,145,61879,44,0,13,2,5,0
Premolar,HTB1745,0,12,57.0,2.50774612,0.25,Homo sapiens,Native Californian,3,324,66852,65,0,6,1,1,0
Posterior,MH1701,0,8,27.0,4.27445115,0.25,Homo sapiens,Central Africa,2,324,68007,7,0,5,1,1,0
Anterior,BM1971.2354,0,4,37.0,5.1293812,0.75,Homo sapiens,Buriat,2,383,65748,64,0,5,2,8,0
Posterior,IPHA.28,0,12,32.0,8.74186019,1.0,Papio,West Africa,3,324,68999,58,1,5,2,3,0
Anterior,MH12326,0,12,37.0,3.54689952,0.25,Homo sapiens,Chucki,2,145,69955,8,0,5,1,5,0
Anterior,BRK125462,0,12,32.0,5.06022442,0.5,Homo sapiens,Native Californian,2,106,69591,44,0,5,2,3,0
Posterior,UVS60,0,12,27.0,2.81004779,0.25,Pan,East Africa,4,324,65680,8,0,5,2,8,0
Posterior,HTB0900,0,12,57.0,3.20634803,0.5,Homo sapiens,Alaska,2,145,68916,49,1,10,1,5,0
Anterior,MH4460,0,5,32.0,4.04495405,0.5,Pan,(Buriat) Chinese?,4,120,75440,111,0,5,2,5,0
Posterior,BM1939.1007,0,6,47.0,2.09782262,0.75,Pongo,Afalou,3,106,69781,8,0,5,1,7,0
Premolar,NMNH278701,0,12,22.0,2.26582834,0.25,Pan,Borneo,2,324,64626,15,0,6,1,4,0
Posterior,HTB1043,0,12,22.0,4.00197497,0.25,Pongo,Alaska,4,383,68635,52,0,5,1,7,0
Posterior,HTB1744,4,8,27.0,3.6143239,0.25,Pongo,Alaska,3,166,70730,8,0,13,2,4,1
Anterior,UCD2(3a)b,0,11,57.0,13.4013855,0.75,Homo sapiens,Alaska,2,383,61770,3,0,10,2,3,0
Anterior,MH1509,0,6,37.0,9.1,0.0,Homo sapiens,Native Californian,2,120,71910,8,0,5,2,4,0
Premolar,IPHA.12,0,12,37.0,18.8440476,0.0,Homo sapiens,Chucki,3,383,65748,8,0,10,1,6,0
Anterior,AMNH99.1/84-A,1,12,37.0,2.35865298,0.0,Homo sapiens,(Buriat) Chinese?,4,166,69369,44,0,5,1,6,0
Posterior,BM1976.1428,0,12,32.0,14.6850608,0.25,Homo sapiens,Australian aboriginie,3,120,69708,71,0,10,2,1,0
Anterior,NMNH278705,0,8,42.0,5.44334199,0.5,Homo sapiens,Borneo,3,324,75119,64,0,5,1,5,1
Premolar,IPHA.49,0,8,37.0,3.33164782,0.75,Homo sapiens,Alaska,2,106,71019,3,0,13,1,6,0
Premolar,AMNH99.1/96-A,1,8,22.0,3.88831042,0.0,Homo sapiens,Khoi-San or bushman half-caste,2,324,72231,8,0,10,1,7,0
Premolar,NMNH380452,0,12,27.0,3.45050478,0.75,Homo sapiens,Buriat,3,324,72538,48,0,13,1,7,0
Posterior,HTB1718,0,11,37.0,8.23260632,0.75,Homo sapiens,Sami,2,166,69625,72,0,5,1,5,0
Premolar,BM1911.12.1.1,0,12,52.0,3.45465859,0.5,Homo sapiens,East Africa,2,120,65813,44,0,10,1,4,0
Premolar,BRK125660,0,8,32.0,3.32060722,0.25,Papio,Afalou,3,120,64709,44,0,13,1,6,0
Anterior,HTB1223,4,12,32.0,4.16498874,1.0,Homo sapiens,Native Californian,2,145,63933,27,0,5,1,6,1
Premolar,BRK126755,0,6,32.0,2.26582834,1.0,Homo sapiens,Ebolwa,2,106,69377,101,0,5,1,5,0
Premolar,UCD2(8)b,0,8,27.0,15.0,1.0,Homo sapiens,Buriat,3,383,62596,8,0,10,2,3,0
Posterior,BRK125670,0,12,32.0,3.56943631,0.0,Homo sapiens,West Africa,2,120,72017,8,0,5,2,5,1
Premolar,HTB1215,0,6,22.0,9.7611705,0.75,Homo sapiens,Australian aboriginie,3,324,72157,44,0,5,2,5,0
Anterior,AMNH99.1/109,0,12,22.0,8.23260632,0.75,Homo sapiens,Sami,2,120,68486,44,0,5,2,1,1
Posterior,NMNH258483,6,4,32.0,3.4773143,0.25,Homo sapiens,East Africa,3,383,62703,7,0,10,2,5,0
Posterior,NMNH226092,0,6,27.0,6.56320224,1.0,Homo sapiens,East Africa,3,383,70599,34,0,5,1,5,0
Anterior,NMNH330607,0,8,27.0,3.54750963,0.75,Homo sapiens,Buriat,2,324,72215,3,0,13,2,4,0
Premolar,AMNH99.1/64,0,2,37.0,2.38690817,0.25,Homo sapiens,French Cameroons,3,166,61846,32,0,10,2,5,0
Premolar,NMNH283615,0,8,27.0,4.90407388,0.75,Homo sapiens,Australian aboriginie,2,120,66886,30,0,13,1,3,0
Posterior,HTB2747,0,6,37.0,3.63654073,0.75,Pongo,Ebolwa,3,106,69872,112,0,10,2,4,0
Premolar,NMNH380453,3,8,32.0,3.54750963,0.5,Pan,Ona,3,166,66845,64,0,5,2,6,0
Posterior,BRK125598,1,12,32.0,3.92661051,0.25,Homo sapiens,Australian aboriginie,3,166,67694,72,0,5,1,5,0
Premolar,AMNH99.1/111,0,6,27.0,5.15359486,0.0,Homo sapiens,Australian aboriginie,2,166,64170,8,0,10,2,5,0
Posterior,MH4459,0,12,27.0,2.97561367,0.25,Homo sapiens,French Cameroons,2,120,67819,8,1,5,2,5,0
Posterior,BRK126113,0,12,27.0,2.48359763,0.5,Homo sapiens,Alaska,2,106,67157,3,0,5,1,5,0
Premolar,BM1884.10.30.1,0,12,22.0,3.2128737,0.75,Homo sapiens,Australian aboriginie,2,145,72231,44,0,5,2,4,0
Anterior,UVS101,5,12,42.0,5.09801939,0.25,Homo sapiens,Native Californian,2,166,68957,48,0,5,2,4,1
Posterior,UVS76,0,7,22.0,10.4,0.75,Homo sapiens,Borneo,2,324,63362,49,0,10,1,4,0
Premolar,BRK126118,0,12,32.0,3.03927918,1.0,Homo sapiens,Buriat,4,120,69591,3,0,6,2,7,0
Premolar,MH4767,0,12,32.0,3.46891175,0.75,Papio,Borneo,4,120,62356,48,0,10,1,7,0
Premolar,BM1976.1430,0,12,27.0,9.1,0.75,Homo sapiens,Afalou,3,106,71431,1,0,13,1,5,0
Anterior,HTB1956,0,6,32.0,3.97369678,0.25,Papio,Alaska,4,145,70482,57,0,10,2,5,0
Posterior,MH20914,0,12,22.0,2.59401611,0.0,Papio,Native Californian,3,166,68023,48,0,13,1,1,0
Posterior,NMNH330605,0,12,57.0,4.61556224,0.75,Homo sapiens,Yaghan,3,166,66423,48,0,13,1,1,1
Anterior,NMNH344712,0,4,32.0,3.4773143,0.0,Pan,Ebolwa,4,383,71548,71,0,5,2,1,0
Anterior,NMNH380430,2,12,42.0,5.18766442,0.25,Homo sapiens,Alaska,2,324,64642,7,0,5,2,6,0
Posterior,BM1908.8.9.41,0,8,27.0,8.74186019,0.0,Homo sapiens,Borneo,3,166,71282,80,0,10,2,1,0
Premolar,MH12316,0,8,22.0,16.9965704,0.25,Homo sapiens,Ebolwa,2,106,61994,8,0,10,1,6,0
Anterior,PMN1496,1,8,27.0,2.81636112,0.75,Homo sapiens,Native Californian,3,106,69385,1,0,10,2,4,0
Premolar,BM1976.1415,0,6,37.0,3.37661729,1.0,Homo sapiens,Khoi-San or bushman half-caste,2,106,61382,3,0,6,1,5,1
Posterior,BM1924.8.6.15,0,8,27.0,3.54750963,1.0,Homo sapiens,West Africa,3,383,62737,3,0,5,2,5,1
Anterior,BRK126266,2,8,42.0,3.11717264,0.25,Pongo,East Africa,2,383,70961,52,0,5,2,3,0
Premolar,UVS12,0,12,37.0,3.2128737,1.0,Pan,Native Californian,2,324,71829,3,0,13,1,4,0
Premolar,BM1976.1440,0,8,22.0,3.22275136,0.5,Homo sapiens,West Africa,2,324,67405,8,0,10,2,4,0
Anterior,AMNH99.1/97,0,8,27.0,5.1517561,0.75,Pongo,Native Californian,3,383,64816,8,0,10,2,3,0
Premolar,UVS125,0,6,27.0,3.16436617,0.25,Homo sapiens,Borneo,3,145,71787,48,0,6,1,6,0
Premolar,AMNH99.1/160,9,12,22.0,2.86641,1.0,Homo sapiens,Alaska,2,166,66506,7,0,5,1,5,0
Anterior,MH22278,0,11,52.0,3.33164782,0.5,Papio,Native Californian,3,166,63362,44,0,10,1,3,0
Posterior,UVS40,0,6,32.0,2.62063975,0.25,Pan,Sami,2,166,65185,44,0,10,2,4,1
Anterior,MH12322,0,6,32.0,3.46891175,0.75,Pongo,Khoi-San,2,324,63370,8,0,5,2,1,0
Anterior,BM1976.1424,2,8,27.0,3.35840919,0.25,Papio,Alaska,2,324,65110,3,0,13,1,5,0
Posterior,HTB1221,2,6,32.0,5.83722718,0.75,Pongo,West Africa,4,166,63339,44,0,10,2,5,0
Anterior,BRK125802,0,8,32.0,3.20634803,0.0,Papio,Sami,3,383,66456,44,0,6,2,4,0
Premolar,UVS2,1,12,27.0,2.87155209,0.75,Homo sapiens,Australian aboriginie,4,120,64345,44,0,10,2,3,1
Premolar,UVS142,2,8,47.0,3.48559185,0.5,Papio,Alaska,2,166,63719,3,0,5,2,4,0
Anterior,MH4460,1,6,27.0,12.6,0.75,Pan,West Africa,2,383,63321,3,0,5,2,5,0
Anterior,AMNH99.1/59,0,12,32.0,3.6143239,1.0,Homo sapiens,Native Californian,2,324,67819,3,0,13,2,4,0
Posterior,BM50a,0,12,27.0,3.4773143,0.0,Pan,Alaska,3,106,63198,102,0,10,1,3,0
Posterior,BM1971.2354,0,12,22.0,5.69322104,0.0,Homo sapiens,Alaska,2,145,68387,8,0,6,2,5,0
Anterior,HTB1223,0,12,22.0,2.33861853,0.5,Papio,Native Californian,2,324,70409,7,0,6,1,3,0
Posterior,HTB1217,1,12,32.0,2.81636112,1.0,Papio,Khoi-San or bushman half-caste,2,324,66886,7,0,10,1,6,0
Anterior,NMNH331242,0,8,27.0,4.22315152,0.75,Homo sapiens,East Africa,3,120,69492,8,0,10,2,7,0
Anterior,UVS1,0,8,42.0,4.01057301,0.5,Homo sapiens,Native Californian,4,106,61887,52,0,5,1,5,0
Premolar,HTB1741,2,8,22.0,3.05433283,1.0,Homo sapiens,Native Californian,2,106,71431,7,0,5,1,5,0
Posterior,HTB1775,0,8,52.0,2.48359763,0.25,Pan,Ebolwa,4,145,71084,8,0,5,1,1,0
Anterior,UVS3,0,8,52.0,5.83722718,1.0,Homo sapiens,Borneo,2,324,63958,52,0,5,1,7,0
Premolar,HTB1212,0,8,27.0,5.83722718,0.75,Pongo,Australian aboriginie,2,166,63578,19,0,5,2,3,0
Posterior,AMNH99.1/90,0,12,37.0,12.374796,0.0,Homo sapiens,Native Californian,3,383,64196,7,0,10,2,8,1
Premolar,HTB1724,3,12,42.0,3.92661051,0.0,Homo sapiens,Australian aboriginie,3,166,65193,44,0,10,1,8,0
Premolar,MH1509,0,12,37.0,4.72264949,0.0,Papio,East Africa,2,383,69450,8,0,5,1,8,0
Anterior,BM1899.11.6.1,4,3,22.0,3.29146087,0.5,Homo sapiens,Australian aboriginie,3,120,68155,7,0,5,2,5,1
Anterior,BRK125800,0,12,37.0,2.29036872,0.5,Homo sapiens,Borneo,2,145,61655,24,0,5,1,1,0
Anterior,PMN3064A,0,8,22.0,4.62847197,0.0,Homo sapiens,West Africa,2,106,70045,7,0,13,1,5,0
Anterior,HTB1216,1,8,27.0,3.63654073,0.5,Homo sapiens,Alaska,3,145,68635,8,0,13,2,4,1
Premolar,BM1886.12.20.10,0,12,27.0,2.97561367,0.5,Homo sapiens,Central Africa,4,120,62109,8,0,13,1,4,0
Posterior,NMNH330607,2,12,22.0,12.6,0.25,Papio,Khoi-San,3,145,71472,8,0,6,2,4,0
Premolar,MH3337,0,12,22.0,4.85399919,1.0,Pongo,Buriat,2,324,70094,3,0,10,1,8,1
Premolar,NMNH330604,0,12,27.0,3.80749511,0.0,Homo sapiens,Native Californian,3,106,64832,44,0,5,2,1,0
Premolar,BRK125821,0,4,22.0,5.44029653,0.25,Homo sapiens,Afalou,3,145,65458,101,0,5,1,4,0
Posterior,HTB1497,0,12,32.0,5.5467185,0.25,Homo sapiens,West Africa,2,106,70409,44,0,5,1,5,0
Premolar,BRK125666,0,12,32.0,6.19980411,0.25,Papio,West Africa,3,324,66340,44,0,13,2,4,0
Premolar,NMNH226087,0,12,52.0,2.86641,0.75,Homo sapiens,Alaska,2,324,72538,52,0,5,2,5,0
Premolar,BRK126264,12,12,47.0,1.99807578,0.75,Homo sapiens,East Africa,2,106,69617,7,0,5,1,6,0
Premolar,BRK125462,0,7,42.0,3.10683206,0.75,Homo sapiens,Native Californian,2,120,71365,7,0,6,2,3,0
Posterior,BM1918.11.8.1,4,12,27.0,3.7220627,0.5,Pongo,Sami,3,166,61507,19,0,10,1,7,0
Posterior,UVS63,1,6,17.5,3.6064238,0.0,Pan,East Africa,3,383,64600,8,0,6,2,5,0
Anterior,HTB1737,0,12,32.0,2.78157736,0.75,Homo sapiens,West Africa,2,166,67322,8,0,5,1,5,0
Posterior,UVS102,0,12,27.0,2.47259539,0.5,Homo sapiens,Buriat,2,324,68056,70,0,5,1,1,0
Anterior,HTB3434,1,12,32.0,2.392161,0.25,Homo sapiens,East Africa,3,324,69708,52,0,13,2,4,0
Premolar,AMNH99.1/94,0,12,22.0,4.14023787,0.25,Homo sapiens,Native Californian,2,324,70649,7,0,10,2,1,0
Posterior,MH24592,0,12,22.0,3.85801676,0.75,Homo sapiens,Australian aboriginie,2,120,69179,7,0,5,1,4,0
Posterior,UVS1,0,8,42.0,2.78157736,0.75,Pan,Alaska,3,120,68205,7,0,13,2,4,0
Premolar,NMNH380450,10,6,27.0,18.0781611,0.5,Papio,Native Californian,3,324,71811,44,0,5,2,3,0
Posterior,HTB1497,0,12,27.0,3.68843519,1.0,Pongo,Alaska,3,324,66407,7,0,10,1,5,0
Premolar,BM1964.2174,0,12,37.0,3.92661051,0.0,Homo sapiens,Australian aboriginie,2,324,69120,44,0,10,1,5,0
Posterior,HTB3539,0,6,37.0,3.88831042,0.5,Homo sapiens,East Africa,3,106,66480,44,0,13,2,4,0
Premolar,BRK126244,0,8,37.0,3.79588028,0.75,Pan,Australian aboriginie,2,120,63792,8,0,5,1,4,0
Anterior,NMNH380449,0,12,32.0,2.81004779,0.75,Homo sapiens,East Africa,2,324,64485,8,0,10,2,1,0
Premolar,MH1505,0,12,37.0,5.06022442,0.75,Homo sapiens,Native Californian,2,145,62539,8,0,10,2,6,0
Anterior,BRK126243,0,4,32.0,3.71619727,0.75,Homo sapiens,Khoi-San,3,106,63024,7,0,10,2,4,0
Posterior,MH24934A,0,6,32.0,5.35897499,0.75,Homo sapiens,Sami,4,120,70300,8,0,13,2,4,0
Anterior,MH1860,0,8,22.0,2.59401611,0.0,Pan,Alaska,2,383,67397,3,0,5,2,5,0
Premolar,MH4665,0,12,27.0,2.62887685,0.25,Homo sapiens,Australian aboriginie,2,166,68353,3,0,10,1,5,0
Anterior,NMNH283609a,12,8,27.0,3.1661365,0.0,Homo sapiens,(Buriat) Chinese?,4,106,63024,3,0,5,1,8,0
