rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,ndam,eval,gender,language,age,female,category,name,majority_first,native
11,65722,Le Grand Union Elementary,Merced,KK-08,446,21.0,18.60989952,85.87439728,86,4547.692383,8.930999756,52.91479874,612.7999878,618.7000122,6200.0,4.0,female,Italian,25.0,0.0,3,Ione,0,no
12,62174,West Fresno Elementary,Fresno,KK-08,987,47.0,71.71309662,98.60559845,56,5447.345215,7.385000229,54.60993195,616.5999756,616.0,1540.0,4.2,female,Turkish,17.0,0.0,2,Flossy,0,yes
13,71795,Allensworth Elementary,Tulare,KK-08,103,5.0,22.42989922,98.13079834,25,6567.149414,5.335000038,42.71844482,612.7999878,619.7999878,,4.4,female,English,59.0,1.0,4,Audrey,0,yes
14,72181,Sunnyside Union Elementary,Tulare,KK-08,487,24.34000015,24.6093998,77.14839935,0,4818.612793,8.279000282,20.53388023,610.0,622.5999756,540.0,4.5,female,Czech,53.0,1.0,3,Helene,0,yes
15,72298,Woodville Elementary,Tulare,KK-08,649,36.0,14.63790035,76.27120209,31,5621.456055,9.630000114,80.1232605,611.9000244,621.0,430.0,4.7,female,,44.0,1.0,1,Debra,0,yes
16,72041,Pixley Union Elementary,Tulare,KK-08,852,42.06999969,24.21419907,94.29570007,80,6026.359863,7.453999996,49.41314316,614.7999878,619.9000244,510.0,4.4,male,English,26.0,0.0,3,Gracie,1,yes
17,63594,Lost Hills Union Elementary,Kern,KK-08,491,28.92000008,11.20160007,97.75969696,100,6723.237793,6.21600008,85.53971863,611.7000122,624.4000244,53270.0,4.6,male,English,20.0,0.0,4,Donna,1,yes
18,63370,Buttonwillow Union Elementary,Kern,KK-08,421,25.5,8.551099777,77.90969849,50,5589.885254,7.763999939,58.90736389,614.9000244,621.7000122,35.0,3.3,male,English,58.0,1.0,1,Ethel,0,no
19,64709,Lennox Elementary,Los Angeles,KK-08,6880,303.0299988,21.28240013,94.97119904,960,5064.615723,7.021999836,77.0058136,619.0999756,620.5,15850.0,3.6,female,English,46.0,0.0,4,Carla,0,no
20,63560,Lamont Elementary,Kern,KK-08,2688,135.0,23.4375,93.22920227,139,5433.593262,5.698999882,49.81398773,621.2999878,619.2999878,300.0,4.3,female,English,20.0,0.0,1,Cindy,0,yes
21,63230,Westmorland Union Elementary,Imperial,KK-08,440,24.0,34.77270126,100.0,69,5725.563477,7.940999985,40.68181992,615.5999756,625.4000244,6450.0,4.7,female,German,35.0,0.0,2,Cleo,0,yes
22,72058,Pleasant View Elementary,Tulare,KK-08,475,21.0,21.64949989,91.54640198,53,4542.10498,9.630000114,16.21052551,619.9000244,622.9000244,16260.0,3.6,female,English,28.0,0.0,2,Dora,0,yes
23,63842,Wasco Union Elementary,Kern,KK-08,2538,130.5,18.91110039,70.8167038,169,5107.086426,7.40500021,45.07486343,622.9000244,620.5999756,2770.0,4.7,male,,,0.0,3,Hilda,0,yes
24,71811,Alta Vista Elementary,Tulare,KK-08,476,19.0,43.85589981,100.0,0,4659.661621,9.630000114,39.07563019,620.7000122,623.4000244,800.0,4.0,female,,,0.0,2,Isbell,0,yes
25,65748,Livingston Union Elementary,Merced,KK-08,2357,114.0,16.8010006,90.623703,216,4555.464355,8.019000053,76.66525269,619.5,625.7000122,20000.0,4.3,female,English,22.0,0.0,3,Betsy,0,yes
26,72272,Woodlake Union Elementary,Tulare,KK-08,1588,85.0,22.40719986,85.14720154,198,5415.152832,8.522999763,40.49118423,625.0,621.2000122,730.0,4.0,male,English,16.0,0.0,2,Alma,1,yes
27,65961,Alisal Union Elementary,Monterey,KK-06,7306,319.7999878,17.00149918,88.03489685,742,4997.871582,7.983181477,73.7202301,620.4000244,626.0,99.0,4.0,female,Spanish,35.0,0.0,1,Inez,1,yes
28,63313,Arvin Union Elementary,Kern,KK-08,2601,135.0,15.07110023,92.19529724,269,5223.912109,7.304999828,70.01153564,616.5,630.4000244,5060.0,4.2,female,,,0.0,3,Beulah,1,yes
29,72199,Terra Bella Union Elementary,Tulare,KK-08,847,44.0,16.2928009,90.20069885,67,5139.164551,8.934000015,55.96221542,620.0999756,627.0999756,800.0,4.3,male,English,16.0,1.0,2,Gladys,0,yes
30,72215,Tipton Elementary,Tulare,KK-08,452,22.0,14.49890041,81.02349854,55,4614.251953,8.553999901,11.06194687,627.9000244,620.4000244,23040.0,3.9,female,English,22.0,0.0,5,Camille,0,yes
31,68379,San Ysidro Elementary,San Diego,KK-08,4142,201.0,35.5625,81.50650024,569,5342.233398,6.612999916,80.42008972,620.4000244,628.7000122,6870.0,5.0,male,English,21.0,0.0,3,Celia,0,yes
32,75440,Soledad Unified,Monterey,KK-08,2102,99.75,15.31989956,90.28489685,224,5347.458496,12.4090004,63.13035583,623.0,626.9000244,300.0,4.7,female,English,35.0,0.0,2,Edith,0,yes
33,64816,Mountain View Elementary,Los Angeles,KK-08,10012,464.8999939,29.76390076,91.59339905,721,5036.458984,8.126615524,65.12185669,620.7999878,629.7999878,500.0,3.7,female,English,58.0,0.0,1,Fern,0,yes
34,66050,King City Union Elementary,Monterey,KK-08,2488,125.0,12.69200039,55.0929985,202,5117.141602,11.43099976,53.41640091,626.0999756,625.5999756,200.0,3.7,male,English,38.0,0.0,1,Ginger,0,yes
35,67819,Ontario-Montclair Elementary,San Bernardino,KK-08,25151,1186.699951,17.44260025,80.19560242,1713,5117.039551,11.72222519,49.82307053,625.4000244,626.7999878,20430.0,3.7,male,Dutch,21.0,0.0,1,Agnes,0,yes
36,64758,Los Nietos Elementary,Los Angeles,KK-08,2267,103.6800003,19.15169907,84.43379974,177,5272.191895,11.33250046,35.46537018,625.4000244,628.2000122,1180.0,4.8,male,English,13.0,1.0,3,Carmen,1,yes
37,65870,Winton Elementary,Merced,KK-08,1657,90.40000153,28.84729958,84.73139954,204,5225.719238,9.597999573,56.12552643,623.5999756,630.2000122,6190.0,3.7,female,English,43.0,0.0,3,Eloise,0,yes
38,62380,Raisin City Elementary,Fresno,KK-08,284,17.5,14.52700043,94.93240356,18,6516.533203,14.55799961,32.39436722,628.9000244,625.2999878,570.0,4.0,male,English,26.0,0.0,1,Belle,0,yes
39,68999,Ravenswood City Elementary,San Mateo,KK-08,5370,280.0,19.57169914,81.11730194,562,4559.176758,22.05999947,65.51210022,624.4000244,630.0999756,66.0,4.9,male,Chinese,23.0,0.0,1,Babe,0,yes
40,63578,Richland-Lerdo Union Elementary,Kern,KK-08,2471,121.8600006,23.79599953,87.77819824,275,5119.158203,9.708999634,53.05544281,627.5,627.0999756,70.0,4.0,female,Dutch,26.0,0.0,1,Bob,0,yes
41,72538,Oxnard Elementary,Ventura,KK-08,15386,669.3599854,12.50640011,71.43309784,1762,5338.185547,11.48294449,49.64253235,627.7999878,628.7000122,2700.0,3.9,male,Romanian,27.0,0.0,2,David,0,yes
42,65680,El Nido Elementary,Merced,KK-08,184,9.0,22.2826004,85.86959839,40,5090.044922,8.17800045,45.10869598,621.5999756,635.2000122,12770.0,4.4,female,Italian,25.0,1.0,3,Frederic,0,no
43,63461,Fairfax Elementary,Kern,KK-08,1217,61.40000153,33.90800095,88.09519958,78,5485.496094,8.173999786,30.32045937,629.4000244,627.7000122,2130.0,3.9,female,English,34.0,1.0,3,Allen,1,yes
44,63404,Delano Union Elementary,Kern,KK-08,6219,268.0,21.49860001,100.0,571,4793.370117,7.5,52.24312592,621.0999756,636.2000122,10400.0,4.3,female,Other,22.0,0.0,3,Alicia,1,yes
45,67199,Perris Elementary,Riverside,KK-06,4258,221.0,24.65950012,92.74310303,324,5092.91748,10.05049992,36.80131531,626.5,631.0,410.0,3.5,male,English,24.0,0.0,2,Diana,1,yes
46,65078,Valle Lindo Elementary,Los Angeles,KK-08,1235,53.0,8.218299866,62.13019943,175,4359.520996,7.331999779,30.28339958,630.2000122,629.4000244,130.0,4.6,female,,,1.0,1,Bob,1,yes
47,69369,Alum Rock Union Elementary,Santa Clara,KK-08,16244,766.6500244,17.4531002,69.73989868,1423,5645.495605,12.5815773,49.8645668,629.5,631.2000122,160.0,3.5,male,English,18.0,0.0,1,Danny,0,yes
48,63438,Edison Elementary,Kern,KK-08,814,39.0,19.77890015,67.44470215,85,4518.016113,15.17700005,13.75921345,631.9000244,628.9000244,4180.0,4.3,female,English,39.0,0.0,3,Elena,0,yes
49,63321,Bakersfield City Elementary,Kern,KK-08,27176,1429.0,39.21839905,84.29499817,3324,5864.366211,12.109128,28.86370468,631.5999756,629.5,3020.0,4.3,male,Other,19.0,0.0,3,Gloria,1,yes
50,69450,Franklin-McKinley Elementary,Santa Clara,KK-08,10696,487.9700012,22.15780067,70.89569855,1306,5257.996582,11.78499985,52.80478668,628.5,632.5999756,4730.0,4.5,male,English,18.0,1.0,1,Juan,0,yes
51,64592,Hawthorne Elementary,Los Angeles,KK-08,8935,444.5,36.94509888,79.51200104,786,5016.692383,14.06200027,44.08506012,628.4000244,633.7000122,1310.0,3.2,male,English,31.0,0.0,2,Kate,0,yes
52,65193,Chowchilla Elementary,Madera,KK-08,1600,74.5,27.26140022,79.72550201,242,4720.086426,10.47200012,35.25,635.7000122,627.0999756,6.0,3.6,female,,20.0,0.0,1,Bonnie,1,yes
53,66142,Salinas City Elementary,Monterey,KK-06,9028,449.9200134,13.98849964,69.94249725,669,5470.5625,13.40511703,37.49446106,633.0,630.7000122,58.0,4.0,male,Chinese,21.0,0.0,1,Charley,0,yes
54,69120,Santa Maria-Bonita Elementary,Santa Barbara,KK-08,10625,521.4699707,7.497499943,77.52559662,896,5615.441895,12.30179977,50.39059067,629.5999756,634.2000122,1.0,3.5,male,English,26.0,0.0,1,Floyd,0,yes
55,65110,Whittier City Elementary,Los Angeles,KK-08,7151,318.5799866,18.54809952,61.73820114,560,5245.439941,15.40407085,31.07257843,634.2000122,629.7000122,4.0,3.8,female,English,13.0,1.0,1,Florence,1,yes
56,64477,Eastside Union Elementary,Los Angeles,KK-08,2404,105.0,20.92740059,52.94350052,202,4838.175293,13.76200008,18.26123238,633.5,630.5,290.0,3.5,female,English,50.0,0.0,1,Chantal,0,yes
57,64691,Lawndale Elementary,Los Angeles,KK-08,5804,283.1499939,28.34250069,81.11650085,480,5367.988281,14.18400002,34.70020676,631.4000244,633.0,20020.0,4.3,female,Swedish,18.0,0.0,4,Hugo,0,yes
58,67421,Robla Elementary,Sacramento,KK-06,2253,112.6500015,43.49760056,84.55390167,196,5526.236816,8.864999771,33.28894806,637.5,627.0,230.0,4.0,female,English,31.0,0.0,1,Jerry,0,yes
59,66191,Santa Rita Union Elementary,Monterey,KK-08,2807,126.1200027,15.45950031,52.39640045,152,4353.019531,12.99699974,33.48770905,637.2999878,627.5999756,3620.0,4.7,female,English,21.0,0.0,2,Bob,0,yes
60,72561,Rio Elementary,Ventura,KK-08,3074,142.5500031,11.28979969,66.19490051,249,5034.290039,11.59200001,38.15875244,633.2000122,632.5,66730.0,4.2,male,English,25.0,0.0,5,Andrew,0,yes
61,72157,Strathmore Union Elementary,Tulare,KK-08,723,37.11999893,25.92110062,83.15789795,45,4692.493652,8.279000282,36.92946243,629.2000122,636.7000122,96.0,4.6,female,English,21.0,0.0,3,Emily,1,yes
62,67397,North Sacramento Elementary,Sacramento,KK-06,5138,290.7749939,58.75220108,84.99900055,560,5606.781738,10.90564251,32.98949051,630.2999878,635.7999878,1650.0,5.0,female,English,22.0,0.0,2,Erin,0,yes
63,66423,Anaheim Elementary,Orange,KK-06,20927,953.5,10.91139984,82.39260101,1048,4969.180664,13.40062523,58.21665573,629.5999756,636.7000122,7550.0,4.0,male,English,22.0,0.0,3,Opal,0,yes
64,63974,Lemoore Union Elementary,Kings,KK-08,3017,138.5,14.97679996,56.06359863,496,4675.674805,11.08100033,17.00364685,634.4000244,632.9000244,700.0,4.0,male,English,64.0,0.0,2,Bertha,1,yes
65,63875,Armona Union Elementary,Kings,KK-08,957,50.0,27.16819954,82.13169861,149,5306.132813,9.081999779,17.65935326,634.7000122,633.0999756,8260.0,4.5,male,Other,19.0,1.0,3,Fran,0,yes
66,63339,Beardsley Elementary,Kern,KK-08,1639,90.5,46.88819885,80.60420227,287,5693.883301,13.39000034,7.321537495,638.4000244,629.5999756,200.0,4.4,female,English,64.0,0.0,1,Danny,0,yes
67,65037,South Whittier Elementary,Los Angeles,KK-08,4340,209.8399963,17.70260048,93.92269897,284,5181.57959,14.60162544,31.19815636,631.9000244,636.2000122,1650.0,4.4,female,English,25.0,0.0,2,Bonnie,0,yes
68,63917,Hanford Elementary,Kings,KK-08,5079,224.5,25.55929947,63.80360031,585,5228.650879,11.11600018,16.61744499,637.7000122,630.5,160.0,3.4,female,Romanian,23.0,0.0,1,Earl,1,yes
69,68221,National Elementary,San Diego,KK-06,6639,304.730011,26.84140015,100.0,505,5339.391113,8.423000336,58.08103561,631.5,636.7000122,3870.0,3.5,male,,27.0,0.0,2,Georges,1,yes
70,70904,Roseland Elementary,Sonoma,KK-06,1154,62.09999847,22.92770004,84.92060089,129,6056.49707,11.66499996,55.89254379,636.7999878,631.5,94.0,4.5,female,English,24.0,1.0,3,Bret,0,yes
71,63420,Di Giorgio Elementary,Kern,KK-08,237,11.0,19.83119965,76.79319763,13,4845.680176,7.304999828,5.485232353,631.7999878,636.5999756,8130.0,3.9,female,German,16.0,0.0,2,Floyd,0,yes
72,64642,Keppel Union Elementary,Los Angeles,KK-08,2987,141.2100067,21.25880051,68.39640045,273,4826.666016,13.7305994,14.4291935,637.7000122,631.0999756,1430.0,3.5,female,English,24.0,0.0,1,Irene,0,yes
73,63966,Lakeside Union Elementary,Kings,KK-08,499,30.0,40.36700058,83.11930084,94,5367.090332,11.11600018,22.84569168,635.5,633.5999756,1260.0,4.6,female,,24.0,0.0,1,Lili,1,yes
74,65771,Merced City Elementary,Merced,KK-08,11474,542.6500244,40.55260086,77.0089035,1248,5742.73291,10.36442852,38.78333664,633.2000122,636.2000122,250.0,4.2,male,Chinese,19.0,0.0,1,Claudette,1,yes
75,69203,Guadalupe Union Elementary,Santa Barbara,KK-08,1088,55.0,14.15439987,86.02940369,107,4136.250977,6.982999802,64.24632263,631.0999756,638.7000122,4980.0,4.5,male,English,25.0,0.0,2,Isabel,1,yes
76,67694,Cucamonga Elementary,San Bernardino,KK-08,2660,140.1199951,15.76010036,74.85099792,259,5267.831055,14.46780014,25.22556496,637.7999878,632.0999756,5.0,4.2,female,English,41.0,0.0,1,Alex,0,no
77,61705,Knightsen Elementary,Contra Costa,KK-08,353,19.97999954,8.672100067,33.06230164,8,5238.39209,14.65299988,5.382436275,636.5999756,633.5,20510.0,4.1,male,English,23.0,0.0,4,Charley,1,yes
78,63008,Rio Dell Elementary,Humboldt,KK-08,329,18.53000069,28.91570091,85.54219818,37,5462.899414,10.62899971,6.079027653,644.2999878,626.0999756,12620.0,4.2,male,English,48.0,0.0,2,Frances,0,yes
79,70417,Montague Elementary,Siskiyou,KK-08,252,16.5,23.45680046,66.25509644,32,6313.373535,9.781000137,0.0,640.9000244,630.0,170.0,3.9,male,German,22.0,0.0,1,Gaston,0,no
80,70409,McCloud Union Elementary,Siskiyou,KK-08,175,12.5,21.76469994,68.82350159,31,6653.030762,10.65600014,0.0,634.5999756,636.5999756,18590.0,3.3,male,English,35.0,0.0,3,Ivan,1,yes
81,72587,Santa Paula Elementary,Ventura,KK-08,3835,186.1999969,13.99110031,72.8628006,897,5533.149414,11.93799973,34.88917923,633.0,638.2000122,10210.0,4.9,male,English,38.0,1.0,3,Jeanne,0,yes
82,62539,West Park Elementary,Fresno,KK-08,314,19.25,29.93630028,93.63059998,8,6118.710449,7.385000229,13.05732441,636.7000122,634.7999878,350.0,3.4,male,Indonesian,25.0,,1,Cindy,0,yes
83,65631,Atwater Elementary,Merced,KK-08,4458,211.0,22.22220039,72.32080078,445,5098.626953,10.67599964,36.0251236,633.2000122,638.7000122,2650.0,4.7,male,English,33.0,1.0,3,Dennis,1,yes
84,65862,Weaver Union Elementary,Merced,KK-08,1313,75.08000183,32.08679962,73.59760284,112,5652.878906,9.972000122,34.65346527,633.9000244,638.2999878,,4.1,female,English,49.0,0.0,3,Katrina,1,yes
85,62356,Pacific Union Elementary,Fresno,KK-08,474,26.5,21.5189991,75.73840332,36,5329.002441,8.258000374,28.69198227,634.7000122,638.2999878,91.0,5.0,male,English,37.0,0.0,1,Ophelia,1,yes
86,75051,Lucerne Valley Unified,San Bernardino,KK-08,1114,57.70000076,29.44680023,62.21279907,277,5929.809082,8.895999908,1.795332193,645.4000244,627.7999878,10690.0,3.5,female,English,34.0,0.0,3,Rita,0,yes
87,67231,Romoland Elementary,Riverside,KK-06,1358,65.0,14.79030037,80.86830139,178,4897.067871,12.06200027,30.63328552,632.2999878,641.0999756,25960.0,5.0,male,English,28.0,1.0,3,Wilma,1,yes
88,64501,El Monte City Elementary,Los Angeles,KK-08,11629,546.2999878,25.37940025,83.873703,1015,5100.202148,9.428894997,59.0334549,632.4000244,641.4000244,51.0,4.0,female,English,58.0,0.0,1,Humberto,0,yes
89,63503,Greenfield Union Elementary,Kern,KK-08,6195,306.75,21.04330063,68.57189941,1261,4825.722656,8.920332909,13.55932236,636.2000122,637.7000122,1110.0,4.3,female,Italian,25.0,0.0,1,Dolly,1,yes
90,72033,Palo Verde Union Elementary,Tulare,KK-08,499,20.0,23.69939995,80.92489624,35,4079.12915,10.09799957,5.010019779,636.0999756,637.9000244,4360.0,3.8,female,English,30.0,0.0,2,Gustav,1,yes
91,67322,Elverta Joint Elementary,Sacramento,KK-08,417,23.0,19.90410042,46.04320145,27,5349.367676,11.82999992,0.9592326283,638.0,636.2000122,20370.0,3.5,male,English,28.0,0.0,2,Ike,0,yes
92,64048,Lucerne Elementary,Lake,KK-08,300,15.0,48.3443985,72.18540192,55,5869.38916,11.55300045,0.6666666865,640.9000244,633.7999878,7110.0,3.6,female,English,35.0,0.0,1,Irene,1,yes
93,69542,Luther Burbank Elementary,Santa Clara,KK-08,457,24.39999962,16.81609917,67.71299744,50,6462.12793,19.70700073,38.51203537,644.9000244,630.4000244,24000.0,3.3,female,English,21.0,0.0,1,Isaac,1,no
94,61382,Bangor Union Elementary,Butte,KK-08,146,8.0,25.34250069,54.10960007,34,6231.601563,7.105000019,0.0,646.0999756,629.7999878,75000.0,3.6,female,English,22.0,0.0,2,Sandy,1,yes
95,68858,Bayshore Elementary,San Mateo,KK-08,460,24.21999931,10.59319973,66.94920349,71,4993.867676,13.72500038,17.17391396,633.2000122,642.7000122,1590.0,4.5,female,English,20.0,0.0,3,Easy,1,yes
96,72017,Oak Valley Union Elementary,Tulare,KK-08,354,17.79999924,10.27779961,59.72219849,28,4663.811035,10.09799957,9.887005806,636.7000122,639.2999878,5350.0,4.0,male,English,38.0,1.0,3,King,0,yes
97,65151,Wilsona Elementary,Los Angeles,KK-08,1841,95.0,25.25799942,64.74739838,315,6107.106445,13.76200008,19.39163589,640.4000244,636.0,150.0,3.6,male,Dutch,21.0,0.0,1,Able,1,yes
98,63073,Brawley Elementary,Imperial,KK-08,3760,183.75,26.90159988,65.7960968,717,5324.228027,9.664999962,36.48936081,636.2000122,640.4000244,58.0,4.2,male,English,26.0,0.0,1,Barbara,1,yes
99,63198,Meadows Union Elementary,Imperial,KK-08,500,22.43000031,18.79999924,83.0,70,5221.460938,10.26399994,39.39999771,630.4000244,646.2000122,15.0,4.6,male,English,33.0,0.0,1,Florence,1,yes
100,64717,Little Lake City Elementary,Los Angeles,KK-08,5112,246.8999939,10.69120026,59.7234993,383,5157.784668,11.56920052,28.67762184,638.5999756,638.0999756,19321.0,3.8,male,English,28.0,0.0,3,Carol,0,yes
101,63719,Pond Union Elementary,Kern,KK-08,146,7.659999847,13.69859982,66.43840027,28,5131.119141,7.40500021,13.69863033,637.5,639.5999756,3230.0,4.2,female,English,45.0,0.0,3,Edna,1,yes
102,63800,Taft City Elementary,Kern,KK-08,2141,105.8199997,26.49650002,65.38279724,134,5279.354004,12.07699966,11.34983635,636.9000244,640.5,24260.0,4.1,female,,21.0,0.0,4,Hazel,1,yes
103,71357,Brittan Elementary,Sutter,KK-08,610,30.97999954,8.524600029,56.06560135,144,4704.043945,11.28299999,3.442623138,640.2999878,638.2000122,2030.0,4.3,female,English,21.0,0.0,3,Connie,1,yes
104,65557,Arena Union Elementary,Mendocino,KK-08,337,16.54999924,21.26250076,60.13290024,26,6089.910645,10.03499985,15.43026733,642.7000122,635.9000244,14730.0,4.7,female,Finnish,23.0,0.0,1,Diane,0,yes
105,67587,Adelanto Elementary,San Bernardino,KK-08,4501,227.8500061,19.12969971,63.9054985,597,5356.833496,8.383999825,17.97378349,639.9000244,638.7999878,6200.0,4.7,male,English,13.0,0.0,3,Ione,0,yes
106,67470,Hollister School District,San Benito,KK-08,5718,295.0499878,6.84070015,37.04560089,313,5144.549316,13.63000011,22.71773338,641.4000244,637.5999756,1540.0,4.8,female,English,46.0,0.0,2,Flossy,1,yes
107,64857,Palmdale Elementary,Los Angeles,KK-08,19402,846.3800049,20.52370071,51.24209976,1182,4906.22998,14.12766743,18.43624496,641.7000122,637.7999878,,3.6,female,English,37.0,0.0,4,Audrey,0,yes
108,61507,Oroville City Elementary,Butte,KK-08,3401,175.5500031,52.21989822,74.27230072,560,5489.588867,11.26612473,16.17171478,641.5,638.0999756,540.0,3.6,female,English,22.0,0.0,3,Helene,1,yes
109,63792,Standard Elementary,Kern,KK-08,2621,136.8300018,25.82979965,64.09770203,397,5718.55127,13.39000034,2.02212882,641.4000244,638.2999878,430.0,4.3,male,English,32.0,1.0,1,Debra,0,yes
110,72447,Briggs Elementary,Ventura,KK-08,426,20.0,3.990600109,64.78869629,87,4436.152832,11.93799973,9.62441349,634.2999878,645.5,510.0,3.7,female,English,39.0,0.0,3,Gracie,0,yes
111,62323,Monroe Elementary,Fresno,KK-08,205,11.19999981,18.53660011,80.9756012,24,4895.439453,8.258000374,41.46341324,643.5,636.7000122,53270.0,4.2,female,English,35.0,0.0,4,Donna,0,yes
112,64667,Lancaster Elementary,Los Angeles,KK-08,13668,648.4099731,28.1753006,56.29940033,1321,5159.21875,14.22672749,9.8990345,640.4000244,639.9000244,35.0,4.5,male,English,20.0,0.0,1,Ethel,1,yes
113,65177,Alview-Dairyland Union Elementary,Madera,KK-08,342,18.20000076,11.39599991,68.09120178,98,5490.654785,10.47200012,16.08187103,637.7000122,643.2999878,15850.0,4.0,female,,,1.0,4,Carla,1,yes
114,66589,Magnolia Elementary,Orange,KK-06,6518,332.1000061,12.27910042,71.02380371,499,5172.019531,14.24290085,43.4949379,638.5,643.0,300.0,3.4,male,English,26.0,,1,Cindy,0,no
115,71985,Liberty Elementary,Tulare,KK-08,239,12.19999981,15.61180019,69.62030029,30,4441.672852,14.06599998,8.786610603,644.9000244,636.9000244,6450.0,4.4,male,English,23.0,0.0,2,Cleo,1,yes
116,69617,Mt. Pleasant Elementary,Santa Clara,KK-08,2911,139.4700012,11.92850018,52.9734993,281,5220.370117,15.96800041,39.02438736,640.4000244,641.7999878,16260.0,4.2,male,Romanian,23.0,0.0,2,Dora,0,yes
117,63123,El Centro Elementary,Imperial,KK-08,6272,297.0400085,28.71999931,71.76239777,1338,5252.810547,10.26399994,53.89030457,639.2999878,643.5999756,2770.0,3.8,male,English,24.0,0.0,3,Hilda,0,yes
118,68395,South Bay Union Elementary,San Diego,KK-06,10218,508.75,17.42020035,70.80639648,1435,5518.702148,10.6024704,41.13329315,638.5999756,644.2999878,800.0,3.4,female,German,15.0,1.0,2,Isbell,1,yes
119,69914,Cascade Union Elementary,Shasta,KK-08,1735,87.13999939,47.2621994,75.50430298,222,5609.487793,10.52299976,1.383285284,640.7999878,642.2999878,20000.0,4.2,male,Other,29.0,0.0,3,Betsy,1,yes
120,71969,Kings River Union Elementary,Tulare,KK-08,474,26.61000061,20.67510033,82.06749725,96,4945.031738,11.23799992,35.44303894,638.9000244,644.7000122,730.0,4.8,male,English,49.0,0.0,2,Alma,0,yes
121,71548,Gerber Union Elementary,Tehama,KK-08,544,30.0,20.55050087,74.86239624,145,5223.025391,10.05599976,8.639705658,641.7999878,642.5999756,99.0,4.7,male,English,59.0,0.0,1,Inez,1,yes
122,71910,Exeter Union Elementary,Tulare,KK-08,1987,103.3700027,15.28120041,54.65409851,283,4757.025391,11.18299961,15.34977436,637.0,647.4000244,5060.0,3.0,male,English,35.0,0.0,3,Beulah,1,yes
123,62000,American Union Elementary,Fresno,KK-08,418,22.39999962,10.69649982,63.43280029,50,5522.161621,7.385000229,19.85645866,640.2000122,644.5999756,800.0,4.4,female,English,24.0,1.0,2,Gladys,0,yes
124,66167,San Antonio Union Elementary,Monterey,KK-08,196,10.0,19.68910027,47.15029907,40,6087.608887,13.57900047,3.061224461,652.5999756,632.9000244,23040.0,4.1,male,Other,64.0,0.0,5,Camille,1,yes
125,71837,Burton Elementary,Tulare,KK-08,2208,114.5,14.41399956,53.21060181,92,4960.515625,9.630000114,9.873188019,642.0,644.0999756,6870.0,4.7,male,English,13.0,0.0,3,Celia,0,yes
126,67157,Nuview Union Elementary,Riverside,KK-08,1255,55.0,11.32219982,44.25970078,165,4880.040527,15.27400017,16.09561729,642.5999756,643.7999878,300.0,4.0,male,English,44.0,1.0,2,Edith,0,yes
127,70615,Bellevue Union Elementary,Sonoma,KK-06,1469,78.09999847,20.96660042,80.25869751,65,6538.417969,14.03425026,43.49897766,639.4000244,647.0999756,500.0,4.9,female,English,15.0,0.0,1,Fern,0,yes
